Block,Time,NR/01012024/15012024/IEX_231227_05965,NR/01102023/27052033/DIAPL(L_NR_2023_04),WR/01102023/29112042/L_NR_2019_05,WR/01102023/01102023/L_NR_2020_06,NR/01102023/13082046/L_NR_2021_12,WR/01102023/24112044/L_NR_2020_07,L_NR_2019_19,NR/01102023/02012046/L_NR_2021_17,NR/22102023/11042047/L_NR_2021_17,NR/05012024/31012024/SJVN050124NR1341,WR/01102023/29112042/RUMS(L_NR_2019_06),NR/01102023/08032047/L_NR_2021_14,NR/01102023/25072045/L_NR_2021_15,NR/01102023/14082046/L_NR_2021_16,NR/05012024/31012024/SJVN050124NR1342,NR/26072023/31072042/L_NR_2023_07,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/16072048/L_NR_2022_08,WR/01102023/30052048/L_NR_2022_10,NR/01102023/02122045/L_NR_2021_13,WR/01102023/31032046/L_NR_2020_05,NR/26072023/25122043/L_NR_2023_10,NR/22102023/11042047/L_NR_2021_16,WR/01102023/01102023/L_NR_2022_09,SR/01102023/07102043/L_NR_2018_61,NR/01012024/31012024/5412UPCL/CE(Comm)/SE/Banking dt. 17.11.2023,NR/01102023/23072042/L_NR_2012_04,NR/01012024/31012024/HP-28,NR/01102023/05012040/L_NR_2020_02,NR/06012024/31012024/NVVN/OA/16855,NR/01102023/31102037/L_NR_2019_11,NR/01102023/22052037/LT-59,NR/01012024/31032024/ ChanjuII,NR/01102023/25122043/GNA_MEJA_DELHI,NR/01102023/15082037/GNA_NR_2012_01,NR/01102023/30042040/GNA_LT_35,NR/20122023/29022024/IEX_LDC_231218_00501,NR/01102023/31052040/LT-31,NR/01012024/31012024/HP-26,NR/01102023/06022042/L_NR_2012_07,NR/01012024/31012024/HPX-GTAMLDCRA-141223-05423,NR/08012024/08012024/HPX-TAMCTG-070124-05687,NR/01102023/19072037/LT-05,NR/01012024/15012024/HPX-TAMDLY-271223-05546,NR/01102023/06022042/L_NR_2012_02,NR/01012024/31012024/HP-27,NR/30092023/31122025/SH-07,NR/01102023/30042040/GNA_LT_36,NR/20122023/29022024/IEX_LDC_231218_00502,NR/01012024/31012024/HPX-TAMLDCRA-141223-05419,NR/01012024/31012024/52,NR/01012024/31012024/HPX-GTAMLDCRA-141223-05424,NR/01012024/15012024/IEX_231227_05966,NR/30092023/26122029/SH-06
1,00:00-00:15,95.950000,23.030000,0,32.79,0,32.81,0,0,0,0,0,0,0,0,0,0,0,22.99,71.88,0,98.42,0,0,71.88,10.25,47.980000,148.420000,24.460000,1.480000,47.980000,1.070000,0.770000,1.550000,0.000000,47.980000,0.000000,8.160000,0.000000,152.060000,32.620000,5.760000,0.000000,69.950000,47.980000,131.450000,57.140000,25.810000,0.000000,11.510000,6.720000,0.000000,18.230000,47.980000,25.810000

2,00:15-00:30,95.950000,23.030000,0,31.96,0,31.95,0,0,0,0,0,0,0,0,0,0,0,22.03,69.89,0,95.86,0,0,69.89,10.17,47.980000,148.420000,24.460000,1.480000,47.980000,1.070000,0.770000,1.550000,0.000000,47.980000,0.000000,8.160000,0.000000,152.060000,32.620000,5.760000,0.000000,69.950000,47.980000,112.260000,57.140000,25.810000,0.000000,11.510000,6.720000,0.000000,18.230000,47.980000,25.810000

3,00:30-00:45,95.950000,23.030000,0,30.93,0,30.93,0,0,0,0,0,0,0,0,0,0,0,21.16,67.53,0,92.79,0,0,67.53,10.08,47.980000,148.420000,24.460000,1.480000,47.980000,1.070000,0.770000,1.550000,0.000000,47.980000,0.000000,8.160000,0.000000,152.060000,32.620000,5.760000,0.000000,69.950000,47.980000,112.260000,57.140000,25.810000,0.000000,11.510000,6.720000,0.000000,18.230000,47.980000,25.810000

4,00:45-01:00,95.950000,23.030000,0,29.81,0,29.8,0,0,0,0,0,0,0,0,0,0,0,20.1,61.71,0,89.41,0,0,61.71,10.05,47.980000,148.420000,24.460000,1.480000,47.980000,1.070000,0.770000,1.550000,0.000000,47.980000,0.000000,8.160000,0.000000,152.060000,32.620000,5.760000,0.000000,69.950000,47.980000,112.260000,57.140000,25.810000,0.000000,11.510000,6.720000,0.000000,18.230000,47.980000,25.810000

5,01:00-01:15,95.950000,23.030000,0,27.96,0,27.98,0,0,0,0,0,0,0,0,0,0,0,18.98,56.31,0,83.93,0,0,56.31,10.05,47.980000,148.420000,24.460000,1.480000,47.980000,1.070000,0.770000,1.550000,0.000000,47.980000,0.000000,8.160000,0.000000,152.060000,32.620000,5.760000,0.000000,69.950000,47.980000,112.260000,57.140000,25.810000,0.000000,11.510000,6.720000,0.000000,18.230000,47.980000,25.810000

6,01:15-01:30,95.950000,23.030000,0,26.83,0,26.83,0,0,0,0,0,0,0,0,0,0,0,18.12,51.78,0,80.5,0,0,51.78,9.84,47.980000,148.420000,24.460000,1.480000,47.980000,1.070000,0.770000,1.550000,0.000000,47.980000,0.000000,8.160000,0.000000,152.060000,32.620000,5.760000,0.000000,69.950000,47.980000,112.260000,57.140000,25.810000,0.000000,11.510000,6.720000,0.000000,18.230000,47.980000,25.810000

7,01:30-01:45,95.950000,23.030000,0,23.69,0,23.68,0,0,0,0,0,0,0,0,0,0,0,18.33,60.17,0,71.05,0,0,60.17,9.71,47.980000,148.420000,24.460000,1.480000,47.980000,1.070000,0.770000,1.550000,0.000000,47.980000,0.000000,8.160000,0.000000,152.060000,32.620000,5.760000,0.000000,69.950000,47.980000,112.260000,57.140000,25.810000,0.000000,11.510000,6.720000,0.000000,18.230000,47.980000,25.810000

8,01:45-02:00,95.950000,23.030000,0,21.79,0,21.81,0,0,0,0,0,0,0,0,0,0,0,17.58,57.84,0,65.42,0,0,57.84,9.7,47.980000,148.420000,24.460000,1.480000,47.980000,1.070000,0.770000,1.550000,0.000000,47.980000,0.000000,8.160000,0.000000,152.060000,32.620000,5.760000,0.000000,69.950000,47.980000,112.260000,57.140000,25.810000,0.000000,11.510000,6.720000,0.000000,18.230000,47.980000,25.810000

9,02:00-02:15,95.950000,23.030000,0,25.56,0,25.55,0,0,0,0,0,0,0,0,0,0,0,16.91,55.29,0,76.66,0,0,55.29,9.64,47.980000,148.420000,24.460000,1.480000,47.980000,1.070000,0.770000,1.550000,0.000000,47.980000,0.000000,8.160000,0.000000,152.060000,32.620000,5.760000,0.000000,69.950000,47.980000,112.260000,57.140000,25.810000,0.000000,11.510000,6.720000,0.000000,18.230000,47.980000,25.810000

10,02:15-02:30,95.950000,23.030000,0,25.29,0,25.27,0,0,0,0,0,0,0,0,0,0,0,16.38,53.23,0,75.82,0,0,53.23,9.33,47.980000,148.420000,24.460000,1.480000,47.980000,1.070000,0.770000,1.550000,0.000000,47.980000,0.000000,8.160000,0.000000,152.060000,32.620000,5.760000,0.000000,69.950000,47.980000,112.260000,57.140000,25.810000,0.000000,11.510000,6.720000,0.000000,18.230000,47.980000,25.810000

11,02:30-02:45,95.950000,23.030000,0,24.62,0,24.62,0,0,0,0,0,0,0,0,0,0,0,17.27,52.84,0,73.86,0,0,52.84,11.7,47.980000,148.420000,24.460000,1.480000,47.980000,1.070000,0.770000,1.550000,0.000000,47.980000,0.000000,8.160000,0.000000,152.060000,32.620000,5.760000,0.000000,69.950000,47.980000,112.260000,57.140000,25.810000,0.000000,11.510000,6.720000,0.000000,18.230000,47.980000,25.810000

12,02:45-03:00,95.950000,23.030000,0,23.45,0,23.46,0,0,0,0,0,0,0,0,0,0,0,16.77,49.49,0,70.38,0,0,49.49,11.83,47.980000,148.420000,24.460000,1.480000,47.980000,1.070000,0.770000,1.550000,0.000000,47.980000,0.000000,8.160000,0.000000,152.060000,32.620000,5.760000,0.000000,69.950000,47.980000,112.260000,57.140000,25.810000,0.000000,11.510000,6.720000,0.000000,18.230000,47.980000,25.810000

13,03:00-03:15,95.950000,22.070000,0,22.32,0,22.31,0,0,0,0,0,0,0,0,0,0,0,14.6,44.88,0,66.94,0,0,44.88,11.95,47.980000,148.420000,24.460000,1.430000,47.980000,0.990000,0.690000,1.650000,0.000000,47.980000,0.000000,8.160000,0.000000,152.060000,32.620000,5.760000,0.000000,69.950000,47.980000,112.260000,57.140000,25.810000,0.000000,11.510000,6.720000,0.000000,18.230000,47.980000,25.810000

