Block,Time,CHAMERA1,KGSU3AND4,NTPL,ANTA_CRF,JHAJJAR,KHSTPP-I,KISHANGANGA,NLCIIST2,SALAL,SINGRAULI,TALA,TelanganaSTPP,ANTA_GF,DADRT2,KUDGI,RAPPC,UNCHAHAR4,AURY_CRF,DHAULIGNGA,NAPP,NNTPP,RIHAND2,RSTPSU1TO6,TANAKPUR,DADRI_GF,DADRI_RF,BRBCL,KKNPPU2,MAPS,NJPC,RAPPB,RSTPSU7,SIMHST2,TALST2,TANDA2,TEHRI,UNCHAHAR1,URI2,ANTA_LF,FSTPP I & II,NLCIIST1,NLCTS2EXP,SIMHST1,SINGRAULI_HYDRO,DADRI_LF,CHAMERA2,DULHASTI,KHSTPP-II,KKNP,KOTESHWR,NLCEXP,PARBATI3,RAMPUR,RIHAND3,SASAN,SEWA2,ANTA_RF,AURY_RF,DADRI_CRF,BSIUL,CHAMERA3,KGSU1AND2,KOLDAM,RIHAND1,UNCHAHAR2,UNCHAHAR3,URI,VALLURNTECL,AURY_GF,AURY_LF
1,00:00-00:15,0,0,0,0,654.3,33.69,0,0,1.4,125.96,0,0,0,683.14,0,53.3,0,0,0,43.37,0,118.75,0,5.76,0,69.05,20,0,0,0,0,0,0,0,0,0,10.27,4.31,0,20.8,0,0,0,0,23.57,0,16.48,148.3,0,8.88,0,0,0,124.32,348.98,0,44.83,53.76,0,0,0,0,0,92,42.39,26.39,1.11,0,0,0

2,00:15-00:30,0,0,0,0,654.3,33.69,0,0,1.4,125.96,0,0,0,683.14,0,53.3,0,0,0,43.37,0,118.75,0,5.76,0,69.05,20,0,0,0,0,0,0,0,0,0,10.27,4.31,0,20.8,0,0,0,0,23.57,0,16.48,148.3,0,8.88,0,0,0,124.32,348.98,0,44.83,53.76,0,0,0,0,0,92,42.39,26.39,1.11,0,0,0

3,00:30-00:45,0,0,0,0,654.3,33.69,0,0,1.4,125.96,0,0,0,683.14,0,53.3,0,0,0,43.37,0,118.75,0,5.76,0,69.05,20,0,0,0,0,0,0,0,0,0,10.27,4.31,0,20.8,0,0,0,0,23.57,0,16.48,148.3,0,8.88,0,0,0,124.32,348.98,0,44.83,53.76,0,0,0,0,0,92,42.39,26.39,1.11,0,0,0

4,00:45-01:00,0,0,0,0,654.3,33.69,0,0,1.4,125.96,0,0,0,683.14,0,53.3,0,0,0,43.37,0,118.75,0,5.76,0,69.05,20,0,0,0,0,0,0,0,0,0,10.27,4.31,0,20.8,0,0,0,0,23.57,0,16.48,148.3,0,8.88,0,0,0,124.32,348.98,0,44.83,53.76,0,0,0,0,0,92,42.39,26.39,1.11,0,0,0

5,01:00-01:15,0,0,0,0,654.3,33.69,0,0,1.4,125.96,0,0,0,683.14,0,53.3,0,0,0,43.37,0,118.75,0,5.76,0,69.05,20,0,0,0,0,0,0,0,0,0,10.27,4.31,0,20.8,0,0,0,0,23.57,0,16.48,148.3,0,8.88,0,0,0,124.32,348.98,0,44.83,53.76,0,0,0,0,0,92,42.39,26.39,1.11,0,0,0

6,01:15-01:30,0,0,0,0,654.3,33.69,0,0,1.4,125.96,0,0,0,683.14,0,53.3,0,0,0,43.37,0,118.75,0,5.76,0,69.05,20,0,0,0,0,0,0,0,0,0,10.27,4.31,0,20.8,0,0,0,0,23.57,0,16.48,148.3,0,8.88,0,0,0,124.32,348.98,0,44.83,53.76,0,0,0,0,0,92,42.39,26.39,1.11,0,0,0

7,01:30-01:45,0,0,0,0,654.3,33.69,0,0,1.4,125.96,0,0,0,683.14,0,53.3,0,0,0,43.37,0,118.75,0,0,0,69.05,20,0,0,0,0,0,0,0,0,0,10.27,4.31,0,20.8,0,0,0,0,23.57,0,16.48,148.3,0,8.88,0,0,0,124.32,348.98,0,44.83,53.76,0,0,0,0,0,92,42.39,26.39,1.11,0,0,0

8,01:45-02:00,0,0,0,0,654.3,33.69,0,0,1.4,125.96,0,0,0,683.14,0,53.3,0,0,0,43.37,0,118.75,0,0,0,69.05,20,0,0,0,0,0,0,0,0,0,10.27,4.31,0,20.8,0,0,0,0,23.57,0,16.48,148.3,0,8.88,0,0,0,124.32,348.98,0,44.83,53.76,0,0,0,0,0,92,42.39,26.39,1.11,0,0,0

9,02:00-02:15,0,0,0,0,654.3,33.69,0,0,1.4,125.96,0,0,0,683.14,0,53.3,0,0,0,43.37,0,118.75,0,0,0,69.05,20,0,0,0,0,0,0,0,0,0,10.27,4.31,0,20.8,0,0,0,0,23.57,0,16.48,148.3,0,8.88,0,0,0,124.32,348.98,0,44.83,53.76,0,0,0,0,0,92,42.39,26.39,1.11,0,0,0

10,02:15-02:30,0,0,0,0,654.3,33.69,0,0,1.4,125.96,0,0,0,683.14,0,53.3,0,0,0,43.37,0,118.75,0,0,0,69.05,20,0,0,0,0,0,0,0,0,0,10.27,4.31,0,20.8,0,0,0,0,23.57,0,16.48,148.3,0,8.88,0,0,0,124.32,348.98,0,44.83,53.76,0,0,0,0,0,92,42.39,26.39,1.11,0,0,0

11,02:30-02:45,0,0,0,0,654.3,33.69,0,0,1.4,125.96,0,0,0,683.14,0,53.3,0,0,0,43.37,0,118.75,0,0,0,69.05,20,0,0,0,0,0,0,0,0,0,10.27,4.31,0,20.8,0,0,0,0,23.57,0,16.48,148.3,0,8.88,0,0,0,124.32,348.98,0,44.83,53.76,0,0,0,0,0,92,42.39,26.39,1.11,0,0,0

12,02:45-03:00,0,0,0,0,654.3,33.69,0,0,1.4,125.96,0,0,0,683.14,0,53.3,0,0,0,43.37,0,118.75,0,0,0,69.05,20,0,0,0,0,0,0,0,0,0,10.27,4.31,0,20.8,0,0,0,0,23.57,0,16.48,148.3,0,8.88,0,0,0,124.32,348.98,0,45.05,53.76,0,0,0,0,0,92,42.39,26.39,1.11,0,0,0

13,03:00-03:15,0,0,0,0,654.3,33.69,0,0,1.4,125.96,0,0,0,683.14,0,53.3,0,0,0,43.37,0,118.75,0,0,0,69.05,20,0,0,0,0,0,0,0,0,0,10.27,4.31,0,20.8,0,0,0,0,23.57,0,16.48,148.3,0,8.88,0,0,0,124.32,348.98,0,45.05,53.76,0,0,0,0,0,92,42.39,26.39,1.11,0,0,0

