Column1,Block,NR/2025/25458/C,GNARE/NR/2024/12/20/3668,NR/2025/25457/C,GNA/NR/2025/03/01/5143,NR/30092023/26122029/SH-06,GNA/NR/2025/03/01/1906,GNA/NR/2025/03/01/3469,NR/30092023/31122025/SH-07,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/SR/2025/03/01/7500,GNA/NR/2025/03/01/4651,WR/2025/26426/A/55702,GNA/NR/2025/03/01/9482,GNA/NR/2025/03/01/6891,GNA/WR/2025/01/01/8625,GNA/NR/2025/03/01/8036,WR/2025/26427/A/55703,GNA/NR/2025/03/01/2563,GNA/WR/2025/01/01/9606,WR/2025/26582/A/55923,WR/2025/26499/A/55925,NR/2025/25159/A/55649,GNA/WR/2025/03/01/6406,Total
,,SJVNL,SECI_Trader,SJVNL,PTC,PUNJAB,NDMC,NDMC,BAWANA_GAS,DELHI,APPCPL,NDMC,KEIPL,NDMC,PTC,TPTCL,NDMC,KEIPL,NDMC,APPCPL,APPCPL,APPCPL,ITCLH,APPCPL,
,,NA,NA,NA,DELHI_UT,DELHI_UT,NA,NA,DELHI_UT,HIMACHAL_STATE,DELHI_UT,NA,DELHI_UT,NA,DELHI_UT,DELHI_UT,NA,DELHI_UT,NA,DELHI_UT,DELHI_UT,DELHI_UT,ANDHRA_PRADESH_STATE,DELHI_UT,
,,RSRPL_BKN,APSEPL_FTG,TPSL_BKN2,BRPL,BAWANA_GAS,JPL2,TRN_ENERGY,BAWANA_GAS,CHANJUII,BYPL,SKS_Raigarh,BYPL,JIPL,BYPL,BYPL,RKM_POWER,BRPL,RKM_POWER,BYPL,BRPL,BRPL,ITCWIND,BRPL,
,,DELHI_UT,DELHI_UT,DELHI_UT,HIMACHAL_STATE,PUNJAB_STATE,DELHI_UT,DELHI_UT,HARYANA_STATE,DELHI_UT,KERALA_State,DELHI_UT,CSEB_State,DELHI_UT,HIMACHAL_STATE,MSEB_State,DELHI_UT,CSEB_State,DELHI_UT,MSEB_State,CSEB_State,MSEB_State,DELHI_UT,MSEB_State,
,,NDMC,TPDDL,NDMC,HP,PUNJAB,NDMC,NDMC,HARYANA,TPDDL,KSEB,NDMC,CSEB_Beneficiary,NDMC,HP,TPC_MSEB,NDMC,CSEB_Beneficiary,NDMC,AEML,CSEB_Beneficiary,AEML,ITCLH,AEML,
,,North-North,North-North,North-North,North-North,North-North,West-North,West-North,North-North,North-North,North-West-South,West-North,North-West,East-North,North-North,North-West,West-North,North-West,West-North,North-West,North-West,North-West,South-West-North,North-West,
1,00:00-00:15,0,0,0,190.26,26.87,23.02,8.63,26.87,5.24,200,0,167.43,17.27,63.42,0,23.02,47.96,23.02,0,47.96,0,0.43,42,913.3999999999999

2,00:15-00:30,0,0,0,190.26,26.87,23.02,8.63,26.87,5.24,200,0,167.43,17.27,63.42,0,23.02,47.96,23.02,0,47.96,0,0.43,42,913.3999999999999

