Block,Time,CHAMERA2,JHAJJAR,NLCIIST1,NLCIIST2,PARBATI3,RAPPB,RAPPC,RIHAND1,RSTPSU7,SALAL,TALST2,TANAKPUR,TelanganaSTPP,ANTA_CRF,ANTA_LF,AURY_CRF,KGSU3AND4,NJPC,NLCTS2EXP,SINGRAULI_HYDRO,URI2,DADRI_CRF,CHAMERA3,KHSTPP-II,KISHANGANGA,NNTPP,NTPL,AURY_LF,BRBCL,KKNPPU2,KUDGI,UNCHAHAR3,UNCHAHAR4,VALLURNTECL,AURY_GF,KGSU1AND2,NLCEXP,RIHAND3,ANTA_GF,AURY_RF,DADRI_GF,BSIUL,SIMHST2,TALA,UNCHAHAR2,ANTA_RF,DADRI_RF,CHAMERA1,DADRT2,DULHASTI,KHSTPP-I,KKNP,KOLDAM,KOTESHWR,MAPS,RIHAND2,SASAN,SINGRAULI,TEHRI,DHAULIGNGA,FSTPP I & II,NAPP,RAMPUR,RSTPSU1TO6,SEWA2,SIMHST1,TANDA2,UNCHAHAR1,URI,DADRI_LF
1,00:00-00:15,0,436.2,0,0,0,0,52.03,46,0,1.4,0,3.2,0,0,0,0,0,0,0,0,6.72,0,0,98.87,0,0,0,0,20,0,0,26.39,0,0,0,0,0,124.32,0,70.59,0,0,0,0,21.19,28.88,67.95,0,683.14,16.48,45.22,0,0,8.87,0,118.76,317.25,139.68,0,0,18.2,43.68,0,0,0,0,0,20.56,26.49,22.47

2,00:15-00:30,0,436.2,0,0,0,0,52.03,46,0,1.4,0,8.33,0,0,0,0,0,0,0,0,18.83,0,0,98.87,0,0,0,0,20,0,0,26.39,0,0,0,0,0,124.32,0,70.59,0,0,0,0,21.19,28.88,67.95,0,683.14,16.48,45.22,0,0,8.87,0,118.76,325.12,139.68,0,0,18.2,43.68,0,0,0,0,0,20.56,26.49,22.47

3,00:30-00:45,0,436.2,0,0,0,0,52.03,46,0,1.4,0,8.33,0,0,0,0,0,0,0,0,18.83,0,0,98.87,0,0,0,0,20,0,0,26.39,0,0,0,0,0,124.32,0,70.59,0,0,0,0,21.19,28.88,67.95,0,683.14,16.48,45.22,0,0,8.87,0,118.76,279.18,139.68,0,0,18.2,43.68,0,0,0,0,0,20.56,6.63,22.47

4,00:45-01:00,0,436.2,0,0,0,0,52.03,46,0,1.4,0,3.2,0,0,0,0,0,0,0,0,18.83,0,0,98.87,0,0,0,0,20,0,0,26.39,0,0,0,0,0,124.32,0,70.59,0,0,0,0,21.19,28.88,67.95,0,683.14,16.48,45.22,0,0,8.87,0,118.76,279.18,139.68,0,0,18.2,43.68,0,0,0,0,0,20.56,2.21,22.47

5,01:00-01:15,0,436.2,0,0,0,0,52.03,46,0,1.4,0,3.2,0,0,0,0,0,0,0,0,18.83,0,0,98.87,0,0,0,0,20,0,0,26.39,0,0,0,0,0,124.32,0,70.59,0,0,0,0,21.19,28.88,67.95,0,683.14,16.48,45.22,0,0,8.87,0,118.76,279.18,139.68,0,0,18.2,43.68,0,0,0,0,0,20.56,2.21,22.47

