Column1,Block,GNA/NR/2025/02/01/2143,GNA/NR/2025/02/01/2594,GNA/SR/2025/02/01/6460,GNA/SR/2025/02/01/7432,GNA/NR/2025/02/01/9969,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/WR/2024/11/01/4200,NR/30092023/26122029/SH-06,GNA/WR/2025/01/01/9606,NR/2025/25227/C,NR/2025/25228/C,NR/30092023/31122025/SH-07,WR/2025/26047/A/52812,GNA/NR/2025/02/01/4863,NR/2025/24882/A/52569,ER/2025/15683/A/52805,NER/2025/2918/A/52807,GNA/NR/2025/02/01/5886,NR/2024/24418/A/52549,GNA/WR/2025/01/01/8625,NR/2025/25070/A/52817,NR/2025/24992/A/52567,Total
,,NDMC,NDMC,APPCPL,APPCPL,NDMC,DELHI,MANIKARAN,PUNJAB,APPCPL,SJVNL,SJVNL,BAWANA_GAS,APPCPL,NDMC,IEXL,APPCPL,APPCPL,NDMC,ITCLH,TPTCL,NVVNL,IEXL,
,,NA,NA,DELHI_UT,DELHI_UT,NA,HIMACHAL_STATE,DELHI_UT,DELHI_UT,DELHI_UT,NA,NA,DELHI_UT,DELHI_UT,NA,TELANGANA_State,DELHI_UT,DELHI_UT,NA,ANDHRA_PRADESH_STATE,DELHI_UT,NA,KARNATAKA_STATE,
,,RKM_POWER,RKM_POWER,BYPL,BYPL,JPL2,CHANJUII,BRPL,BAWANA_GAS,BYPL,TPSL_BKN2,RSRPL_BKN,BAWANA_GAS,BRPL,SKS_Raigarh,NSLKSLWPRTY,BYPL,BYPL,TRN_ENERGY,ITCWIND,BYPL,JIPL,NSLSUGARALAND,
,,DELHI_UT,DELHI_UT,KERALA_State,KERALA_State,DELHI_UT,DELHI_UT,MSEB_State,PUNJAB_STATE,MSEB_State,DELHI_UT,DELHI_UT,HARYANA_STATE,GOA_State,DELHI_UT,DELHI_UT,SIKKIM_STATE,Manipur_State,DELHI_UT,DELHI_UT,MSEB_State,DELHI_UT,DELHI_UT,
,,NDMC,NDMC,KSEB,KSEB,NDMC,TPDDL,AEML,PUNJAB,AEML,NDMC,NDMC,HARYANA,GOA_Beneficiary,NDMC,MES_Delhi,SIKKIM,Manipur_Ben,NDMC,ITCLH,TPC_MSEB,NDMC,MES_Delhi,
,,West-North,West-North,North-West-South,North-West-South,West-North,North-North,North-West,North-North,North-West,North-North,North-North,North-North,North-West,West-North,South-West-North,North-East,North-East-North East,West-North,South-West-North,North-West,East-North,South-West-North,
1,00:00-00:15,22.12,22.12,75,0,23.08,1.38,0,26.99,0,0,0,26.99,0,8.66,2.89,7.34,9.18,8.66,0.38,0,17.31,6.73,258.83

2,00:15-00:30,22.12,22.12,75,0,23.08,1.38,0,26.99,0,0,0,26.99,0,8.66,2.89,7.34,9.18,8.66,0.38,0,17.31,6.73,258.83

3,00:30-00:45,22.12,22.12,75,0,23.08,1.38,0,26.99,0,0,0,26.99,0,8.66,2.89,7.34,9.18,8.66,0.38,0,17.31,6.73,258.83

4,00:45-01:00,22.12,22.12,75,0,23.08,1.38,0,26.99,0,0,0,26.99,0,8.66,2.89,7.34,9.18,8.66,0.38,0,17.31,6.73,258.83

5,01:00-01:15,22.12,22.12,75,0,23.08,1.38,0,26.99,0,0,0,26.99,0,8.66,2.89,7.34,9.18,8.66,0.38,0,17.31,6.73,258.83

6,01:15-01:30,22.12,22.12,75,0,23.08,1.38,0,26.99,0,0,0,26.99,0,8.66,2.89,7.34,9.18,8.66,0.38,0,17.31,6.73,258.83

7,01:30-01:45,22.12,22.12,75,0,23.08,1.38,0,26.99,0,0,0,26.99,0,8.66,2.89,7.34,9.18,8.66,0.38,0,17.31,6.73,258.83

8,01:45-02:00,22.12,22.12,75,0,23.08,1.38,0,26.99,0,0,0,26.99,0,8.66,2.89,7.34,9.18,8.66,0.38,0,17.31,6.73,258.83

9,02:00-02:15,22.12,22.12,75,0,23.08,1.38,0,26.99,0,0,0,26.99,0,8.66,2.89,7.34,9.18,8.66,0.38,0,17.31,6.73,258.83

10,02:15-02:30,22.12,22.12,75,0,23.08,1.38,0,26.99,0,0,0,26.99,0,8.66,2.89,7.34,9.18,8.66,0.38,0,17.31,6.73,258.83

