Block,Time,WR/01102023/29112042/RUMS(L_NR_2019_07),NR/26072023/31072042/L_NR_2023_07,WR/01102023/29112042/RUMS(L_NR_2019_06),NR/01102023/02012046/L_NR_2021_17,NR/22102023/11042047/L_NR_2021_16,NR/01102023/14082046/L_NR_2021_16,WR/01102023/29112042/L_NR_2019_05,NR/01102023/13082046/L_NR_2021_12,WR/01102023/01102023/L_NR_2022_09,NR/04042024/30042024/SJVN040424NR1694,WR/01102023/31032046/L_NR_2020_05,NR/01102023/02122045/L_NR_2021_13,WR/01102023/16072048/L_NR_2022_08,SR/01102023/07102043/L_NR_2018_61,NR/26072023/25122043/L_NR_2023_10,NR/01102023/08032047/L_NR_2021_14,L_NR_2019_19,WR/01102023/01102023/L_NR_2020_06,WR/01102023/24112044/L_NR_2020_07,NR/01102023/25072045/L_NR_2021_15,NR/22102023/11042047/L_NR_2021_17,WR/01102023/30052048/L_NR_2022_10,NR/16042024/31052024/IEX_240323_06618,NR/01102023/23072042/L_NR_2012_04,NR/01102023/22052037/LT-59,NR/01102023/30042040/GNA_LT_36,NR/01042024/30062024/NOC/HPSLDC/NR/2024/41758,NR/01102023/06022042/L_NR_2012_02,NR/01102023/15082037/GNA_NR_2012_01,NR/01042024/31072024/LT_MEJA_DELHI,NR/01102023/31052040/LT-31,NR/01102023/19072037/LT-05,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/06022042/L_NR_2012_07,NR/01102023/05012040/L_NR_2020_02,NR/01102023/25122043/GNA_MEJA_DELHI,NR/30092023/31122025/SH-07,NR/01102023/30042040/GNA_LT_35,NR/01042024/30042024/PTC/OA/32001,NR/30092023/26122029/SH-06,NR/01102023/31102037/L_NR_2019_11,NR/16042024/30042024/IEX_240323_06617,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04
1,00:00-00:15,0,0,0,0,0,0,0,0,40.67,0,65.5,0,13.58,7.01,0,0,0,21.84,21.83,0,0,40.67,48.280000,0.000000,2.330000,0.000000,12.810000,262.190000,100.610000,16.110000,0.000000,115.450000,30.790000,87.110000,3.900000,0.000000,30.420000,0.000000,41.040000,30.420000,3.920000,9.660000,273.050000

2,00:15-00:30,0,0,0,0,0,0,0,0,41,0,66.5,0,13.23,7.01,0,0,0,22.16,22.17,0,0,41,48.280000,0.000000,3.960000,0.000000,12.810000,262.190000,100.610000,16.110000,0.000000,115.450000,30.790000,87.110000,3.900000,0.000000,30.420000,0.000000,41.040000,30.420000,3.920000,9.660000,273.050000

3,00:30-00:45,0,0,0,0,0,0,0,0,41.33,0,65.5,0,12.84,7.01,0,0,0,21.84,21.83,0,0,41.33,48.280000,0.000000,3.960000,0.000000,12.810000,262.190000,100.610000,16.110000,0.000000,115.450000,30.790000,87.110000,3.570000,0.000000,30.420000,0.000000,41.040000,30.420000,3.920000,9.660000,273.050000

4,00:45-01:00,0,0,0,0,0,0,0,0,41.67,0,65,0,16.66,7.01,0,0,0,21.66,21.67,0,0,41.67,48.280000,0.000000,3.960000,0.000000,12.810000,262.190000,100.610000,16.110000,0.000000,115.450000,30.790000,87.110000,3.570000,0.000000,30.420000,0.000000,41.040000,30.420000,3.920000,9.660000,273.050000

5,01:00-01:15,0,0,0,0,0,0,0,0,42,0,64,0,16,7.01,0,0,0,21.34,21.33,0,0,42,48.280000,0.000000,3.960000,0.000000,12.630000,262.190000,100.610000,16.110000,0.000000,115.450000,30.790000,87.110000,3.570000,0.000000,30.420000,0.000000,41.040000,30.420000,3.920000,9.660000,273.050000

6,01:15-01:30,0,0,0,0,0,0,0,0,42.67,0,63.5,0,15.66,7.01,0,0,0,21.16,21.17,0,0,42.67,48.280000,0.000000,3.960000,0.000000,12.630000,262.190000,100.610000,16.110000,0.000000,115.450000,30.790000,87.110000,3.570000,0.000000,30.420000,0.000000,41.040000,30.420000,3.920000,9.660000,273.050000

7,01:30-01:45,0,0,0,0,0,0,0,0,43.33,0,64,0,15.34,7.01,0,0,0,21.34,21.33,0,0,43.33,48.280000,0.000000,3.960000,0.000000,12.630000,262.190000,100.610000,16.110000,0.000000,115.450000,30.790000,87.110000,3.570000,0.000000,30.900000,0.000000,41.040000,30.900000,3.770000,9.660000,273.050000

8,01:45-02:00,0,0,0,0,0,0,0,0,44,0,66,0,15,7.01,0,0,0,22,22,0,0,44,48.280000,0.000000,3.960000,0.000000,12.630000,262.190000,100.610000,16.110000,0.000000,115.450000,30.790000,87.110000,3.570000,0.000000,30.900000,0.000000,41.040000,30.900000,3.770000,9.660000,273.050000

9,02:00-02:15,0,0,0,0,0,0,0,0,42.33,0,66.5,0,15,7.01,0,0,0,22.16,22.17,0,0,42.33,48.280000,0.000000,3.880000,0.000000,12.450000,262.190000,100.610000,16.110000,0.000000,66.240000,30.790000,87.110000,3.570000,0.000000,24.570000,0.000000,41.040000,30.900000,3.690000,9.660000,273.050000

10,02:15-02:30,0,0,0,0,0,0,0,0,42.67,0,66.5,0,14.99,7.01,0,0,0,22.16,22.17,0,0,42.67,48.280000,0.000000,3.880000,0.000000,12.450000,262.190000,100.610000,16.110000,0.000000,66.240000,30.790000,87.110000,3.570000,0.000000,24.570000,0.000000,41.040000,30.900000,3.690000,9.660000,273.050000

11,02:30-02:45,0,0,0,0,0,0,0,0,46.67,0,66,0,18.34,7.01,0,0,0,22,22,0,0,46.67,48.280000,0.000000,1.940000,0.000000,12.450000,262.190000,100.610000,16.110000,0.000000,66.240000,30.790000,87.110000,3.570000,0.000000,25.630000,0.000000,41.040000,25.630000,3.690000,9.660000,273.050000

12,02:45-03:00,0,0,0,0,0,0,0,0,47,0,66,0,17.66,7.01,0,0,0,22,22,0,0,47,48.280000,0.000000,3.570000,0.000000,12.450000,262.190000,100.610000,16.110000,0.000000,66.240000,30.790000,87.110000,3.570000,0.000000,25.630000,0.000000,41.040000,25.630000,3.690000,9.660000,273.050000

13,03:00-03:15,0,0,0,0,0,0,0,0,47.67,0,65.5,0,17,7.01,0,0,0,21.84,21.83,0,0,47.67,48.280000,0.000000,3.570000,0.000000,12.350000,262.190000,100.610000,16.110000,0.000000,66.240000,30.270000,68.110000,3.440000,0.000000,25.630000,0.000000,41.040000,25.630000,3.770000,9.660000,273.050000

14,03:15-03:30,0,0,0,0,0,0,0,0,47,0,65.5,0,16.66,7.01,0,0,0,21.84,21.83,0,0,47,48.280000,0.000000,3.570000,0.000000,12.350000,206.230000,100.610000,16.110000,0.000000,66.240000,30.270000,68.110000,3.440000,0.000000,25.630000,0.000000,41.040000,25.630000,3.770000,9.660000,273.050000

15,03:30-03:45,0,0,0,0,0,0,0,0,46.33,0,65,0,18.34,7.01,0,0,0,21.66,21.67,0,0,46.33,48.280000,0.000000,3.570000,0.000000,12.350000,206.230000,100.610000,16.110000,0.000000,66.240000,30.270000,68.110000,3.440000,0.000000,25.630000,0.000000,41.040000,25.630000,3.770000,9.660000,273.050000

16,03:45-04:00,0,0,0,0,0,0,0,0,45.67,0,64.5,0,18,7.01,0,0,0,21.5,21.5,0,0,45.67,48.280000,0.000000,3.570000,0.000000,12.350000,206.230000,100.610000,16.110000,0.000000,66.240000,30.270000,68.110000,3.440000,0.000000,25.630000,0.000000,41.040000,25.630000,3.770000,9.660000,273.050000

17,04:00-04:15,0,0,0,0,0,0,0,0,45.33,0,64,0,17.66,7.01,0,0,0,21.34,21.33,0,0,45.33,48.280000,0.000000,3.500000,0.000000,12.260000,206.230000,100.610000,16.110000,0.000000,66.240000,30.270000,57.580000,3.440000,0.000000,25.780000,0.000000,41.040000,25.780000,3.770000,9.660000,273.050000

18,04:15-04:30,0,0,0,0,0,0,0,0,44.33,0,63.5,0,17.34,7.01,0,0,0,21.16,21.17,0,0,44.33,48.280000,0.000000,3.500000,0.000000,12.260000,206.230000,100.610000,16.110000,0.000000,66.240000,30.270000,57.580000,3.440000,0.000000,25.780000,0.000000,41.040000,25.780000,3.770000,9.660000,273.050000

19,04:30-04:45,0,0,0,0,0,0,0,0,44.33,0,61.5,0,17,7.01,0,0,0,20.5,20.5,0,0,44.33,48.280000,0.000000,3.500000,0.000000,12.260000,206.230000,100.610000,16.110000,0.000000,66.240000,30.270000,36.700000,3.440000,0.000000,26.410000,0.000000,41.040000,26.410000,3.770000,9.660000,273.050000

