Column1,Time,NR/01102023/31052040/LT-31,GNA/NR/2024/12/01/1475,GNA/NR/2024/12/01/2197,NR/01102023/31102037/L_NR_2019_11,NR/01102023/30042040/GNA_LT_35,NR/01102023/22052037/LT-59,NR/01102023/06022042/L_NR_2012_07,NR/01102023/06022042/L_NR_2012_02,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/30092023/26122029/SH-06,NR/01102023/15082037/GNA_NR_2012_01,GNA/WR/2024/10/15/7089,GNA/WR/2024/11/01/4200,NR/01102023/19072037/LT-05,GNA/SR/2024/12/01/6968,GNA/NR/2024/12/01/1766,NR/30092023/31122025/SH-07,GNA/NR/2024/12/01/3428,GNA/NR/2024/12/01/1899,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/01102023/30042040/GNA_LT_36,GNA/NR/2024/12/01/7739,NR/01102023/05012040/L_NR_2020_02,GNA/NR/2024/12/01/1599,NR/01082024/19092033/Chanju/TPDDL/01082024,SR/01102023/07102043/L_NR_2018_61,NR/26072023/25122043/L_NR_2023_10,NR/01102023/25072045/L_NR_2021_15,NR/26072023/31072042/L_NR_2023_07,NR/22102023/11042047/L_NR_2021_16,NR/22102023/11042047/L_NR_2021_17,NR/01102023/13082046/L_NR_2021_12,NR/01102023/08032047/L_NR_2021_14,NR/01102023/02122045/L_NR_2021_13,WR/01102023/24112044/L_NR_2020_07,WR/01102023/31032046/L_NR_2020_05,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/29112042/L_NR_2019_05,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/30052048/L_NR_2022_10,WR/01102023/16072048/L_NR_2022_08,WR/01102023/01102023/L_NR_2020_06,WR/01102023/01102023/L_NR_2022_09,L_NR_2019_19
1,00:00-00:15,0,25.9,25.9,1.45,0,1.01,57.27,130.22,25.23,0,71.95,0,0,0,150,25.9,0,8.63,8.63,0,0,31.71,1.61,95.13,2.2,10,0,0,0,0,0,0,0,0,6.67,19.99,0,0,0,13.34,6.67,6.67,13.33,0

2,00:15-00:30,0,25.9,25.9,1.45,0,1.01,57.27,130.22,25.23,0,62.35,0,0,0,150,25.9,0,8.63,8.63,0,0,31.71,1.61,95.13,2.2,10.8,0,0,0,0,0,0,0,0,6.67,19.99,0,0,0,14.34,6.67,6.67,14.33,0

3,00:30-00:45,0,25.9,25.9,1.45,0,1.01,57.27,130.22,25.74,0,62.35,0,0,0,150,25.9,0,8.63,8.63,0,0,31.71,1.61,95.13,2.2,11,0,0,0,0,0,0,0,0,6.67,19.99,0,0,0,13.34,6.67,6.67,13.33,0

4,00:45-01:00,0,25.9,25.9,1.45,0,1.01,57.27,130.22,25.74,0,62.35,0,0,0,150,25.9,0,8.63,8.63,0,0,31.71,1.61,95.13,2.2,10.8,0,0,0,0,0,0,0,0,6.67,19.99,0,0,0,13.34,6.67,6.67,13.33,0

5,01:00-01:15,0,25.9,25.9,1.37,0,1.01,57.27,65.23,25.74,0,62.35,0,0,0,150,25.9,0,8.63,8.63,0,0,31.71,1.61,95.13,2.2,9,0,0,0,0,0,0,0,0,6.67,19.99,0,0,0,13.34,6.67,6.67,13.33,0

6,01:15-01:30,0,25.9,25.9,1.37,0,1.01,57.27,65.23,25.74,0,62.35,0,0,0,150,25.9,0,8.63,8.63,0,0,31.71,1.61,95.13,2.2,9,0,0,0,0,0,0,0,0,6.67,19.99,0,0,0,13.34,6.67,6.67,13.33,0

7,01:30-01:45,0,25.9,25.9,1.37,0,1.01,57.27,65.23,25.74,0,62.35,0,0,0,150,25.9,0,8.63,8.63,0,0,31.71,1.61,95.13,2.2,8.6,0,0,0,0,0,0,0,0,6.67,19.99,0,0,0,13.34,6.67,6.67,13.33,0

8,01:45-02:00,0,25.9,25.9,1.37,0,1.01,57.27,65.23,25.74,0,62.35,0,0,0,150,25.9,0,8.63,8.63,0,0,31.71,1.61,95.13,2.2,8.2,0,0,0,0,0,0,0,0,6.67,19.99,0,0,0,13.34,6.67,6.67,13.33,0

9,02:00-02:15,0,25.9,25.9,1.37,0,1.01,57.27,65.23,25.74,0,52.76,0,0,0,150,25.9,0,8.63,8.63,0,0,31.71,1.61,95.13,2.2,7.6,0,0,0,0,0,0,0,0,6.67,19.99,0,0,0,13.34,6.67,6.67,13.33,0

10,02:15-02:30,0,25.9,25.9,1.37,0,1.01,57.27,65.23,25.74,0,52.76,0,0,0,150,25.9,0,8.63,8.63,0,0,31.71,1.61,95.13,2.2,7.4,0,0,0,0,0,0,0,0,6.67,19.99,0,0,0,13.34,6.67,6.67,13.33,0

11,02:30-02:45,0,25.9,25.9,1.37,0,1.01,57.27,65.23,25.74,0,52.76,0,0,0,150,25.9,0,8.63,8.63,0,0,31.71,1.61,95.13,2.2,7.4,0,0,0,0,0,0,0,0,6.67,19.99,0,0,0,13.34,6.67,6.67,13.33,0

