Block,Time,ANTA_LF,DADRT2,RAPPB,URI2,CHAMERA1,UNCHAHAR4,URI,CHAMERA2,BSIUL,KOLDAM,ANTA_GF,NAPP,UNCHAHAR3,ANTA_CRF,TANDA2,JHAJJAR,AURY_RF,SALAL,DADRI_GF,UNCHAHAR1,KOTESHWR,RAPPC,AURY_LF,AURY_GF,PARBATI3,DADRI_LF,RAMPUR,KISHANGANGA,NJPC,DULHASTI,TEHRI,DADRI_CRF,AURY_CRF,ANTA_RF,DHAULIGNGA,RIHAND2,UNCHAHAR2,SEWA2,SINGRAULI,SINGRAULI_HYDRO,RIHAND1,RIHAND3,CHAMERA3,TANAKPUR,DADRI_RF,KUDGI,BRBCL,FSTPP I & II,TALA,KHSTPP-I,SASAN,KHSTPP-II,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0.000000,664.322252,0.000000,31.749572,27.179892,0.000000,45.919666,38.218139,6.307570,0.000000,0.000000,18.078837,17.217553,10.282979,0.000000,625.195783,0.000000,83.176192,0.000000,13.745720,25.751461,49.345649,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,147.939346,47.819981,43.876728,11.870706,14.509500,0.000000,35.395151,114.262312,41.003944,5.028703,134.754563,1.017745,88.991600,119.621759,18.722749,12.886758,0.000000,20.30,15.931094,12.861027,22.750896,42.861063,403.726838,142.445469,0,0,0,0,0

2,00:15-00:30,0.000000,664.322252,0.000000,31.749572,13.589946,0.000000,45.919666,38.218139,6.307570,0.000000,0.000000,18.078837,17.217553,10.282979,0.000000,625.195783,0.000000,83.176192,0.000000,13.745720,25.751461,49.345649,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,147.939346,47.819981,43.876728,11.870706,14.509500,0.000000,35.395151,114.262312,41.003944,5.028703,134.754563,1.017745,88.991600,119.621759,18.722749,12.886758,0.000000,9.67,15.520985,12.861027,22.750896,42.861063,403.726838,142.445469,0,0,0,0,0

3,00:30-00:45,0.000000,664.322252,0.000000,31.749572,0.000000,0.000000,19.222186,38.218139,6.307570,0.000000,0.000000,18.078837,17.217553,1.366428,0.000000,625.195783,0.000000,83.176192,0.000000,13.745720,25.751461,49.345649,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,147.939346,47.819981,43.876728,1.734254,1.648806,0.000000,35.395151,114.262312,41.003944,5.028703,134.754563,1.017745,88.991600,119.621759,18.722749,12.886758,0.000000,9.67,15.477502,12.861027,22.750896,42.861063,403.726838,142.445469,0,0,0,0,0

4,00:45-01:00,0.000000,664.322252,0.000000,31.749572,0.000000,0.000000,19.222186,38.218139,6.307570,0.000000,0.000000,18.078837,17.217553,0.000000,0.000000,625.195783,0.000000,83.176192,0.000000,13.745720,25.751461,49.345649,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,147.939346,47.819981,43.876728,0.000000,0.000000,0.000000,35.395151,114.262312,41.003944,5.028703,134.754563,1.017745,88.991600,119.621759,18.722749,12.886758,0.000000,9.67,16.629036,12.861027,22.750896,42.861063,403.726838,142.445469,0,0,0,0,0

5,01:00-01:15,0.000000,664.322252,0.000000,19.518179,0.000000,0.000000,21.357984,38.218139,6.307570,0.000000,0.000000,18.078837,17.217553,0.000000,0.000000,625.195783,0.000000,83.176192,0.000000,13.745720,25.751461,49.345649,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,147.939346,47.819981,43.876728,0.000000,0.000000,0.000000,35.395151,114.262312,41.003944,5.028703,134.754563,1.017745,88.991600,119.621759,18.722749,12.886758,0.000000,9.67,15.408898,12.861027,22.750896,42.861063,403.726838,142.445469,0,0,0,0,0

6,01:15-01:30,0.000000,618.532343,0.000000,19.518179,0.000000,0.000000,21.357984,38.218139,6.307570,0.000000,0.000000,18.078837,17.217553,0.000000,0.000000,625.195783,0.000000,83.176192,0.000000,13.745720,25.751461,49.345649,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,147.939346,47.819981,43.876728,0.000000,0.000000,0.000000,35.395151,114.262312,41.003944,5.028703,134.754563,1.017745,88.991600,119.621759,18.722749,12.886758,0.000000,9.67,15.700061,12.861027,25.594758,42.861063,403.726838,142.445469,0,0,0,0,0

7,01:30-01:45,0.000000,495.491783,0.000000,19.518179,0.000000,0.000000,21.357984,38.218139,6.307570,0.000000,0.000000,18.078837,14.770868,0.000000,0.000000,582.450699,0.000000,83.176192,0.000000,10.768854,25.751461,49.345649,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,147.939346,47.819981,43.876728,0.000000,0.000000,0.000000,35.395151,114.262312,41.003944,5.028703,134.754563,1.017745,88.991600,119.621759,18.722749,12.886758,0.000000,9.67,14.530065,12.861027,25.594758,42.861063,403.726838,142.445469,0,0,0,0,0

