Block,Time,URI,URI2,RIHAND1,RIHAND2,SALAL,SEWA2,SINGRAULI,TANAKPUR,TANDA2,UNCHAHAR1,UNCHAHAR2,UNCHAHAR3,SINGRAULI_HYDRO,RIHAND3,TEHRI,UNCHAHAR4,KOTESHWR,NAPP,NJPC,RAMPUR,RAPPC,CHAMERA1,CHAMERA2,DADRT2,DHAULIGNGA,JHAJJAR,KISHANGANGA,DULHASTI,RAPPB,BSIUL,CHAMERA3,PARBATI3,KOLDAM,ANTA_GF,ANTA_RF,ANTA_LF,ANTA_CRF,DADRI_GF,DADRI_RF,DADRI_LF,DADRI_CRF,AURY_GF,AURY_RF,AURY_LF,AURY_CRF,TALST2,VALLURNTECL,NTPL,NLCIIST2,NLCTS2EXP,NNTPP,KGSU1AND2,KGSU3AND4,KKNP,KKNPPU2,SIMHST2,RSTPSU1TO6,RSTPSU7,SIMHST1,KUDGI,MAPS,NLCEXP,NLCIIST1,TALA,FSTPP I & II,BRBCL,KHSTPP-I,KHSTPP-II,VSTPS I,VSTPS II,VSTPS III,VSTPS IV,VSTPS V,LARA-I,MOUDA,SIPAT I,SIPAT II,SOLAPUR,MOUDA_II,TAPS-II,SASAN,GADARWARA-I,KHARGONE-I,KSTPS I&II,KSTPS7,KAPS,GANDHAR-APM,GANDHAR-NAPM,GANDHAR-RLNG,GANDHAR-ComGas,KAWAS-APM,KAWAS-NAPM,KAWAS-RLNG,KAWAS-zLIQ,KAWAS-ComGas
1,00:00-00:15,50.784,35.944935,79.966942,120.694688,39.508,17.179062,144.026761,1.281,2.525983,22.193777,43.545976,26.963602,1.055068,126.520838,31.370567,1.492324,26.13859,44.150584,20.475526,0.395742,59.447069,28.045,43.63516,344.673159,0,661.459879,2.551476,53.905351,0,19.8,31.709733,0,0,0,6.41457,36.737993,0,0,6.080756,54.726808,0,0,73.287535,0,0,3.03,2.38,1.89,0.41,0.87,0.17,1.99,2.18,1.6,0,0.39,7.86,1.94,0,9.33,0.25,1.73,0.74,0,18.140334,15.00135,34.79931,147.515625,2.395424,1.942962,1.959684,2.683688,1.327531,4.258125,1.938103,5.313701,1.870228,3.542468,1.755846,1.371098,348.975,4.2939,3.542466,2.969334,1.341844,0.82956,0,0,0.001858,0.021924,0,0,0.002557,0,0.018058

2,00:15-00:30,50.784,35.944935,79.966942,120.694688,39.508,17.179062,144.026761,1.281,2.525983,22.193777,43.545976,26.963602,1.055068,126.520838,31.370567,1.492324,26.13859,44.150584,0,0,59.447069,28.045,43.63516,344.673159,0,661.459879,2.551476,53.905351,0,19.8,31.709733,0,0,0,6.41457,36.737993,0,0,6.080756,54.726808,0,0,73.287535,0,0,3.03,2.38,1.89,0.41,0.87,0.17,1.99,2.18,1.6,0,0.39,7.86,1.94,0,9.33,0.25,1.73,0.74,0,18.140334,15.00135,34.79931,147.515625,2.395424,1.942962,1.959684,2.683688,1.327531,4.258125,1.938103,5.313701,1.870228,3.542468,1.755846,1.371098,348.975,4.2939,3.542466,2.969334,1.341844,0.82956,0,0,0.001858,0.021924,0,0,0.002557,0,0.018058

3,00:30-00:45,50.784,35.944935,79.966942,120.694688,39.508,17.179062,144.026761,1.281,2.525983,20.904656,43.545976,26.963602,1.055068,126.520838,31.370567,1.427606,26.13859,44.150584,0,0,59.447069,28.045,43.63516,344.673159,0,661.459879,2.551476,53.905351,0,19.8,31.709733,0,0,0,6.41457,36.737993,0,0,6.080756,54.726808,0,0,73.287535,0,0,3.03,2.38,1.89,0.41,0.87,0.17,1.99,2.18,1.6,0,0.49,7.86,1.94,0,9.33,0.25,1.73,0.74,0,18.140334,15.00135,33.385,152.393475,2.395424,1.942962,1.959684,2.683688,1.327531,4.258125,1.938103,5.313701,1.870228,3.542468,1.755846,1.371098,348.975,4.2939,3.542466,2.969334,1.341844,0.82956,0,0,0.001858,0.021924,0,0,0.002557,0,0.018058

4,00:45-01:00,52.992,35.944935,79.966942,120.694688,39.508,17.179062,144.026761,1.281,2.525983,20.904656,43.545976,26.963602,1.055068,126.520838,31.370567,1.427606,26.13859,44.150584,0,0,59.447069,28.045,43.63516,344.673159,0,661.459879,2.551476,53.905351,0,19.8,21.118518,0,0,0,6.41457,36.737993,0,0,6.080756,54.726808,0,0,73.287535,0,0,3.03,2.38,1.89,0.41,0.87,0.17,1.99,2.18,1.6,0,0.49,7.86,1.94,0,9.33,0.25,1.73,0.74,0,18.140334,15.00135,33.385,152.393475,2.395424,1.942962,1.959684,2.683688,1.327531,4.258125,1.938103,5.313701,1.870228,3.542468,1.755846,1.371098,348.975,4.2939,3.542466,2.969334,1.341844,0.82956,0,0,0.001858,0.021924,0,0,0.002557,0,0.018058

5,01:00-01:15,52.992,35.944935,79.966942,120.694688,83.664,17.179062,144.026761,1.1529,2.525983,20.904656,43.545976,26.963602,1.055068,126.520838,31.370567,1.427606,17.425726,44.150584,0,0,59.447069,13.983,43.63516,344.673159,0,661.459879,2.551476,53.905351,0,19.8,21.118518,0,0,0,6.41457,37.904279,0,0,6.080756,54.726808,0,0,73.287535,0,0,3.03,2.38,1.89,0.41,0.87,0.17,1.99,2.18,1.6,0,0.49,7.86,1.94,0,9.33,0.25,1.75,0.74,0,18.140334,15.00135,33.385,152.393475,2.395424,1.942962,1.959684,2.683688,1.327531,4.258125,1.938103,5.313701,1.870228,3.542468,1.755846,1.800632,348.975,4.2939,3.542466,2.969334,1.341844,0.82956,0,0,0.001858,0.021924,0,0,0.002557,0,0.018058

