Block,Time,UNCHAHAR3,CHAMERA3,KOLDAM,UNCHAHAR2,SALAL,RAPPC,TEHRI,NJPC,RIHAND1,BSIUL,KISHANGANGA,RIHAND2,ANTA_RF,RIHAND3,SINGRAULI_HYDRO,ANTA_CRF,UNCHAHAR1,UNCHAHAR4,SEWA2,DADRT2,TANAKPUR,RAPPB,AURY_RF,DADRI_LF,PARBATI3,URI2,AURY_CRF,SINGRAULI,DADRI_CRF,DADRI_GF,URI,DULHASTI,NAPP,ANTA_GF,JHAJJAR,TANDA2,CHAMERA2,CHAMERA1,RAMPUR,DADRI_RF,KOTESHWR,ANTA_LF,AURY_LF,AURY_GF,DHAULIGNGA,KHSTPP-I,BRBCL,KUDGI,KHSTPP-II,FSTPP I & II,SASAN,TALA,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,13.218010,0.000000,0.000000,33.541457,0.000000,48.963096,41.323464,0.000000,88.743200,0.000000,0.000000,113.943375,0.000000,119.287862,0.867282,0.000000,10.543174,0.000000,15.244585,279.734000,11.985830,0.000000,11.671660,0.000000,0.000000,31.271676,0.000000,100.288256,0.000000,0.000000,45.791491,0.000000,38.117134,0.000000,316.388800,0.000000,0.000000,41.149836,0.000000,0.000000,5.706574,0.000000,0.000000,0.000000,35.296354,25.059247,17.385565,33.50,114.526186,14.224667,399.344400,28.359240,0,0,0,0,0

2,00:15-00:30,13.218010,0.000000,0.000000,33.541457,0.000000,48.963096,41.323464,0.000000,88.743200,0.000000,0.000000,113.943375,0.000000,119.287862,0.867282,0.000000,10.543174,0.000000,15.244585,221.858000,11.985830,0.000000,11.671660,0.000000,0.000000,31.271676,0.000000,100.288256,0.000000,0.000000,45.791491,0.000000,38.117134,0.000000,316.388800,0.000000,0.000000,41.149836,0.000000,0.000000,5.706574,0.000000,0.000000,0.000000,35.296354,25.059247,15.371383,30.70,114.526186,14.224667,399.344400,28.359240,0,0,0,0,0

3,00:30-00:45,13.218010,0.000000,0.000000,33.541457,0.000000,48.963096,32.998001,0.000000,88.743200,0.000000,0.000000,113.943375,0.000000,119.287862,0.867282,0.000000,10.543174,0.000000,15.244585,221.858000,11.985830,0.000000,11.671660,0.000000,0.000000,31.271676,0.000000,100.288256,0.000000,0.000000,45.791491,0.000000,38.117134,0.000000,316.388800,0.000000,0.000000,41.149836,0.000000,0.000000,5.706574,0.000000,0.000000,0.000000,35.296354,25.059247,15.371383,30.70,114.526186,14.224667,399.344400,28.359240,0,0,0,0,0

4,00:45-01:00,13.218010,0.000000,0.000000,33.541457,0.000000,48.963096,21.998668,0.000000,88.743200,0.000000,0.000000,113.943375,0.000000,119.287862,0.867282,0.000000,10.543174,0.000000,15.244585,221.858000,11.985830,0.000000,11.671660,0.000000,0.000000,31.271676,0.000000,100.288256,0.000000,0.000000,45.791491,0.000000,38.117134,0.000000,316.388800,0.000000,0.000000,41.149836,0.000000,0.000000,5.706574,0.000000,0.000000,0.000000,35.296354,25.059247,15.371383,27.92,114.526186,14.224667,399.344400,28.359240,0,0,0,0,0

5,01:00-01:15,13.218010,0.000000,0.000000,33.541457,0.000000,48.963096,21.998668,0.000000,62.916614,0.000000,0.000000,113.943375,0.000000,119.287862,0.867282,0.000000,10.543174,0.000000,15.244585,221.858000,11.985830,0.000000,0.000000,0.000000,0.000000,30.768215,0.000000,100.288256,0.000000,0.000000,45.791491,0.000000,38.117134,0.000000,316.388800,0.000000,0.000000,41.149836,0.000000,0.000000,5.706574,0.000000,0.000000,0.000000,35.296354,25.059247,15.371383,27.01,114.526186,14.224667,399.344400,28.359240,0,0,0,0,0

