Block,Time,DADRT2,DULHASTI,KOLDAM,NLCEXP,PARBATI3,RIHAND1,RSTPSU1TO6,SASAN,SEWA2,SIMHST1,TANAKPUR,DADRI_GF,KHSTPP-II,NLCTS2EXP,RAPPC,SINGRAULI_HYDRO,TALST2,VALLURNTECL,AURY_GF,BRBCL,DHAULIGNGA,KGSU3AND4,NAPP,NLCIIST2,RAMPUR,RAPPB,RIHAND2,RIHAND3,SINGRAULI,TALA,UNCHAHAR4,NJPC,UNCHAHAR1,URI2,KHSTPP-I,KKNPPU2,MAPS,SIMHST2,TEHRI,TelanganaSTPP,URI,ANTA_RF,AURY_CRF,AURY_LF,AURY_RF,DADRI_LF,CHAMERA1,JHAJJAR,KUDGI,NNTPP,UNCHAHAR3,BSIUL,CHAMERA2,FSTPP I & II,KISHANGANGA,KKNP,NLCIIST1,NTPL,RSTPSU7,SALAL,TANDA2,ANTA_CRF,ANTA_LF,DADRI_CRF,DADRI_RF,CHAMERA3,KGSU1AND2,KOTESHWR,UNCHAHAR2,ANTA_GF
1,00:00-00:15,683.14,0,0,0,0,92,0,264.38,0,0,3.2,0,98.87,0,54.06,0,0,0,0,20,0,0,41.76,0,0,0,118.76,124.32,139.68,0,0,0,20.56,18.83,45.22,0,0,0,0,0,26.49,29.93,0,0,70.59,23.56,0,654.31,0,0,26.39,0,0,11.7,0,0,0,0,0,1.4,0,0,0,0,67.95,0,0,8.87,42.4,0

2,00:15-00:30,683.14,0,0,0,0,92,0,275.62,0,0,8.33,0,98.87,0,54.06,0,0,0,0,20,0,0,41.76,0,0,0,118.76,124.32,139.68,0,0,0,20.56,18.83,45.22,0,0,0,0,0,26.49,29.93,0,0,70.59,23.56,0,654.31,0,0,26.39,0,0,11.7,0,0,0,0,0,1.4,0,0,0,0,67.95,0,0,8.87,42.4,0

3,00:30-00:45,683.14,0,0,0,0,92,0,292.5,0,0,8.33,0,98.87,0,54.06,0,0,0,0,20,0,0,41.76,0,0,0,118.76,124.32,139.68,0,0,0,20.56,18.83,45.22,0,0,0,0,0,26.49,29.93,0,0,70.59,23.56,0,654.31,0,0,26.39,0,0,11.7,0,0,0,0,0,1.4,0,0,0,0,67.95,0,0,8.87,42.4,0

4,00:45-01:00,683.14,0,0,0,0,92,0,303.75,0,0,2.56,0,98.87,0,54.06,0,0,0,0,20,0,0,41.76,0,0,0,118.76,124.32,139.68,0,0,0,20.56,18.83,45.22,0,0,0,0,0,1.33,29.93,0,0,70.59,23.56,0,654.31,0,0,26.39,0,0,11.7,0,0,0,0,0,1.4,0,0,0,0,67.95,0,0,8.87,42.4,0

5,01:00-01:15,683.14,0,0,0,0,92,0,320.62,0,0,2.56,0,98.87,0,54.06,0,0,0,0,20,0,0,41.76,0,0,0,118.76,124.32,139.68,0,0,0,20.56,18.83,45.22,0,0,0,0,0,1.33,29.93,0,0,70.59,23.56,0,654.31,0,0,26.39,0,0,11.7,0,0,0,0,0,1.4,0,0,0,0,67.95,0,0,8.87,42.4,0

6,01:15-01:30,683.14,0,0,0,0,92,0,331.88,0,0,2.56,0,98.87,0,54.06,0,0,0,0,20,0,0,41.76,0,0,0,118.76,124.32,139.68,0,0,0,20.56,18.83,45.22,0,0,0,0,0,1.33,29.93,0,0,70.59,23.56,0,654.31,0,0,26.39,0,0,11.7,0,0,0,0,0,1.4,0,0,0,0,67.95,0,0,8.87,42.4,0

7,01:30-01:45,683.14,0,0,0,0,92,0,331.88,0,0,2.56,0,98.87,0,54.06,0,0,0,0,20,0,0,41.76,0,0,0,118.76,124.32,139.68,0,0,0,20.56,4.44,45.22,0,0,0,0,0,1.33,29.93,0,0,70.59,23.56,0,654.31,0,0,26.39,0,0,11.7,0,0,0,0,0,1.4,0,0,0,0,67.95,0,0,8.87,42.4,0

8,01:45-02:00,683.14,0,0,0,0,92,0,331.88,0,0,2.56,0,98.87,0,54.06,0,0,0,0,20,0,0,41.76,0,0,0,118.76,124.32,139.68,0,0,0,20.56,4.44,45.22,0,0,0,0,0,1.33,29.93,0,0,70.59,23.56,0,654.31,0,0,26.39,0,0,11.7,0,0,0,0,0,1.4,0,0,0,0,67.95,0,0,8.87,42.4,0

