Block,Time,ANTA_LF,CHAMERA3,KOTESHWR,JHAJJAR,SEWA2,AURY_CRF,SALAL,URI2,CHAMERA1,DADRI_GF,UNCHAHAR1,KISHANGANGA,KOLDAM,UNCHAHAR4,RAPPC,RAPPB,SINGRAULI_HYDRO,RIHAND3,ANTA_GF,DADRI_LF,NAPP,CHAMERA2,AURY_GF,TANAKPUR,ANTA_RF,UNCHAHAR3,DADRI_RF,DADRT2,DULHASTI,BSIUL,SINGRAULI,TANDA2,RAMPUR,NJPC,UNCHAHAR2,PARBATI3,DADRI_CRF,SASAN,FSTPP I & II,KHSTPP-II,TALA,BRBCL,KHSTPP-I,RIHAND2,TEHRI,AURY_RF,ANTA_CRF,RIHAND1,URI,AURY_LF,DHAULIGNGA,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0.000000,33.660923,27.294924,457.049313,12.259727,0.000000,77.484019,36.617398,40.731905,0.000000,21.483072,0.732764,9.891175,1.439936,65.706388,0.000000,1.151137,123.100032,0.000000,0.000000,45.812429,46.870234,0.000000,8.046730,1.208000,26.130471,6.626743,662.192691,57.187109,12.603402,139.730761,5.178057,6.518867,173.915716,42.141442,4.128549,0.000000,329.928960,17.088851,143.317120,0.000000,14.497305,42.821184,117.398272,40.966138,0.000000,0.000000,91.282223,32.007168,0.000000,31.481990,0,0,0,0,0

2,00:15-00:30,0.000000,33.660923,27.294924,457.049313,12.259727,0.000000,77.484019,36.617398,40.731905,0.000000,21.483072,0.732764,9.891175,1.439936,65.706388,0.000000,1.151137,123.100032,0.000000,0.000000,45.812429,46.870234,0.000000,8.046730,0.000000,26.130471,0.000000,662.192691,57.187109,12.603402,139.730761,5.178057,6.518867,173.915716,42.141442,4.128549,0.000000,330.508800,17.088851,143.317120,0.000000,14.497305,42.821184,117.398272,40.966138,0.000000,0.000000,91.282223,32.007168,0.000000,31.481990,0,0,0,0,0

3,00:30-00:45,0.000000,33.660923,27.294924,457.049313,12.259727,0.000000,77.484019,36.617398,40.731905,0.000000,21.483072,0.732764,9.891175,1.439936,65.706388,0.000000,1.151137,123.100032,0.000000,0.000000,45.812429,46.870234,0.000000,8.046730,0.000000,26.130471,0.000000,662.192691,57.187109,12.603402,139.730761,5.178057,6.518867,173.915716,42.141442,4.128549,0.000000,330.508800,17.088851,143.317120,0.000000,14.497305,42.821184,117.398272,40.966138,0.000000,0.000000,91.282223,32.007168,0.000000,31.481990,0,0,0,0,0

4,00:45-01:00,0.000000,33.660923,27.294924,457.049313,12.259727,0.000000,77.484019,36.617398,40.731905,0.000000,21.483072,0.732764,9.891175,1.439936,65.706388,0.000000,1.151137,123.100032,0.000000,0.000000,45.812429,46.870234,0.000000,8.046730,0.000000,26.130471,0.000000,662.192691,57.187109,12.603402,139.730761,5.178057,6.518867,173.915716,42.141442,4.128549,0.000000,330.508800,17.088851,143.317120,0.000000,14.153600,42.821184,117.398272,40.966138,0.000000,0.000000,91.282223,32.007168,0.000000,31.481990,0,0,0,0,0

5,01:00-01:15,0.000000,33.660923,27.294924,457.049313,12.259727,0.000000,77.484019,36.617398,40.731905,0.000000,21.483072,0.732764,9.891175,1.439936,65.706388,0.000000,1.151137,123.100032,0.000000,0.000000,45.812429,46.870234,0.000000,8.046730,0.000000,26.130471,0.000000,662.192691,57.187109,12.603402,139.730761,5.178057,6.518867,173.915716,42.141442,4.128549,0.000000,330.508800,17.088851,143.317120,0.000000,11.777400,42.821184,117.398272,40.966138,0.000000,0.000000,91.282223,32.007168,0.000000,31.481990,0,0,0,0,0

