Block,Time Block,BRBCL,BSIUL,CHAMERA1,CHAMERA2,CHAMERA3,DHAULIGNGA,DADRT2,FSTPP I & II,DULHASTI,JHAJJAR,KGSU1AND2,KGSU3AND4,KHSTPP-I,KHSTPP-II,KOLDAM,KKNP,KKNPPU2,KISHANGANGA,KOTESHWR,KUDGI,MAPS,NAPP,NJPC,NLCEXP,NLCIIST1,NLCIIST2,NNTPP,NTPL,NLCTS2EXP,PARBATI3,RAPPB,RAMPUR,RAPPC,RSTPSU1TO6,RIHAND3,RIHAND2,RIHAND1,SIMHST1,RSTPSU7,SALAL,SEWA2,SASAN,SINGRAULI_HYDRO,SIMHST2,SINGRAULI,TANAKPUR,TALST2,TALA,TEHRI,TANDA2,TelanganaSTPP,UNCHAHAR1,UNCHAHAR3,UNCHAHAR4,UNCHAHAR2,URI,VALLURNTECL,URI2,AURY_CRF,ANTA_CRF,ANTA_RF,ANTA_LF,AURY_GF,ANTA_GF,DADRI_LF,DADRI_RF,AURY_LF,DADRI_GF,DADRI_CRF,AURY_RF,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,19.38,12.63,27.23,42.84,31.08,0,657.81,20.15,52.12,391.85,0,0,32.64,95.8,5.18,0,0,4.19,9.36,0,0,43.23,161.9,0,0,0,0,0,0,17.01,0,3.43,58.65,0,123.63,117.92,55.82,0,0,81.07,16.83,381.5,0,0,98.12,8.44,0,6.84,34.34,1.49,0,19.92,24.66,0,39.84,45.99,0,34.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

2,00:15-00:30,19.38,12.63,27.23,42.84,31.08,0,657.81,20.15,52.12,391.85,0,0,32.64,95.8,5.18,0,0,4.19,9.36,0,0,43.23,161.9,0,0,0,0,0,0,17.01,0,3.43,58.65,0,123.63,117.92,55.82,0,0,81.07,16.83,381.5,0,0,98.12,8.44,0,6.84,34.34,1.49,0,19.92,25,0,39.84,45.99,0,34.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

3,00:30-00:45,18.09,12.63,27.23,42.84,31.08,0,657.81,20.15,52.12,391.85,0,0,32.64,95.8,5.18,0,0,4.19,9.36,0,0,43.23,161.9,0,0,0,0,0,0,17.01,0,3.43,58.65,0,123.63,117.92,55.82,0,0,81.07,16.83,381.5,0,0,98.12,8.44,0,6.04,34.34,1.49,0,19.92,25,0,39.84,41.71,0,34.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

4,00:45-01:00,14.9,12.63,27.23,42.84,31.08,0,657.81,20.15,52.12,340.3,0,0,32.64,95.8,5.18,0,0,4.19,9.36,0,0,43.23,161.9,0,0,0,0,0,0,17.01,0,3.43,58.65,0,123.63,117.92,55.82,0,0,81.07,16.83,381.5,0,0,98.12,8.44,0,6.09,34.34,1.49,0,19.92,25,0,39.84,41.71,0,34.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

5,01:00-01:15,13.54,12.63,40.84,42.84,31.08,0,657.81,20.15,52.12,236.18,0,0,32.64,95.8,5.18,0,0,4.19,9.36,0,0,43.23,161.9,0,0,0,0,0,0,14.98,0,3.43,58.65,0,123.63,117.92,38.88,0,0,81.07,16.83,381.5,0,0,98.12,8.44,0,6.13,34.34,1.49,0,19.92,25,0,41.07,41.71,0,34.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

6,01:15-01:30,13.68,12.63,40.84,42.84,31.08,0,657.81,20.15,52.12,168.52,0,0,32.64,95.8,5.18,0,0,4.19,9.36,0,0,43.23,161.9,0,0,0,0,0,0,14.98,0,3.43,58.65,0,123.63,117.92,38.88,0,0,81.07,16.83,381.5,0,0,98.12,8.44,0,6.04,34.34,1.49,0,19.92,25,0,41.07,45.99,0,34.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

7,01:30-01:45,13.09,6.32,40.84,42.84,31.08,0,657.81,20.15,52.12,168.52,0,0,32.64,95.8,5.18,0,0,4.19,9.36,0,0,43.23,161.9,0,0,0,0,0,0,14.98,0,3.43,58.65,0,123.63,117.92,38.88,0,0,81.07,16.83,381.5,0,0,98.12,8.44,0,2.62,34.34,1.49,0,19.92,25,0,41.07,45.99,0,34.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

8,01:45-02:00,11.52,6.32,40.84,42.84,31.08,0,657.81,20.15,52.12,137.52,0,0,32.64,95.8,5.18,0,0,4.19,9.36,0,0,43.23,161.9,0,0,0,0,0,0,14.98,0,3.43,58.65,0,123.63,117.92,38.88,0,0,81.07,16.83,381.5,0,0,98.12,8.44,0,2.67,34.34,1.49,0,19.92,25,0,41.07,45.99,0,34.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

9,02:00-02:15,12.56,6.32,40.84,42.84,31.08,0,657.81,20.15,52.12,137.52,0,0,32.64,95.8,5.18,0,0,4.19,9.36,0,0,43.23,161.9,0,0,0,0,0,0,14.98,0,3.43,58.65,0,123.63,117.92,38.88,0,0,81.07,16.83,367.33,0,0,98.12,8.44,0,2.67,34.34,1.49,0,17.37,21.47,0,35.4,41.71,0,34.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

10,02:15-02:30,14.27,6.32,40.84,42.84,31.08,0,657.81,20.15,52.12,137.52,0,0,32.64,95.8,4.7,0,0,4.19,9.36,0,0,43.23,161.9,0,0,0,0,0,0,14.98,0,3.43,58.65,0,123.63,117.92,38.88,0,0,81.07,16.83,367.33,0,0,98.12,8.44,0,2.67,34.34,1.49,0,17.37,21.47,0,35.4,41.71,0,34.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

11,02:30-02:45,14.53,6.32,40.84,42.84,31.08,0,657.81,20.15,52.12,137.52,0,0,32.64,95.8,4.7,0,0,4.19,9.36,0,0,43.23,161.9,0,0,0,0,0,0,14.98,0,3.43,58.65,0,59.03,117.92,38.88,0,0,81.07,16.83,367.33,0,0,98.12,8.44,0,2.73,34.34,1.49,0,17.37,21.47,0,35.4,41.71,0,34.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

12,02:45-03:00,14.54,6.32,40.84,42.84,31.08,0,657.81,20.15,52.12,137.52,0,0,32.64,95.8,4.7,0,0,4.19,9.36,0,0,43.23,161.9,0,0,0,0,0,0,14.98,0,3.43,58.65,0,59.03,117.92,38.88,0,0,81.07,16.83,367.33,0,0,98.12,8.44,0,2.65,34.34,1.49,0,17.37,21.47,0,35.4,45.99,0,34.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

13,03:00-03:15,13.26,6.32,40.84,42.84,31.08,0,657.81,20.15,52.12,137.52,0,0,32.64,95.8,4.7,0,0,4.19,9.36,0,0,43.23,161.9,0,0,0,0,0,0,14.98,0,3.43,58.65,0,59.03,117.92,38.88,0,0,77.12,16.83,367.33,0,0,98.12,8.07,0,2.73,34.34,1.49,0,17.37,22.04,0,35.4,45.99,0,31.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

14,03:15-03:30,14.1,6.32,27.23,42.84,31.08,0,603.69,20.15,52.12,137.52,0,0,32.64,95.8,4.7,0,0,4.19,9.36,0,0,43.23,161.9,0,0,0,0,0,0,14.98,0,3.43,58.65,0,59.03,117.92,38.88,0,0,77.12,16.83,367.33,0,0,98.12,8.07,0,2.73,34.34,1.49,0,17.37,22.04,0,35.4,45.99,0,31.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

15,03:30-03:45,14.18,6.32,27.23,42.84,31.08,0,646.38,20.15,52.12,137.52,0,0,32.64,95.8,4.7,0,0,4.19,9.36,0,0,43.23,161.9,0,0,0,0,0,0,14.98,0,3.43,58.65,0,59.03,117.92,38.88,0,0,77.12,16.83,294.3,0,0,98.12,8.07,0,4.01,34.34,1.49,0,17.37,22.04,0,35.4,41.71,0,31.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

16,03:45-04:00,17.15,6.32,27.23,42.84,31.08,0,657.81,20.15,52.12,137.52,0,0,32.64,95.8,4.7,0,0,4.19,9.36,0,0,43.23,161.9,0,0,0,0,0,0,14.98,0,3.43,58.65,0,59.03,117.92,38.88,0,0,77.12,16.83,294.3,0,0,98.12,8.07,0,3.88,34.34,1.49,0,17.37,22.04,0,35.4,41.71,0,31.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

17,04:00-04:15,19.38,6.32,27.23,42.84,20.71,0,657.81,20.15,52.12,137.52,0,0,32.64,95.8,4.7,0,0,4.19,9.36,0,0,43.23,161.9,0,0,0,0,0,0,14.98,0,3.43,58.65,0,59.03,117.92,38.88,0,0,77.12,16.83,294.3,0,0,98.12,8.07,0,3.88,34.34,1.49,0,17.37,22.04,0,35.4,41.71,0,31.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

18,04:15-04:30,19.38,6.32,27.23,42.84,20.71,0,657.81,20.15,52.12,137.52,0,0,32.64,95.8,4.7,0,0,4.19,9.36,0,0,43.23,161.9,0,0,0,0,0,0,14.98,0,3.43,58.65,0,59.03,117.92,38.88,0,0,77.12,16.83,294.3,0,0,98.12,8.07,0,3.88,34.34,1.49,0,17.37,22.04,0,35.4,41.71,0,31.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

19,04:30-04:45,19.38,6.32,27.23,30.36,20.71,0,657.81,20,52.12,137.52,0,0,32.64,95.8,4.7,0,0,4.19,9.36,0,0,43.23,161.9,0,0,0,0,0,0,14.98,0,3.43,58.65,0,59.03,117.92,38.88,0,0,77.12,16.83,294.3,0,0,98.12,8.07,0,3.79,34.34,1.49,0,17.37,22.04,0,35.4,45.99,0,31.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

20,04:45-05:00,19.38,6.32,27.23,30.36,20.71,0,657.81,20,52.12,137.52,0,0,32.64,95.8,4.7,0,0,4.19,9.36,0,0,43.23,161.9,0,0,0,0,0,0,14.98,0,3.43,58.65,0,59.03,117.92,38.88,0,0,77.12,16.83,294.3,0,0,98.12,8.07,0,3.64,34.34,1.49,0,17.37,22.04,0,35.4,45.99,0,31.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

21,05:00-05:15,19.38,12.63,27.23,30.36,20.71,0,657.81,20,52.12,137.52,0,0,32.64,95.8,4.7,0,0,4.19,9.36,0,0,43.23,161.9,0,0,0,0,0,0,3.82,0,3.43,58.65,0,59.03,117.92,38.88,0,0,77.12,16.83,294.3,0,0,98.12,8.07,0,3.7,33.64,1.49,0,17.37,22.04,0,35.4,41.71,0,31.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

22,05:15-05:30,19.38,12.63,27.23,30.36,20.71,0,657.81,20,52.12,137.52,0,0,32.64,95.8,4.7,0,0,4.19,9.36,0,0,43.23,161.9,0,0,0,0,0,0,5.45,0,3.43,58.65,0,59.03,117.92,38.88,0,0,77.12,16.83,294.3,0,0,98.12,8.07,0,3.32,33.64,1.49,0,17.37,22.04,0,35.4,41.71,0,31.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

23,05:30-05:45,19.38,12.63,27.23,30.36,20.71,0,657.81,20,52.12,137.52,0,0,32.64,95.8,4.7,0,0,4.19,9.36,0,0,43.23,161.9,0,0,0,0,0,0,8.17,0,3.43,58.65,0,59.03,117.92,38.88,0,0,77.12,16.83,294.3,0,0,98.12,8.07,0,2.91,33.64,1.49,0,17.37,22.04,0,35.4,41.71,0,31.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

