Column1,Time,NR/22102023/11042047/L_NR_2021_16,NR/26072023/25122043/L_NR_2023_10,NR/01102023/02122045/L_NR_2021_13,NR/01102023/22052037/LT-59,NR/26072023/31072042/L_NR_2023_07,WR/01102023/01102023/L_NR_2020_06,WR/01102023/24112044/L_NR_2020_07,WR/01102023/30052048/L_NR_2022_10,WR/01102023/29112042/L_NR_2019_05,WR/01102023/01102023/L_NR_2022_09,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/16072048/L_NR_2022_08,GNARE/NR/2024/12/20/3668,WR/01102023/31032046/L_NR_2020_05,SR/01102023/07102043/L_NR_2018_61,NR/01102023/08032047/L_NR_2021_14,NR/01102023/13082046/L_NR_2021_12,NR/01102023/25072045/L_NR_2021_15,NR/01102023/05012040/L_NR_2020_02,GNA/NR/2025/01/01/8058,GNA/NR/2025/01/01/6775,NR/01102023/31102037/L_NR_2019_11,GNA/NR/2025/01/01/8738,GNA/NR/2025/01/01/3514,GNA/NR/2025/01/01/3925,GNA/NR/2025/01/01/5531,GNA/NR/2025/01/01/3733,NR/30092023/31122025/SH-07,GNA/NR/2025/01/02/1250,GNA/NR/2025/01/01/7459,GNA/WR/2025/01/01/8625,NR/01102023/06022042/L_NR_2012_07,NR/22102023/11042047/L_NR_2021_17,L_NR_2019_19,WR/01102023/29112042/RUMS(L_NR_2019_07),NR/01102023/30042040/GNA_LT_35,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/01/01/6528,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/01102023/27052033/DIAPL(L_NR_2023_04),GNA/WR/2024/11/01/4200,NR/01102023/19072037/LT-05,GNA/NR/2025/01/01/3945,NR/01102023/31052040/LT-31,NR/01102023/15082037/GNA_NR_2012_01,NR/01102023/30042040/GNA_LT_36,GNA/NR/2025/01/09/6952,GNA/WR/2025/01/01/9606,NR/30092023/26122029/SH-06,NR/01102023/06022042/L_NR_2012_02
1,00:00-00:15,0,0,0,0,0,7,7,17.34,0,17.33,0,7,0,21,10.8,0,0,0,1.47,26.77,28.68,1.06,47.8,19.12,47.8,28.68,20.07,0,47.8,28.68,0,59.1,0,0,0,0,1.46,8.6,116.62,25.24,0,65.59,28.68,0,99.59,0,0,0,27,81.69

2,00:15-00:30,0,0,0,0,0,7,7,17.66,0,17.67,0,7,0,21,10.4,0,0,0,1.47,26.77,28.68,1.06,47.8,19.12,47.8,28.68,20.07,0,47.8,28.68,0,59.1,0,0,0,0,1.46,8.6,116.62,25.24,0,65.59,28.68,0,99.59,0,0,0,27,65

3,00:30-00:45,0,0,0,0,0,7,7,14,0,14,0,7,0,21,10.2,0,0,0,1.47,26.77,28.68,1.06,47.8,19.12,47.8,28.68,20.07,0,47.8,28.68,0,59.1,0,0,0,0,1.46,8.6,116.62,25.24,0,65.59,28.68,0,99.59,0,0,0,27,76.47

4,00:45-01:00,0,0,0,0,0,7,7,14,0,14,0,7,0,21,9.8,0,0,0,1.47,26.77,28.68,1.06,47.8,19.12,47.8,28.68,20.07,0,47.8,28.68,0,59.1,0,0,0,0,1.46,8.6,116.62,25.73,0,65.59,28.68,0,99.59,0,0,0,27,71.69

5,01:00-01:15,0,0,0,0,0,7,7,14,0,14,0,7,0,21,13.01,0,0,0,1.47,26.77,25.81,1.06,47.8,19.12,47.8,28.68,20.07,0,47.8,25.81,0,59.1,0,0,0,0,1.46,8.6,116.62,26.24,0,65.59,25.81,0,99.59,0,0,0,27,71.69

6,01:15-01:30,0,0,0,0,0,7,7,14,0,14,0,7,0,21,12.61,0,0,0,1.47,26.77,25.81,1.06,47.8,19.12,47.8,28.68,20.07,0,47.8,25.81,0,59.1,0,0,0,0,1.46,8.6,116.62,26.24,0,65.59,25.81,0,99.59,0,0,0,27,65

7,01:30-01:45,0,0,0,0,0,7,7,14,0,14,0,7,0,21,12.01,0,0,0,1.47,26.77,25.81,1.06,47.8,19.12,47.8,28.68,20.07,0,47.8,25.81,0,59.1,0,0,0,0,1.46,8.6,116.62,26.24,0,65.59,25.81,0,99.59,0,0,0,27,70.74

8,01:45-02:00,0,0,0,0,0,7,7,14,0,14,0,7,0,21,11.61,0,0,0,1.47,26.77,25.81,1.06,47.8,19.12,47.8,28.68,20.07,0,47.8,25.81,0,59.1,0,0,0,0,1.46,8.6,116.62,25.73,0,65.59,25.81,0,99.59,0,0,0,27,69.78

9,02:00-02:15,0,0,0,0,0,7,7,14,0,14,0,7,0,21,11,0,0,0,1.47,26.77,25.81,1.06,47.8,19.12,47.8,28.68,20.07,0,47.8,25.81,0,59.1,0,0,0,0,1.46,8.6,116.62,25.73,0,65.59,25.81,0,99.59,0,0,0,27,69.78

