Block,Time,CHAMERA1,CHAMERA2,DADRT2,DHAULIGNGA,DULHASTI,JHAJJAR,KOLDAM,KOTESHWR,NAPP,RAMPUR,BSIUL,CHAMERA3,KISHANGANGA,RAPPB,NJPC,PARBATI3,RIHAND1,RIHAND3,SALAL,SINGRAULI,SINGRAULI_HYDRO,TANAKPUR,TEHRI,UNCHAHAR1,UNCHAHAR2,UNCHAHAR4,URI,URI2,RAPPC,RIHAND2,TANDA2,UNCHAHAR3,SEWA2,DADRI_GF,DADRI_RF,DADRI_LF,DADRI_CRF,ANTA_GF,ANTA_RF,ANTA_LF,ANTA_CRF,AURY_GF,AURY_RF,AURY_LF,AURY_CRF,TALST2,VALLURNTECL,NTPL,NLCIIST2,NLCTS2EXP,NNTPP,KGSU1AND2,KGSU3AND4,KKNP,KKNPPU2,SIMHST2,RSTPSU1TO6,RSTPSU7,SIMHST1,KUDGI,MAPS,NLCEXP,NLCIIST1,TALA,FSTPP I & II,BRBCL,KHSTPP-I,KHSTPP-II,TAPS-II,VSTPS V,VSTPS I,KSTPS7,SOLAPUR,GADARWARA-I,KSTPS I&II,SIPAT II,KHARGONE-I,SIPAT I,VSTPS IV,MOUDA_II,VSTPS III,MOUDA,VSTPS II,LARA-I,KAPS,SASAN,KAWAS-APM,KAWAS-NAPM,KAWAS-RLNG,KAWAS-zLIQ,KAWAS-ComGas,GANDHAR-APM,GANDHAR-NAPM,GANDHAR-RLNG,GANDHAR-ComGas
1,00:00-00:15,42.14808,29.001777,689.346319,0,35.813791,661.459879,1.063965,17.425726,45.567181,0.791484,19.6614,21.118518,2.551476,0,40.951052,0,94.319983,126.520837,36.022,113.980801,1.075357,5.8926,33.702163,22.710586,43.545976,1.427606,50.232,35.798817,59.738476,120.694688,2.525983,26.963602,17.179062,0,6.080757,92.427499,0,0,6.41457,34.405422,0,0,72.0861,0,0,3.03,1.9,3.78,0.42,0.96,0.22,2,2.18,1.62,0,1.85,7.95,1.94,0,9.33,0.25,1.75,0.81,0,20.73185,20.0018,46.39908,147.515625,1.361689,1.318423,2.314688,1.332638,3.518162,4.26444,2.688761,1.857394,3.518162,5.277245,2.665275,3.487597,1.946241,1.9248,1.929632,4.228905,1.103392,348.975,0,0,0.00254,0,0.017939,0,0,0.001846,0.021777

2,00:15-00:30,42.14808,29.001777,689.346319,0,35.813791,661.459879,0,17.425726,45.567181,0.395742,19.6614,21.118518,2.551476,0,20.475526,0,94.319983,126.520837,36.022,116.30694,1.075357,5.8926,33.702163,22.710586,43.545976,1.427606,50.232,35.798817,59.738476,120.694688,2.525983,26.963602,17.179062,0,6.080757,92.427499,0,0,6.41457,34.405422,0,0,72.0861,0,0,3.03,1.9,3.78,0.42,0.96,0.22,2,2.18,1.62,0,1.85,7.95,1.94,0,9.33,0.25,1.75,0.81,0,20.73185,20.0018,46.39908,147.515625,1.361689,1.318423,2.314688,1.332638,3.518162,4.26444,2.688761,1.857394,3.518162,5.277245,2.665275,3.487597,1.946241,1.9248,1.929632,4.228905,1.103392,348.975,0,0,0.00254,0,0.017939,0,0,0.001846,0.021777

3,00:30-00:45,42.14808,29.001777,689.346319,0,35.813791,661.459879,0,17.425726,45.567181,0.395742,19.6614,21.118518,2.551476,0,20.475526,0,94.319983,126.520837,36.022,119.408459,1.075357,5.8926,33.702163,22.710586,43.545976,1.427606,50.232,35.798817,59.738476,120.694688,2.525983,26.963602,17.179062,0,6.080757,92.427499,0,0,6.41457,34.405422,0,0,72.0861,0,0,3.03,1.9,3.78,0.42,0.87,0.22,2,2.18,1.62,0,1.85,7.95,1.94,0,9.33,0.25,1.75,0.81,0,20.73185,20.0018,46.39908,147.515625,1.361689,1.318423,2.314688,1.332638,3.518162,4.26444,2.688761,1.857394,3.518162,5.277245,2.665275,3.487597,1.946241,1.9248,1.929632,4.228905,1.103392,348.975,0,0,0.00254,0,0.017939,0,0,0.001846,0.021777

4,00:45-01:00,42.14808,29.001777,689.346319,0,35.813791,661.459879,0,17.425726,45.567181,0.395742,19.6614,21.118518,2.551476,0,20.475526,0,94.319983,126.520837,36.022,121.734597,1.075357,5.8926,33.702163,22.710586,43.545976,1.427606,52.992,35.798817,59.738476,120.694688,2.525983,26.963602,17.179062,0,6.080757,92.427499,0,0,6.41457,34.405422,0,0,72.0861,0,0,3.03,1.9,3.78,0.42,0.87,0.22,2,2.18,1.62,0,1.85,7.95,1.94,0,9.33,0.25,1.75,0.81,0,20.73185,20.0018,46.39908,147.515625,1.361689,1.318423,2.314688,1.332638,3.518162,4.26444,2.688761,1.857394,3.518162,5.277245,2.665275,3.487597,1.946241,1.9248,1.929632,4.228905,1.103392,348.975,0,0,0.00254,0,0.017939,0,0,0.001846,0.021777

5,01:00-01:15,42.14808,29.001777,689.346319,0,35.813791,661.459879,0,8.712864,45.567181,0.395742,19.6614,21.118518,2.551476,0,20.475526,0,94.319983,126.520837,36.022,124.836115,1.075357,5.8926,33.702163,22.710586,43.545976,1.427606,52.992,35.798817,59.738476,120.694688,2.525983,26.963602,17.179062,0,6.080757,92.427499,0,0,6.41457,34.405422,0,0,72.0861,0,0,3.03,1.9,3.78,0.42,0.87,0.22,2,2.18,1.62,0,1.85,7.95,1.94,0,9.33,0.25,1.75,0.81,0,20.73185,20.0018,46.39908,147.515625,1.361689,1.318423,2.314688,1.332638,3.518162,4.26444,2.718972,1.857394,3.518162,5.277245,2.665275,3.487597,1.946241,1.9248,1.929632,4.228905,1.117538,348.975,0,0,0.00254,0,0.017939,0,0,0.001846,0.021777

