Block,Time,L_NR_2021_14,LT-35,L_NR_2019_05,L_NR_2021_15,L_NR_2023_04,LT-05,L_NR_2020_02,L_NR_2020_07,L_NR_2019_07,SH-07,LT_MEJA_Delhi,L_NR_2020_06,L_NR_2018_61,L_NR_2021_17,L_NR_2012_02,L_NR_2012_01,L_NR_2022_08,L_NR_2021_12,L_NR_2012_07,L_NR_2022_10,LT-59,L_NR_2019_19,L_NR_2019_06,L_NR_2021_16,L_NR_2012_04,LT-36,L_NR_2019_11,L_NR_2020_05,L_NR_2021_13,L_NR_2022_09,LT-31,SH-06
1,00:00-00:15,0,0.000000,0,0,0.000000,94.930000,11.920000,16.54,0,0.000000,3.930000,16.56,30.92,0,226.430000,46.460000,16.73,0,68.320000,35.1,10.360000,0,0,0,272.250000,0.000000,10.780000,49.67,0,35.1,0.000000,0.000000

2,00:15-00:30,0,0.000000,0,0,0.000000,94.930000,11.920000,16.23,0,0.000000,3.930000,16.24,30.33,0,226.430000,46.460000,16.79,0,68.320000,35.74,10.360000,0,0,0,272.250000,0.000000,10.780000,48.7,0,35.74,0.000000,0.000000

3,00:30-00:45,0,0.000000,0,0,0.000000,70.630000,11.920000,16,0,0.000000,3.930000,16.01,29.71,0,226.430000,46.460000,14.81,0,51.940000,34.96,10.360000,0,0,0,272.250000,0.000000,10.780000,48.03,0,34.96,0.000000,0.000000

4,00:45-01:00,0,0.000000,0,0,0.000000,70.630000,11.920000,15.68,0,0.000000,3.930000,15.68,29.31,0,226.430000,46.460000,14.94,0,51.940000,34.82,10.360000,0,0,0,272.250000,0.000000,10.780000,47.04,0,34.82,0.000000,0.000000

5,01:00-01:15,0,0.000000,0,0,0.000000,70.630000,11.920000,15.62,0,0.000000,3.930000,15.62,38.66,0,178.030000,46.460000,15.07,0,31.940000,34.7,10.360000,0,0,0,232.320000,0.000000,10.780000,46.87,0,34.7,0.000000,0.000000

6,01:15-01:30,0,0.000000,0,0,0.000000,70.630000,11.920000,15.42,0,0.000000,3.930000,15.43,37.91,0,129.630000,46.460000,15.2,0,31.940000,34.54,10.360000,0,0,0,232.320000,0.000000,10.780000,46.28,0,34.54,0.000000,0.000000

7,01:30-01:45,0,0.000000,0,0,0.000000,70.630000,11.920000,15.25,0,0.000000,3.930000,15.26,37.13,0,120.030000,46.460000,15.34,0,31.940000,34.34,10.360000,0,0,0,193.600000,0.000000,10.780000,45.77,0,34.34,0.000000,0.000000

8,01:45-02:00,0,0.000000,0,0,0.000000,70.630000,11.920000,15.07,0,0.000000,3.520000,15.06,36.64,0,120.030000,46.460000,15.46,0,31.940000,34.18,10.360000,0,0,0,193.600000,0.000000,10.780000,45.19,0,34.18,0.000000,0.000000

