Block,Time,CHAMERA1,CHAMERA2,CHAMERA3,TALA,VALLURNTECL,DADRI_CRF,KISHANGANGA,KKNP,KKNPPU2,NLCIIST2,PARBATI3,SINGRAULI,SINGRAULI_HYDRO,TelanganaSTPP,ANTA_GF,ANTA_LF,AURY_RF,BSIUL,DADRT2,DHAULIGNGA,DULHASTI,JHAJJAR,KOLDAM,KOTESHWR,MAPS,NNTPP,RIHAND2,UNCHAHAR2,UNCHAHAR3,UNCHAHAR4,URI,ANTA_RF,DADRI_RF,NJPC,NTPL,PARBATI2,RAMPUR,TANDA2,TEHRIPSP,AURY_LF,DADRI_LF,KHSTPP-II,KUDGI,NAPP,RIHAND1,TALST2,BRBCL,KGSU3AND4,KHSTPP-I,NLCEXP,RSTPSU1TO6,TANAKPUR,ANTA_CRF,AURY_CRF,DADRI_GF,NLCIIST1,RAPPC,RAPPD,RSTPSU7,SASAN,SEWA2,TEHRI,UNCHAHAR1,AURY_GF,FSTPP I & II,KGSU1AND2,NLCTS2EXP,RAPPB,RIHAND3,SALAL,SIMHST1,SIMHST2,URI2
1,00:00-00:15,42.15,0,0,28.81,0,0,6.96,0,0,0,0,113.75,0.66,0,0,0,80.52,0,589.38,42.46,55.38,667.25,8.62,0,0,0,125.27,45,27.69,3.22,52.99,51.96,71.14,0,0,0,0,5.73,0,0,0,98.87,0,24.48,98.32,0,24.99,0,45.53,0,0,11.02,0,0,0,0,65.59,24.14,0,337.5,12.22,0,17.79,0,18.35,0,0,0,130.84,72.05,0,0,38.97

2,00:15-00:30,42.15,0,0,28.81,0,0,6.96,0,0,0,0,113.75,0.66,0,0,0,80.52,0,589.38,42.46,55.38,667.25,8.62,0,0,0,125.27,45,27.69,3.22,52.99,51.96,71.14,0,0,0,0,5.73,0,0,0,98.87,0,24.48,98.32,0,24.99,0,45.53,0,0,11.02,0,0,0,0,65.59,24.14,0,337.5,12.22,0,17.79,0,18.35,0,0,0,130.84,72.05,0,0,38.97

3,00:30-00:45,42.15,0,0,28.81,0,0,6.96,0,0,0,0,113.75,0.66,0,0,0,80.52,0,589.38,42.46,55.38,566.95,8.62,0,0,0,125.27,45,27.69,3.22,52.99,51.96,71.14,0,0,0,0,5.73,0,0,0,98.87,0,24.48,98.32,0,24.99,0,45.53,0,0,11.02,0,0,0,0,65.59,24.14,0,337.5,12.22,0,17.79,0,18.35,0,0,0,130.84,55.77,0,0,38.97

4,00:45-01:00,42.15,0,0,28.81,0,0,6.96,0,0,0,0,113.75,0.66,0,0,0,80.52,0,589.38,42.46,55.38,541.85,8.62,0,0,0,125.27,45,27.69,3.22,47.47,51.96,71.14,0,0,0,0,5.73,0,0,0,98.87,0,24.48,98.32,0,24.99,0,45.53,0,0,11.02,0,0,0,0,65.59,24.14,0,337.5,12.22,0,17.79,0,18.35,0,0,0,130.84,55.77,0,0,38.97

5,01:00-01:15,42.15,0,0,28.81,0,0,6.96,0,0,0,0,113.75,0.66,0,0,0,80.52,0,589.38,42.46,55.38,541.85,8.62,0,0,0,125.27,45,27.69,3.22,47.47,51.95,71.13,0,0,0,0,5.73,0,0,0,98.87,0,24.48,98.32,0,24.99,0,45.53,0,0,11.02,0,0,0,0,65.59,24.14,0,337.5,12.22,0,17.79,0,18.35,0,0,0,130.84,55.77,0,0,38.97

6,01:15-01:30,42.15,0,0,28.81,0,0,6.96,0,0,0,0,113.75,0.66,0,0,0,80.52,0,589.38,42.46,55.38,541.85,8.62,0,0,0,125.27,45,27.69,3.22,47.47,51.95,71.13,0,0,0,0,5.73,0,0,0,98.87,0,24.48,98.32,0,24.99,0,45.53,0,0,11.02,0,0,0,0,65.59,24.14,0,337.5,12.22,0,17.79,0,18.35,0,0,0,130.84,55.77,0,0,38.97

