Block,Time Block,DHAULIGNGA,DADRT2,DADRI_RF,CHAMERA2,CHAMERA1,CHAMERA3,ANTA_CRF,URI,DADRI_LF,ANTA_RF,AURY_LF,DADRI_CRF,VALLURNTECL,UNCHAHAR4,ANTA_LF,AURY_GF,DADRI_GF,URI2,UNCHAHAR3,ANTA_GF,AURY_CRF,AURY_RF,TelanganaSTPP,UNCHAHAR2,UNCHAHAR1,TEHRI,BSIUL,BRBCL,TANDA2,SIMHST1,RSTPSU1TO6,RSTPSU7,RAMPUR,SALAL,SEWA2,NNTPP,RAPPC,RIHAND3,SIMHST2,NTPL,RIHAND1,PARBATI3,RIHAND2,RAPPB,SASAN,TALST2,TANAKPUR,TALA,SINGRAULI,SINGRAULI_HYDRO,NJPC,MAPS,NLCIIST1,NLCTS2EXP,NAPP,NLCIIST2,NLCEXP,KHSTPP-I,KKNP,KOLDAM,JHAJJAR,KKNPPU2,KISHANGANGA,KGSU1AND2,DULHASTI,KGSU3AND4,KHSTPP-II,FSTPP I & II,KUDGI,KOTESHWR,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0,181.89,0,0,0,0,0,0.95,0,0,0,0,0,0,0,0,0,4.14,14.09,0,0,0,0,22.49,5.77,0,0,18.78,0,0,0,0,0,1.35,0,0,51.73,119.56,0,0,88.47,0,114.2,0,194.72,0,7.51,0,134.33,0,0,0,0,0,42,0,0,21.18,0,0,346.18,0,0,0,15.85,0,94.72,11.07,0,8.53,0,0,0,0,0

2,00:15-00:30,0,181.89,0,0,0,0,0,0.95,0,0,0,0,0,0,0,0,0,4.14,14.09,0,0,0,0,22.49,5.77,0,0,18.21,0,0,0,0,0,1.35,0,0,51.73,119.56,0,0,88.47,0,114.2,0,194.72,0,7.51,0,134.33,0,0,0,0,0,42,0,0,21.18,0,0,346.18,0,0,0,15.85,0,94.72,11.07,0,8.53,0,0,0,0,0

3,00:30-00:45,0,181.89,0,0,0,0,0,0.95,0,0,0,0,0,0,0,0,0,4.14,14.09,0,0,0,0,22.49,5.77,0,0,15.92,0,0,0,0,0,1.35,0,0,51.73,119.56,0,0,88.47,0,114.2,0,194.72,0,7.51,0,134.33,0,0,0,0,0,42,0,0,21.18,0,0,346.18,0,0,0,15.85,0,94.72,11.07,0,8.53,0,0,0,0,0

4,00:45-01:00,0,181.89,0,0,0,0,0,0.95,0,0,0,0,0,0,0,0,0,4.14,14.09,0,0,0,0,22.49,5.77,0,0,11.6,0,0,0,0,0,1.35,0,0,51.73,119.56,0,0,88.47,0,114.2,0,194.72,0,7.51,0,134.33,0,0,0,0,0,42,0,0,21.18,0,0,346.18,0,0,0,15.85,0,94.72,11.07,0,8.53,0,0,0,0,0

5,01:00-01:15,0,181.89,0,0,0,0,0,0.95,0,0,0,0,0,0,0,0,0,4.14,14.09,0,0,0,0,22.49,5.77,0,0,13,0,0,0,0,0,1.35,0,0,51.73,119.56,0,0,88.47,0,114.2,0,194.72,0,7.51,0,134.33,0,0,0,0,0,42,0,0,21.18,0,0,346.18,0,0,0,15.85,0,94.72,11.07,0,8.53,0,0,0,0,0

6,01:15-01:30,0,181.89,0,0,0,0,0,0.95,0,0,0,0,0,0,0,0,0,4.14,14.09,0,0,0,0,22.49,5.77,0,0,13.09,0,0,0,0,0,1.35,0,0,51.73,119.56,0,0,88.47,0,114.2,0,194.72,0,7.51,0,134.33,0,0,0,0,0,42,0,0,21.18,0,0,346.18,0,0,0,15.85,0,94.72,11.07,0,8.53,0,0,0,0,0

7,01:30-01:45,0,181.89,0,0,0,0,0,0.95,0,0,0,0,0,0,0,0,0,4.14,14.09,0,0,0,0,22.49,5.77,0,0,11.71,0,0,0,0,0,1.35,0,0,51.73,119.56,0,0,88.47,0,114.2,0,194.72,0,7.51,0,134.33,0,0,0,0,0,42,0,0,21.18,0,0,346.18,0,0,0,15.85,0,94.72,11.07,0,8.53,0,0,0,0,0

8,01:45-02:00,0,181.89,0,0,0,0,0,0.95,0,0,0,0,0,0,0,0,0,4.14,14.09,0,0,0,0,22.49,5.77,0,0,10.69,0,0,0,0,0,1.35,0,0,51.73,119.56,0,0,88.47,0,114.2,0,194.72,0,7.51,0,134.33,0,0,0,0,0,42,0,0,21.18,0,0,346.18,0,0,0,15.85,0,94.72,11.07,0,8.53,0,0,0,0,0

9,02:00-02:15,0,181.89,0,0,0,0,0,0.95,0,0,0,0,0,0,0,0,0,4.14,14.09,0,0,0,0,22.49,5.77,0,0,11.86,0,0,0,0,0,1.35,0,0,51.73,119.56,0,0,88.47,0,114.2,0,194.72,0,1.97,0,134.33,0,0,0,0,0,42,0,0,21.18,0,0,346.18,0,0,0,15.85,0,94.72,13.26,0,8.53,0,0,0,0,0

10,02:15-02:30,0,181.89,0,0,0,0,0,0.95,0,0,0,0,0,0,0,0,0,4.14,14.09,0,0,0,0,22.49,5.77,0,0,12.52,0,0,0,0,0,1.35,0,0,51.73,119.56,0,0,88.47,0,114.2,0,194.72,0,1.97,0,134.33,0,0,0,0,0,42,0,0,21.18,0,0,346.18,0,0,0,15.85,0,94.72,13.26,0,8.53,0,0,0,0,0

11,02:30-02:45,0,181.89,0,0,0,0,0,0.95,0,0,0,0,0,0,0,0,0,4.14,14.09,0,0,0,0,22.49,5.77,0,0,14.01,0,0,0,0,0,1.35,0,0,51.73,119.56,0,0,88.47,0,114.2,0,194.72,0,1.97,0,134.33,0,0,0,0,0,42,0,0,21.18,0,0,346.18,0,0,0,15.85,0,94.72,13.26,0,8.53,0,0,0,0,0

12,02:45-03:00,0,181.89,0,0,0,0,0,0.95,0,0,0,0,0,0,0,0,0,4.14,14.09,0,0,0,0,22.49,5.77,0,0,14.71,0,0,0,0,0,1.35,0,0,51.73,119.56,0,0,88.47,0,114.2,0,194.72,0,1.97,0,134.33,0,0,0,0,0,42,0,0,21.18,0,0,346.18,0,0,0,15.85,0,94.72,13.26,0,8.53,0,0,0,0,0

13,03:00-03:15,0,181.89,0,0,0,0,0,0.95,0,0,0,0,0,0,0,0,0,4.14,14.09,0,0,0,0,22.49,5.77,0,0,14.49,0,0,0,0,0,1.35,0,0,51.73,119.56,0,0,88.47,0,114.2,0,194.72,0,1.97,0,134.33,0,0,0,0,0,42,0,0,21.18,0,0,346.18,0,0,0,15.85,0,94.72,13.26,0,8.53,0,0,0,0,0

14,03:15-03:30,0,181.89,0,0,0,0,0,0.95,0,0,0,0,0,0,0,0,0,4.14,14.09,0,0,0,0,22.49,5.77,0,0,15.93,0,0,0,0,0,1.35,0,0,51.73,119.56,0,0,88.47,0,114.2,0,194.72,0,1.97,0,134.33,0,0,0,0,0,42,0,0,21.18,0,0,346.18,0,0,0,15.85,0,94.72,13.26,0,8.53,0,0,0,0,0

15,03:30-03:45,0,181.89,0,0,0,0,0,0.95,0,0,0,0,0,0,0,0,0,4.14,14.09,0,0,0,0,22.49,5.77,0,0,15.27,0,0,0,0,0,1.35,0,0,51.73,119.56,0,0,88.47,0,114.2,0,194.72,0,1.97,0,134.33,0,0,0,0,0,42,0,0,21.18,0,0,346.18,0,0,0,15.85,0,94.72,13.26,0,8.53,0,0,0,0,0

16,03:45-04:00,0,181.89,0,0,0,0,0,0.95,0,0,0,0,0,0,0,0,0,4.14,14.09,0,0,0,0,22.49,5.77,0,0,14.81,0,0,0,0,0,1.35,0,0,51.73,119.56,0,0,88.47,0,114.2,0,194.72,0,1.97,0,134.33,0,0,0,0,0,42,0,0,21.18,0,0,346.18,0,0,0,15.85,0,94.72,13.26,0,8.53,0,0,0,0,0

17,04:00-04:15,0,181.89,0,0,0,0,0,0.95,0,0,0,0,0,0,0,0,0,4.14,14.09,0,0,0,0,22.49,5.77,0,0,18.52,0,0,0,0,0,1.35,0,0,51.73,119.56,0,0,88.47,0,114.2,0,194.72,0,1.48,0,134.33,0,0,0,0,0,42,0,0,21.18,0,0,346.18,0,0,0,15.85,0,94.72,13.26,0,8.53,0,0,0,0,0

18,04:15-04:30,0,181.89,0,0,0,0,0,0.95,0,0,0,0,0,0,0,0,0,4.14,14.09,0,0,0,0,22.49,5.77,0,0,18.85,0,0,0,0,0,1.35,0,0,51.73,119.56,0,0,88.47,0,114.2,0,194.72,0,1.48,0,134.33,0,0,0,0,0,42,0,0,21.18,0,0,346.18,0,0,0,15.85,0,94.72,13.26,0,8.53,0,0,0,0,0

19,04:30-04:45,0,181.89,0,0,0,0,0,0.95,0,0,0,0,0,0,0,0,0,4.14,13.96,0,0,0,0,22.46,5.77,0,0,19.23,0,0,0,0,0,1.35,0,0,51.73,119.56,0,0,88.47,0,114.2,0,194.72,0,1.48,0,134.33,0,0,0,0,0,42,0,0,25.58,0,0,346.18,0,0,0,15.85,0,114.41,16.02,0,8.53,0,0,0,0,0

20,04:45-05:00,0,181.89,0,0,0,0,0,0.95,0,0,0,0,0,0,0,0,0,4.14,13.96,0,0,0,0,22.46,5.77,14.9,0,19.23,0,0,0,0,0,1.35,0,0,51.73,119.56,0,0,88.47,0,114.2,0,194.72,0,1.48,0,134.33,0,0,0,0,0,42,0,0,25.58,0,0,346.18,0,0,0,15.85,0,114.41,16.02,0,8.53,0,0,0,0,0

21,05:00-05:15,0,181.89,0,0,0,0,0,0.95,0,0,0,0,0,0,0,0,0,4.14,13.96,0,0,0,0,22.46,5.77,14.9,0,19.23,0,0,0,0,0,1.35,0,0,51.73,119.56,0,0,88.47,0,114.2,0,194.72,0,1.48,0,134.33,0,0,0,0,0,42,0,0,25.58,0,0,346.18,0,0,0,15.85,0,114.41,16.02,0,8.53,0,0,0,0,0

22,05:15-05:30,0,181.89,0,0,0,0,0,0.95,0,0,0,0,0,0,0,0,0,4.14,13.96,0,0,0,0,22.46,5.77,29.8,0,19.23,0,0,0,0,0,1.35,0,0,51.73,119.56,0,0,88.47,0,114.2,0,194.72,0,1.48,0,134.33,0,0,0,0,0,42,0,0,25.58,0,0,346.18,0,0,0,15.85,0,114.41,16.02,0,8.53,0,0,0,0,0

23,05:30-05:45,0,181.89,0,0,0,0,0,0.95,0,0,0,0,0,0,0,0,0,4.14,13.96,0,0,0,0,22.46,5.77,29.8,0,19.23,0,0,0,0,0,1.35,0,0,51.73,119.56,0,0,88.47,0,114.2,0,194.72,0,1.48,0,134.33,0,0,0,0,0,42,0,0,31.81,0,0,346.18,0,0,0,15.85,0,139.81,16.02,0,8.53,0,0,0,0,0

24,05:45-06:00,0,239.58,0,0,0,0,0,0.95,0,0,0,0,0,0,0,0,0,4.14,22.78,0,0,0,0,33.51,8.34,29.8,0,19.23,0,0,0,0,0,1.35,0,0,51.73,119.56,0,0,88.47,0,114.2,0,194.72,0,1.48,0,134.33,0,18.21,0,0,0,42,0,0,31.81,0,0,436.96,0,0,0,15.85,0,142.61,20,0,8.53,0,0,0,0,0

25,06:00-06:15,0,346.32,0,1.92,0,0,0,0.95,0,0,0,0,0,0,0,0,0,4.14,25.39,0,0,0,0,40.76,9.89,29.8,0,19.23,0,0,0,0,0,1.35,0,0,51.73,119.56,0,0,88.47,3.67,114.2,0,202.53,0,1.48,0,134.33,0,44.98,0,0,0,42,0,0,31.81,0,0,532.56,0,0,0,15.85,0,142.61,20,0,8.53,0,0,0,0,0

26,06:15-06:30,0,346.32,0,3.21,11.55,0,0,0.95,0,0,0,0,0,0,0,0,0,4.14,25.39,0,0,0,0,40.76,9.89,44.7,0,19.23,0,0,0,0,0,1.35,0,0,51.73,119.56,0,0,88.47,15.9,114.2,0,213.35,0,1.48,0,134.33,0,67.48,0,0,0,42,0,0,31.81,0,0,610.53,0,0,0,15.85,0,142.61,20,0,17.07,0,0,0,0,0

27,06:30-06:45,7.62,148.05,0,7.68,27.02,9.31,0,0.95,0,0,0,0,0,0,0,0,0,4.14,25.39,0,0,0,0,40.76,9.89,44.7,2.12,19.23,0,0,0,0,0,1.35,0,0,51.73,119.56,0,0,88.47,15.9,114.2,0,224.17,0,1.48,0,134.33,0,89.97,0,0,0,42,0,0,31.81,0,0,626.94,0,0,0,31.69,0,142.61,20,0,25.6,0,0,0,0,0

28,06:45-07:00,26.36,283.88,0,37.99,40.53,27.94,0,0.95,0,0,0,0,0,0,0,0,0,4.14,25.39,0,0,0,0,40.76,9.89,59.62,12.54,19.23,0,0,0,0,0,1.35,7.6,0,51.73,119.56,0,0,88.47,15.9,114.2,0,227.18,0,1.48,0,134.33,0,112.46,0,0,0,42,0,0,31.81,0,0,596.17,0,0,0,31.69,0,142.61,20,0,37.55,0,0,0,0,0

29,07:00-07:15,26.36,341.3,0,37.99,40.53,27.94,0,0.95,0,0,0,0,0,0,0,0,0,4.14,25.39,0,0,0,0,40.76,9.89,59.62,12.54,19.23,0,0,0,0,0,1.35,7.6,0,51.73,119.56,0,0,88.47,15.9,114.2,0,227.18,0,1.97,0,134.33,0,112.46,0,0,0,42,0,0,31.81,0,0,569.25,0,0,0,31.69,0,142.61,20,0,37.55,0,0,0,0,0

30,07:15-07:30,26.36,341.3,0,37.99,40.53,27.94,0,0.95,0,0,0,0,0,0,0,0,0,4.14,25.39,0,0,0,0,40.76,9.89,59.62,12.54,19.23,0,0,0,0,0,1.35,7.6,0,51.73,119.56,0,0,88.47,15.9,114.2,0,227.18,0,1.97,0,134.33,0,112.46,0,0,0,42,0,0,31.81,0,0,569.25,0,0,0,31.69,0,142.61,20,0,37.55,0,0,0,0,0

31,07:30-07:45,26.36,341.3,0,37.99,40.53,27.94,0,25.47,0,0,0,0,0,0,0,0,0,4.14,25.39,0,0,0,0,40.76,9.89,59.62,12.54,19.23,0,0,0,0,0,1.35,7.88,0,51.73,119.56,0,0,88.47,15.9,114.2,0,194.72,0,1.97,0,134.33,0,112.46,0,0,0,42,0,0,31.81,0,0,569.25,0,0,0,31.69,0,142.61,20,0,37.55,0,0,0,0,0

