Column1,Time,WR/01102023/29112042/L_NR_2019_05,NR/26072023/31072042/L_NR_2023_07,NR/01102023/08032047/L_NR_2021_14,WR/01102023/24112044/L_NR_2020_07,NR/22102023/11042047/L_NR_2021_16,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/29112042/RUMS(L_NR_2019_07),NR/22102023/11042047/L_NR_2021_17,NR/01102023/13082046/L_NR_2021_12,WR/01102023/31032046/L_NR_2020_05,GNARE/NR/2024/12/20/3668,GNARE/SR/2025/01/13/4532,NR/26072023/25122043/L_NR_2023_10,NR/01102023/25072045/L_NR_2021_15,NR/01102023/02122045/L_NR_2021_13,WR/01102023/01102023/L_NR_2020_06,WR/01102023/01102023/L_NR_2022_09,WR/01102023/30052048/L_NR_2022_10,WR/01102023/16072048/L_NR_2022_08,GNA/NR/2025/05/01/2069,NR/01102023/30042040/GNA_LT_35,GNA/NR/2025/05/01/8954,GNA/NR/2025/05/01/5800,GNA/NR/2025/05/01/8068,NR/01102023/31052040/LT-31,NR/01102023/22052037/LT-59,NR/01102023/05012040/L_NR_2020_02,GNA/NR/2025/05/01/9154,NR/30092023/31122025/SH-07,GNA/NR/2025/05/01/6957,GNA/NR/2025/05/01/2474,NR/01102023/30042040/GNA_LT_36,GNA/NR/2025/05/01/9395,GNA/NR/2025/05/01/6363,GNA/NR/2025/05/01/3877,GNA/NR/2025/04/01/8456,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,GNA/NR/2025/05/01/7902,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/06022042/L_NR_2012_02,GNA/NR/2025/05/01/6160,NR/01102023/06022042/L_NR_2012_07,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/04/01/8964,NR/01102023/15082037/GNA_NR_2012_01,GNA/NR/2025/05/01/9320,GNA/NR/2025/05/01/9252,NR/01102023/31102037/L_NR_2019_11,GNA/NR/2025/05/01/4138,NR/30092023/26122029/SH-06,NR/01102023/19072037/LT-05,GNA/NR/2025/04/01/8510,GNA/NR/2025/05/01/7791
1,00:00-00:15,0,0,0,23.33,0,0,0,0,0,70.01,0,9.16,0,0,0,23.33,69.33,69.34,20,0,0,5.78,67.43,10.6,0,4.28,4.11,122.82,32,163.76,17.51,0,0,14.45,28.9,1.93,272.37,28.9,30.28,198.8,14.45,68.95,13.2,1.18,100.36,163.76,13.49,4.68,0,32,115.19,2.41,0

2,00:15-00:30,0,0,0,23.67,0,0,0,0,0,70.99,0,9.08,0,0,0,23.67,68.33,68.34,20,0,0,5.78,67.43,10.6,0,4.28,4.11,122.82,32,163.76,17.51,0,0,14.45,28.9,1.93,272.37,28.9,30.28,198.8,14.45,68.95,13.2,1.18,100.36,163.76,13.49,4.68,0,32,115.19,2.41,0

3,00:30-00:45,0,0,0,23.67,0,0,0,0,0,70.99,0,9.03,0,0,0,23.67,68,68,23.34,0,0,5.78,67.43,10.6,0,4.28,4.11,122.82,32,163.76,17.51,0,0,14.45,28.9,1.93,272.37,28.9,30.79,239.25,14.45,86.89,13.2,1.18,100.36,163.76,13.49,4.68,0,32,115.19,2.41,0

4,00:45-01:00,0,0,0,23.5,0,0,0,0,0,70.5,0,8.84,0,0,0,23.5,67.33,67.34,23.66,0,0,5.78,67.43,10.6,0,4.28,4.11,122.82,32,163.76,17.51,0,0,14.45,28.9,1.93,272.37,28.9,30.79,260.67,14.45,86.89,13.2,1.18,100.36,163.76,13.49,4.68,0,32,115.19,2.41,0

5,01:00-01:15,0,0,0,29,0,0,0,0,0,87,0,8.61,0,0,0,29,72,72,28.66,0,0,5.78,67.43,10.6,0,4.28,4.11,122.82,30,163.76,17.51,0,0,14.45,28.9,1.93,272.37,28.9,30.79,260.67,14.45,86.89,13.2,1.18,100.36,163.76,13.49,4.68,0,26.26,115.19,2.41,0

