Column1,Block,NR/2024/21940/A/34014,NR/2024/21954/A/34013,NR/2024/22755/C,NR/01082024/31082024/1000011628-SIEL-BRPL(DISCOM),NR/16082024/31082024/MPL/24-25/STOA/128,NR/01102023/02012046/L_NR_2021_17,NR/01102023/14082046/L_NR_2021_16,NR/2024/22772/C,NR/2024/22611/A/33780,NR/2024/22610/A/33779,NR/2024/22774/C,NR/2024/21658/A/33727,NR/2024/21961/A/34018,NR/2024/21983/A/33738,NR/2024/21938/A/34020,NR/2024/21943/A/34012,NR/2024/22773/C,NR/2024/21968/A/34041,NR/2024/22279/A/33722,NR/2024/21918/A/34083,NR/2024/21970/A/34042,NR/2024/21956/A/34015,NR/16082024/31082024/1000011627-ACBL-BRPL(DISCOM),NR/2024/21911/A/33978,NR/2024/21974/A/34044,NR/2024/21971/A/34043,NR/01082024/31082024/SKS-Raigarh,NR/2024/21933/A/33739,NR/2024/22010/A/34085,NR/30092023/26122029/SH-06,NR/2024/22623/A/33786,NR/16082024/31082024/APL-Raigarh_august,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/01082024/30082024/NR/01082024/30082024/TataPower-DDL/PMG/MSEDCL/Banking/12112023,NR/2024/22014/A/33726,NR/16082024/31082024/IIPL/JPL-T-BRPL/05/Aug24,NR/2024/21860/A/33970,NR/2024/21814/A/34045,NR/30092023/31122025/SH-07,NR/2024/21966/A/33774,NR/2024/22498/A/34091,NR/01082024/31082024/APPCPL/180/F25/GNA/12763,NR/2024/22042/A/33725,NR/01082024/31082024/jitpl,Total
,,APPCPL,APPCPL,TPDDL,TPTCL,MANIKARAN,SECI_Trader,SECI_Trader,NVVNL,SJVNL,SJVNL,NVVNL,ITCLH,PTC,TPTCL,PTC,APPCPL,NVVNL,NVVNL,IEXL,MANIKARAN,NVVNL,APPCPL,TPTCL,AEL,NVVNL,NVVNL,DELHI,TPTCL,MANIKARAN,PUNJAB,DIAPL,APL_Raigarh_TPP,DELHI,DELHI,IEXL,INSTINCT,TPDDL,NVVNL,BAWANA_GAS,INSTINCT,MANIKARAN,APPCPL,IEXL,JITPL,
,,UTTARAKHAND_STATE,Manipur_State,NA,NA,MP_State,NA,NA,NA,NA,NA,NA,ANDHRA_PRADESH_STATE,HIMACHAL_STATE,NA,HIMACHAL_STATE,MSEB_State,NA,NA,KARNATAKA_STATE,MSEB_State,NA,KERALA_State,NA,NA,NA,NA,NA,NA,GOA_State,DELHI_UT,HIMACHAL_STATE,NA,HIMACHAL_STATE,MSEB_State,HIMACHAL_STATE,NA,NA,NA,DELHI_UT,NA,MP_State,Arunachal_State,MSEB_State,NA,
,,UTTARAKHAND,Manipur_Ben,JHAJJAR,SIMHAPURI,BLAPOWER_MP,SBSRPC11PL_BKN,SBSRPC11PL_BKN,SOLAPUR_SOLAR,TPSL_BKN2,RSRPL_BKN,SORANG_HEP,ITCWIND,HP,SIMHAPURI,HP,AEML,Kameng,JPL2,NSLSUGAR,AEML,TRN_ENERGY,KSEB,ACBIL,APL_Raigarh_TPP,RKM_POWER,RKM_POWER,SKS_Raigarh,ACBIL,GOA_Beneficiary,BAWANA_GAS,GBHHPL,APL_Raigarh_TPP,CHANJUII,MSEB_Beneficiary,NHCPL_HP,JPL2,JPL2,JPNIGRIE_JNSTPP,BAWANA_GAS,JPL2,BLAPOWER_MP,Arunachal_Ben,A_A_Energy_MH_Bio,JITPL,
,,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,PUNJAB_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,HARYANA_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,
,,BYPL,BRPL,TPDDL,BRPL,BRPL,BYPL,TPDDL,MES_Delhi,NDMC,NDMC,TPDDL,ITCLH,BRPL,BRPL,BYPL,BRPL,TPDDL,NDMC,MES_Delhi,BYPL,NDMC,BYPL,BRPL,BRPL,NDMC,NDMC,NDMC,BRPL,BRPL,PUNJAB,DIAPL,BRPL,TPDDL,TPDDL,MES_Delhi,BRPL,TPDDL,TPDDL,HARYANA,BRPL,BRPL,BRPL,MES_Delhi,NDMC,
,,North-North,North East-East-North,North-North,South-West-North,West-North,North-North,North-North,West-North,North-North,North-North,North-North,South-West-North,North-North,South-East-North,North-North,West-North,North East-East-North,West-North,South-East-West-North,West-North,West-North,South-West-North,West-North,West-North,West-North,West-North,West-North,West-North,West-North,North-North,North-North,West-North,North-North,West-North,North-North,West-North,West-North,West-North,North-North,West-North,West-North,North East-East-North,West-North,East-North,
1,00:00-00:15,84.19,24.07,241.42,48.28,21.25,0,0,0,0,0,28.01,0.63,97.78,0,32.59,38.63,164.41,26.33,4.83,90.78,8.78,67.6,24.14,0,26.33,26.33,8.78,0,11.72,15.5536,8.69,96.57,15.12,0,1.93,96.57,48.28,0,32,0,0,38.63,3.86,17.422,1451.5055999999997

2,00:15-00:30,84.19,24.07,241.42,48.28,21.25,0,0,0,0,0,28.01,0.63,97.78,0,32.59,38.63,164.41,26.33,4.83,90.78,8.78,67.6,24.14,0,26.33,26.33,8.78,0,11.72,15.5536,8.69,96.57,15.12,0,1.93,96.57,48.28,0,32,0,0,38.63,3.86,17.422,1451.5055999999997

3,00:30-00:45,84.19,24.07,241.42,48.28,21.25,0,0,0,0,0,28.01,0.63,97.78,0,32.59,38.63,164.41,26.33,4.83,90.78,8.78,67.6,24.14,0,26.33,26.33,8.78,0,11.72,23.365,8.69,96.57,15.12,0,1.93,96.57,48.28,0,23.365,0,0,38.63,3.86,17.422,1450.6819999999998

4,00:45-01:00,84.19,24.07,241.42,48.28,21.25,0,0,0,0,0,28.01,0.63,97.78,0,32.59,38.63,164.41,26.33,4.83,90.78,8.78,67.6,24.14,0,26.33,26.33,8.78,0,11.72,23.365,8.69,96.57,15.12,0,1.93,96.57,48.28,0,23.365,0,0,38.63,3.86,17.422,1450.6819999999998

5,01:00-01:15,84.19,24.07,241.42,48.28,21.25,0,0,0,0,0,28.01,0.58,97.78,0,32.59,38.63,164.41,26.33,4.83,90.78,8.78,67.6,24.14,0,26.33,26.33,8.78,0,11.72,23.365,8.69,96.57,15.12,0,1.93,96.57,48.28,0,23.365,0,0,38.63,3.86,17.422,1450.6319999999998

6,01:15-01:30,84.19,24.07,241.42,48.28,21.25,0,0,0,0,0,28.01,0.58,97.78,0,32.59,38.63,164.41,26.33,4.83,90.78,8.78,67.6,24.14,0,26.33,26.33,8.78,0,11.72,23.365,8.69,96.57,15.12,0,1.93,96.57,48.28,0,23.365,0,0,38.63,3.86,17.422,1450.6319999999998

7,01:30-01:45,84.19,24.07,241.42,48.28,21.25,0,0,0,0,0,28.01,0.58,97.78,0,32.59,38.63,164.41,26.33,4.83,90.78,8.78,67.6,24.14,0,26.33,26.33,8.78,0,11.72,23.365,8.69,96.57,15.12,0,1.93,96.57,48.28,0,23.365,0,0,38.63,3.86,17.422,1450.6319999999998

8,01:45-02:00,84.19,24.07,241.42,48.28,21.25,0,0,0,0,0,28.01,0.58,97.78,0,32.59,38.63,164.41,26.33,4.83,90.78,8.78,67.6,24.14,0,26.33,26.33,8.78,0,11.72,23.365,8.69,96.57,15.12,0,1.93,96.57,48.28,0,23.365,0,0,38.63,3.86,17.422,1450.6319999999998

9,02:00-02:15,84.19,24.07,241.42,48.28,21.25,0,0,0,0,0,28.01,0.58,97.78,0,32.59,38.63,164.41,26.33,4.83,90.78,8.78,67.6,24.14,0,26.33,26.33,8.78,0,11.72,23.365,8.69,96.57,15.12,0,1.93,96.57,48.28,0,23.365,0,0,38.63,3.86,17.422,1450.6319999999998

10,02:15-02:30,84.19,24.07,241.42,48.28,21.25,0,0,0,0,0,28.01,0.58,97.78,0,32.59,38.63,164.41,26.33,4.83,90.78,8.78,67.6,24.14,0,26.33,26.33,8.78,0,11.72,23.365,8.69,96.57,15.12,0,1.93,96.57,48.28,0,23.365,0,0,38.63,3.86,17.422,1450.6319999999998

11,02:30-02:45,84.19,24.07,241.42,48.28,21.25,0,0,0,0,0,28.01,0.58,97.78,0,32.59,38.63,164.41,26.33,4.83,90.78,8.78,67.6,24.14,0,26.33,26.33,8.78,0,11.72,26.9071,8.69,96.57,15.12,0,1.93,96.57,48.28,0,26.9071,0,0,38.63,3.86,17.422,1457.7161999999996

12,02:45-03:00,84.19,24.07,241.42,48.28,21.25,0,0,0,0,0,28.01,0.58,97.78,0,32.59,38.63,164.41,26.33,4.83,90.78,8.78,67.6,24.14,0,26.33,26.33,8.78,0,11.72,26.9071,8.69,96.57,15.12,0,1.93,96.57,48.28,0,26.9071,0,0,38.63,3.86,17.422,1457.7161999999996

13,03:00-03:15,84.19,24.07,241.42,48.28,21.25,0,0,0,0,0,28.01,0.58,97.78,0,32.59,38.63,164.41,26.33,4.83,90.78,8.78,67.6,24.14,0,26.33,26.33,8.78,0,11.72,26.9071,8.69,96.57,14.66,0,1.93,96.57,48.28,0,26.9071,0,0,0,3.86,17.422,1418.6261999999997

14,03:15-03:30,84.19,24.07,241.42,48.28,21.25,0,0,0,0,0,28.01,0.58,97.78,0,32.59,38.63,164.41,26.33,4.83,90.78,8.78,67.6,24.14,0,26.33,26.33,8.78,0,11.72,26.9071,8.69,96.57,14.66,0,1.93,96.57,48.28,0,26.9071,0,0,0,3.86,17.422,1418.6261999999997

15,03:30-03:45,84.19,24.07,241.42,48.28,21.25,0,0,0,0,0,28.01,0.58,97.78,0,32.59,38.63,164.41,26.33,4.83,90.78,8.78,67.6,24.14,0,26.33,26.33,8.78,0,11.72,26.9071,8.69,96.57,14.66,0,1.93,96.57,48.28,0,26.9071,0,0,0,3.86,17.422,1418.6261999999997

16,03:45-04:00,84.19,24.07,241.42,48.28,21.25,0,0,0,0,0,28.01,0.58,97.78,0,32.59,38.63,164.41,26.33,4.83,90.78,8.78,67.6,24.14,0,26.33,26.33,8.78,0,11.72,26.9071,8.69,96.57,14.66,0,1.93,96.57,48.28,0,26.9071,0,0,0,3.86,17.422,1418.6261999999997

17,04:00-04:15,84.19,24.07,241.42,48.28,21.25,0,0,0,0,0,28.01,0.53,97.78,0,32.59,38.63,164.41,26.33,4.83,90.78,8.78,67.6,24.14,0,26.33,26.33,8.78,0,11.72,26.9071,8.69,96.57,14.66,0,1.93,96.57,48.28,0,26.9071,0,0,0,3.86,17.422,1418.5761999999995

18,04:15-04:30,84.19,24.07,241.42,48.28,21.25,0,0,0,0,0,28.01,0.53,97.78,0,32.59,38.63,164.41,26.33,4.83,90.78,8.78,67.6,24.14,0,26.33,26.33,8.78,0,11.72,26.9071,8.69,96.57,14.66,0,1.93,96.57,48.28,0,26.9071,0,0,0,3.86,17.422,1418.5761999999995

