Column1,Time,NR/01102023/08032047/L_NR_2021_14,NR/26072023/31072042/L_NR_2023_07,NR/26072023/25122043/L_NR_2023_10,NR/01102023/02122045/L_NR_2021_13,NR/01102023/25072045/L_NR_2021_15,NR/01102023/13082046/L_NR_2021_12,GNARE/SR/2025/01/13/4532,WR/01102023/01102023/L_NR_2020_06,GNARE/NR/2024/12/20/3668,WR/01102023/29112042/RUMS(L_NR_2019_06),L_NR_2019_19,WR/01102023/01102023/L_NR_2022_09,WR/01102023/24112044/L_NR_2020_07,WR/01102023/31032046/L_NR_2020_05,NR/22102023/11042047/L_NR_2021_16,WR/01102023/16072048/L_NR_2022_08,WR/01102023/30052048/L_NR_2022_10,WR/01102023/29112042/L_NR_2019_05,WR/01102023/29112042/RUMS(L_NR_2019_07),NR/22102023/11042047/L_NR_2021_17,GNA/NR/2025/04/01/7960,NR/01102023/31102037/L_NR_2019_11,GNA/NR/2025/04/01/5285,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,GNA/NR/2025/04/01/1831,NR/01102023/19072037/LT-05,GNA/NR/2025/04/16/2139,GNA/NR/2025/04/01/8456,GNA/NR/2025/04/01/8964,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/04/01/4565,NR/01102023/15082037/GNA_NR_2012_01,NR/01102023/06022042/L_NR_2012_07,NR/30092023/26122029/SH-06,NR/01102023/06022042/L_NR_2012_02,GNA/WR/2025/04/01/4420,GNA/NR/2025/04/01/6490,NR/01102023/30042040/GNA_LT_36,NR/01102023/30042040/GNA_LT_35,NR/30092023/31122025/SH-07,NR/01102023/22052037/LT-59,NR/01102023/05012040/L_NR_2020_02,GNA/NR/2025/04/01/8510,NR/01102023/31052040/LT-31,GNA/NR/2025/04/01/7459,GNA/SR/2025/04/01/2597,GNA/NR/2025/04/16/1389,GNA/NR/2025/04/29/1142,GNA/NR/2025/04/16/4327,GNA/NR/2025/04/29/1534,GNA/NR/2025/04/01/1333,GNA/NR/2025/04/01/6216,GNA/NR/2025/04/01/9334,GNA/NR/2025/04/16/8132,GNA/NR/2025/04/16/2341,GNA/NR/2025/04/16/6639
1,00:00-00:15,0,0,0,0,0,0,7,25.5,0,0,0,76.67,25.5,76.5,0,20,76.66,0,0,0,43.78,5.76,2.89,272.37,1.93,35.12,96.33,10.43,4.05,30.79,12.26,48.16,100.36,86.89,32,130.33,0,9.63,0,0,32,5.52,4.11,7.74,0,9.63,52.5,28.9,0,72.25,24.76,2.89,9.63,2.89,14.59,19.27,72.25

2,00:15-00:30,0,0,0,0,0,0,7,25.67,0,0,0,76.67,25.67,76.99,0,20.33,76.66,0,0,0,43.78,5.76,2.89,272.37,1.93,35.12,96.33,10.43,4.05,30.79,12.26,48.16,100.36,86.89,32,130.33,0,9.63,0,0,32,5.52,4.11,7.74,0,9.63,52.5,28.9,0,72.25,24.76,2.89,9.63,2.89,14.59,19.27,72.25

3,00:30-00:45,0,0,0,0,0,0,7,25.67,0,0,0,76.67,25.67,76.99,0,12.33,76.66,0,0,0,43.78,7.29,2.89,272.37,1.93,35.12,96.33,10.43,4.05,31.29,12.26,48.16,100.36,86.89,32,130.33,0,9.63,0,0,32,5.52,4.11,7.74,0,9.63,52.5,28.9,0,72.25,24.76,2.89,9.63,2.89,14.59,19.27,72.25

4,00:45-01:00,0,0,0,0,0,0,7,25.83,0,0,0,76.67,25.83,77.51,0,12.67,76.66,0,0,0,43.78,7.29,2.89,272.37,1.93,35.12,96.33,10.43,4.05,31.29,12.26,48.16,100.36,86.89,32,130.33,0,9.63,0,0,32,5.52,4.11,7.74,0,9.63,52.5,28.9,0,72.25,0,2.89,9.63,2.89,14.59,19.27,72.25

5,01:00-01:15,0,0,0,0,0,0,7,26,0,0,0,76.67,26,78,0,12.67,76.66,0,0,0,43.78,7.29,2.89,272.37,1.93,35.12,96.33,10.43,4.05,31.29,12.08,48.16,100.36,86.89,32,130.33,0,9.63,0,0,32,5.52,4.02,7.74,0,9.63,52.5,28.9,0,72.25,0,2.89,9.63,2.89,14.59,19.27,72.25

6,01:15-01:30,0,0,0,0,0,0,6,26.5,0,0,0,76.67,26.5,79.5,0,12.67,76.66,0,0,0,43.78,7.29,2.89,272.37,1.93,35.12,96.33,10.43,4.05,30.79,12.08,48.16,100.36,86.89,32,130.33,0,9.63,0,0,32,5.52,4.02,7.74,0,9.63,52.5,28.9,0,72.25,0,2.89,9.63,2.89,14.59,19.27,72.25

7,01:30-01:45,0,0,0,0,0,0,6,26.83,0,0,0,76.67,26.83,80.51,0,20.67,76.66,0,0,0,43.78,7.29,2.89,272.37,1.93,35.12,96.33,10.43,4.05,30.79,12.08,48.16,100.36,86.89,32,130.33,0,9.63,0,0,32,5.52,4.02,7.74,0,9.63,52.5,28.9,0,72.25,0,2.89,9.63,2.89,14.59,19.27,72.25

8,01:45-02:00,0,0,0,0,0,0,6,27,0,0,0,76.67,27,81,0,20.33,76.66,0,0,0,43.78,7.29,2.89,272.37,1.93,35.12,96.33,10.43,4.05,30.79,12.08,48.16,100.36,86.89,32,130.33,0,9.63,0,0,32,5.52,4.02,7.74,0,9.63,52.5,28.9,0,72.25,0,2.89,9.63,2.89,14.59,19.27,72.25

9,02:00-02:15,0,0,0,0,0,0,6,32.83,0,0,0,76.67,32.83,98.51,0,21,76.66,0,0,0,43.78,7.07,2.89,272.37,1.93,35.12,96.33,10.43,4.05,30.79,11.9,48.16,100.36,86.89,32,130.33,0,9.63,0,0,32,5.52,3.92,7.74,0,9.63,0,28.9,0,72.25,0,2.89,9.63,2.89,14.59,19.27,72.25

10,02:15-02:30,0,0,0,0,0,0,6,33,0,0,0,76.67,33,99,0,21,76.66,0,0,0,43.78,7.07,2.89,272.37,1.93,35.12,96.33,10.43,4.05,30.79,11.9,48.16,100.36,86.89,32,130.33,0,9.63,0,0,32,5.52,3.92,7.74,0,9.63,0,28.9,0,72.25,0,2.89,9.63,2.89,14.59,19.27,72.25

11,02:30-02:45,0,0,0,0,0,0,6,33.17,0,0,0,81.67,33.17,99.49,0,21.67,81.66,0,0,0,43.78,7.07,2.89,272.37,1.93,35.12,96.33,10.43,4.05,30.79,11.9,48.16,100.36,86.89,32,130.33,0,9.63,0,0,32,5.52,3.92,7.74,0,9.63,0,28.9,0,72.25,0,2.89,9.63,2.89,14.59,19.27,72.25

12,02:45-03:00,0,0,0,0,0,0,6,33.17,0,0,0,81.67,33.17,99.49,0,22,81.66,0,0,0,43.78,7.07,2.89,272.37,1.93,35.12,96.33,10.43,4.05,30.79,11.9,48.16,100.36,86.89,32,130.33,0,9.63,0,0,32,5.52,3.92,7.74,0,9.63,0,28.9,0,72.25,0,2.89,9.63,2.89,14.59,19.27,72.25

13,03:00-03:15,0,0,0,0,0,0,6,33.17,0,0,0,81.67,33.17,99.49,0,22,81.66,0,0,0,43.78,6.92,2.89,272.37,1.93,35.12,96.33,10.43,4.05,30.79,11.7,48.16,100.36,86.89,0,130.33,0,9.63,0,0,32,5.52,3.83,7.74,0,9.63,0,28.9,0,72.25,0,2.89,9.63,2.89,14.59,19.27,72.25

14,03:15-03:30,0,0,0,0,0,0,6,32.83,0,0,0,81.67,32.83,98.51,0,22.33,81.66,0,0,0,43.78,6.92,2.89,272.37,1.93,35.12,96.33,10.43,4.05,30.79,11.7,48.16,100.36,86.89,0,130.33,0,9.63,0,0,32,5.52,3.83,7.74,0,9.63,0,28.9,0,72.25,0,2.89,9.63,2.89,14.59,19.27,72.25

15,03:30-03:45,0,0,0,0,0,0,6,32.67,0,0,0,81.67,32.67,97.99,0,27.33,81.66,0,0,0,43.78,6.92,2.89,272.37,1.93,35.12,96.33,10.43,4.05,30.79,11.7,48.16,100.36,86.89,17.93,130.33,0,9.63,0,0,32,5.52,3.83,7.74,0,9.63,0,28.9,0,72.25,0,2.89,9.63,2.89,14.59,19.27,72.25

16,03:45-04:00,0,0,0,0,0,0,6,32.5,0,0,0,81.67,32.5,97.5,0,27,81.66,0,0,0,43.78,6.92,2.89,272.37,1.93,35.12,96.33,10.43,4.05,30.79,11.7,48.16,100.36,86.89,17.93,130.33,0,9.63,0,0,32,5.52,3.83,7.74,0,9.63,0,28.9,0,72.25,0,2.89,9.63,2.89,14.59,19.27,72.25

17,04:00-04:15,0,0,0,0,0,0,6,33.83,0,0,0,81.67,33.83,101.51,0,27,81.66,0,0,0,43.78,6.69,2.89,272.37,1.93,35.12,96.33,10.43,4.05,30.79,11.43,48.16,100.36,67.99,17.93,130.33,0,9.63,0,0,32,5.52,3.74,6.27,0,9.63,0,28.9,0,72.25,0,2.89,9.63,2.89,14.59,19.27,72.25

