Time,Block,NR/2023/12922/F,NR/2023/10436/A,NR/2023/12706/A,NR/2023/12916/F,NR/2023/10956/A,NR/2023/10561/A,NR/2023/13531/D,NR/2023/12921/F,NR/2023/13542/C,NR/2023/12924/F,NR/2023/11953/A,NR/2023/11712/A,NR/2023/11709/A,NR/2023/10947/A,NR/2023/10435/A,NR/2023/12923/F,NR/2023/10432/A,NR/2023/11266/A,NR/2023/13552/C,NR/2023/13315/F,NR/2023/12813/F,NR/2023/10651/A,NR/2023/10786/A,NR/2023/12917/F,NR/2023/10488/A,NR/2023/12920/F,NR/2023/13575/C,NR/2023/12915/F,NR/2023/12919/F,NR/2023/12872/F,NR/2023/13524/D,NR/2023/13551/C,NR/2023/12169/A,NR/2023/12814/F,NR/2023/13536/C,NR/2023/10720/A,ER/2023/8302/C,NR/2023/13526/D,NR/2023/13532/D,NR/2023/13503/D,NR/2023/13533/D,NR/2023/10460/A,NR/2023/13541/C,NR/2023/11507/A,NR/2023/13369/F,NR/2023/12661/A,NR/2023/11447/A,NR/2023/10959/A,Total
,,SHPPBPL,APPCPL,HPXL,SHPPBPL,NVVNL,PTC,NVVNL,SHPPBPL,HPXL,SHPPBPL,KEIPL,MANIKARAN,MANIKARAN,APPCPL,NVVNL,SHPPBPL,TPTCL,TPTCL,IEXL,IEXL,MANIKARAN,KEIPL,STATKRAFT,SHPPBPL,TPTCL,SHPPBPL,HPXL,SHPPBPL,SHPPBPL,ITCLH,TS1PL_BKN,TPDDL,APPCPL,MANIKARAN,GBHHPL,KEIPL,HPXL,NVVNL,NVVNL,TPTCL,TS1PL_BKN,GMRETL,PXIL,TPTCL,SJVNL,NVVNL,TPTCL,NVVNL,Total

,,HIMACHAL PRADESH,MEGHALAYA,MAHARASHTRA,HIMACHAL PRADESH,NA,NA,NA,HIMACHAL PRADESH,NA,HIMACHAL PRADESH,MEGHALAYA,TAMIL NADU,TAMIL NADU,HIMACHAL PRADESH,NA,HIMACHAL PRADESH,ODISHA,NA,NA,JAMMU AND KASHMIR,HIMACHAL PRADESH,MEGHALAYA,TAMIL NADU,HIMACHAL PRADESH,NA,HIMACHAL PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,ANDHRA PRADESH,NA,HIMACHAL PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,TAMIL NADU,DELHI,NA,NA,HIMACHAL PRADESH,NA,MEGHALAYA,DELHI,NA,WEST BENGAL,NA,HIMACHAL PRADESH,NA,
,,SHPPBPL,Meghalaya_Ben,B_S_ISPAT_MH,SHPPBPL,JPNIGRIE_JNSTPP,JPNIGRIE_JNSTPP,SORANG_HEP,SHPPBPL,Teesta_III,SHPPBPL,Meghalaya_Ben,TANGEDCO,TANGEDCO,HP,SEIL,SHPPBPL,NBVLIPP,KWHEP,MCCPL,SAPU1234,HP,Meghalaya_Ben,TANGEDCO,SHPPBPL,APNRL,SHPPBPL,GBHHPL,SHPPBPL,SHPPBPL,ITCWIND,TS1PL_BKN,CHANJUII,HP,HP,GBHHPL,TANGEDCO,BYPL,SOLAPUR_SOLAR,KAMENG,HP-GOVT,TS1PL_BKN,Meghalaya_Ben,BYPL,JPL,IPCL_WB,SKS Raigarh,HP-GOVT,KAMENG,
,,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,ODISHA,DELHI,DELHI,DELHI,DELHI,DELHI,UTTAR PRADESH,DELHI,DELHI,DELHI,DELHI,DELHI,
,,JHPL-DL,BYPL,NDMC,BAL224,BRPL,TPDDL,TPDDL,MAX-HPTL,BRPL,UHL,BYPL,BRPL,BRPL,BYPL,TPDDL,MHIL,TPDDL,BRPL,BRPL,MES (Delhi),BRPL,BYPL,BYPL,BAL234,TPDDL,BMDRC,BYPL,BAL184,AISHER,ITCLH,BRPL,TPDDL,BRPL,BRPL,DIAPL,BYPL,VL-CPP 1215,MES (Delhi),TPDDL,BRPL,BYPL,BYPL,ASIL_UP,BRPL,NDMC,NDMC,BRPL,BRPL,
,,North-North,North East-East-North,West-North,North-North,West-North,West-North,North-North,North-North,East-North,North-North,North East-East-North,South-West-North,South-West-North,North-North,South-West-North,North-North,East-North,North-North,West-North,North-North,North-North,North East-East-North,South-West-North,North-North,East-North,North-North,North-North,North-North,North-North,South-West-North,North-North,North-North,North-North,North-North,North-North,South-West-North,North-East,West-North,North East-East-North,North-North,North-North,North East-East-North,North-North,West-North,East-North,West-North,North-North,North East-East-North,
1,00:00-00:15,1.020000,24.190000,6.770000,0.520000,100.160000,48.380000,0.000000,0.930000,189.670000,0.610000,36.510000,64.350000,23.170000,23.220000,24.190000,0.610000,43.550000,51.630000,62.900000,4.840000,62.900000,63.140000,98.710000,0.920000,48.380000,0.930000,0.000000,0.370000,0.820000,0.480000,0,15.990000,54.190000,85.640000,32.610000,23.710000,0.000000,0,86.560000,8.230000,0,23.220000,0.000000,300.460000,0.000000,62.900000,14.960000,25.040000,1717.38

2,00:15-00:30,1.020000,24.190000,6.770000,0.520000,100.160000,48.380000,0.000000,0.930000,156.770000,0.610000,36.510000,64.350000,23.170000,23.220000,24.190000,0.610000,43.550000,51.630000,62.900000,4.840000,62.900000,63.140000,98.710000,0.920000,48.380000,0.930000,0.000000,0.370000,0.820000,0.480000,0,15.990000,54.190000,85.640000,32.610000,23.710000,0.000000,0,86.560000,8.230000,0,23.220000,0.000000,300.460000,0.000000,62.900000,14.960000,25.040000,1684.48

3,00:30-00:45,1.020000,24.190000,6.770000,0.520000,100.160000,48.380000,0.000000,0.930000,133.540000,0.610000,36.510000,64.350000,23.170000,23.220000,24.190000,0.610000,43.550000,51.630000,62.900000,4.840000,62.900000,63.140000,98.710000,0.920000,48.380000,0.930000,0.000000,0.370000,0.820000,0.480000,0,15.990000,54.190000,85.640000,32.610000,23.710000,0.000000,0,86.560000,8.230000,0,23.220000,0.000000,300.460000,0.000000,62.900000,14.960000,25.040000,1661.25

4,00:45-01:00,1.020000,24.190000,6.770000,0.520000,100.160000,48.380000,0.000000,0.930000,104.510000,0.610000,36.510000,64.350000,23.170000,23.220000,24.190000,0.610000,43.550000,51.630000,62.900000,4.840000,62.900000,63.140000,98.710000,0.920000,48.380000,0.930000,0.000000,0.370000,0.820000,0.480000,0,15.990000,54.190000,85.640000,32.610000,23.710000,0.000000,0,86.560000,8.230000,0,23.220000,0.000000,300.460000,0.000000,62.900000,14.960000,25.040000,1632.22

5,01:00-01:15,1.020000,24.190000,6.770000,0.520000,100.160000,48.380000,0.000000,0.930000,63.870000,0.610000,36.510000,64.350000,23.170000,23.220000,24.190000,0.610000,43.550000,51.630000,0.000000,4.840000,62.900000,63.140000,98.710000,0.920000,48.380000,0.930000,0.000000,0.370000,0.820000,0.530000,0,15.990000,54.190000,85.640000,32.610000,23.710000,0.000000,0,86.560000,8.230000,0,23.220000,0.000000,300.460000,0.000000,62.900000,14.960000,25.040000,1528.73

6,01:15-01:30,1.020000,24.190000,6.770000,0.520000,100.160000,48.380000,0.000000,0.930000,27.100000,0.610000,36.510000,64.350000,23.170000,23.220000,24.190000,0.610000,43.550000,51.630000,0.000000,4.840000,62.900000,63.140000,98.710000,0.920000,48.380000,0.930000,0.000000,0.370000,0.820000,0.530000,0,15.990000,54.190000,85.640000,32.610000,23.710000,0.000000,0,86.560000,8.230000,0,23.220000,0.000000,300.460000,0.000000,62.900000,14.960000,25.040000,1491.96

7,01:30-01:45,1.020000,24.190000,6.770000,0.520000,100.160000,48.380000,0.000000,0.930000,0.000000,0.610000,36.510000,64.350000,23.170000,23.220000,24.190000,0.610000,43.550000,51.630000,0.000000,4.840000,62.900000,63.140000,98.710000,0.920000,48.380000,0.930000,0.000000,0.370000,0.820000,0.530000,0,15.990000,54.190000,85.640000,32.610000,23.710000,0.000000,0,86.560000,8.230000,0,23.220000,0.000000,300.460000,0.000000,62.900000,14.960000,25.040000,1464.86

8,01:45-02:00,1.020000,24.190000,6.770000,0.520000,100.160000,48.380000,0.000000,0.930000,0.000000,0.610000,36.510000,64.350000,23.170000,23.220000,24.190000,0.610000,43.550000,51.630000,0.000000,4.840000,62.900000,63.140000,98.710000,0.920000,48.380000,0.930000,0.000000,0.370000,0.820000,0.530000,0,15.990000,54.190000,85.640000,32.610000,23.710000,0.000000,0,86.560000,8.230000,0,23.220000,0.000000,300.460000,0.000000,62.900000,14.960000,25.040000,1464.86

9,02:00-02:15,1.020000,24.190000,6.770000,0.520000,100.160000,48.380000,0.000000,0.930000,0.000000,0.610000,36.510000,64.350000,23.170000,23.220000,24.190000,0.610000,43.550000,51.630000,0.000000,4.840000,62.900000,63.140000,98.710000,0.920000,48.380000,0.930000,0.000000,0.370000,0.820000,0.480000,0,15.890000,54.190000,85.640000,32.610000,23.710000,0.000000,0,86.560000,8.230000,0,23.220000,0.000000,300.460000,0.000000,62.900000,14.960000,25.040000,1464.71

10,02:15-02:30,1.020000,24.190000,6.770000,0.520000,100.160000,48.380000,0.000000,0.930000,0.000000,0.610000,36.510000,64.350000,23.170000,23.220000,24.190000,0.610000,43.550000,51.630000,0.000000,4.840000,62.900000,63.140000,98.710000,0.920000,48.380000,0.930000,0.000000,0.370000,0.820000,0.480000,0,15.890000,54.190000,85.640000,32.610000,23.710000,0.000000,0,86.560000,8.230000,0,23.220000,0.000000,300.460000,0.000000,62.900000,14.960000,25.040000,1464.71

11,02:30-02:45,1.020000,24.190000,6.770000,0.520000,100.160000,48.380000,0.000000,0.930000,0.000000,0.610000,36.510000,64.350000,23.170000,23.220000,24.190000,0.610000,43.550000,51.630000,0.000000,4.840000,62.900000,63.140000,98.710000,0.920000,48.380000,0.930000,0.000000,0.370000,0.820000,0.480000,0,15.890000,54.190000,85.640000,32.610000,23.710000,0.000000,0,86.560000,8.230000,0,23.220000,0.000000,300.460000,0.000000,62.900000,14.960000,25.040000,1464.71

12,02:45-03:00,1.020000,24.190000,6.770000,0.520000,100.160000,48.380000,0.000000,0.930000,0.000000,0.610000,36.510000,64.350000,23.170000,23.220000,24.190000,0.610000,43.550000,51.630000,0.000000,4.840000,62.900000,63.140000,98.710000,0.920000,48.380000,0.930000,0.000000,0.370000,0.820000,0.480000,0,15.890000,54.190000,85.640000,32.610000,23.710000,0.000000,0,86.560000,8.230000,0,23.220000,0.000000,300.460000,0.000000,62.900000,14.960000,25.040000,1464.71

13,03:00-03:15,1.020000,24.190000,6.770000,0.520000,100.160000,48.380000,0.000000,0.930000,0.000000,0.610000,0.000000,64.350000,0.000000,23.220000,24.190000,0.610000,43.550000,51.630000,0.000000,4.840000,62.900000,63.140000,98.710000,0.920000,48.380000,0.930000,0.000000,0.370000,0.820000,0.440000,0,15.890000,54.190000,85.640000,32.610000,23.710000,0.000000,0,86.560000,8.230000,0,23.220000,0.000000,300.460000,0.000000,62.900000,14.960000,25.040000,1404.99

14,03:15-03:30,1.020000,24.190000,6.770000,0.520000,100.160000,48.380000,0.000000,0.930000,0.000000,0.610000,0.000000,64.350000,0.000000,23.220000,24.190000,0.610000,43.550000,51.630000,0.000000,4.840000,62.900000,63.140000,98.710000,0.920000,48.380000,0.930000,0.000000,0.370000,0.820000,0.440000,0,15.890000,54.190000,85.640000,32.610000,23.710000,0.000000,0,86.560000,8.230000,0,23.220000,0.000000,300.460000,0.000000,62.900000,14.960000,25.040000,1404.99

15,03:30-03:45,1.020000,24.190000,6.770000,0.520000,100.160000,48.380000,0.000000,0.930000,0.000000,0.610000,0.000000,64.350000,0.000000,23.220000,24.190000,0.610000,43.550000,51.630000,0.000000,4.840000,62.900000,63.140000,98.710000,0.920000,48.380000,0.930000,0.000000,0.370000,0.820000,0.440000,0,15.890000,54.190000,85.640000,32.610000,23.710000,0.000000,0,86.560000,8.230000,0,23.220000,0.000000,300.460000,0.000000,62.900000,14.960000,25.040000,1404.99

16,03:45-04:00,1.020000,24.190000,6.770000,0.520000,100.160000,48.380000,0.000000,0.930000,0.000000,0.610000,0.000000,64.350000,0.000000,23.220000,24.190000,0.610000,43.550000,51.630000,0.000000,4.840000,62.900000,63.140000,98.710000,0.920000,48.380000,0.930000,0.000000,0.370000,0.820000,0.440000,0,15.890000,54.190000,85.640000,32.610000,23.710000,0.000000,0,86.560000,8.230000,0,23.220000,0.000000,300.460000,0.000000,62.900000,14.960000,25.040000,1404.99

17,04:00-04:15,1.020000,24.190000,6.770000,0.520000,100.160000,48.380000,0.000000,0.930000,0.000000,0.610000,0.000000,64.350000,0.000000,23.220000,24.190000,0.610000,43.550000,51.630000,0.000000,4.840000,62.900000,63.140000,98.710000,0.920000,48.380000,0.930000,0.000000,0.370000,0.820000,0.440000,0,15.790000,54.190000,85.640000,31.600000,23.710000,0.000000,0,86.560000,8.230000,0,23.220000,0.000000,300.460000,0.000000,62.900000,14.960000,25.040000,1403.88

18,04:15-04:30,1.020000,24.190000,6.770000,0.520000,100.160000,48.380000,0.000000,0.930000,0.000000,0.610000,0.000000,64.350000,0.000000,23.220000,24.190000,0.610000,43.550000,51.630000,0.000000,4.840000,62.900000,63.140000,98.710000,0.920000,48.380000,0.930000,0.000000,0.370000,0.820000,0.440000,0,15.790000,54.190000,85.640000,31.600000,23.710000,0.000000,0,86.560000,8.230000,0,23.220000,0.000000,300.460000,0.000000,62.900000,14.960000,25.040000,1403.88

