Block,Time,URI,DADRI_LF,UNCHAHAR4,ANTA_LF,RIHAND2,BSIUL,UNCHAHAR3,ANTA_RF,AURY_LF,PARBATI3,KOLDAM,AURY_RF,CHAMERA3,DADRI_RF,DHAULIGNGA,DADRI_CRF,RAPPB,RAPPC,RIHAND3,NAPP,DULHASTI,KOTESHWR,ANTA_CRF,CHAMERA1,AURY_CRF,DADRI_GF,SINGRAULI,KHSTPP-II,BRBCL,KISHANGANGA,FSTPP I & II,UNCHAHAR2,RAMPUR,TALA,JHAJJAR,KHSTPP-I,TEHRI,SASAN,KUDGI,TANDA2,TANAKPUR,DADRT2,URI2,AURY_GF,SALAL,RIHAND1,CHAMERA2,UNCHAHAR1,SINGRAULI_HYDRO,ANTA_GF,NJPC,SEWA2,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,4.693413,0.000000,0.000000,0.000000,114.132375,0.000000,9.662000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,49.657366,119.485727,0.000000,15.921867,8.574059,0.000000,0.000000,0.000000,0.000000,132.248625,62.021248,19.324022,0.000000,5.010448,11.594400,0.000000,0.000000,226.090800,11.594400,0.000000,404.615574,71.50,0.000000,4.950809,173.916000,14.297055,0.000000,2.245449,88.890400,0.000000,5.797200,0.572986,0.000000,0.000000,0.000000,0,0,0,0,0

2,00:15-00:30,4.693413,0.000000,0.000000,0.000000,114.132375,0.000000,9.662000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,49.657366,119.485727,0.000000,15.921867,8.574059,0.000000,0.000000,0.000000,0.000000,132.248625,70.717048,19.277229,0.000000,4.831000,11.594400,0.000000,0.000000,226.090800,11.594400,0.000000,404.615574,69.57,0.000000,4.950809,173.916000,14.297055,0.000000,2.245449,88.890400,0.000000,5.797200,0.572986,0.000000,0.000000,0.000000,0,0,0,0,0

3,00:30-00:45,48.000816,0.000000,0.000000,0.000000,114.132375,0.000000,9.662000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,49.657366,119.485727,0.000000,15.921867,8.574059,0.000000,0.000000,0.000000,0.000000,132.248625,63.735592,19.324022,0.000000,4.831000,11.594400,0.000000,0.000000,226.090800,11.594400,0.000000,404.615574,66.67,0.000000,4.950809,173.916000,23.915073,0.000000,2.245449,88.890400,0.000000,5.797200,0.572986,0.000000,0.000000,0.000000,0,0,0,0,0

4,00:45-01:00,48.000816,0.000000,0.000000,0.000000,114.132375,0.000000,9.662000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,49.657366,119.485727,0.000000,15.921867,8.574059,0.000000,0.000000,0.000000,0.000000,132.248625,34.425706,18.695341,0.000000,4.831000,11.594400,0.000000,0.000000,226.090800,11.594400,0.000000,404.615574,66.67,0.000000,4.950809,173.916000,23.915073,0.000000,2.245449,88.890400,0.000000,5.797200,0.572986,0.000000,0.000000,0.000000,0,0,0,0,0

5,01:00-01:15,6.400109,0.000000,0.000000,0.000000,114.132375,0.000000,9.662000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,49.657366,119.485727,0.000000,15.921867,8.574059,0.000000,0.000000,0.000000,0.000000,132.248625,34.425706,19.324022,0.000000,4.831000,11.594400,0.000000,0.000000,226.090800,11.594400,0.000000,404.615574,65.70,0.000000,11.519294,173.916000,23.915073,0.000000,2.245449,88.890400,0.000000,5.797200,0.572986,0.000000,0.000000,0.000000,0,0,0,0,0

