Block,Time,URI2,RIHAND1,ANTA_LF,ANTA_CRF,DHAULIGNGA,UNCHAHAR1,SINGRAULI_HYDRO,URI,RAPPC,RAMPUR,KOLDAM,PARBATI3,UNCHAHAR2,NAPP,CHAMERA1,AURY_LF,SINGRAULI,TEHRI,TANAKPUR,AURY_GF,UNCHAHAR4,NJPC,RAPPB,RIHAND2,KISHANGANGA,JHAJJAR,SEWA2,DADRI_LF,SALAL,AURY_RF,KOTESHWR,DADRT2,TANDA2,CHAMERA2,AURY_CRF,DADRI_CRF,BSIUL,DADRI_GF,CHAMERA3,DULHASTI,UNCHAHAR3,DADRI_RF,ANTA_RF,ANTA_GF,RIHAND3,FSTPP I & II,BRBCL,KHSTPP-II,SASAN,KHSTPP-I,TALA,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,36.537827,93.591046,0.000000,0.000000,0.000000,21.009451,0.730951,37.260552,67.182461,0.000000,0.000000,0.000000,43.303458,50.018247,0.000000,0.000000,144.634344,24.587740,0.000000,0.000000,2.979687,0.000000,0.000000,59.969913,5.297584,433.817889,9.174815,0.000000,24.651365,0.000000,10.004919,569.186947,5.166805,15.589461,0.000000,0.000000,12.576015,0.000000,11.184643,19.020948,26.113130,0.000000,0.000000,0.000000,125.918390,20.057440,19.092965,143.005690,403.819911,44.742633,0.000000,0,0,0,0,0

2,00:15-00:30,36.537827,93.591046,0.000000,0.000000,0.000000,21.822109,0.730951,37.260552,67.182461,0.000000,0.000000,0.000000,43.303458,50.018247,0.000000,0.000000,144.634344,24.587740,0.000000,0.000000,2.979687,0.000000,0.000000,59.969913,5.297584,433.817889,9.174815,0.000000,24.651365,0.000000,10.004919,568.996018,5.166805,15.589461,0.000000,0.000000,12.576015,0.000000,11.184643,19.020948,26.652269,0.000000,0.000000,0.000000,125.918390,20.057440,19.286000,143.005690,403.819911,44.742633,0.000000,0,0,0,0,0

3,00:30-00:45,36.537827,93.591046,0.000000,0.000000,0.000000,21.822109,0.730951,33.002203,67.182461,0.000000,0.000000,0.000000,43.303458,50.018247,0.000000,0.000000,144.634344,24.587740,0.000000,0.000000,2.979687,0.000000,0.000000,59.969913,5.297584,433.817889,9.174815,0.000000,24.651365,0.000000,10.004919,531.579247,5.166805,15.589461,0.000000,0.000000,12.576015,0.000000,11.184643,19.020948,26.652269,0.000000,0.000000,0.000000,125.918390,20.057440,18.034725,143.005690,403.819911,44.742633,0.000000,0,0,0,0,0

4,00:45-01:00,36.537827,93.591046,0.000000,0.000000,0.000000,21.822109,0.730951,33.002203,67.182461,0.000000,0.000000,0.000000,43.303458,50.018247,0.000000,0.000000,144.634344,24.587740,0.000000,0.000000,2.979687,0.000000,0.000000,59.969913,5.297584,433.817889,9.174815,0.000000,24.651365,0.000000,10.004919,531.579247,5.166805,15.589461,0.000000,0.000000,12.576015,0.000000,11.184643,19.020948,26.652269,0.000000,0.000000,0.000000,125.918390,20.057440,18.187986,143.005690,403.819911,44.742633,0.000000,0,0,0,0,0

5,01:00-01:15,36.537827,93.591046,0.000000,0.000000,0.000000,16.770816,0.730951,33.002203,67.182461,0.000000,0.000000,0.000000,43.303458,50.018247,0.000000,0.000000,144.634344,24.587740,0.000000,0.000000,2.979687,0.000000,0.000000,59.969913,5.297584,361.495389,9.174815,0.000000,24.651365,0.000000,10.004919,511.881876,5.166805,15.589461,0.000000,0.000000,12.576015,0.000000,11.184643,19.020948,23.639572,0.000000,0.000000,0.000000,125.918390,20.057440,14.850570,143.005690,403.819911,44.742633,0.000000,0,0,0,0,0

