Block,Time Block,KGSU3AND4,KHSTPP-II,KKNP,KISHANGANGA,KHSTPP-I,KGSU1AND2,KOTESHWR,KKNPPU2,KOLDAM,KUDGI,JHAJJAR,FSTPP I & II,DULHASTI,DHAULIGNGA,ANTA_RF,ANTA_GF,VALLURNTECL,ANTA_LF,ANTA_CRF,AURY_LF,DADRI_GF,AURY_GF,DADRI_CRF,DADRI_RF,AURY_CRF,AURY_RF,DADRI_LF,DADRT2,CHAMERA1,CHAMERA2,CHAMERA3,UNCHAHAR1,TANDA2,UNCHAHAR4,URI2,TALST2,UNCHAHAR3,TANAKPUR,TelanganaSTPP,SINGRAULI_HYDRO,SIMHST2,TALA,UNCHAHAR2,URI,TEHRI,SINGRAULI,BSIUL,BRBCL,RIHAND1,SIMHST1,RSTPSU7,RSTPSU1TO6,RAPPC,RIHAND3,SALAL,RAPPB,SASAN,RIHAND2,SEWA2,PARBATI3,NLCEXP,NLCIIST1,NJPC,NLCIIST2,MAPS,NLCTS2EXP,RAMPUR,NNTPP,NAPP,NTPL,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0,47.47,0,0,32.36,0,8.52,0,0,0,230.41,17.21,3.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,339.59,0,1.8,0,14.88,0,0,4.39,0,19.25,2.71,0,0,0,0,15.25,34.99,0,134.15,0,18.69,88.36,0,0,0,51.19,119.4,1.34,0,335.16,114.06,0,0,0,0,0,0,0,0,0,0,41.23,0,0,0,0,0,0

2,00:15-00:30,0,47.47,0,0,32.36,0,8.52,0,0,0,230.41,17.21,3.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,312.26,0,1.8,0,14.88,0,0,18.08,0,19.25,2.71,0,0,0,0,15.25,34.99,0,134.15,0,19.21,88.36,0,0,0,51.19,119.4,1.34,0,335.16,114.06,0,0,0,0,0,0,0,0,0,0,41.23,0,0,0,0,0,0

3,00:30-00:45,0,47.47,0,0,32.36,0,8.52,0,0,0,230.41,17.21,3.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,297.72,0,1.8,0,14.88,0,0,18.08,0,19.25,2.71,0,0,0,0,15.25,2.65,0,134.15,0,19.21,88.36,0,0,0,51.19,119.4,1.34,0,335.16,114.06,0,0,0,0,0,0,0,0,0,0,41.23,0,0,0,0,0,0

4,00:45-01:00,0,47.47,0,0,32.36,0,8.52,0,0,0,230.41,17.21,3.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,297.72,0,1.8,0,14.88,0,0,18.08,0,19.25,2.71,0,0,0,0,15.25,1.38,0,134.15,0,18.17,88.36,0,0,0,51.19,119.4,1.34,0,335.16,114.06,0,0,0,0,0,0,0,0,0,0,41.23,0,0,0,0,0,0

5,01:00-01:15,0,47.47,0,0,32.36,0,8.52,0,0,0,230.41,17.21,3.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,297.72,0,1.8,0,11.53,0,0,18.08,0,14.36,3.07,0,0,0,0,11.3,1.38,0,134.15,0,18.08,88.36,0,0,0,51.19,119.4,1.34,0,335.16,114.06,0,0,0,0,0,0,0,0,0,0,41.23,0,0,0,0,0,0

6,01:15-01:30,0,47.47,0,0,32.36,0,8.52,0,0,0,230.41,17.21,3.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,297.72,0,1.8,0,11.53,0,0,18.08,0,14.36,3.07,0,0,0,0,11.3,1.38,0,134.15,0,14.22,88.36,0,0,0,51.19,119.4,12.27,0,335.16,114.06,0,0,0,0,0,0,0,0,0,0,41.23,0,0,0,0,0,0

7,01:30-01:45,0,47.47,0,0,32.36,0,8.52,0,0,0,230.41,17.21,3.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,297.72,0,1.8,0,11.53,0,0,18.08,0,14.36,11.07,0,0,0,0,11.3,1.38,0,134.15,0,15.23,88.36,0,0,0,51.19,119.4,12.27,0,335.16,114.06,0,0,0,0,0,0,0,0,0,0,41.23,0,0,0,0,0,0

8,01:45-02:00,0,47.47,0,0,32.36,0,8.52,0,0,0,230.41,17.21,3.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,266.03,0,1.8,0,11.53,0,0,4.39,0,14.36,3.07,0,0,0,0,11.3,1.38,0,134.15,0,15.29,88.36,0,0,0,51.19,119.4,12.27,0,335.16,114.06,0,0,0,0,0,0,0,0,0,0,41.23,0,0,0,0,0,0

9,02:00-02:15,0,40.91,0,0,27.89,0,8.52,0,0,0,230.41,17.21,3.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,254.51,0,1.8,0,11.53,0,0,4.39,0,14.36,3.07,0,0,0,0,11.3,1.38,0,134.15,0,14.37,88.36,0,0,0,51.19,119.4,66.96,0,335.16,114.06,0,0,0,0,0,0,0,0,0,0,41.23,0,0,0,0,0,0

10,02:15-02:30,0,40.91,0,0,27.89,0,8.52,0,0,0,230.41,17.21,3.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,249.84,0,1.8,0,11.53,0,0,4.39,0,14.36,11.07,0,0,0,0,11.3,1.38,0,134.15,0,15.79,88.36,0,0,0,51.19,119.4,66.96,0,335.16,114.06,0,0,0,0,0,0,0,0,0,0,41.23,0,0,0,0,0,0

11,02:30-02:45,0,40.91,0,0,27.89,0,8.52,0,0,0,230.41,17.21,3.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,249.84,0,1.8,0,11.53,0,0,4.39,0,14.36,3.07,0,0,0,0,11.3,1.38,0,134.15,0,15.18,88.36,0,0,0,51.19,119.4,66.96,0,335.16,114.06,0,0,0,0,0,0,0,0,0,0,41.23,0,0,0,0,0,0

12,02:45-03:00,0,40.91,0,0,27.89,0,8.52,0,0,0,230.41,17.21,3.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,278.65,0,1.8,0,11.53,0,0,4.39,0,14.36,3.07,0,0,0,0,11.3,1.38,0,134.15,0,16.18,88.36,0,0,0,51.19,119.4,66.96,0,335.16,114.06,0,0,0,0,0,0,0,0,0,0,41.23,0,0,0,0,0,0

13,03:00-03:15,0,40.91,0,0,27.89,0,8.52,0,0,0,230.41,17.21,3.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,278.65,0,1.8,0,11.53,0,0,4.39,0,14.36,11.07,0,0,0,0,11.3,1.38,0,134.15,0,19.21,88.36,0,0,0,51.19,119.4,12.27,0,335.16,114.06,0,0,0,0,0,0,0,0,0,0,41.23,0,0,0,0,0,0

14,03:15-03:30,0,40.91,0,0,27.89,0,8.52,0,0,0,230.41,17.21,3.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,279.48,0,1.8,0,11.53,0,0,4.39,0,14.36,2.71,0,0,0,0,11.3,1.91,0,134.15,0,17.38,88.36,0,0,0,51.19,119.4,1.34,0,335.16,114.06,0,0,0,0,0,0,0,0,0,0,41.23,0,0,0,0,0,0

15,03:30-03:45,0,40.91,0,0,27.89,0,8.52,0,0,0,230.41,17.21,3.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,284.28,0,1.8,0,11.53,0,0,4.39,0,14.36,2.71,0,0,0,0,11.3,34.99,0,134.15,0,19.21,88.36,0,0,0,51.19,119.4,1.34,0,335.16,114.06,0,0,0,0,0,0,0,0,0,0,41.23,0,0,0,0,0,0

16,03:45-04:00,0,40.91,0,0,27.89,0,8.52,0,0,0,230.41,17.21,3.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,290.04,0,1.8,0,11.53,0,0,4.39,0,14.36,2.71,0,0,0,0,11.3,34.99,0,134.15,0,19.21,88.36,0,0,0,51.19,119.4,1.34,0,335.16,114.06,0,0,0,0,0,0,0,0,0,0,41.23,0,0,0,0,0,0

17,04:00-04:15,0,40.91,0,0,27.89,0,8.52,0,0,0,230.41,17.21,3.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,297.72,0,1.8,0,11.53,0,0,4.39,0,14.36,2.71,0,0,0,0,11.3,3.18,0,134.15,0,17.11,88.36,0,0,0,51.19,119.4,12.27,0,335.16,114.06,0,0,0,0,0,0,0,0,0,0,41.23,0,0,0,0,0,0

18,04:15-04:30,0,40.91,0,0,27.89,0,8.52,0,0,0,230.41,17.21,3.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,297.72,0,1.8,0,11.53,0,0,4.39,0,14.36,2.71,0,0,0,0,11.3,1.38,0,134.15,0,19.21,88.36,0,0,0,51.19,119.4,12.27,0,335.16,114.06,0,0,0,0,0,0,0,0,0,0,41.23,0,0,0,0,0,0

19,04:30-04:45,0,40.91,0,0,27.89,0,8.52,0,0,0,230.41,17.21,3.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,297.72,0,1.8,0,11.53,0,0,4.39,0,14.36,2.71,0,0,0,0,11.3,1.38,0,134.15,0,19.21,88.36,0,0,0,51.19,119.4,1.34,0,335.16,114.06,0,0,0,0,0,0,0,0,0,0,41.23,0,0,0,0,0,0

20,04:45-05:00,0,40.91,0,0,27.89,0,8.52,0,0,0,230.41,17.21,3.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,297.72,0,1.8,0,11.53,0,0,4.39,0,14.36,2.71,0,0,0,0,11.3,1.38,0,134.15,0,19.21,88.36,0,0,0,51.19,119.4,1.34,0,335.16,114.06,0,0,0,0,20.46,0,0,0,0,0,41.23,0,0,0,0,0,0

21,05:00-05:15,0,46.37,0,0,32.36,0,8.52,0,0,0,231.73,17.21,3.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,297.72,0,1.8,0,14.88,0,0,4.39,0,19.25,2.71,0,0,0,0,15.25,1.38,14.94,134.15,0,19.21,88.36,0,0,0,51.19,119.4,1.34,0,335.16,114.06,0,0,0,0,44.56,0,0,0,0,0,41.23,0,0,0,0,0,0

22,05:15-05:30,0,47.47,0,0,32.36,0,8.52,0,0,0,231.73,17.21,3.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,336.27,0,1.8,0,14.88,0,0,4.39,0,19.25,2.71,0,0,0,0,15.25,1.38,29.9,134.15,0,19.21,88.36,0,0,0,51.19,119.4,1.34,0,335.16,114.06,0,0,0,0,44.83,0,0,0,0,0,41.23,0,0,0,0,0,0

23,05:30-05:45,0,47.47,0,0,32.36,0,8.52,0,0,0,245.18,17.21,13.56,8.77,0,0,0,0,0,0,0,0,0,0,0,0,0,384.29,0,1.8,0,14.88,0,0,4.39,0,19.25,2.71,0,0,0,0,15.25,1.38,29.9,134.15,1.06,19.21,88.36,0,0,0,51.19,119.4,1.34,0,335.16,114.06,0,0,0,0,67.39,0,0,0,0,0,41.23,0,0,0,0,0,0

24,05:45-06:00,0,47.47,0,0,32.36,0,8.52,0,0,0,245.18,17.21,13.56,17.55,0,0,0,0,0,0,0,0,0,0,0,0,0,422.71,0,1.8,0,14.88,0,0,4.39,0,19.25,2.71,0,0,0,0,15.25,1.91,44.84,134.15,6.26,19.21,88.36,0,0,0,51.19,119.4,1.34,0,335.16,114.06,0,0,0,0,67.39,0,0,0,0,0,41.23,0,0,0,0,0,0

25,06:00-06:15,0,47.47,0,0,32.36,0,8.52,0,0,0,251.49,19.98,31.65,26.31,0,0,0,0,0,0,0,0,0,0,0,0,0,425.59,0,3.84,9.3,17.01,0,0,4.39,0,21.8,9.84,0,0,0,0,17.54,1.91,59.78,134.15,6.26,19.21,88.36,0,0,0,51.19,119.4,12.27,0,335.16,114.06,0,3.67,0,0,89.86,0,0,0,0,0,41.23,0,0,0,0,0,0

