Block,Time Block,DADRT2,DHAULIGNGA,VALLURNTECL,ANTA_LF,AURY_GF,DADRI_CRF,DADRI_RF,ANTA_GF,AURY_CRF,AURY_RF,DADRI_LF,ANTA_CRF,ANTA_RF,AURY_LF,DADRI_GF,SASAN,SIMHST1,SIMHST2,SEWA2,UNCHAHAR3,TALST2,TANAKPUR,TelanganaSTPP,URI,UNCHAHAR2,TALA,TEHRI,SINGRAULI_HYDRO,UNCHAHAR1,UNCHAHAR4,TANDA2,URI2,SINGRAULI,JHAJJAR,KGSU1AND2,MAPS,RIHAND3,RAMPUR,RIHAND2,RAPPC,RIHAND1,PARBATI3,RSTPSU1TO6,RSTPSU7,SALAL,RAPPB,FSTPP I & II,DULHASTI,NJPC,NLCIIST1,NLCIIST2,NAPP,NLCTS2EXP,NNTPP,NTPL,NLCEXP,CHAMERA3,BSIUL,CHAMERA2,BRBCL,CHAMERA1,KKNP,KKNPPU2,KISHANGANGA,KOTESHWR,KHSTPP-II,KUDGI,KOLDAM,KGSU3AND4,KHSTPP-I,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,265.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,402.52,0,0,0,14.24,0,5.54,0,0.43,22.55,0,12.42,0.62,12.66,0,0,4.14,134.27,227.8,0,0,59.75,0,114.15,25,88.43,0,0,0,1.35,0,13.12,15.84,0,0,0,41.68,0,0,0,0,0,0,0,14.42,0,0,0,0,8.53,81.91,0,0,0,37.72,0,0,0,0,0

2,00:15-00:30,265.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,402.52,0,0,0,13.96,0,5.54,0,0.43,22.41,0,12.42,0.62,12.66,0,0,4.14,134.27,227.8,0,0,59.75,0,114.15,25,88.43,0,0,0,1.35,0,11.77,15.84,0,0,0,41.68,0,0,0,0,0,0,0,14.42,0,0,0,0,8.53,81.91,0,0,0,37.72,0,0,0,0,0

3,00:30-00:45,265.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,402.52,0,0,0,14.08,0,5.54,0,0.43,22.47,0,12.42,0.62,12.28,0,0,4.14,134.27,227.8,0,0,59.75,0,114.15,25,88.43,0,0,0,1.35,0,17.23,15.84,0,0,0,41.68,0,0,0,0,0,0,0,14.42,0,0,0,0,8.53,81.91,0,0,0,37.72,0,0,0,0,0

4,00:45-01:00,265.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,402.52,0,0,0,14.08,0,5.54,0,0.43,22.47,0,12.42,0.62,12.28,0,0,4.14,134.27,227.8,0,0,59.75,0,114.15,25,88.43,0,0,0,1.35,0,17.23,15.84,0,0,0,41.68,0,0,0,0,0,0,0,13.59,0,0,0,0,8.53,81.91,0,0,0,37.72,0,0,0,0,0

5,01:00-01:15,265.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,402.52,0,0,0,14.08,0,5.54,0,0.43,22.47,0,12.42,0.62,12.28,0,0,4.14,134.27,227.8,0,0,59.75,0,114.15,25,88.43,0,0,0,1.35,0,17.23,15.84,0,0,0,41.68,0,0,0,0,0,0,0,13.11,0,0,0,0,8.53,81.91,0,0,0,37.72,0,0,0,0,0

6,01:15-01:30,265.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,402.52,0,0,0,14.08,0,5.54,0,0.43,22.47,0,12.42,0.62,12.28,0,0,4.14,134.27,227.8,0,0,59.75,0,114.15,25,88.43,0,0,0,1.35,0,17.23,15.84,0,0,0,41.68,0,0,0,0,0,0,0,12.12,0,0,0,0,8.53,81.91,0,0,0,37.72,0,0,0,0,0

7,01:30-01:45,265.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,402.52,0,0,0,14.08,0,0,0,0.43,22.47,0,12.42,0.62,12.28,0,0,4.14,134.27,227.8,0,0,59.75,0,114.15,25,88.43,0,0,0,1.35,0,17.23,15.84,0,0,0,41.68,0,0,0,0,0,0,0,14.05,0,0,0,0,8.53,81.91,0,0,0,37.72,0,0,0,0,0

8,01:45-02:00,265.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,402.52,0,0,0,14.08,0,0,0,0.43,22.47,0,12.42,0.62,12.28,0,0,4.14,134.27,227.8,0,0,59.75,0,114.15,25,88.43,0,0,0,1.35,0,17.23,15.84,0,0,0,41.68,0,0,0,0,0,0,0,13.79,0,0,0,0,8.53,81.91,0,0,0,37.72,0,0,0,0,0

9,02:00-02:15,265.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,402.52,0,0,0,14.08,0,0,0,0.43,22.47,0,12.42,0.62,12.28,0,0,4.14,134.27,227.8,0,0,59.75,0,114.15,25,88.43,0,0,0,1.35,0,17.23,15.84,0,0,0,41.68,0,0,0,0,0,0,0,11.11,0,0,0,0,8.53,81.91,0,0,0,37.72,0,0,0,0,0

10,02:15-02:30,265.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,402.52,0,0,0,14.08,0,0,0,0.43,22.47,0,12.42,0.62,12.28,0,0,4.14,134.27,227.8,0,0,59.75,0,114.15,25,88.43,0,0,0,1.35,0,17.23,15.84,0,0,0,41.68,0,0,0,0,0,0,0,11.27,0,0,0,0,8.53,81.91,0,0,0,37.72,0,0,0,0,0

11,02:30-02:45,265.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,402.52,0,0,0,14.08,0,0,0,0.43,22.47,0,12.42,0.62,12.08,0,0,4.14,134.27,227.8,0,0,59.75,0,114.15,25,88.43,0,0,0,1.35,0,17.23,15.84,0,0,0,41.68,0,0,0,0,0,0,0,13,0,0,0,0,8.53,81.91,0,0,0,36.1,0,0,0,0,0

