Column1,Time,NR/01102023/08032047/L_NR_2021_14,NR/22102023/11042047/L_NR_2021_17,NR/26072023/31072042/L_NR_2023_07,NR/01102023/13082046/L_NR_2021_12,NR/22102023/11042047/L_NR_2021_16,GNARE/SR/2025/01/13/4532,GNARE/NR/2024/12/20/3668,NR/01102023/02122045/L_NR_2021_13,WR/01102023/29112042/RUMS(L_NR_2019_07),NR/01102023/25072045/L_NR_2021_15,NR/26072023/25122043/L_NR_2023_10,WR/01102023/31032046/L_NR_2020_05,WR/01102023/16072048/L_NR_2022_08,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/24112044/L_NR_2020_07,WR/01102023/30052048/L_NR_2022_10,L_NR_2019_19,WR/01102023/29112042/L_NR_2019_05,WR/01102023/01102023/L_NR_2020_06,WR/01102023/01102023/L_NR_2022_09,GNA/NR/2025/04/01/8964,GNA/NR/2025/05/01/8954,NR/01102023/15082037/GNA_NR_2012_01,GNA/NR/2025/05/01/9395,NR/30092023/26122029/SH-06,GNA/NR/2025/05/01/6160,GNA/NR/2025/05/01/4138,NR/01102023/19072037/LT-05,GNA/NR/2025/05/01/7902,GNA/NR/2025/05/01/2069,GNA/NR/2025/04/01/8510,NR/01102023/06022042/L_NR_2012_07,GNA/NR/2025/05/01/6363,NR/01102023/22052037/LT-59,NR/01102023/30042040/GNA_LT_36,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,GNA/NR/2025/05/01/3877,NR/01102023/30042040/GNA_LT_35,GNA/NR/2025/05/01/5800,GNA/NR/2025/05/01/8068,GNA/NR/2025/05/16/9317,NR/30092023/31122025/SH-07,GNA/NR/2025/05/01/9252,GNA/NR/2025/05/16/1698,GNA/NR/2025/05/01/7791,NR/01102023/31052040/LT-31,GNA/NR/2025/04/01/8456,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/06022042/L_NR_2012_02,NR/01102023/31102037/L_NR_2019_11,GNA/NR/2025/05/01/6957,NR/01102023/05012040/L_NR_2020_02,GNA/NR/2025/05/01/2474
1,00:00-00:15,0,0,0,0,0,41.62,0,0,0,0,0,105,32.33,0,35,80.67,0,0,35,80.67,4.3,5.8,100.65,0,30,14.49,0,115.53,28.98,0,9.08,87.14,14.49,10.52,0,15.53,273.16,28.98,0,67.63,10.63,82.12,32,13.53,20.53,0,0,4.48,29.78,261.43,10.78,164.24,0,29.1

2,00:15-00:30,0,0,0,0,0,41.22,0,0,0,0,0,105,32.33,0,35,81,0,0,35,81,4.3,5.8,100.65,0,30,14.49,0,115.53,28.98,0,9.08,87.14,14.49,10.52,0,15.53,273.16,28.98,0,67.63,10.63,82.12,32,13.53,20.53,0,0,4.48,29.78,261.43,10.78,164.24,0,29.1

3,00:30-00:45,0,0,0,0,0,43.01,0,0,0,0,0,105,29.33,0,35,81.33,0,0,35,81.33,4.3,5.8,100.65,0,30,14.49,0,115.53,28.98,0,9.08,87.14,14.49,10.52,0,15.53,273.16,28.98,0,67.63,10.63,82.12,32,13.53,20.53,0,0,4.48,30.28,261.43,10.78,164.24,0,29.1

4,00:45-01:00,0,0,0,0,0,43.01,0,0,0,0,0,105,29.67,0,35,81.33,0,0,35,81.33,4.3,5.8,100.65,0,30,14.49,0,115.53,28.98,0,9.08,87.14,14.49,10.52,0,15.53,273.16,28.98,0,67.63,10.63,82.12,32,13.53,20.53,0,0,4.48,30.28,261.43,10.78,164.24,0,29.1

5,01:00-01:15,0,0,0,0,0,43.01,0,0,0,0,0,89.51,24,0,29.83,70,0,0,29.83,70,4.3,5.8,100.65,0,30,14.49,0,115.53,28.98,0,15.29,77.47,14.49,10.12,0,0,273.16,28.98,0,67.63,10.63,82.12,32,13.53,20.53,0,0,4.48,30.28,261.43,10.63,164.24,0,29.1

6,01:15-01:30,0,0,0,0,0,42.81,0,0,0,0,0,89.51,24,0,29.83,70.33,0,0,29.83,70.33,4.3,5.8,100.65,0,30,14.49,0,115.53,28.98,0,15.29,67.17,14.49,10.12,0,0,273.16,28.98,0,67.63,10.63,82.12,32,13.53,20.53,0,0,4.48,30.28,255.94,10.63,164.24,0,29.1

7,01:30-01:45,0,0,0,0,0,43.01,0,0,0,0,0,89.51,28,0,29.83,70.67,0,0,29.83,70.67,4.3,5.8,100.65,0,30,14.49,0,115.53,28.98,0,15.29,86.49,14.49,10.12,0,0,273.16,28.98,0,67.63,10.63,82.12,32,13.53,20.53,0,0,4.48,30.28,261.43,10.17,164.24,0,29.1

8,01:45-02:00,0,0,0,0,0,43.01,0,0,0,0,0,89.51,28,0,29.83,73.33,0,0,29.83,73.33,4.3,5.8,100.65,0,30,14.49,0,115.53,28.98,0,15.29,86.49,14.49,10.12,0,0,273.16,28.98,0,67.63,10.63,82.12,32,13.53,20.53,0,0,4.48,30.28,261.43,10.17,164.24,0,29.1

9,02:00-02:15,0,0,0,0,0,43.02,0,0,0,0,0,89.51,28.33,0,29.83,74.67,0,0,29.83,74.67,4.3,0,100.65,0,30,14.49,0,115.53,0,96.61,15.29,86.49,0,9.74,0,0,273.16,28.98,0,0,10.63,82.12,23.64,13.53,20.53,0,0,4.48,30.28,261.43,10.17,164.24,0,29.1

10,02:15-02:30,0,0,0,0,0,43.02,0,0,0,0,0,89.51,28.33,0,29.83,75,0,0,29.83,75,4.3,0,100.65,0,30,14.49,0,115.53,0,96.61,15.29,75.95,0,9.74,0,0,273.16,28.98,0,0,10.63,82.12,23.64,13.53,20.53,0,0,4.48,30.28,261.43,10.17,164.24,0,29.1

11,02:30-02:45,0,0,0,0,0,43.62,0,0,0,0,0,105,28.67,0,35,75.67,0,0,35,75.67,4.3,0,100.65,0,26.5,14.49,0,115.53,0,96.61,15.29,75.95,0,8.96,0,0,273.16,28.98,0,0,10.63,82.12,26.5,13.53,20.53,0,0,4.48,30.28,261.43,10.17,164.24,0,29.1

12,02:45-03:00,0,0,0,0,0,43.42,0,0,0,0,0,105,29.33,0,35,75.67,0,0,35,75.67,4.3,0,100.65,0,26.5,14.49,0,115.53,0,96.61,15.29,75.95,0,8.96,0,0,273.16,28.98,0,0,10.63,82.12,26.5,13.53,20.53,0,0,4.48,30.28,225.99,10.17,164.24,0,29.1

13,03:00-03:15,0,0,0,0,0,43.22,0,0,0,0,0,105,29.67,0,35,75.67,0,0,35,75.67,4.3,0,100.65,0,26.5,14.49,0,63.54,0,96.61,15.29,64.36,0,8.96,0,0,273.16,28.98,0,0,10.63,82.12,26.5,13.53,20.53,0,0,10.29,30.28,189.58,9.79,164.24,0,29.1

14,03:15-03:30,0,0,0,0,0,42.82,0,0,0,0,0,105,30.33,0,35,76.67,0,0,35,76.67,4.3,0,71.67,0,26.5,14.49,0,63.54,0,96.61,15.29,64.36,0,8.96,0,0,234.52,28.98,0,0,10.63,82.12,26.5,13.53,20.53,0,0,10.29,30.28,189.58,9.79,164.24,0,29.1

15,03:30-03:45,0,0,0,0,0,42.62,0,0,0,0,0,87.49,22.33,0,29.17,75.33,0,0,29.17,75.33,4.3,0,53.14,0,26.5,14.49,0,63.54,0,96.61,11.01,38.64,0,8.96,0,4.43,195.88,28.98,0,0,10.63,82.12,26.5,13.53,20.53,0,0,7.72,30.28,110.14,9.79,164.24,0,29.1

16,03:45-04:00,0,0,0,0,0,42.42,0,0,0,0,0,87.49,22.67,0,29.17,74.33,0,0,29.17,74.33,4.3,0,53.14,0,26.5,14.49,0,63.54,0,96.61,11.01,38.64,0,8.96,0,4.43,157.23,28.98,0,0,10.63,82.12,26.5,13.53,20.53,0,0,7.72,30.28,110.14,9.79,164.24,0,29.1

