Column1,Time,WR/01102023/30052048/L_NR_2022_10,WR/01102023/16072048/L_NR_2022_08,WR/01102023/01102023/L_NR_2020_06,WR/01102023/01102023/L_NR_2022_09,NR/01102023/25072045/L_NR_2021_15,NR/26072023/25122043/L_NR_2023_10,NR/26072023/31072042/L_NR_2023_07,NR/01102023/02122045/L_NR_2021_13,WR/01102023/24112044/L_NR_2020_07,L_NR_2019_19,WR/01102023/29112042/RUMS(L_NR_2019_06),NR/22102023/11042047/L_NR_2021_16,NR/22102023/11042047/L_NR_2021_17,GNARE/NR/2024/12/20/3668,WR/01102023/31032046/L_NR_2020_05,WR/01102023/29112042/L_NR_2019_05,GNARE/SR/2025/01/13/4532,WR/01102023/29112042/RUMS(L_NR_2019_07),NR/01102023/13082046/L_NR_2021_12,NR/01102023/08032047/L_NR_2021_14,NR/01102023/31052040/LT-31,NR/01102023/19072037/LT-05,GNA/NR/2025/01/01/5531,GNA/NR/2025/01/02/1250,GNA/NR/2025/01/01/8738,NR/01102023/06022042/L_NR_2012_02,NR/30092023/31122025/SH-07,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/01102023/15082037/GNA_NR_2012_01,GNA/WR/2024/11/01/4200,GNA/NR/2025/01/01/3733,GNA/NR/2025/01/01/3514,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/01102023/30042040/GNA_LT_36,GNA/WR/2025/01/01/9606,GNA/NR/2025/01/01/3925,NR/01102023/06022042/L_NR_2012_07,GNA/NR/2025/01/01/7459,GNA/NR/2025/01/01/3945,GNA/NR/2025/01/01/6528,NR/01102023/05012040/L_NR_2020_02,GNA/NR/2025/01/01/8058,NR/30092023/26122029/SH-06,GNA/WR/2025/01/01/8625,NR/01102023/31102037/L_NR_2019_11,NR/01102023/22052037/LT-59,NR/01102023/30042040/GNA_LT_35,NR/01102023/27052033/DIAPL(L_NR_2023_04),GNA/NR/2025/01/01/6775
1,00:00-00:15,76,27.67,25.17,76,0,0,0,0,25.17,0,0,0,0,0,75.49,0,13.01,0,0,0,0,69.87,28.74,47.9,47.9,65.14,0,114.96,52.69,0,20.12,19.16,1.47,0,0,47.9,59.23,25.87,25.87,14.37,1.48,26.82,32,0,1.03,0,0,0,25.87

2,00:15-00:30,75.66,27,24.67,75.67,0,0,0,0,24.67,0,0,0,0,0,73.99,0,13.01,0,0,0,0,69.87,28.74,47.9,47.9,65.14,0,95.8,52.69,0,20.12,19.16,1.47,0,0,47.9,59.23,25.87,25.87,14.37,1.48,26.82,32,0,1.03,0,0,0,25.87

3,00:30-00:45,74.34,33,24.17,74.33,0,0,0,0,24.17,0,0,0,0,0,72.49,0,13.01,0,0,0,0,69.87,28.74,47.9,47.9,65.14,0,95.8,52.69,0,20.12,19.16,1.47,0,0,47.9,59.23,25.87,25.87,14.37,1.48,26.82,32,0,1.03,0,0,0,25.87

4,00:45-01:00,74.66,33,23.67,74.67,0,0,0,0,23.67,0,0,0,0,0,70.99,0,13.01,0,0,0,0,69.87,28.74,47.9,47.9,65.14,0,95.8,52.69,0,20.12,19.16,1.47,0,0,47.9,59.23,25.87,25.87,14.37,1.48,26.82,32,0,1.03,0,0,0,25.87

5,01:00-01:15,74.34,33,23.17,74.33,0,0,0,0,23.17,0,0,0,0,0,69.49,0,10,0,0,0,0,69.87,28.74,47.9,47.9,65.14,0,95.8,52.69,0,20.12,19.16,1.47,0,0,47.9,59.23,25.87,25.87,14.37,1.48,26.82,32,0,1.03,0,0,0,25.87

6,01:15-01:30,74,33,22.67,74,0,0,0,0,22.67,0,0,0,0,0,67.99,0,10,0,0,0,0,69.87,28.74,47.9,47.9,65.14,0,95.8,52.69,0,20.12,19.16,1.47,0,0,47.9,59.23,25.87,25.87,14.37,1.48,26.82,32,0,1.03,0,0,0,25.87

