Block,Time Block,CHAMERA3,BRBCL,BSIUL,CHAMERA1,CHAMERA2,DULHASTI,DHAULIGNGA,DADRT2,FSTPP I & II,JHAJJAR,KUDGI,MAPS,KGSU3AND4,KGSU1AND2,KISHANGANGA,KKNP,KHSTPP-I,KHSTPP-II,KOLDAM,KOTESHWR,KKNPPU2,NNTPP,NLCTS2EXP,NLCIIST2,PARBATI2,PARBATI3,NTPL,RAMPUR,RIHAND1,RAPPC,RAPPB,RSTPSU1TO6,RSTPSU7,RIHAND3,RIHAND2,SIMHST1,SIMHST2,SALAL,SASAN,SEWA2,SINGRAULI,SINGRAULI_HYDRO,NLCEXP,NLCIIST1,NAPP,NJPC,TANAKPUR,TANDA2,TALA,TALST2,TEHRI,TelanganaSTPP,UNCHAHAR3,URI,UNCHAHAR4,UNCHAHAR1,UNCHAHAR2,URI2,VALLURNTECL,ANTA_LF,ANTA_RF,AURY_GF,AURY_CRF,ANTA_CRF,ANTA_GF,DADRI_CRF,DADRI_LF,DADRI_GF,AURY_LF,AURY_RF,DADRI_RF,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,11.21,19.24,12.54,0,31.25,19.06,0,438.36,17.51,636.29,0,0,0,0,8.13,0,44.08,142.65,0,10.01,0,0,0,0,0,4.13,0,0,91.17,67.6,0,0,0,122.48,117.02,0,0,2.24,402.81,18.16,99.44,0.68,0,0,50.67,0,0,2.61,0,0,25.59,0,21.29,33.45,0.76,16.65,32.44,33.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

2,00:15-00:30,11.21,19.24,12.54,0,31.25,19.06,0,438.36,17.51,636.29,0,0,0,0,8.13,0,44.08,142.65,0,10.01,0,0,0,0,0,4.13,0,0,91.17,67.6,0,0,0,122.48,117.02,0,0,2.24,402.81,18.16,99.44,0.68,0,0,50.67,0,0,2.61,0,0,12.79,0,21.29,33.45,0.82,16.65,32.44,33.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

3,00:30-00:45,11.21,19.24,12.54,0,31.25,19.06,0,438.36,17.51,636.29,0,0,0,0,8.13,0,44.08,142.65,0,10.01,0,0,0,0,0,19.16,0,0,91.17,67.6,0,0,0,122.48,117.02,0,0,2.24,402.81,18.16,99.44,0.68,0,0,50.67,0,0,2.61,0,0,0,0,21.29,33.45,0.82,16.65,32.44,33.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

4,00:45-01:00,11.21,19.24,12.54,0,15.63,19.06,0,400.68,17.51,636.29,0,0,0,0,8.13,0,44.08,142.65,0,10.01,0,0,0,0,0,2.94,0,0,91.17,67.6,0,0,0,122.48,117.02,0,0,2.24,402.81,18.16,99.44,0.68,0,0,50.67,0,0,2.61,0,0,0,0,21.29,33.45,0.82,16.65,32.44,33.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

5,01:00-01:15,11.21,19.24,12.54,0,15.63,19.06,0,329.55,14.05,636.29,0,0,0,0,8.13,0,44.08,142.65,0,10.01,0,0,0,0,0,0,0,0,91.17,67.6,0,0,0,122.48,117.02,0,0,14.53,402.81,18.16,99.44,0.68,0,0,50.67,0,0,2.61,0,0,0,0,21.29,33.45,0.82,16.65,32.44,33.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

6,01:15-01:30,11.21,19.24,12.54,0,15.63,19.06,0,329.55,14.05,636.29,0,0,0,0,8.13,0,44.08,142.65,0,10.01,0,0,0,0,0,0,0,0,91.17,67.6,0,0,0,122.48,117.02,0,0,38.56,402.81,18.16,99.44,0.68,0,0,50.67,0,0,2.61,0,0,0,0,21.29,33.45,0.82,16.65,32.44,33.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

7,01:30-01:45,0,19.24,12.54,0,0,19.06,0,330.4,14.05,636.29,0,0,0,0,8.13,0,44.08,142.65,0,10.01,0,0,0,0,0,0,0,0,92.32,67.6,0,0,0,123.74,117.51,0,0,38.56,402.81,18.16,97.4,0.68,0,0,50.67,0,0,2.61,0,0,0,0,21.29,33.45,0.82,16.65,29.48,33.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

8,01:45-02:00,0,19.24,12.54,0,0,19.06,0,330.4,14.05,561.87,0,0,0,0,8.13,0,44.08,142.65,0,10.01,0,0,0,0,0,0,0,0,92.32,67.6,0,0,0,123.74,117.51,0,0,38.56,402.81,18.16,97.4,0.68,0,0,50.67,0,0,2.61,0,0,0,0,21.29,33.45,0.82,16.65,29.48,33.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

9,02:00-02:15,0,19.24,12.54,0,0,19.06,0,330.4,15.01,475.29,0,0,0,0,8.13,0,44.08,142.65,0,10.01,0,0,0,0,0,0,0,0,92.32,67.6,0,0,0,123.74,117.51,0,0,12.85,402.81,18.16,97.4,0.68,0,0,50.67,0,0,2.61,0,0,0,0,21.29,33.45,0.82,16.65,29.49,33.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

10,02:15-02:30,0,19.24,12.54,0,0,19.06,0,330.4,15.01,365.11,0,0,0,0,8.13,0,44.08,142.65,0,10.01,0,0,0,0,0,0,0,0,92.32,67.6,0,0,0,123.74,117.51,0,0,12.85,402.81,18.16,97.4,0.68,0,0,50.67,0,0,2.61,0,0,0,0,21.29,33.45,0.82,16.65,29.49,33.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

11,02:30-02:45,0,19.24,12.54,0,0,19.06,0,329.4,15.01,356.45,0,0,0,0,8.13,0,44.08,142.65,0,10.01,0,0,0,0,0,0,0,0,92.32,67.6,0,0,0,123.74,117.51,0,0,12.85,402.81,18.16,97.4,0.68,0,0,50.67,0,0,2.61,0,0,0,0,21.29,33.45,0.82,16.65,29.49,33.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

12,02:45-03:00,0,19.24,12.54,0,0,19.06,0,329.4,15.01,356.45,0,0,0,0,8.13,0,44.08,142.65,0,10.01,0,0,0,0,0,0,0,0,92.32,67.6,0,0,0,123.74,117.51,0,0,12.85,402.81,12.11,97.4,0.68,0,0,50.67,0,0,2.61,0,0,0,0,21.29,33.45,0.82,16.65,29.49,33.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

13,03:00-03:15,0,19.24,12.54,0,0,19.06,0,328.51,12.65,356.45,0,0,0,0,8.13,0,44.08,142.65,0,10.01,0,0,0,0,0,0,0,0,92.32,67.6,0,0,0,123.74,117.51,0,0,2.24,402.81,12.11,97.4,0.68,0,0,50.67,0,0,2.61,0,0,0,0,21.29,33.45,0.82,16.65,28.2,33.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

14,03:15-03:30,0,19.24,12.54,0,0,19.06,0,328.51,12.65,356.45,0,0,0,0,8.13,0,44.08,142.65,0,10.01,0,0,0,0,0,0,0,0,92.32,67.6,0,0,0,123.74,117.51,0,0,2.24,402.81,6.05,97.4,0.68,0,0,50.67,0,0,2.61,0,0,0,0,21.29,33.45,0.82,16.65,28.2,33.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

15,03:30-03:45,0,19.24,12.54,0,0,19.06,0,327.61,12.65,356.45,0,0,0,0,8.13,0,44.08,142.65,0,10.01,0,0,0,0,0,0,0,0,92.32,67.6,0,0,0,123.74,117.51,0,0,2.24,402.81,0,97.4,0.68,0,0,50.67,0,0,2.61,0,0,0,0,21.29,33.45,0.82,16.65,28.2,33.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

16,03:45-04:00,0,19.24,12.54,0,0,19.06,0,327.61,12.65,356.45,0,0,0,0,8.13,0,44.08,142.65,0,10.01,0,0,0,0,0,0,0,0,92.32,67.6,0,0,0,123.74,117.51,0,0,12.85,402.81,0,97.4,0.68,0,0,50.67,0,0,2.61,0,0,12.79,0,21.29,33.45,0.82,16.65,28.2,33.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

17,04:00-04:15,0,19.24,12.54,0,0,19.06,0,326.73,12.65,386.38,0,0,0,0,8.13,0,44.08,142.65,0,10.01,0,0,0,0,0,0,0,0,92.32,67.6,0,0,0,123.74,117.51,0,0,12.85,402.81,0,97.4,0.68,0,0,50.67,0,0,2.61,0,0,12.79,0,21.29,33.45,0.82,16.65,28.2,33.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

18,04:15-04:30,0,19.24,12.54,0,0,19.06,0,326.73,12.65,386.38,0,0,0,0,8.13,0,44.08,142.65,0,10.01,0,0,0,0,0,0,0,0,92.32,67.6,0,0,0,123.74,117.51,0,0,12.85,402.81,0,97.4,0.68,0,0,50.67,0,0,2.61,0,0,12.79,0,21.29,33.45,0.82,16.65,28.2,33.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

19,04:30-04:45,0,19.24,12.54,0,0,19.06,0,325.84,12.65,386.38,0,0,0,0,8.13,0,44.08,142.65,0,10.01,0,0,0,0,0,0,0,0,92.32,67.6,0,0,0,123.74,117.51,0,0,68.18,402.81,0,97.4,0.68,0,0,50.67,0,0,2.61,0,0,25.59,0,21.29,33.45,0.82,16.65,28.2,33.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

20,04:45-05:00,0,19.24,12.54,0,0,19.06,0,325.84,12.65,386.38,0,0,0,0,8.13,0,44.08,142.65,0,10.01,0,0,0,0,0,0,0,1.05,92.32,67.6,0,0,0,123.74,117.51,0,0,68.18,402.81,0,97.4,0.68,0,0,50.67,26.58,0,2.61,0,0,25.59,0,21.29,33.45,0.82,16.65,28.2,33.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

21,05:00-05:15,0,19.24,12.54,0,0,19.06,0,325.45,12.65,475.29,0,0,0,0,8.13,0,44.08,142.65,0,10.01,0,0,0,0,0,0,0,2.1,92.32,67.6,0,0,0,123.74,117.51,0,0,68.18,402.81,0,97.4,0.68,0,0,50.67,53.15,0,3.25,0,0,25.59,0,21.29,33.45,0.82,16.65,28.2,33.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

22,05:15-05:30,0,19.24,12.54,0,0,19.06,0,325.45,12.65,561.87,0,0,0,0,8.13,0,44.08,142.65,0,10.01,0,0,0,0,0,0,0,2.1,92.32,67.6,0,0,0,123.74,117.51,0,0,68.18,402.81,0,97.4,0.68,0,0,50.67,53.15,0,3.25,0,0,25.59,0,21.29,33.45,0.82,16.65,28.2,33.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

23,05:30-05:45,0,19.24,12.54,0,0,19.06,0,331.07,14.99,636.29,0,0,0,0,8.13,0,44.08,142.65,0,10.01,0,0,0,0,0,0,0,2.1,92.32,67.6,0,0,0,123.74,117.51,0,0,68.18,402.81,0,97.4,0.68,0,0,50.67,53.15,6.78,3.25,0,0,25.59,0,26.62,33.45,1.81,20.81,35.3,33.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

24,05:45-06:00,0,19.24,12.54,0,0,19.06,0,329.33,15.01,636.29,0,0,0,0,8.13,0,44.08,142.65,0,10.01,0,0,0,0,0,0,0,2.1,92.32,67.6,0,0,0,123.74,117.51,0,0,68.18,402.81,0,97.4,0.68,0,0,50.67,53.15,6.78,3.25,0,0,25.59,0,26.62,33.45,1.81,20.81,35.3,33.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

25,06:00-06:15,0,19.24,12.54,0,0,38.11,0,329.33,15.01,618.53,0,0,0,0,8.13,0,44.08,142.65,0,10.01,0,0,0,0,0,0,0,2.1,92.32,67.6,0,0,0,123.74,117.51,0,0,12.85,402.81,0,97.4,0.68,0,0,50.67,53.15,6.03,3.25,0,0,25.59,0,26.62,38.24,1.81,20.81,35.3,33.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

26,06:15-06:30,0,19.24,12.54,0,0,38.11,0,329.33,15.01,618.59,0,0,0,0,8.13,0,44.08,142.65,0,10.01,0,0,0,0,0,0,0,2.1,92.32,67.6,0,0,0,123.74,117.51,0,0,12.85,402.81,0,97.4,0.68,0,0,50.67,53.15,6.03,3.25,0,0,25.59,0,26.62,38.24,1.81,20.81,35.3,33.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

27,06:30-06:45,11.21,19.24,12.54,0,0,38.11,10.51,329.33,15.01,570.49,0,0,0,0,8.13,0,44.08,142.65,0,10.01,0,0,0,0,0,0,0,2.1,92.32,67.6,0,0,0,123.74,117.51,0,0,12.85,402.81,0,105.42,0.68,0,0,50.67,53.15,6.03,3.25,0,0,25.59,0,26.62,38.24,1.81,20.81,35.3,33.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

28,06:45-07:00,11.21,19.24,12.54,0,0,38.11,10.51,329.33,15.01,570.49,0,0,0,0,8.13,0,44.08,142.65,0,10.01,0,0,0,0,0,0,0,2.1,89.25,67.6,0,0,0,123.74,117.51,0,0,12.85,402.81,0,105.43,0.68,0,0,50.67,53.15,6.03,3.25,0,0,25.59,0,26.62,38.24,1.81,20.81,35.3,33.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

29,07:00-07:15,11.21,19.24,12.54,0,0,38.11,10.51,329.33,15.01,522.4,0,0,0,0,8.13,0,44.08,142.65,0,10.01,0,0,0,0,0,0,0,2.1,92.32,67.6,0,0,0,123.74,117.51,0,0,12.85,402.81,0,105.43,0.68,0,0,50.67,53.15,6.03,3.25,0,0,25.59,0,26.62,33.98,1.81,20.81,35.3,38.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

30,07:15-07:30,11.21,19.24,12.54,0,0,38.11,10.51,329.33,15.01,522.4,0,0,0,0,8.13,0,44.08,142.65,0,10.01,0,0,0,0,0,0,0,2.1,92.32,67.6,0,0,0,123.74,117.51,0,0,12.85,402.81,0,105.43,0.68,0,0,50.67,53.15,6.03,3.25,0,0,25.43,0,26.62,33.98,1.81,20.81,35.3,38.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

31,07:30-07:45,11.21,19.24,12.54,0,3.16,38.11,10.51,326.63,13.39,540.62,0,0,0,0,8.13,0,44.08,142.65,0,10.01,0,0,0,0,0,0,0,2.1,92.32,67.6,0,0,0,123.74,117.51,0,0,12.85,402.81,0,105.43,0.68,0,0,50.67,53.15,0,3.25,0,0,24.36,0,22.02,33.98,1.81,16.64,29.88,38.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

