Block,Time,LT-31,L_NR_2023_04,L_NR_2020_02,LT-59,L_NR_2012_02,SH-07,L_NR_2018_61,LT-36,LT-05,L_NR_2019_11,LT-35,L_NR_2012_01,L_NR_2012_07,L_NR_2012_04,SH-06,L_NR_2019_07,L_NR_2019_06,L_NR_2021_17,L_NR_2021_16,L_NR_2022_09,L_NR_2019_05,L_NR_2021_12,L_NR_2020_05,L_NR_2023_07,L_NR_2022_10,L_NR_2020_06,L_NR_2021_13,L_NR_2022_08,L_NR_2021_15,L_NR_2023_10,L_NR_2021_14,L_NR_2020_07,L_NR_2019_19
1,00:00-00:15,0.000000,29.660000,11.880000,10.370000,261.160000,30.880000,9.42,0.000000,115.820000,10.750000,0.000000,101.090000,74.000000,271.430000,30.880000,0,0,0,0,78.33,0,0,115,0,78.33,38.33,0,38.33,0,0,0,38.34,0

2,00:15-00:30,0.000000,29.660000,11.880000,10.370000,261.160000,30.880000,9.43,0.000000,115.820000,10.750000,0.000000,101.090000,74.000000,271.430000,30.880000,0,0,0,0,78.33,0,0,115,0,78.33,38.33,0,38.33,0,0,0,38.34,0

3,00:30-00:45,0.000000,29.660000,11.880000,10.370000,261.160000,30.880000,9.53,0.000000,115.820000,10.750000,0.000000,101.090000,74.000000,271.430000,8.810000,0,0,0,0,78.33,0,0,115,0,78.33,38.33,0,38.33,0,0,0,38.34,0

4,00:45-01:00,0.000000,29.660000,11.880000,10.370000,261.160000,30.880000,9.27,0.000000,115.820000,10.750000,0.000000,101.090000,74.000000,271.430000,8.810000,0,0,0,0,78.33,0,0,115,0,78.33,38.33,0,38.33,0,0,0,38.34,0

5,01:00-01:15,0.000000,29.660000,11.880000,10.370000,261.160000,30.880000,8.96,0.000000,115.820000,10.750000,0.000000,101.090000,74.000000,271.430000,8.810000,0,0,0,0,78.33,0,0,115,0,78.33,38.33,0,38.33,0,0,0,38.34,0

6,01:15-01:30,0.000000,29.660000,11.880000,10.370000,261.160000,30.880000,8.84,0.000000,115.820000,10.750000,0.000000,101.090000,74.000000,271.430000,8.810000,0,0,0,0,78.33,0,0,115,0,78.33,38.33,0,38.33,0,0,0,38.34,0

7,01:30-01:45,0.000000,29.660000,11.880000,10.370000,261.160000,30.880000,13.06,0.000000,115.820000,10.750000,0.000000,101.090000,74.000000,271.430000,8.810000,0,0,0,0,78.33,0,0,115,0,78.33,38.33,0,38.33,0,0,0,38.34,0

8,01:45-02:00,0.000000,29.660000,11.880000,10.370000,261.160000,30.880000,12.82,0.000000,115.820000,10.750000,0.000000,101.090000,74.000000,271.430000,8.810000,0,0,0,0,78.33,0,0,115,0,78.33,38.33,0,38.33,0,0,0,38.34,0

9,02:00-02:15,0.000000,29.660000,11.880000,10.370000,261.160000,26.060000,12.69,0.000000,115.820000,10.750000,0.000000,101.090000,74.000000,271.430000,26.060000,0,0,0,0,78.33,0,0,115,0,78.33,38.33,0,38.33,0,0,0,38.34,0

10,02:15-02:30,0.000000,29.660000,11.880000,10.370000,261.160000,26.060000,12.35,0.000000,115.820000,10.750000,0.000000,101.090000,74.000000,271.430000,26.060000,0,0,0,0,78.33,0,0,115,0,78.33,38.33,0,38.33,0,0,0,38.34,0

11,02:30-02:45,0.000000,29.660000,11.880000,10.370000,261.160000,26.060000,11.71,0.000000,115.820000,10.750000,0.000000,101.090000,74.000000,271.430000,26.060000,0,0,0,0,78.33,0,0,115,0,78.33,38.33,0,38.33,0,0,0,38.34,0

12,02:45-03:00,0.000000,29.660000,11.880000,10.370000,261.160000,26.060000,11.51,0.000000,115.820000,10.750000,0.000000,101.090000,74.000000,271.430000,26.060000,0,0,0,0,78.33,0,0,115,0,78.33,38.33,0,38.33,0,0,0,38.34,0

13,03:00-03:15,0.000000,29.660000,11.740000,10.370000,239.260000,26.060000,11.32,0.000000,85.170000,10.750000,0.000000,101.090000,41.000000,221.970000,26.060000,0,0,0,0,78.33,0,0,115,0,78.33,38.33,0,38.33,0,0,0,38.34,0

14,03:15-03:30,0.000000,29.660000,11.740000,10.370000,261.160000,26.060000,10.82,0.000000,66.240000,10.750000,0.000000,101.090000,41.000000,271.430000,26.060000,0,0,0,0,78.33,0,0,115,0,78.33,38.33,0,38.33,0,0,0,38.34,0

15,03:30-03:45,0.000000,29.660000,11.740000,10.370000,201.100000,26.060000,10.49,0.000000,85.170000,10.750000,0.000000,101.090000,55.980000,271.430000,26.060000,0,0,0,0,78.33,0,0,115,0,78.33,38.33,0,38.33,0,0,0,38.34,0

16,03:45-04:00,0.000000,29.660000,11.740000,10.370000,201.100000,26.060000,10.59,0.000000,66.240000,10.750000,0.000000,101.090000,55.980000,271.430000,26.060000,0,0,0,0,78.33,0,0,115,0,78.33,38.33,0,38.33,0,0,0,38.34,0

17,04:00-04:15,0.000000,29.660000,11.600000,10.370000,179.200000,26.060000,10.59,0.000000,85.170000,10.750000,0.000000,101.090000,41.000000,231.620000,26.060000,0,0,0,0,78.33,0,0,115,0,78.33,38.33,0,38.33,0,0,0,38.34,0

18,04:15-04:30,0.000000,29.660000,11.600000,10.370000,201.100000,26.060000,10.11,0.000000,115.820000,10.750000,0.000000,101.090000,55.980000,271.430000,26.060000,0,0,0,0,78.33,0,0,115,0,78.33,38.33,0,38.33,0,0,0,38.34,0

19,04:30-04:45,0.000000,29.660000,11.600000,10.370000,201.100000,26.060000,9.41,0.000000,115.820000,10.750000,0.000000,101.090000,55.980000,271.430000,26.060000,0,0,0,0,78.33,0,0,115,0,78.33,38.33,0,38.33,0,0,0,38.34,0

20,04:45-05:00,0.000000,29.660000,11.600000,10.370000,201.100000,26.060000,11.37,0.000000,115.820000,10.750000,0.000000,101.090000,55.980000,271.430000,26.060000,0,0,0,0,78.33,0,0,115,0,78.33,38.33,0,38.33,0,0,0,38.34,0

21,05:00-05:15,0.000000,29.700000,11.470000,10.370000,201.100000,26.060000,11.27,0.000000,115.820000,10.750000,0.000000,101.090000,55.980000,271.430000,26.060000,0,0,0,0,78.33,0,0,115,0,78.33,38.33,0,38.33,0,0,0,38.34,0

22,05:15-05:30,0.000000,29.700000,11.470000,10.370000,201.100000,26.060000,11.03,0.000000,115.820000,10.750000,0.000000,101.090000,55.980000,271.430000,26.060000,0,0,0,0,78.33,0,0,115,0,78.33,38.33,0,38.33,0,0,0,38.34,0

23,05:30-05:45,0.000000,29.700000,11.470000,10.370000,201.100000,26.060000,10.91,0.000000,115.820000,10.750000,0.000000,101.090000,55.980000,271.430000,30.880000,0,0,0,0,78.33,0,0,115,0,78.33,38.33,0,38.33,0,0,0,38.34,0

24,05:45-06:00,0.000000,29.700000,11.470000,10.370000,201.100000,26.060000,10.71,0.000000,115.820000,10.750000,0.000000,101.090000,55.980000,271.430000,30.880000,0,0,0.33,0.67,78.33,0,0.03,115,0,78.33,38.33,0.01,38.33,0,0,0.18,38.34,0.282808

25,06:00-06:15,0.000000,29.700000,10.860000,10.370000,201.100000,26.060000,10.51,0.000000,115.820000,10.750000,0.000000,101.090000,55.980000,271.430000,30.880000,1.49,4.05,1.67,3.33,78.33,4.32,0.1,115,0.62,78.33,38.33,0.02,38.33,0,0.27,1.66,38.34,2.164944

26,06:15-06:30,0.160000,29.700000,10.860000,10.370000,201.100000,26.060000,10.31,0.160000,115.820000,10.750000,0.160000,101.090000,55.980000,271.430000,30.880000,3.09,8.8,2.33,4.67,78.33,8.64,1.12,115,3.29,78.33,38.33,0.22,38.33,0.29,1.41,3.79,38.34,5.295336

27,06:30-06:45,0.490000,29.700000,10.860000,10.370000,201.100000,26.060000,9.91,0.500000,115.820000,10.750000,0.490000,101.090000,55.980000,271.430000,30.880000,8.24,14.96,3,6,78.33,15.55,4.11,115,8.11,78.33,38.33,0.82,38.33,1,3.47,6.53,38.34,8.552504

28,06:45-07:00,1.010000,29.700000,10.860000,10.370000,201.100000,26.060000,9.51,1.030000,115.820000,10.750000,1.010000,101.090000,55.980000,271.430000,30.880000,15.45,28.16,3,6,78.33,24.19,8.92,115,14.57,78.33,38.33,1.78,38.33,2.21,6.25,7.23,38.34,12.219256

29,07:00-07:15,1.540000,29.700000,10.670000,10.370000,201.100000,26.060000,9.11,1.580000,115.820000,10.750000,1.540000,101.090000,55.980000,271.430000,30.880000,22.66,32.7,4,8,78.33,32.7,15.45,115,23.07,78.33,38.33,3.09,38.33,4.04,9.89,10.33,38.34,16.461376

30,07:15-07:30,2.130000,29.700000,10.670000,10.370000,201.100000,26.060000,8.51,2.190000,115.820000,10.750000,2.130000,101.090000,55.980000,271.430000,30.880000,29.99,29.98,6,12,78.33,29.98,23.83,115,33.26,78.33,38.33,4.76,38.33,6.44,14.25,14.43,38.34,20.879032

31,07:30-07:45,3.140000,29.700000,10.670000,10.370000,201.100000,26.060000,7.91,3.220000,115.820000,10.750000,3.140000,101.090000,55.980000,271.430000,30.880000,30.66,30.67,8,16,78.33,30.67,36.04,115,44.65,78.33,38.33,7.21,38.33,9.36,19.14,16.1,38.34,27.705432

32,07:45:08:00,4.020000,29.700000,10.670000,10.370000,201.100000,26.060000,7.51,4.130000,115.820000,10.750000,4.020000,101.090000,55.980000,271.430000,30.880000,30.84,30.83,10,20,78.33,30.83,50.08,115,56,78.33,38.33,10.01,38.33,12.75,24,21.6,38.34,31.947552

33,08:00-08:15,5.110000,29.700000,10.490000,10.370000,201.100000,26.060000,7.11,5.230000,115.820000,10.750000,5.110000,101.090000,55.980000,271.430000,30.880000,32.34,32.33,11.67,23.33,80,32.33,63.48,115,66.5,80,38.33,12.69,36.67,16.43,28.5,27.43,38.34,35.916616

