Column1,Time,WR/01102023/30052048/L_NR_2022_10,WR/01102023/16072048/L_NR_2022_08,WR/01102023/31032046/L_NR_2020_05,SR/01102023/07102043/L_NR_2018_61,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/01102023/L_NR_2020_06,WR/01102023/01102023/L_NR_2022_09,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/24112044/L_NR_2020_07,WR/01102023/29112042/L_NR_2019_05,NR/01102023/19072037/LT-05,GNA/NR/2024/09/01/4802,NR/01102023/31052040/LT-31,GNA/NR/2024/09/01/6566,NR/01102023/15082037/GNA_NR_2012_01,NR/01102023/30042040/GNA_LT_35,GNA/NR/2024/09/01/8090,GNA/NR/2024/09/01/7196,GNA/NR/2024/09/01/2171,GNA/NR/2024/09/01/7119,NR/01082024/30092024/LT_MEJA_DELHI,NR/01102023/30042040/GNA_LT_36,NR/30092023/26122029/SH-06,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/01102023/31102037/L_NR_2019_11,GNA/NR/2024/09/01/6020,GNA/NR/2024/09/01/9821,NR/01102023/06022042/L_NR_2012_07,GNA/NR/2024/09/01/3451,NR/01102023/05012040/L_NR_2020_02,NR/01102023/22052037/LT-59,GNA/NR/2024/09/01/7908,NR/26072023/25122043/L_NR_2023_10,NR/01102023/25072045/L_NR_2021_15,NR/01102023/02122045/L_NR_2021_13,NR/26072023/31072042/L_NR_2023_07,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/01102023/06022042/L_NR_2012_02,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/30092023/31122025/SH-07,NR/22102023/11042047/L_NR_2021_16,NR/01102023/13082046/L_NR_2021_12,L_NR_2019_19,NR/01102023/08032047/L_NR_2021_14,NR/22102023/11042047/L_NR_2021_17
1,00:00-00:15,35,15,42.5,42.02,0,14.16,35,0,14.17,0,70.59,96.85,0,24.21,53.27,0,12.47,48.42,2.42,24.8,0,0,26.91,273.84,0,96.85,32.93,76.79,48.42,4.94,0,21.79,0,0,0,0,9.8,227.19,29.77,26.91,0,0,0,0,0

2,00:15-00:30,35.33,15,42.5,42.02,0,14.16,35.33,0,14.17,0,70.59,96.85,0,24.21,53.27,0,12.47,48.42,2.42,24.8,0,0,26.91,273.84,0,96.85,32.93,76.79,48.42,4.94,0,21.79,0,0,0,0,9.8,227.19,29.77,26.91,0,0,0,0,0

3,00:30-00:45,36,15,43,42.02,0,14.34,36,0,14.33,0,70.59,96.85,0,24.21,53.27,0,12.47,48.42,2.42,24.8,0,0,26.91,273.84,0,96.85,32.93,76.79,48.42,4.94,0,21.79,0,0,0,0,9.8,227.19,29.77,26.91,0,0,0,0,0

4,00:45-01:00,36.67,15,43,41.82,0,14.34,36.67,0,14.33,0,70.59,96.85,0,24.21,53.27,0,12.47,48.42,2.42,24.8,0,0,26.91,273.84,0,96.85,32.93,76.79,48.42,4.94,0,21.79,0,0,0,0,9.8,227.19,29.77,26.91,0,0,0,0,0

5,01:00-01:15,37.33,15,43.5,41.62,0,14.5,37.33,0,14.5,0,70.59,96.85,0,24.21,53.27,0,12.47,48.42,2.42,24.8,4.39,0,26.91,273.84,0,96.85,32.93,57.82,48.42,4.94,0,21.79,0,0,0,0,9.8,227.19,29.77,26.91,0,0,0,0,0

6,01:15-01:30,37.67,15.34,44,41.42,0,14.66,37.67,0,14.67,0,70.59,96.85,0,24.21,53.27,0,12.47,48.42,2.42,24.8,4.39,0,26.91,273.84,0,96.85,32.93,57.82,48.42,4.94,0,21.79,0,0,0,0,9.8,227.19,29.77,26.91,0,0,0,0,0

7,01:30-01:45,38,15.34,44.5,41.22,0,14.84,38,0,14.83,0,70.59,96.85,0,24.21,53.27,0,12.47,48.42,2.42,24.8,3.59,0,26.91,273.84,0,96.85,32.93,57.82,48.42,4.94,0,21.79,0,0,0,0,9.8,227.19,29.27,26.91,0,0,0,0,0

8,01:45-02:00,38.33,15.34,45,40.62,0,15,38.33,0,15,0,70.59,96.85,0,24.21,53.27,0,12.47,48.42,2.42,24.8,3.59,0,26.91,232.2,0,96.85,32.93,57.82,48.42,4.94,0,21.79,0,0,0,0,9.8,171.08,29.27,26.91,0,0,0,0,0

9,02:00-02:15,38.33,15.66,46,40.42,0,15.34,38.33,0,15.33,0,70.59,96.85,0,24.21,53.27,0,12.47,48.42,2.42,24.8,3.59,0,26.91,232.2,0,96.85,32.93,57.82,48.42,4.94,0,21.79,0,0,0,0,9.8,171.08,29.27,26.91,0,0,0,0,0

10,02:15-02:30,38.67,15.34,45.5,39.02,0,15.16,38.67,0,15.17,0,70.59,96.85,0,24.21,53.27,0,12.47,48.42,2.42,24.8,3.59,0,26.91,190.55,0,96.85,32.93,57.82,48.42,4.94,0,21.79,0,0,0,0,9.8,171.08,29.27,26.91,0,0,0,0,0

11,02:30-02:45,39,15,44,39.02,0,14.66,39,0,14.67,0,70.59,96.85,0,24.21,53.27,0,12.47,48.42,2.42,24.8,3.59,0,26.91,150.61,0,96.85,32.93,57.82,48.42,4.94,0,21.79,0,0,0,0,9.8,171.08,29.27,26.91,0,0,0,0,0

12,02:45-03:00,39.33,14.34,43.5,38.42,0,14.5,39.33,0,14.5,0,70.59,96.85,0,24.21,53.27,0,12.47,48.42,2.42,24.8,3.59,0,26.91,150.61,0,96.85,32.93,57.82,48.42,4.94,0,21.79,0,0,0,0,9.8,171.08,29.27,26.91,0,0,0,0,0

13,03:00-03:15,39.67,13.34,42.5,38.02,0,14.16,39.67,0,14.17,0,70.59,96.85,0,24.21,53.27,0,12.47,48.42,2.42,24.8,0,0,26.91,150.61,0,96.85,0,57.82,48.42,4.66,0,21.79,0,0,0,0,9.8,171.08,29.27,26.91,0,0,0,0,0

14,03:15-03:30,40,12.66,42,37.22,0,14,40,0,14,0,70.59,96.85,0,24.21,53.27,0,12.47,48.42,2.42,24.8,0,0,26.91,150.61,0,96.85,0,57.82,48.42,4.66,0,21.79,0,0,0,0,9.8,139.46,29.27,26.91,0,0,0,0,0

15,03:30-03:45,40.33,12.34,41.5,33.01,0,13.84,40.33,0,13.83,0,70.59,96.85,0,24.21,53.27,0,12.47,48.42,2.42,24.8,0,0,26.91,150.61,0,96.85,0,57.82,48.42,4.66,0,21.79,0,0,0,0,9.8,120.09,29.27,26.91,0,0,0,0,0

16,03:45-04:00,40.67,12,40,32.41,0,13.34,40.67,0,13.33,0,70.59,96.85,0,24.21,53.27,0,12.47,48.42,2.42,24.8,0,0,26.91,150.61,0,96.85,0,57.82,48.42,4.66,0,21.79,0,0,0,0,9.8,110.41,29.27,26.91,0,0,0,0,0

17,04:00-04:15,40.67,12.66,39,31.61,0,13,40.67,0,13,0,70.59,96.85,0,24.21,53.27,0,12.47,48.42,2.42,24.8,0,0,26.91,150.61,0,96.85,0,57.82,48.42,4.66,0,21.79,0,0,0,0,13.22,110.41,29.27,26.91,0,0,0,0,0

18,04:15-04:30,40.67,12.66,37.5,31.01,0,12.5,40.67,0,12.5,0,70.59,96.85,0,24.21,53.27,0,12.47,48.42,2.42,24.8,0,0,26.91,150.61,0,96.85,0,57.82,48.42,4.66,0,21.79,0,0,0,0,13.22,110.41,29.27,26.91,0,0,0,0,0

19,04:30-04:45,40.67,12.66,36,30.41,0,12,40.67,0,12,0,70.59,96.85,0,24.21,53.27,0,12.47,48.42,2.42,24.8,0,0,26.91,150.61,0,96.85,0,57.82,48.42,4.66,0,21.79,0,0,0,0,13.22,110.41,29.27,26.91,0,0,0,0,0

20,04:45-05:00,40.67,12.66,35.5,30.01,0,11.84,40.67,0,11.83,0,70.59,96.85,0,24.21,53.27,0,12.47,48.42,2.42,24.8,0,0,26.91,150.61,0,96.85,0,57.82,48.42,4.66,0,21.79,0,0,0,0,13.22,110.41,29.27,26.91,0,0,0,0,0

21,05:00-05:15,40.33,13.34,53,23.41,0,17.66,40.33,0,17.67,0,70.59,96.85,0,24.21,53.27,0,12.47,48.42,2.42,24.8,0,0,26.91,150.61,0,96.85,0,57.82,48.42,4.66,0,21.79,0,0,0,0,13.22,110.41,29.27,26.91,0,0,0,0,0

22,05:15-05:30,40,13.34,52,23.01,0,17.34,40,0,17.33,0,70.59,96.85,0,24.21,53.27,0,12.47,48.42,2.42,24.8,4.39,0,26.91,150.61,0,96.85,0,57.82,48.42,4.66,0,21.79,0,0,0,0,13.22,110.41,29.27,26.91,0,0,0,0,0

23,05:30-05:45,39.33,17.34,50.5,16.01,0,16.84,39.33,0,16.83,0,70.59,96.85,0,24.21,53.27,0,12.47,48.42,2.42,24.8,4.39,0,26.91,150.61,0,96.85,0,57.82,48.42,4.66,0,21.79,0,0,0,0,13.22,110.41,29.27,26.91,0,0,0,0,0

24,05:45-06:00,38.67,17.34,49,17.01,0,16.34,38.67,0,16.33,0,70.59,96.85,0,24.21,53.27,0,12.47,48.42,2.42,24.8,3.58,0,26.91,150.61,0,96.85,0,57.82,48.42,4.66,0,21.79,0,0,0,0,13.22,110.41,30.28,26.91,0,0,0,0,0

25,06:00-06:15,38.33,15,45.5,17.21,4,15.16,38.33,16.12,15.17,15.81,70.59,96.85,0,24.21,53.27,0,12.47,48.42,2.42,24.8,3.58,0,26.91,150.61,0,96.85,0,57.82,48.42,4.66,0,21.79,1,1,0,1,12.95,171.08,29.27,26.91,1,0.03,0,0.82,0

26,06:15-06:30,37.67,14.34,43,17.61,10,14.34,37.67,28.34,14.33,27.8,70.59,96.85,0,24.21,53.27,0,12.47,48.42,2.42,24.8,3.58,0,26.91,150.61,0,96.85,0,57.82,48.42,4.66,0,21.79,1,3,0.39,4,12.95,171.08,28.26,26.91,2,1.93,1.56,2.92,1

27,06:30-06:45,37.33,13.66,40.5,18.41,13,13.5,37.33,33,13.5,33,70.59,96.85,0.75,24.21,53.27,0.75,12.47,48.42,2.42,24.8,3.58,0.77,26.91,150.61,0,96.85,0,57.82,48.42,4.66,0,21.79,3,3,1.23,7,12.95,171.08,28.26,26.91,5,6.18,4.77,4.94,3

