Time,Block,NR/2023/13254/A,NR/2023/16191/A,NR/2023/13387/A,NR/2023/13148/A,NR/2023/17202/C,NR/2023/17209/C,NR/2023/16185/A,NR/2023/13242/A,NR/2023/13165/A,NR/2023/17237/C,NR/2023/17207/C,NR/2023/17198/C,NR/2023/13150/A,NR/2023/13253/A,NR/2023/17190/D,NR/2023/16077/A,NR/2023/15770/A,NR/2023/16993/F,NR/2023/17193/D,NR/2023/16291/F,NR/2023/13383/A,NR/2023/17212/C,NR/2023/16073/A,NR/2023/13385/A,NR/2023/17186/D,NR/2023/17205/C,Total
,,APPCPL,MANIKARAN,NVVNL,KEIPL,GBHHPL,IEXL,MANIKARAN,APPCPL,GMRETL,PXIL,IEXL,TPDDL,KEIPL,APPCPL,SJVNL,APPCPL,NVVNL,NVVNL,SJVNL,ITCLH,APPCPL,IEXL,APPCPL,NVVNL,NVVNL,SJVNL,Total

,,MEGHALAYA,HIMACHAL PRADESH,NA,MEGHALAYA,HIMACHAL PRADESH,NA,HIMACHAL PRADESH,SIKKIM,MEGHALAYA,PUNJAB,NA,HIMACHAL PRADESH,MEGHALAYA,UTTARAKHAND,ARUNACHAL PRADESH,HIMACHAL PRADESH,NA,NA,UTTAR PRADESH,ANDHRA PRADESH,HIMACHAL PRADESH,NA,GOA,MP,NA,NA,
,,Meghalaya_Ben,HP,JPNIGRIE_JNSTPP,Meghalaya_Ben,GBHHPL,SIMHAPURI,HP,SIKKIM,Meghalaya_Ben,PUNJAB,RKM_POWER,CHANJUII,Meghalaya_Ben,UTTARAKHAND,Arunachal_Ben,HP,SKS Raigarh,KAMENG,BCMLB001,ITCWIND,HP,Teesta_III,GOA_Beneficiary,JP BINA,SOLAPUR_SOLAR,RSRPL_BKN,
,,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,
,,BYPL,BRPL,BRPL,BYPL,DIAPL,BRPL,BRPL,BYPL,BYPL,BRPL,BRPL,TPDDL,BYPL,BYPL,NDMC,BRPL,NDMC,TPDDL,NDMC,ITCLH,BYPL,BRPL,BRPL,BRPL,MES (Delhi),NDMC,
,,North East-East-North,North-North,West-North,North East-East-North,North-North,South-East-North,North-North,East-North,North East-East-North,North-North,West-East-North,North-North,North East-East-North,North-North,North East-East-North,North-North,West-North,North East-East-North,North-North,South-West-North,North-North,East-North,West-North,West-North,West-North,North-North,
1,00:00-00:15,19.470000,77.740000,99.330000,36.210000,6.060000,0.000000,38.390000,29.370000,22.070000,0.000000,191.940000,11.730000,62.570000,47.980000,0.000000,117.560000,62.380000,157.500000,0.000000,0.860000,50.380000,179.460000,23.990000,49.660000,0,0,1284.65

2,00:15-00:30,19.470000,77.740000,99.330000,36.210000,6.060000,0.000000,38.390000,29.370000,22.070000,0.000000,191.940000,11.730000,62.570000,47.980000,0.000000,117.560000,62.380000,157.500000,0.000000,0.860000,50.380000,143.000000,23.990000,49.660000,0,0,1248.19
