Block,Time Block,BSIUL,CHAMERA3,BRBCL,CHAMERA2,CHAMERA1,DHAULIGNGA,DADRT2,JHAJJAR,FSTPP I & II,DULHASTI,KGSU1AND2,KGSU3AND4,KHSTPP-II,KHSTPP-I,KKNPPU2,KKNP,KISHANGANGA,KOLDAM,KOTESHWR,KUDGI,MAPS,NLCEXP,NAPP,NJPC,NLCIIST1,NLCIIST2,NLCTS2EXP,NNTPP,RAMPUR,NTPL,PARBATI3,RIHAND3,RAPPB,RIHAND2,RIHAND1,RAPPC,SASAN,RSTPSU1TO6,RSTPSU7,SEWA2,SALAL,SINGRAULI_HYDRO,SIMHST1,SIMHST2,SINGRAULI,TALST2,TALA,TANAKPUR,TelanganaSTPP,TEHRI,TANDA2,UNCHAHAR1,UNCHAHAR3,UNCHAHAR2,VALLURNTECL,UNCHAHAR4,URI2,URI,ANTA_GF,ANTA_CRF,AURY_GF,AURY_CRF,AURY_RF,ANTA_RF,AURY_LF,ANTA_LF,DADRI_CRF,DADRI_RF,DADRI_LF,DADRI_GF,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0,0,16.65,2.32,0,8.8,237.1,236.97,15.15,15.91,0,0,123.41,31.65,0,0,0,0,8.56,0,0,0,40.43,0,0,0,0,0,0,0,0,120.03,0,114.66,88.83,50.23,404.32,0,0,0,2.25,0,0,0,134.86,0,0,11.5,0,14.41,0,14.96,0,30.67,0,0,4.41,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

2,00:15-00:30,0,0,17.22,2.32,0,8.8,266.06,236.97,15.15,15.91,0,0,123.41,31.65,0,0,0,0,8.56,0,0,0,40.43,0,0,0,0,0,0,0,0,120.03,0,114.66,88.83,50.23,404.32,0,0,0,2.25,0,0,0,134.86,0,0,11.5,0,14.41,0,14.96,0,30.67,0,0,4.41,37.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

3,00:30-00:45,0,0,15.83,2.32,0,8.8,290.02,236.97,12.62,15.91,0,0,106.35,31.19,0,0,0,0,8.56,0,0,0,40.43,0,0,0,0,0,0,0,0,120.03,0,114.66,88.83,50.23,404.32,0,0,0,2.25,0,0,0,134.86,0,0,6.18,0,14.41,0,14.96,0,30.67,0,0,4.41,37.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

4,00:45-01:00,0,0,13.86,2.32,0,8.8,290.02,236.97,12.62,15.91,0,0,106.35,31.19,0,0,0,0,8.56,0,0,0,40.43,0,0,0,0,0,0,0,0,120.03,0,114.66,88.83,50.23,404.32,0,0,0,2.25,0,0,0,134.86,0,0,6.18,0,14.41,0,14.96,0,30.67,0,0,4.41,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

5,01:00-01:15,0,0,14.7,2.32,0,8.8,290.02,236.97,12.62,15.91,0,0,106.35,31.19,0,0,0,0,8.56,0,0,0,40.43,0,0,0,0,0,0,0,0,120.03,0,114.66,88.83,50.23,404.32,0,0,0,13.47,0,0,0,134.86,0,0,6.18,0,14.41,0,14.96,0,30.67,0,0,4.41,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

