Column1,Time,NR/01102023/19072037/LT-05,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/01102023/31102037/L_NR_2019_11,NR/01102023/30042040/GNA_LT_36,NR/01102023/06022042/L_NR_2012_02,NR/01102023/05012040/L_NR_2020_02,GNA/WR/2024/11/01/4200,NR/01102023/30042040/GNA_LT_35,GNA/WR/2024/10/15/7089,NR/30092023/26122029/SH-06,NR/01102023/22052037/LT-59,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/30092023/31122025/SH-07,NR/01102023/31052040/LT-31,GNA/SR/2024/12/01/6968,GNA/NR/2024/12/01/2197,NR/01102023/15082037/GNA_NR_2012_01,GNA/NR/2024/12/24/5256,NR/26072023/25122043/L_NR_2023_10,NR/22102023/11042047/L_NR_2021_16,NR/01102023/13082046/L_NR_2021_12,NR/22102023/11042047/L_NR_2021_17,NR/01102023/02122045/L_NR_2021_13,NR/01102023/25072045/L_NR_2021_15,NR/01102023/08032047/L_NR_2021_14,NR/26072023/31072042/L_NR_2023_07,SR/01102023/07102043/L_NR_2018_61,WR/01102023/29112042/RUMS(L_NR_2019_07),GNA/NR/2024/12/01/1766,GNA/NR/2024/12/24/9178,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/01102023/06022042/L_NR_2012_07,GNA/NR/2024/12/01/7739,GNA/NR/2024/12/01/1475,GNA/NR/2024/12/01/1899,GNA/NR/2024/12/01/3428,GNA/NR/2024/12/01/1599,L_NR_2019_19,WR/01102023/01102023/L_NR_2022_09,WR/01102023/31032046/L_NR_2020_05,WR/01102023/16072048/L_NR_2022_08,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/01102023/L_NR_2020_06,WR/01102023/24112044/L_NR_2020_07,WR/01102023/29112042/L_NR_2019_05,WR/01102023/30052048/L_NR_2022_10,GNARE/NR/2024/12/20/3668
1,00:00-00:15,70.15,74.81,1.07,0,93.62,1.62,0,0,0,0,0,24.22,0,0,150,22.3,52.91,0,0,0,0,0,0,0,0,0,6,0,22.3,0,1.65,64.09,47.56,26.23,8.74,8.74,142.69,0,61.67,77.51,18,0,25.83,25.83,0,61.66,0

2,00:15-00:30,70.15,74.81,1.07,0,93.62,1.62,0,0,0,0,0,24.72,0,0,150,22.3,52.91,0,0,0,0,0,0,0,0,0,6,0,22.3,0,1.65,64.09,47.56,26.23,8.74,8.74,142.69,0,62.67,76.5,18,0,25.5,25.5,0,62.66,0

3,00:30-00:45,70.15,74.81,1.07,0,93.62,1.62,0,0,0,0,0.77,25.23,0,0,150,22.3,52.91,0,0,0,0,0,0,0,0,0,6,0,22.3,0,1.65,64.09,47.56,26.23,8.74,8.74,142.69,0,63,75.49,18,0,25.17,25.17,0,63,0

4,00:45-01:00,70.15,74.81,1.07,0,93.62,1.62,0,0,0,0,0.77,25.23,0,0,150,22.3,52.91,0,0,0,0,0,0,0,0,0,6,0,22.3,0,1.65,64.09,47.56,26.23,8.74,8.74,142.69,0,63,72.49,18,0,24.17,24.17,0,63,0

5,01:00-01:15,70.15,74.81,1.07,0,63.49,1.62,0,0,0,0,0.77,25.23,0,0,150,22.3,52.91,0,0,0,0,0,0,0,0,0,6,0,22.3,0,1.65,57.43,47.56,26.23,8.74,8.74,142.69,0,63.33,71.51,17.67,0,23.83,23.83,0,63.34,0

6,01:15-01:30,70.15,74.81,1.07,0,63.49,1.62,0,0,0,0,0.77,25.23,0,0,150,22.3,52.91,0,0,0,0,0,0,0,0,0,6,0,22.3,0,1.65,57.43,47.56,26.23,8.74,8.74,142.69,0,63.67,70.99,17.67,0,23.67,23.67,0,63.66,0

7,01:30-01:45,70.15,74.81,1.07,0,63.49,1.62,0,0,0,0,0,25.23,0,0,150,22.3,52.91,0,0,0,0,0,0,0,0,0,6,0,22.3,0,1.65,57.43,47.56,26.23,8.74,8.74,142.69,0,77.33,80,21,0,26.66,26.67,0,77.34,0

8,01:45-02:00,70.15,74.81,1.07,0,63.49,1.62,0,0,0,0,0,25.23,0,0,150,22.3,52.91,0,0,0,0,0,0,0,0,0,6,0,22.3,0,1.65,57.43,47.56,26.23,8.74,8.74,142.69,0,78,80,21,0,26.66,26.67,0,78,0

9,02:00-02:15,70.15,74.81,1.03,0,63.49,1.62,0,0,0,0,0.77,25.23,0,0,150,22.3,52.91,0,0,0,0,0,0,0,0,0,6,0,22.3,0,1.74,57.43,47.56,26.23,8.74,8.74,142.69,0,78,80,21,0,26.66,26.67,0,78,0

10,02:15-02:30,70.15,74.81,1.03,0,63.49,1.62,0,0,0,0,0.77,25.23,0,0,150,22.3,52.91,0,0,0,0,0,0,0,0,0,6,0,22.3,0,1.74,57.43,47.56,26.23,8.74,8.74,142.69,0,79.33,80,21,0,26.66,26.67,0,79.34,0

11,02:30-02:45,70.15,74.81,1.03,0,63.49,1.62,0,0,0,0,0.77,25.23,0,0,150,22.3,52.91,0,0,0,0,0,0,0,0,0,6,0,22.3,0,1.74,57.43,47.56,26.23,8.74,8.74,142.69,0,71,76.99,20.67,0,25.67,25.67,0,71,0

12,02:45-03:00,70.15,74.81,1.03,0,63.49,1.62,0,0,0,0,0.77,25.23,0,0,150,22.3,52.91,0,0,0,0,0,0,0,0,0,6,0,22.3,0,1.74,57.43,47.56,26.23,8.74,8.74,142.69,0,70,76.99,20.67,0,25.67,25.67,0,70,0

13,03:00-03:15,70.15,74.81,1.03,0,63.49,1.62,0,0,0,0,0,25.23,0,0,150,22.3,52.91,0,0,0,0,0,0,0,0,0,6,0,22.3,0,1.74,57.43,47.56,26.23,8.74,8.74,142.69,0,70.67,76.99,17.33,0,25.67,25.67,0,70.66,0

14,03:15-03:30,70.15,74.81,1.03,0,63.49,1.62,0,0,0,0,0,25.23,0,0,150,22.3,52.91,0,0,0,0,0,0,0,0,0,6,0,22.3,0,1.74,57.43,47.56,26.23,8.74,8.74,142.69,0,69,77.51,17.33,0,25.83,25.83,0,69,0

15,03:30-03:45,70.15,74.81,1.03,0,63.49,1.62,0,0,0,0,0.77,25.23,0,0,150,22.3,52.91,0,0,0,0,0,0,0,0,0,6,0,22.3,0,1.74,57.43,47.56,26.23,8.74,8.74,142.69,0,78.67,78,20,0,26,26,0,78.66,0

