Time,Block,NR/2023/11643/A,NR/2023/11476/A,NR/2023/11952/F,NR/2023/12947/C,NR/2023/11957/F,NR/2023/10236/A,NR/2023/10613/A,NR/2023/12928/D,NR/2023/11642/A,NR/2023/11958/F,NR/2023/12932/D,NR/2023/11862/F,NR/2023/10434/A,NR/2023/10173/A,NR/2023/11284/A,NR/2023/11947/F,NR/2023/11640/A,NR/2023/11941/F,NR/2023/10223/A,NR/2023/11960/F,NR/2023/10611/A,NR/2023/11959/F,NR/2023/11961/F,NR/2023/11342/A,NR/2023/11955/F,NR/2023/12944/C,NR/2023/12945/C,NR/2023/10344/A,NR/2023/12656/F,NR/2023/11330/A,NR/2023/11963/F,NR/2023/10944/A,NR/2023/11962/F,NR/2023/10487/A,NR/2023/11956/F,NR/2023/10229/A,NR/2023/12931/D,NR/2023/12933/D,Total
,,MANIKARAN,IEXL,KEIPL,TPDDL,SHPPBPL,NVVNL,APPCPL,NVVNL,MANIKARAN,SHPPBPL,NVVNL,APPCPL,NVVNL,STATKRAFT,STATKRAFT,HPXL,MANIKARAN,NVVNL,TPTCL,SHPPBPL,APPCPL,SHPPBPL,SHPPBPL,IEXL,SHPPBPL,SJVNL,GBHHPL,BYPL,IEXL,APPCPL,SHPPBPL,APPCPL,SHPPBPL,TPTCL,SHPPBPL,NVVNL,TS1PL_BKN,TS1PL_BKN,Total

,,HIMACHAL PRADESH,NA,MEGHALAYA,HIMACHAL PRADESH,HIMACHAL PRADESH,NA,NAGALAND,NA,HIMACHAL PRADESH,HIMACHAL PRADESH,NA,MANIPUR,NA,TAMIL NADU,HIMACHAL PRADESH,MAHARASHTRA,TAMIL NADU,NA,NA,HIMACHAL PRADESH,ARUNACHAL PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,TELANGANA,HIMACHAL PRADESH,WEST BENGAL,HIMACHAL PRADESH,MEGHALAYA,JAMMU AND KASHMIR,HIMACHAL PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,NA,HIMACHAL PRADESH,NA,NA,NA,
,,HP,JSPL_DCPP,Meghalaya_Ben,CHANJUII,SHPPBPL,ILFS,Nagaland_Ben,KAMENG,HP,SHPPBPL,SOLAPUR_SOLAR,Manipur_Ben,SEIL,TANGEDCO,HP,B_S_ISPAT_MH,TANGEDCO,SKS Raigarh,JPL,SHPPBPL,Arunachal_Ben,SHPPBPL,SHPPBPL,NAVABHARAT,SHPPBPL,IPCL_WB,GBHHPL,Meghalaya_Ben,SAPU1234,HP,SHPPBPL,HP,SHPPBPL,APNRL,SHPPBPL,JPNIGRIE_JNSTPP,TS1PL_BKN,TS1PL_BKN,
,,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,
,,BRPL,BRPL,BYPL,TPDDL,BAL234,BRPL,BYPL,TPDDL,BRPL,AISHER,MES (Delhi),STT,TPDDL,BYPL,BYPL,NDMC,BRPL,NDMC,BRPL,MAX-HPTL,BYPL,BMDRC,JHPL-DL,BRPL,BAL184,NDMC,DIAPL,BYPL,MES (Delhi),BRPL,UHL,BYPL,MHIL,TPDDL,BAL224,BRPL,BYPL,BRPL,
,,North-North,West-North,North East-East-North,North-North,North-North,South-West-North,North East-East-North,North East-East-North,North-North,North-North,West-North,North East-East-North,South-West-North,South-West-North,North-North,West-North,South-West-North,West-North,West-North,North-North,North East-East-North,North-North,North-North,South-West-North,North-North,East-North,North-North,North East-East-North,North-North,North-North,North-North,North-North,North-North,East-North,North-North,West-North,North-North,North-North,
1,00:00-00:15,13.050000,48.340000,36.480000,16.890000,0.900000,236.680000,12.670000,78.310000,14.500000,0.820000,0,2.900000,24.170000,75.530000,33.840000,6.770000,23.150000,29.000000,21.510000,0.930000,9.960000,0.930000,1.020000,116.020000,0.360000,0.000000,30.570000,12.250000,2.900000,64.970000,0.610000,27.840000,0.580000,41.570000,0.510000,43.030000,0,0,1029.56

2,00:15-00:30,13.050000,48.340000,36.480000,16.890000,0.900000,236.680000,12.670000,78.310000,14.500000,0.820000,0,2.900000,24.170000,75.530000,33.840000,6.770000,23.150000,29.000000,21.510000,0.930000,9.960000,0.930000,1.020000,116.020000,0.360000,0.000000,30.570000,12.250000,2.900000,64.970000,0.610000,27.840000,0.580000,41.570000,0.510000,43.030000,0,0,1029.56

3,00:30-00:45,13.050000,48.340000,36.480000,16.890000,0.900000,236.680000,12.670000,78.310000,14.500000,0.820000,0,2.900000,24.170000,75.530000,33.840000,6.770000,23.150000,29.000000,21.510000,0.930000,9.960000,0.930000,1.020000,116.020000,0.360000,0.000000,30.570000,12.250000,2.900000,64.970000,0.610000,27.840000,0.580000,41.570000,0.510000,43.030000,0,0,1029.56

4,00:45-01:00,13.050000,48.340000,36.480000,16.890000,0.900000,236.680000,12.670000,78.310000,14.500000,0.820000,0,2.900000,24.170000,75.530000,33.840000,6.770000,23.150000,29.000000,21.510000,0.930000,9.960000,0.930000,1.020000,116.020000,0.360000,0.000000,30.570000,12.250000,2.900000,64.970000,0.610000,27.840000,0.580000,41.570000,0.510000,43.030000,0,0,1029.56

5,01:00-01:15,13.050000,48.340000,36.480000,16.790000,0.900000,236.680000,12.670000,78.310000,14.500000,0.820000,0,2.900000,24.170000,75.530000,33.840000,6.770000,23.150000,29.000000,21.510000,0.930000,9.960000,0.930000,1.020000,116.020000,0.360000,0.000000,30.570000,12.250000,2.900000,64.970000,0.610000,27.840000,0.580000,41.570000,0.510000,43.030000,0,0,1029.46

6,01:15-01:30,13.050000,48.340000,36.480000,16.790000,0.900000,236.680000,12.670000,78.310000,14.500000,0.820000,0,2.900000,24.170000,75.530000,33.840000,6.770000,23.150000,29.000000,21.510000,0.930000,9.960000,0.930000,1.020000,116.020000,0.360000,0.000000,30.570000,12.250000,2.900000,64.970000,0.610000,27.840000,0.580000,41.570000,0.510000,43.030000,0,0,1029.46

7,01:30-01:45,13.050000,48.340000,36.480000,16.790000,0.900000,236.680000,12.670000,78.310000,14.500000,0.820000,0,2.900000,24.170000,75.530000,33.840000,6.770000,23.150000,29.000000,21.510000,0.930000,9.960000,0.930000,1.020000,116.020000,0.360000,0.000000,30.570000,12.250000,2.900000,64.970000,0.610000,27.840000,0.580000,41.570000,0.510000,43.030000,0,0,1029.46

8,01:45-02:00,13.050000,48.340000,36.480000,16.790000,0.900000,236.680000,12.670000,78.310000,14.500000,0.820000,0,2.900000,24.170000,75.530000,33.840000,6.770000,23.150000,29.000000,21.510000,0.930000,9.960000,0.930000,1.020000,116.020000,0.360000,0.000000,30.570000,12.250000,2.900000,64.970000,0.610000,27.840000,0.580000,41.570000,0.510000,43.030000,0,0,1029.46

