Block,Time,NR/01022024/29022024/HPX-GTAMLDCRA-141223-05406,NR/01102023/02122045/L_NR_2021_13,NR/01022024/29022024/SJVN010224NR1468,NR/01022024/29022024/SJVN010224NR1469,NR/16022024/29022024/HP-45,NR/01022024/29022024/79,WR/01102023/29112042/RUMS(L_NR_2019_07),NR/01102023/13082046/L_NR_2021_12,NR/01102023/06022042/L_NR_2012_02,NR/01102023/30042040/GNA_LT_35,NR/01102023/19072037/LT-05,NR/01102023/15082037/GNA_NR_2012_01,L_NR_2019_19,WR/01102023/01102023/L_NR_2020_06,NR/01102023/31052040/LT-31,WR/01102023/29112042/L_NR_2019_05,NR/01022024/29022024/HPX-GTAMLDCRA-090124-05718,SR/14022024/29022024/SJVN140224NR1518,WR/01102023/01102023/L_NR_2022_09,NR/01102023/08032047/L_NR_2021_14,NR/01102023/23072042/L_NR_2012_04,NR/16022024/29022024/HP-40,NR/01022024/29022024/HPX-GTAMLDCRA-141223-05420,WR/01102023/31032046/L_NR_2020_05,SR/01102023/07102043/L_NR_2018_61,NR/22102023/11042047/L_NR_2021_16,NR/01102023/22052037/LT-59,NR/16022024/29022024/HP-38,NR/01022024/29022024/5412UPCL/CE(Comm)/SE/Banking dt. 17.11.2023,NR/16022024/29022024/HP-36,NR/19022024/29022024/NVVN/OA/16907,NR/20122023/29022024/IEX_LDC_231218_00501,NR/30092023/31122025/SH-07,WR/01102023/29112042/RUMS(L_NR_2019_06),NR/01102023/25072045/L_NR_2021_15,NR/01102023/30042040/GNA_LT_36,NR/01022024/29022024/HPX-GTAMLDCRA-090124-05714,NR/01102023/05012040/L_NR_2020_02,WR/01102023/24112044/L_NR_2020_07,NR/01102023/06022042/L_NR_2012_07,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/26072023/31072042/L_NR_2023_07,NR/22102023/11042047/L_NR_2021_17,NR/01012024/31032024/ ChanjuII,NR/01022024/29022024/HPX-GTAMLDCRA-090124-05713,NR/20122023/29022024/IEX_LDC_231218_00502,WR/01102023/16072048/L_NR_2022_08,NR/30092023/26122029/SH-06,WR/01102023/30052048/L_NR_2022_10,NR/26072023/25122043/L_NR_2023_10,NR/01102023/25122043/GNA_MEJA_DELHI,NR/01102023/31102037/L_NR_2019_11
1,00:00-00:15,4.820000,0,0,0,16.320000,0.000000,0,0,167.350000,0.000000,47.210000,50.100000,0,19.16,0.000000,0,6.740000,0,39.7,0,270.980000,0.000000,6.740000,57.48,7.01,0,0.690000,128.130000,96.350000,38.170000,19.270000,8.190000,25.930000,0,0,0.000000,5.780000,1.390000,19.16,52.670000,24.090000,0,0,2.210000,18.310000,11.560000,15.16,25.930000,39.7,0,0.000000,0.950000

2,00:15-00:30,4.820000,0,0,0,16.320000,0.000000,0,0,167.350000,0.000000,47.210000,50.100000,0,19.41,0.000000,0,6.740000,0,39.72,0,270.980000,0.000000,6.740000,58.24,7.01,0,0.690000,128.130000,96.350000,38.170000,19.270000,8.190000,25.930000,0,0,0.000000,5.780000,1.390000,19.41,52.670000,24.090000,0,0,2.210000,18.310000,11.560000,15.1,25.930000,39.72,0,0.000000,0.950000

3,00:30-00:45,4.820000,0,0,0,16.320000,0.000000,0,0,176.990000,0.000000,47.210000,50.100000,0,19.75,0.000000,0,6.740000,0,39.73,0,270.980000,0.000000,6.740000,59.25,7.01,0,0.690000,128.130000,96.350000,38.170000,19.270000,8.190000,25.930000,0,0,0.000000,5.780000,1.390000,19.75,52.670000,25.050000,0,0,2.210000,18.310000,11.560000,14.84,25.930000,39.73,0,0.000000,0.950000

4,00:45-01:00,4.820000,0,0,0,16.320000,0.000000,0,0,176.020000,0.000000,47.210000,50.100000,0,19.84,0.000000,0,6.740000,0,48.88,0,270.980000,0.000000,6.740000,59.51,7.01,0,0.690000,128.130000,96.350000,38.170000,19.270000,8.190000,25.930000,0,0,0.000000,5.780000,1.390000,19.84,52.670000,25.050000,0,0,2.210000,18.310000,11.560000,14.51,25.930000,48.88,0,0.000000,0.950000

5,01:00-01:15,4.820000,0,0,0,16.320000,0.000000,0,0,148.380000,0.000000,33.050000,50.100000,0,19.54,0.000000,0,6.740000,0,48.46,0,270.980000,0.000000,6.740000,58.62,7.01,0,0.690000,128.130000,96.350000,38.170000,19.270000,8.190000,25.930000,0,0,0.000000,5.780000,1.390000,19.54,33.720000,25.050000,0,0,2.210000,18.310000,11.560000,14.51,25.930000,48.46,0,0.000000,0.950000

6,01:15-01:30,4.820000,0,0,0,16.320000,0.000000,0,0,124.290000,0.000000,33.050000,50.100000,0,19.37,0.000000,0,6.740000,0,48.09,0,231.240000,0.000000,6.740000,58.1,7.01,0,0.690000,128.130000,96.350000,38.170000,19.270000,8.190000,25.930000,0,0,0.000000,5.780000,1.390000,19.37,33.720000,25.050000,0,0,2.210000,18.310000,11.560000,14.18,25.930000,48.09,0,0.000000,0.950000

7,01:30-01:45,4.820000,0,0,0,16.320000,0.000000,0,0,145.180000,0.000000,33.050000,99.840000,0,15.94,0.000000,0,6.740000,0,31.7,0,209.080000,0.000000,6.740000,47.83,7.01,0,0.690000,128.130000,96.350000,38.170000,19.270000,8.190000,25.930000,0,0,0.000000,5.780000,1.390000,15.94,33.720000,25.050000,0,0,2.210000,18.310000,11.560000,14.16,25.930000,31.7,0,0.000000,0.950000

8,01:45-02:00,4.820000,0,0,0,16.320000,0.000000,0,0,145.180000,0.000000,33.050000,99.840000,0,15.88,0.000000,0,6.740000,0,31.41,0,209.080000,0.000000,6.740000,47.67,7.01,0,0.690000,128.130000,96.350000,38.170000,19.270000,8.190000,25.930000,0,0,0.000000,5.780000,1.390000,15.89,33.720000,25.050000,0,0,2.210000,18.310000,11.560000,13.84,25.930000,31.41,0,0.000000,0.950000

9,02:00-02:15,4.820000,0,0,0,16.320000,0.000000,0,0,145.180000,0.000000,33.050000,99.840000,0,15.78,0.000000,0,6.740000,0,31.54,0,209.080000,0.000000,6.740000,47.32,7.01,0,0.690000,128.130000,96.350000,38.170000,19.270000,8.190000,25.930000,0,0,0.000000,5.780000,1.390000,15.77,33.720000,25.050000,0,0,2.210000,18.310000,11.560000,13.84,25.930000,31.54,0,0.000000,0.950000

