Block,Time,L_NR_2022_10,L_NR_2021_12,L_NR_2020_02,L_NR_2022_09,L_NR_2021_13,L_NR_2021_14,L_NR_2021_15,L_NR_2012_01,L_NR_2019_11,LT-59,L_NR_2020_07,L_NR_2019_19,L_NR_2012_07,L_NR_2012_02,LT-31,LT-36,L_NR_2021_17,SH-06,LT-05,L_NR_2019_06,LT-35,L_NR_2020_06,L_NR_2012_04,L_NR_2022_08,LT_MEJA_Delhi,L_NR_2023_04,L_NR_2018_61,L_NR_2019_05,L_NR_2021_16,L_NR_2019_07,L_NR_2020_05,SH-07
1,00:00-00:15,38.55,0,7.300000,38.55,0,0,0,101.310000,7.160000,6.540000,19.71,0.000000,87.240000,261.720000,0.000000,0.000000,0,0.000000,115.730000,0,0.000000,19.71,272.020000,16.79,3.690000,0.000000,38.82,0,0,0,59.12,30.950000

2,00:15-00:30,38.99,0,7.300000,38.99,0,0,0,101.310000,7.160000,6.540000,19.74,0.000000,87.240000,261.720000,0.000000,0.000000,0,0.000000,115.730000,0,0.000000,19.73,272.020000,16.66,3.690000,0.000000,38.17,0,0,0,59.19,30.950000

3,00:30-00:45,39.22,0,7.300000,39.22,0,0,0,101.310000,7.160000,6.540000,18.38,0.000000,87.240000,261.720000,0.000000,0.000000,0,0.000000,115.730000,0,0.000000,18.39,272.020000,16.6,3.690000,0.000000,38.2,0,0,0,55.16,30.950000

4,00:45-01:00,39.48,0,7.300000,39.48,0,0,0,101.310000,7.160000,6.540000,18.38,0.000000,87.240000,261.720000,0.000000,0.000000,0,0.000000,115.730000,0,0.000000,18.39,272.020000,16.6,3.690000,0.000000,38.3,0,0,0,55.16,30.950000

5,01:00-01:15,39.52,0,7.160000,39.52,0,0,0,101.310000,7.160000,6.540000,18.43,0.000000,87.240000,261.720000,0.000000,0.000000,0,0.000000,115.730000,0,0.000000,18.43,272.020000,16.64,3.690000,0.000000,38.44,0,0,0,55.28,30.950000

6,01:15-01:30,39.57,0,7.160000,39.57,0,0,0,101.310000,7.160000,6.540000,18.78,0.000000,87.240000,261.720000,0.000000,0.000000,0,0.000000,115.730000,0,0.000000,18.78,272.020000,16.7,3.690000,0.000000,38.64,0,0,0,56.33,30.950000

