Block,Time,L_NR_2022_08,LT-35,LT-31,L_NR_2021_12,L_NR_2021_16,L_NR_2020_02,L_NR_2012_07,L_NR_2019_06,L_NR_2019_07,L_NR_2021_13,L_NR_2020_07,LT-59,L_NR_2018_61,L_NR_2012_02,L_NR_2022_09,L_NR_2021_14,L_NR_2012_01,L_NR_2020_05,L_NR_2019_19,L_NR_2021_15,L_NR_2023_04,LT-36,L_NR_2019_05,L_NR_2012_04,LT-05,L_NR_2022_10,L_NR_2021_17,L_NR_2020_06,L_NR_2019_11,SH-06,SH-07
1,00:00-00:15,16.88,0.000000,0.000000,0,0,0.000000,73.970000,0,0,0,20.38,10.320000,38.48,261.020000,46.17,0,101.040000,61.15,0,0,0.000000,0.000000,0,271.290000,115.790000,46.17,0,20.38,7.510000,0.000000,0.000000

2,00:15-00:30,17.01,0.000000,0.000000,0,0,0.000000,73.970000,0,0,0,20.6,10.320000,36.69,261.020000,46.36,0,101.040000,61.83,0,0,0.000000,0.000000,0,271.290000,115.790000,46.36,0,20.61,7.510000,0.000000,0.000000

3,00:30-00:45,18.24,0.000000,0.000000,0,0,0.000000,73.970000,0,0,0,24.21,10.320000,35.46,261.020000,53.61,0,101.040000,72.68,0,0,0.000000,0.000000,0,271.290000,115.790000,53.61,0,24.23,7.510000,0.000000,0.000000

4,00:45-01:00,19.36,0.000000,0.000000,0,0,0.000000,73.970000,0,0,0,24.43,10.320000,35.03,261.020000,54.63,0,101.040000,73.31,0,0,0.000000,0.000000,0,271.290000,115.790000,54.63,0,24.44,7.510000,0.000000,0.000000

5,01:00-01:15,20.22,0.000000,0.000000,0,0,0.000000,73.970000,0,0,0,25.82,10.320000,35.64,261.020000,55.73,0,101.040000,77.46,0,0,0.000000,0.000000,0,271.290000,115.790000,55.73,0,25.82,7.510000,0.000000,0.000000

6,01:15-01:30,20.89,0.000000,0.000000,0,0,0.000000,73.970000,0,0,0,27.51,10.320000,34.82,261.020000,58.64,0,101.040000,82.55,0,0,0.000000,0.000000,0,271.290000,115.790000,58.64,0,27.52,7.510000,0.000000,0.000000

7,01:30-01:45,22.18,0.000000,0.000000,0,0,0.000000,73.970000,0,0,0,27.88,10.320000,34.28,261.020000,58.85,0,101.040000,83.69,0,0,0.000000,0.000000,0,271.290000,115.790000,58.85,0,27.9,7.510000,0.000000,0.000000

8,01:45-02:00,15.77,0.000000,0.000000,0,0,0.000000,73.970000,0,0,0,21.28,10.320000,33.92,261.020000,59.47,0,101.040000,63.83,0,0,0.000000,0.000000,0,271.290000,115.790000,59.47,0,21.27,7.510000,0.000000,0.000000

9,02:00-02:15,15.92,0.000000,0.000000,0,0,0.000000,73.970000,0,0,0,21.49,10.320000,34.47,261.020000,51.68,0,101.040000,64.5,0,0,0.000000,0.000000,0,271.290000,115.790000,51.68,0,21.5,7.370000,0.000000,0.000000

10,02:15-02:30,16.43,0.000000,0.000000,0,0,0.000000,73.970000,0,0,0,22.17,10.320000,34.23,261.020000,51.16,0,101.040000,66.49,0,0,0.000000,0.000000,0,271.290000,85.140000,51.16,0,22.16,7.370000,0.000000,0.000000

11,02:30-02:45,16.27,0.000000,0.000000,0,0,0.000000,73.970000,0,0,0,22.97,10.320000,33.99,261.020000,50.33,0,101.040000,68.86,0,0,28.940000,0.000000,0,271.290000,85.140000,50.33,0,22.95,7.370000,0.000000,0.000000

