Block,Time,JHAJJAR,KHSTPP-II,KISHANGANGA,NJPC,RSTPSU7,SASAN,SEWA2,SIMHST1,URI2,FSTPP I & II,KOTESHWR,MAPS,NTPL,RAMPUR,RIHAND2,TANAKPUR,TelanganaSTPP,AURY_CRF,DADRI_LF,BRBCL,DADRT2,DULHASTI,KOLDAM,KUDGI,PARBATI3,UNCHAHAR2,UNCHAHAR4,VALLURNTECL,DADRI_CRF,DADRI_RF,CHAMERA1,KHSTPP-I,KKNPPU2,NLCEXP,ANTA_LF,DADRI_GF,NAPP,RSTPSU1TO6,SALAL,SIMHST2,TALA,TALST2,CHAMERA2,CHAMERA3,KGSU1AND2,RAPPC,SINGRAULI,TANDA2,UNCHAHAR1,UNCHAHAR3,URI,ANTA_GF,ANTA_RF,AURY_LF,AURY_RF,KGSU3AND4,KKNP,NLCIIST2,NLCTS2EXP,NNTPP,RIHAND3,ANTA_CRF,AURY_GF,BSIUL,DHAULIGNGA,NLCIIST1,RAPPB,RIHAND1,SINGRAULI_HYDRO,TEHRI
1,00:00-00:15,472.31,148.3,0,46.78,0,405,0,0,26.9,14.3,8.87,0,0,0,118.76,13.06,0,0,21.92,15,341.57,32.96,0,0,0,42.4,0,0,0,66.85,0,44.92,0,0,0,0,41.65,0,12.78,0,2,0,13.17,9.68,0,51.9,138.75,0,20.56,0,5.52,0,42.74,0,69.5,0,0,0,0,0,124.32,0,0,0,9.11,0,0,92,0,46.69

2,00:15-00:30,472.31,148.3,0,46.78,0,405,0,0,26.9,14.3,8.87,0,0,0,118.76,13.06,0,0,21.92,15,341.57,32.96,0,0,0,42.4,0,0,0,66.85,0,44.92,0,0,0,0,41.65,0,12.78,0,2,0,13.17,9.68,0,51.9,138.75,0,20.56,0,5.52,0,42.74,0,69.5,0,0,0,0,0,124.32,0,0,0,9.11,0,0,92,0,29.87

3,00:30-00:45,472.31,148.3,0,46.78,0,405,0,0,26.9,14.3,8.87,0,0,0,118.76,10.89,0,0,21.92,15,341.57,32.96,0,0,0,42.4,0,0,0,66.85,0,46.4,0,0,0,0,41.65,0,12.78,0,3.03,0,13.17,9.68,0,51.9,138.75,0,20.56,0,5.52,0,42.74,0,69.5,0,0,0,0,0,124.32,0,0,0,9.11,0,0,92,0,14.93

4,00:45-01:00,472.31,148.3,0,46.78,0,405,0,0,26.9,14.3,8.87,0,0,0,118.76,10.89,0,0,21.92,15,341.57,32.96,0,0,0,42.4,0,0,0,66.85,0,46.4,0,0,0,0,41.65,0,12.78,0,3.03,0,13.17,9.68,0,51.9,138.75,0,20.56,0,5.52,0,42.74,0,69.5,0,0,0,0,0,124.32,0,0,0,9.11,0,0,92,0,14.93

5,01:00-01:15,472.31,148.3,0,46.78,0,405,0,0,26.9,14.3,8.87,0,0,0,118.76,10.89,0,0,21.92,15,341.57,32.96,0,0,0,42.4,0,0,0,66.85,0,46.4,0,0,0,0,41.65,0,12.78,0,3.03,0,13.17,9.68,0,51.9,138.75,0,20.56,0,5.52,0,42.74,0,69.5,0,0,0,0,0,124.32,0,0,0,9.11,0,0,92,0,14.93

6,01:15-01:30,472.31,148.3,0,46.78,0,405,0,0,26.9,14.3,8.87,0,0,0,118.76,10.89,0,0,21.92,15,341.57,32.96,0,0,0,42.4,0,0,0,66.85,0,46.4,0,0,0,0,41.65,0,12.78,0,3.03,0,13.17,9.68,0,51.9,138.75,0,20.56,0,5.52,0,42.74,0,69.5,0,0,0,0,0,124.32,0,0,0,9.11,0,0,92,0,14.93

7,01:30-01:45,472.31,148.3,0,46.78,0,405,0,0,0,14.3,8.87,0,0,0,118.76,13.06,0,0,21.92,15,341.57,32.96,0,0,0,42.4,0,0,0,66.85,0,46.4,0,0,0,0,41.65,0,12.78,0,3.03,0,13.17,9.68,0,51.9,138.75,0,20.56,0,5.52,0,42.74,0,69.5,0,0,0,0,0,124.32,0,0,0,9.11,0,0,92,0,14.93

