Block,Time,BSIUL,DHAULIGNGA,KKNP,NJPC,NLCTS2EXP,RIHAND3,TelanganaSTPP,AURY_RF,DADRI_RF,CHAMERA1,KHSTPP-II,SIMHST2,AURY_GF,DADRI_CRF,DADRI_LF,CHAMERA2,CHAMERA3,DULHASTI,KOLDAM,NLCIIST2,RAPPB,RIHAND2,TALST2,TEHRI,UNCHAHAR1,UNCHAHAR3,ANTA_CRF,BRBCL,FSTPP I & II,MAPS,NNTPP,NTPL,RAMPUR,UNCHAHAR4,VALLURNTECL,ANTA_LF,DADRT2,KGSU3AND4,KISHANGANGA,KOTESHWR,NAPP,UNCHAHAR2,JHAJJAR,RSTPSU7,SINGRAULI_HYDRO,URI,ANTA_GF,AURY_CRF,DADRI_GF,KGSU1AND2,NLCIIST1,PARBATI3,RAPPC,RIHAND1,RSTPSU1TO6,SIMHST1,TANDA2,AURY_LF,KHSTPP-I,KKNPPU2,KUDGI,NLCEXP,SALAL,SASAN,SEWA2,SINGRAULI,TALA,TANAKPUR,URI2,ANTA_RF
1,00:00-00:15,6.52,0,0,0,0,62.16,0,70.04,59.73,0,148.3,0,0,0,0,0,0,16.48,0,0,0,118.76,0,0,20.55,26.4,0,20,18.2,0,0,0,0,0,0,0,683.14,0,0,8.87,23.39,42.39,434.65,0,0.75,36.43,0,0,0,0,0,0,25.51,92,0,0,0,0,45.53,0,0,0,69.72,168.75,15.81,139.69,0,5.76,33.09,43.05

2,00:15-00:30,6.52,0,0,0,0,62.16,0,70.04,59.73,0,148.3,0,0,0,0,0,0,16.48,0,0,0,118.76,0,0,20.55,26.4,0,20,18.2,0,0,0,0,0,0,0,683.14,0,0,8.87,23.39,42.39,434.65,0,0.75,36.43,0,0,0,0,0,0,25.51,92,0,0,0,0,45.53,0,0,0,69.72,168.75,15.81,139.69,0,5.76,33.09,43.05

3,00:30-00:45,6.52,0,0,0,0,62.16,0,70.04,59.73,0,148.3,0,0,0,0,0,0,16.48,0,0,0,118.76,0,0,20.55,26.4,0,20,18.2,0,0,0,0,0,0,0,683.14,0,0,8.87,23.39,42.39,434.65,0,0.75,36.43,0,0,0,0,0,0,25.51,92,0,0,0,0,45.53,0,0,0,69.72,135,15.81,139.69,0,5.76,33.09,43.05

4,00:45-01:00,6.52,0,0,0,0,62.16,0,70.04,59.73,0,148.3,0,0,0,0,0,0,16.48,0,0,0,118.76,0,0,20.55,26.4,0,20,18.2,0,0,0,0,0,0,0,683.14,0,0,8.87,23.39,42.39,434.65,0,0.75,36.43,0,0,0,0,0,0,25.51,92,0,0,0,0,45.53,0,0,0,69.72,135,15.81,139.69,0,5.76,33.09,43.05

5,01:00-01:15,6.52,0,0,0,0,62.16,0,70.04,59.73,0,148.3,0,0,0,0,0,0,0,0,0,0,118.76,0,0,20.55,26.4,0,20,18.2,0,0,0,0,0,0,0,683.14,0,0,8.87,23.39,42.39,434.65,0,0.75,36.43,0,0,0,0,0,0,25.51,92,0,0,0,0,45.53,0,0,0,69.72,135,15.81,139.69,0,5.76,33.09,43.05

