Block,Time,LT_MEJA_Delhi,LT-31,L_NR_2012_01,L_NR_2019_11,L_NR_2012_04,SH-06,L_NR_2020_02,L_NR_2012_02,LT-59,LT-36,LT-35,L_NR_2023_04,LT-05,SH-07,L_NR_2012_07,L_NR_2022_08,L_NR_2022_10,L_NR_2018_61,L_NR_2021_14,L_NR_2021_15,L_NR_2019_19,L_NR_2021_12,L_NR_2021_17,L_NR_2019_07,L_NR_2021_13,L_NR_2020_07,L_NR_2020_05,L_NR_2022_09,L_NR_2019_05,L_NR_2020_06,L_NR_2021_16,L_NR_2019_06
1,00:00-00:15,3.910000,0.000000,101.420000,10.790000,272.310000,29.280000,11.920000,261.990000,10.360000,0.000000,0.000000,0.000000,116.220000,29.280000,87.330000,22.18,52.54,16.01,0,0,0,0,0,0,0,17.66,52.98,52.54,0,17.66,0,0

2,00:15-00:30,3.910000,0.000000,101.420000,10.790000,272.310000,29.280000,11.920000,261.990000,10.360000,0.000000,0.000000,0.000000,116.220000,29.280000,87.330000,22.18,52.64,16.01,0,0,0,0,0,0,0,17.8,53.35,52.64,0,17.78,0,0

3,00:30-00:45,3.910000,0.000000,101.420000,10.790000,272.310000,29.280000,11.920000,261.990000,10.360000,0.000000,0.000000,0.000000,116.220000,29.280000,87.330000,20.09,46.15,15.89,0,0,0,0,0,0,0,15.36,46.06,46.15,0,15.35,0,0

4,00:45-01:00,3.910000,0.000000,101.420000,10.790000,272.310000,29.280000,11.920000,261.990000,10.360000,0.000000,0.000000,0.000000,116.220000,29.280000,87.330000,19.97,46.31,15.79,0,0,0,0,0,0,0,15.21,45.62,46.31,0,15.2,0,0

5,01:00-01:15,3.910000,0.000000,101.420000,10.400000,272.310000,29.280000,11.920000,261.990000,10.360000,0.000000,0.000000,0.000000,116.220000,29.280000,87.330000,19.95,46.74,15.76,0,0,0,0,0,0,0,15.1,45.28,46.74,0,15.09,0,0

