Block,Time,SR/01102023/07102043/L_NR_2018_61,NR/01102023/25072045/L_NR_2021_15,NR/26072023/25122043/L_NR_2023_10,WR/01102023/24112044/L_NR_2020_07,NR/01102023/13082046/L_NR_2021_12,WR/01102023/16072048/L_NR_2022_08,WR/01102023/29112042/L_NR_2019_05,WR/01102023/01102023/L_NR_2020_06,WR/01102023/30052048/L_NR_2022_10,NR/01102023/02122045/L_NR_2021_13,NR/01102023/08032047/L_NR_2021_14,WR/01102023/29112042/RUMS(L_NR_2019_06),NR/22102023/11042047/L_NR_2021_16,WR/01102023/31032046/L_NR_2020_05,WR/01102023/01102023/L_NR_2022_09,L_NR_2019_19,WR/01102023/29112042/RUMS(L_NR_2019_07),NR/26072023/31072042/L_NR_2023_07,NR/22102023/11042047/L_NR_2021_17,NR/01062024/30062024/NDMC/D-46/EE(Power)/2024,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/01062024/30062024/IEPL01,NR/01062024/30062024/R2,NR/01062024/15062024/1000011005-GOHP-BRPL,NR/01102023/15082037/GNA_NR_2012_01,NR/01042024/30062024/NOC/HPSLDC/NR/2024/41758,NR/01062024/30062024/1000011017-PPGCL-BRPL,NR/30092023/31122025/SH-07,NR/01062024/30062024/IIPL/(JPL(TM)-BRPL)/BRPLT-169/24-25/1,NR/01102023/06022042/L_NR_2012_02,NR/01062024/30062024/APPCPL/180/F25/GNA/12300,NR/01102023/30042040/GNA_LT_36,NR/01062024/30062024/JPL-BRPL(PTC)GNA,NR/01062024/30062024/1000011195-SIEL-BRPL(DISCOM),NR/01102023/06022042/L_NR_2012_07,NR/01102023/19072037/LT-05,NR/01042024/31072024/LT_MEJA_DELHI,NR/01102023/22052037/LT-59,NR/01102023/31102037/L_NR_2019_11,NR/01102023/05012040/L_NR_2020_02,NR/01102023/31052040/LT-31,NR/30092023/26122029/SH-06,NR/01062024/15062024/1000011003-KWHPS-BRPL(DISCOM),NR/01062024/30062024/1000011034-ACBL-BRPL,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/30042040/GNA_LT_35,NR/01102023/23072042/L_NR_2012_04,NR/01062024/30062024/8588/OAN/GMRETL/GPHHPPL-BRPL,NR/01102023/25122043/GNA_MEJA_DELHI
1,00:00-00:15,7.21,0,0,22.67,0,20,0,22.66,47.67,0,0,0,0,68,47.67,0,0,0,0,29.040000,273.080000,38.630000,24.140000,48.290000,100.620000,15.310000,24.140000,30.910000,24.140000,262.210000,38.630000,0.000000,48.290000,48.290000,87.120000,115.470000,16.110000,9.320000,9.750000,9.100000,0.000000,30.910000,24.140000,24.140000,29.770000,0.000000,0.000000,24.140000,0.000000

2,00:15-00:30,7.21,0,0,22.5,0,20.34,0,22.5,47.33,0,0,0,0,67.5,47.33,0,0,0,0,29.040000,273.080000,38.630000,24.140000,48.290000,100.620000,15.310000,24.140000,30.910000,24.140000,262.210000,38.630000,0.000000,48.290000,48.290000,87.120000,115.470000,16.110000,9.320000,9.750000,9.100000,0.000000,30.910000,24.140000,24.140000,29.770000,0.000000,0.000000,24.140000,0.000000

3,00:30-00:45,7.21,0,0,22.33,0,20.66,0,22.34,47.33,0,0,0,0,67,47.33,0,0,0,0,29.040000,273.080000,38.630000,24.140000,48.290000,100.620000,15.310000,24.140000,30.910000,24.140000,262.210000,38.630000,0.000000,48.290000,48.290000,87.120000,115.470000,16.110000,9.320000,9.750000,9.100000,0.000000,30.910000,24.140000,24.140000,29.770000,0.000000,0.000000,24.140000,0.000000

4,00:45-01:00,7.21,0,0,23,0,21,0,23,47.33,0,0,0,0,69,47.33,0,0,0,0,29.040000,273.080000,38.630000,24.140000,48.290000,100.620000,15.310000,24.140000,30.910000,24.140000,262.210000,38.630000,0.000000,48.290000,48.290000,87.120000,115.470000,16.110000,9.320000,9.750000,9.100000,0.000000,30.910000,24.140000,24.140000,29.770000,0.000000,0.000000,24.140000,0.000000

5,01:00-01:15,7.21,0,0,23.33,0,21,0,23.34,47.67,0,0,0,0,70,47.67,0,0,0,0,29.040000,273.080000,38.630000,24.140000,48.290000,100.620000,15.210000,24.140000,30.910000,24.140000,262.210000,38.630000,0.000000,48.290000,48.290000,87.120000,115.470000,16.110000,9.320000,9.750000,9.100000,0.000000,30.910000,24.140000,24.140000,29.770000,0.000000,0.000000,24.140000,0.000000

6,01:15-01:30,7.21,0,0,23.67,0,21.34,0,23.66,48.67,0,0,0,0,71,48.67,0,0,0,0,29.040000,273.080000,38.630000,24.140000,48.290000,100.620000,15.210000,24.140000,30.910000,24.140000,262.210000,38.630000,0.000000,48.290000,48.290000,87.120000,115.470000,16.110000,9.320000,9.750000,9.100000,0.000000,30.910000,24.140000,24.140000,29.770000,0.000000,0.000000,24.140000,0.000000

7,01:30-01:45,7.21,0,0,24,0,21.66,0,24,53.33,0,0,0,0,72,53.33,0,0,0,0,29.040000,273.080000,38.630000,24.140000,48.290000,100.620000,15.210000,24.140000,30.910000,24.140000,262.210000,38.630000,0.000000,48.290000,48.290000,87.120000,115.470000,16.110000,9.320000,9.750000,9.100000,0.000000,30.910000,24.140000,24.140000,29.770000,0.000000,0.000000,24.140000,0.000000

8,01:45-02:00,7.21,0,0,24.33,0,21.66,0,24.34,53.67,0,0,0,0,73,53.67,0,0,0,0,29.040000,273.080000,38.630000,24.140000,48.290000,100.620000,15.210000,24.140000,30.910000,24.140000,262.210000,38.630000,0.000000,48.290000,48.290000,87.120000,115.470000,16.110000,9.320000,9.750000,9.100000,0.000000,30.910000,24.140000,24.140000,29.770000,0.000000,0.000000,24.140000,0.000000

9,02:00-02:15,7.21,0,0,27.17,0,21.34,0,27.16,57.67,0,0,0,0,81.5,57.67,0,0,0,0,24.690000,273.080000,38.630000,24.140000,48.290000,100.620000,15.030000,24.140000,30.910000,24.140000,262.210000,38.630000,0.000000,48.290000,48.290000,87.120000,115.470000,16.110000,8.930000,9.750000,8.730000,0.000000,30.910000,24.140000,24.140000,29.770000,0.000000,0.000000,24.140000,0.000000

10,02:15-02:30,7.21,0,0,27.33,0,21.34,0,27.34,58.33,0,0,0,0,82,58.33,0,0,0,0,24.690000,273.080000,38.630000,24.140000,48.290000,100.620000,15.030000,24.140000,30.910000,24.140000,262.210000,38.630000,0.000000,48.290000,48.290000,87.120000,115.470000,16.110000,8.930000,9.750000,8.730000,0.000000,30.910000,24.140000,24.140000,29.770000,0.000000,0.000000,24.140000,0.000000

11,02:30-02:45,7.21,0,0,27.33,0,21.34,0,27.34,59.67,0,0,0,0,82,59.67,0,0,0,0,24.690000,273.080000,38.630000,24.140000,48.290000,100.620000,15.030000,24.140000,30.910000,24.140000,262.210000,38.630000,0.000000,48.290000,48.290000,87.120000,115.470000,16.110000,8.930000,9.750000,8.730000,0.000000,30.910000,24.140000,24.140000,30.280000,0.000000,0.000000,24.140000,0.000000

12,02:45-03:00,7.21,0,0,27.33,0,21.34,0,27.34,60,0,0,0,0,82,60,0,0,0,0,24.690000,273.080000,38.630000,24.140000,48.290000,100.620000,15.030000,24.140000,30.910000,24.140000,262.210000,38.630000,0.000000,48.290000,48.290000,87.120000,115.470000,16.110000,8.930000,9.750000,8.730000,0.000000,30.910000,24.140000,24.140000,29.770000,0.000000,0.000000,24.140000,0.000000

13,03:00-03:15,7.21,0,0,28,0,21,0,28,60.33,0,0,0,0,84,60.33,0,0,0,0,24.690000,273.080000,38.630000,24.140000,48.290000,100.620000,14.750000,24.140000,1.760000,24.140000,262.210000,0.000000,0.000000,48.290000,48.290000,87.120000,115.470000,16.110000,8.930000,9.370000,8.550000,0.000000,30.910000,24.140000,24.140000,29.770000,0.000000,0.000000,24.140000,0.000000

14,03:15-03:30,7.21,0,0,27.83,0,20.34,0,27.84,60.33,0,0,0,0,83.5,60.33,0,0,0,0,24.690000,273.080000,38.630000,24.140000,48.290000,100.620000,14.750000,24.140000,1.760000,24.140000,262.210000,0.000000,0.000000,48.290000,48.290000,87.120000,115.470000,16.110000,8.930000,9.370000,8.550000,0.000000,30.910000,24.140000,24.140000,29.770000,0.000000,0.000000,24.140000,0.000000

15,03:30-03:45,7.21,0,0,26,0,19.66,0,26,58.67,0,0,0,0,78,58.67,0,0,0,0,24.690000,273.080000,38.630000,24.140000,48.290000,100.620000,14.750000,24.140000,0.780000,24.140000,262.210000,0.000000,0.000000,48.290000,48.290000,87.120000,115.470000,16.110000,8.930000,9.370000,8.550000,0.000000,30.910000,24.140000,24.140000,29.770000,0.000000,0.000000,24.140000,0.000000

16,03:45-04:00,7.21,0,0,24.83,0,19,0,24.84,56.67,0,0,0,0,74.5,56.67,0,0,0,0,24.690000,273.080000,38.630000,24.140000,48.290000,100.620000,14.750000,24.140000,0.780000,24.140000,262.210000,0.000000,0.000000,48.290000,48.290000,87.120000,115.470000,16.110000,8.930000,9.370000,8.550000,0.000000,30.910000,24.140000,24.140000,29.770000,0.000000,0.000000,24.140000,0.000000

17,04:00-04:15,7.21,0,0,22.33,0,16.66,0,22.34,56.33,0,0,0,0,67,56.33,0,0,0,0,24.690000,273.080000,38.630000,24.140000,48.290000,100.620000,14.560000,24.140000,0.780000,24.140000,262.210000,0.000000,0.000000,48.290000,48.290000,87.120000,115.470000,16.110000,8.550000,9.370000,8.350000,0.000000,30.910000,24.140000,24.140000,29.260000,0.000000,0.000000,24.140000,0.000000

18,04:15-04:30,7.21,0,0,22,0,16.34,0,22,55,0,0,0,0,66,55,0,0,0,0,24.690000,273.080000,38.630000,24.140000,48.290000,100.620000,14.560000,24.140000,0.780000,24.140000,262.210000,0.000000,0.000000,48.290000,48.290000,87.120000,115.470000,16.110000,8.550000,9.370000,8.350000,0.000000,30.910000,24.140000,24.140000,29.770000,0.000000,0.000000,24.140000,0.000000

19,04:30-04:45,7.21,0,0,21.83,0,15.66,0,21.84,53.33,0,0,0,0,65.5,53.33,0,0,0,0,24.690000,273.080000,38.630000,24.140000,48.290000,100.620000,14.560000,24.140000,0.780000,24.140000,262.210000,0.000000,0.000000,48.290000,48.290000,87.120000,115.470000,16.110000,8.550000,9.370000,8.350000,0.000000,30.910000,24.140000,24.140000,29.770000,0.000000,0.000000,24.140000,0.000000

20,04:45-05:00,7.21,0,0,20.83,0,15,0,20.84,53,0,0,0,0,62.5,53,0,0,0,0,24.690000,273.080000,38.630000,24.140000,48.290000,100.620000,14.560000,24.140000,0.780000,24.140000,262.210000,0.000000,0.000000,48.290000,48.290000,87.120000,115.470000,16.110000,8.550000,9.370000,8.350000,0.000000,30.910000,24.140000,24.140000,29.770000,0.000000,0.000000,24.140000,0.000000

21,05:00-05:15,7.21,0,0,19.67,0,14.34,0,19.66,52.33,0,0,0,0,59,52.33,0,0,0,0,24.690000,273.080000,38.630000,24.140000,48.290000,100.620000,14.290000,24.140000,12.950000,24.140000,262.210000,0.000000,0.000000,48.290000,48.290000,87.120000,115.470000,16.110000,8.160000,8.840000,8.170000,0.000000,30.910000,24.140000,24.140000,29.770000,0.000000,0.000000,24.140000,0.000000

22,05:15-05:30,7.21,0,0,19.17,0,13.34,0,19.16,50.67,0,0,0,0,57.5,50.67,0,0,0,0,24.690000,273.080000,38.630000,24.140000,48.290000,100.620000,14.290000,24.140000,12.950000,24.140000,262.210000,0.000000,0.000000,48.290000,48.290000,87.120000,115.470000,16.110000,8.160000,8.840000,8.170000,0.000000,30.910000,24.140000,24.140000,29.770000,0.000000,0.000000,24.140000,0.000000

23,05:30-05:45,7.21,0,0,18.17,0,12.66,0,18.16,50.33,0,0,0,0,54.5,50.33,1.21775,0,0,0,24.690000,273.080000,38.630000,24.140000,48.290000,100.620000,14.290000,24.140000,12.950000,24.140000,262.210000,0.000000,0.000000,48.290000,48.290000,87.120000,115.470000,16.110000,8.160000,8.840000,8.170000,0.000000,30.910000,24.140000,24.140000,28.760000,0.000000,0.000000,24.140000,0.000000

24,05:45-06:00,7.21,0.2,0,18,0.43,12.34,0,18,50,0.09,0.18,0,0,54,50,2.708276,0,0,0,24.690000,273.080000,38.630000,24.140000,48.290000,100.620000,14.290000,24.140000,12.950000,24.140000,262.210000,0.000000,0.000000,48.290000,48.290000,87.120000,115.470000,16.110000,8.160000,8.840000,8.170000,0.000000,30.910000,24.140000,24.140000,28.760000,0.000000,0.000000,24.140000,0.000000

25,06:00-06:15,7.21,1,1,18.67,3.73,14.66,0,18.66,56.67,0.75,1.66,10.89,1,56,56.67,5.513972,0,1,0,24.690000,273.080000,38.630000,24.140000,48.290000,100.620000,14.010000,24.140000,12.950000,24.140000,262.210000,0.000000,0.000000,48.290000,48.290000,87.120000,115.470000,16.110000,6.220000,8.300000,7.990000,0.000000,30.910000,24.140000,24.140000,28.760000,0.000000,0.000000,24.140000,0.000000

