Column1,Block,NR/2025/26304/C,NR/2025/25948/A/67998,NR/2025/26297/C,WR/2025/27361/A/68074,WR/2025/27350/A/67463,NR/2025/25945/A/68006,NR/2025/25947/A/67999,NR/2025/25955/A/67974,NR/2025/26031/A/67604,NR/2025/26269/C,NR/2025/26085/A/67460,NR/2025/26311/C,NR/2025/25752/A/67483,NR/2025/26308/C,NR/2025/26307/C,GNARE/NR/2024/12/20/3668,GNA/NR/2025/04/01/7960,GNA/NR/2025/04/01/5285,GNA/NR/2025/04/01/1831,GNA/NR/2025/04/16/2139,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/04/01/4565,NR/30092023/26122029/SH-06,GNA/WR/2025/04/01/4420,GNA/NR/2025/04/01/6490,NR/30092023/31122025/SH-07,GNA/NR/2025/04/01/7459,GNA/SR/2025/04/01/2597,GNA/NR/2025/04/16/1389,GNA/NR/2025/04/29/1142,GNA/NR/2025/04/16/4327,GNA/NR/2025/04/29/1534,GNA/NR/2025/04/01/1333,GNA/NR/2025/04/01/6216,GNA/NR/2025/04/01/9334,GNA/NR/2025/04/16/8132,GNA/NR/2025/04/16/2341,GNA/NR/2025/04/16/6639,Total
,,HPXL,APPCPL,PXIL,APPCPL,KEIPL,APPCPL,APPCPL,APPCPL,DIAPL,TPDDL,ITCLH,IEXL,IEXL,HPXL,HPXL,SECI_Trader,NDMC,IEXL,IEXL,PowerPulse,DELHI,PXIL,PUNJAB,IVPL_Trader,HPXL,BAWANA_GAS,IEXL,APPCPL,HPXL,IEXL,HPXL,IEXL,IEXL,IEXL,IEXL,NDMC,IEXL,HPXL,
,,KARNATAKA_STATE,NA,ODISHA_STATE,DELHI_UT,DELHI_UT,NA,NA,NA,HIMACHAL_STATE,NA,ANDHRA_PRADESH_STATE,NA,NA,NA,NA,NA,NA,SIKKIM_STATE,HIMACHAL_STATE,NA,HIMACHAL_STATE,UTTARPRADESH_STATE,DELHI_UT,DELHI_UT,CSEB_State,DELHI_UT,HIMACHAL_STATE,DELHI_UT,NA,NA,NA,GoHP_Koldam_STATE,SIKKIM_STATE,SIKKIM_STATE,SIKKIM_STATE,NA,NA,NA,
,,TADASWIND_KAR,TRN_ENERGY,ODISHA,BYPL,BYPL,RKM_POWER,RKM_POWER,JIPL,GBHHPL,JHAJJAR,ITCWIND,ADHPL,TPSL_BKN2,HIRIYUR_OSTROKANNADA,CPTTNPL,APSEPL_FTG,JPL2,MEYONGCHU_HEP,RHPPL_HP,APL_Raipur_TPP,CHANJUII,LAPL_UP,BAWANA_GAS,BYPL,MSPLTD,BAWANA_GAS,KGEPL_HP,BYPL,SIMHAPURI,SINGOLI,JPL,GoHP_Koldam,RCHEP,LLHEP1234,Kalez_Khola_HEP,SKS_Raigarh,JPNIGRIE_JNSTPP,JPL2,
,,DELHI_UT,DELHI_UT,DELHI_UT,CSEB_State,CSEB_State,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,PUNJAB_STATE,MSEB_State,DELHI_UT,HARYANA_STATE,DELHI_UT,KERALA_State,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,
,,BYPL,NDMC,BYPL,CSEB_Beneficiary,CSEB_Beneficiary,NDMC,NDMC,NDMC,DIAPL,TPDDL,ITCLH,BYPL,MES_Delhi,BYPL,BYPL,TPDDL,NDMC,BRPL,BRPL,BRPL,TPDDL,BRPL,PUNJAB,TPC_MSEB,BRPL,HARYANA,BRPL,KSEB,BRPL,BRPL,BRPL,BRPL,BRPL,BRPL,BRPL,NDMC,BRPL,BRPL,
,,South-West-North,West-North,East-North,North-West,North-West,West-North,West-North,East-North,North-North,North-North,South-West-North,North-North,North-North,South-West-North,West-North,North-North,West-North,East-North,North-North,West-North,North-North,North-North,North-North,North-West,West-North,North-North,North-North,North-West-South,South-East-North,North-North,West-North,North-North,East-North,East-North,East-North,West-North,West-North,West-North,
1,00:00-00:15,10.98,14.59,96.33,24.08,0,43.78,43.78,29.02,3.85,213.85,0.48,27.45,0,13.2,20.23,0,43.78,2.89,1.93,96.33,12.26,48.16,32,0,9.63,32,9.63,52.5,28.9,0,72.25,24.76,2.89,9.63,2.89,14.59,19.27,72.25,1130.1599999999999

2,00:15-00:30,10.4,14.59,96.33,24.08,0,43.78,43.78,29.02,3.85,213.85,0.48,27.45,0,14.74,21.19,0,43.78,2.89,1.93,96.33,12.26,48.16,32,0,9.63,32,9.63,52.5,28.9,0,72.25,24.76,2.89,9.63,2.89,14.59,19.27,72.25,1132.0799999999997

