Block,Time Block,SINGRAULI,UNCHAHAR1,TANDA2,TALST2,TelanganaSTPP,TANAKPUR,SINGRAULI_HYDRO,UNCHAHAR2,TALA,TEHRI,KHSTPP-I,KHSTPP-II,KOTESHWR,KISHANGANGA,KKNP,KKNPPU2,KUDGI,KOLDAM,SIMHST2,RSTPSU1TO6,SALAL,SEWA2,RIHAND3,RSTPSU7,RIHAND2,SASAN,SIMHST1,RAPPB,NLCIIST2,NLCTS2EXP,NLCEXP,NNTPP,RAMPUR,NTPL,RAPPC,NJPC,NLCIIST1,RIHAND1,PARBATI3,NAPP,DADRT2,CHAMERA3,CHAMERA2,MAPS,CHAMERA1,BSIUL,BRBCL,KGSU1AND2,KGSU3AND4,DHAULIGNGA,FSTPP I & II,DULHASTI,JHAJJAR,UNCHAHAR4,URI,UNCHAHAR3,AURY_RF,DADRI_LF,VALLURNTECL,ANTA_CRF,ANTA_RF,AURY_LF,DADRI_GF,URI2,ANTA_LF,AURY_GF,DADRI_CRF,DADRI_RF,ANTA_GF,AURY_CRF,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,134.28,12.05,0,0,0,7.51,0.62,19.6,0,12.05,37.72,81.92,8.53,0,0,0,0,0,0,0,1.35,0,59.75,0,114.16,329.84,0,0,0,0,0,0,0,0,25,0,0,88.44,0,41.68,265.46,0,0,0,0,0,14.42,0,0,0,17.24,0,229.81,0,0.43,12.33,0,0,0,0,0,0,0,4.14,0,0,0,0,0,0,0,0,0,0,0

2,00:15-00:30,134.28,8.84,0,0,0,7.51,0.62,19.6,0,12.05,37.72,81.92,8.53,0,0,0,0,0,0,0,1.35,0,59.75,0,114.16,329.84,0,0,0,0,0,0,0,0,25,0,0,88.44,0,41.68,265.46,0,0,0,0,0,14.42,0,0,0,17.24,0,229.81,0,0.43,12.33,0,0,0,0,0,0,0,4.14,0,0,0,0,0,0,0,0,0,0,0

3,00:30-00:45,134.28,8.84,0,0,0,7.51,0.62,19.6,0,12.05,37.72,81.92,8.53,0,0,0,0,0,0,0,1.35,0,59.75,0,114.16,329.84,0,0,0,0,0,0,0,0,25,0,0,88.44,0,41.68,265.46,0,0,0,0,0,14.42,0,0,0,17.24,0,229.81,0,0.53,12.33,0,0,0,0,0,0,0,4.14,0,0,0,0,0,0,0,0,0,0,0

4,00:45-01:00,134.28,8.84,0,0,0,7.51,0.62,19.6,0,12.05,37.72,81.92,8.53,0,0,0,0,0,0,0,1.35,0,59.75,0,114.16,329.84,0,0,0,0,0,0,0,0,25,0,0,88.44,0,41.68,265.46,0,0,0,0,0,14.42,0,0,0,17.24,0,229.81,0,0.53,12.33,0,0,0,0,0,0,0,4.14,0,0,0,0,0,0,0,0,0,0,0

5,01:00-01:15,134.28,8.84,0,0,0,7.51,0.62,19.6,0,12.05,37.72,81.92,8.53,0,0,0,0,0,0,0,1.35,0,59.75,0,114.16,329.84,0,0,0,0,0,0,0,0,25,0,0,88.44,0,41.68,265.46,0,0,0,0,0,14.42,0,0,0,17.24,0,229.81,0,0.53,12.33,0,0,0,0,0,0,0,4.14,0,0,0,0,0,0,0,0,0,0,0

