Block,Time,LT-31,L_NR_2021_15,L_NR_2021_12,SH-07,L_NR_2021_16,L_NR_2021_17,L_NR_2023_04,SH-06,LT-36,L_NR_2012_07,LT-05,L_NR_2019_11,L_NR_2012_02,L_NR_2020_02,LT-35,L_NR_2021_13,L_NR_2012_04,L_NR_2021_14,L_NR_2022_09,LT-59,L_NR_2020_05,L_NR_2012_01,L_NR_2019_06,L_NR_2023_10,L_NR_2020_07,L_NR_2019_05,L_NR_2022_08,L_NR_2023_07,L_NR_2019_19,L_NR_2019_07,L_NR_2022_10,L_NR_2020_06,L_NR_2018_61
1,00:00-00:15,0.000000,0,0,30.950000,0,0,29.660000,30.950000,0.000000,74.170000,116.090000,10.780000,174.110000,10.510000,0.000000,0,272.050000,0,50.49,10.390000,57.67,75.250000,0,0,19.22,0,15.87,0,0,0,50.49,19.23,7.17

2,00:15-00:30,0.000000,0,0,30.950000,0,0,29.660000,30.950000,0.000000,74.170000,116.090000,10.780000,174.110000,10.510000,0.000000,0,272.050000,0,51.83,10.390000,59.18,75.250000,0,0,19.72,0,16,0,0,0,51.83,19.73,7.26

3,00:30-00:45,0.000000,0,0,30.950000,0,0,29.660000,30.950000,0.000000,74.170000,116.090000,10.780000,174.110000,10.510000,0.000000,0,272.050000,0,51.95,10.390000,69.68,75.250000,0,0,23.21,0,17.08,0,0,0,51.95,23.23,7.38

4,00:45-01:00,0.000000,0,0,30.950000,0,0,29.660000,30.950000,0.000000,74.170000,116.090000,10.780000,174.110000,10.510000,0.000000,0,272.050000,0,53.68,10.390000,70.13,75.250000,0,0,23.37,0,17.55,0,0,0,53.68,23.38,7.53

5,01:00-01:15,0.000000,0,0,30.950000,0,0,29.660000,30.950000,0.000000,74.170000,116.090000,10.780000,174.110000,10.320000,0.000000,0,272.050000,0,54.75,10.390000,71.61,75.250000,0,0,23.86,0,18.17,0,0,0,54.75,23.87,7.66

6,01:15-01:30,0.000000,0,0,30.950000,0,0,30.620000,30.950000,0.000000,74.170000,116.090000,10.780000,174.110000,10.320000,0.000000,0,272.050000,0,54.62,10.390000,72.9,75.250000,0,0,24.31,0,18.15,0,0,0,54.62,24.3,7.78

7,01:30-01:45,0.000000,0,0,30.950000,0,0,30.620000,30.950000,0.000000,74.170000,116.090000,10.780000,174.110000,10.320000,0.000000,0,272.050000,0,56.12,10.390000,79.07,75.250000,0,0,26.34,0,18.62,0,0,0,56.12,26.36,7.83

8,01:45-02:00,0.000000,0,0,30.950000,0,0,30.620000,30.950000,0.000000,74.170000,116.090000,10.780000,174.110000,10.320000,0.000000,0,272.050000,0,59.66,10.390000,82.56,75.250000,0,0,27.52,0,19.2,0,0,0,59.66,27.52,7.98

9,02:00-02:15,0.000000,0,0,30.950000,0,0,30.620000,30.950000,0.000000,74.170000,116.090000,10.780000,174.110000,10.140000,0.000000,0,272.050000,0,59.78,10.390000,84.53,75.250000,0,0,28.17,0,20.26,0,0,0,59.78,28.18,8.48

10,02:15-02:30,0.000000,0,0,30.950000,0,0,30.620000,30.950000,0.000000,74.170000,116.090000,10.780000,174.110000,10.140000,0.000000,0,272.050000,0,60.08,10.390000,83.06,75.250000,0,0,27.67,0,19.5,0,0,0,60.08,27.69,9.01

11,02:30-02:45,0.000000,0,0,30.950000,0,0,30.620000,30.950000,0.000000,74.170000,116.090000,10.780000,174.110000,10.140000,0.000000,0,272.050000,0,58.68,10.390000,81.5,75.250000,0,0,27.15,0,18.87,0,0,0,58.68,27.17,9.52

12,02:45-03:00,0.000000,0,0,30.950000,0,0,30.620000,30.950000,0.000000,74.170000,116.090000,10.780000,174.110000,10.140000,0.000000,0,272.050000,0,60.35,10.390000,82.08,75.250000,0,0,27.36,0,18.88,0,0,0,60.35,27.36,10.04

13,03:00-03:15,0.000000,0,0,30.950000,0,0,29.660000,30.950000,0.000000,74.170000,116.090000,10.780000,174.110000,9.950000,0.000000,0,272.050000,0,57.19,10.390000,79.25,75.250000,0,0,26.4,0,19.06,0,0,0,57.19,26.42,10.04

14,03:15-03:30,0.000000,0,0,30.950000,0,0,30.620000,30.950000,0.000000,74.170000,116.090000,10.780000,174.110000,9.950000,0.000000,0,272.050000,0,67.85,10.390000,79.48,75.250000,0,0,26.5,0,19.11,0,0,0,67.85,26.49,10.02

15,03:30-03:45,0.000000,0,0,30.950000,0,0,30.620000,30.950000,0.000000,74.170000,116.090000,10.780000,174.110000,9.950000,0.000000,0,272.050000,0,67.12,10.390000,72.54,75.250000,0,0,24.17,0,17.99,0,0,0,67.12,24.18,9.57

16,03:45-04:00,0.000000,0,0,30.950000,0,0,30.620000,30.950000,0.000000,74.170000,116.090000,10.780000,174.110000,9.950000,0.000000,0,272.050000,0,65.56,10.390000,71.97,75.250000,0,0,23.99,0,17.93,0,0,0,65.56,23.99,9.12

17,04:00-04:15,0.000000,0,0,30.950000,0,0,30.620000,30.950000,0.000000,74.170000,116.090000,10.780000,174.110000,9.770000,0.000000,0,272.050000,0,64.51,10.390000,72.82,75.250000,0,0,24.29,0,18.2,0,0,0,64.51,24.27,8.66

18,04:15-04:30,0.000000,0,0,30.950000,0,0,30.620000,30.950000,0.000000,74.170000,116.090000,10.780000,174.110000,9.770000,0.000000,0,272.050000,0,64.71,10.390000,71.11,75.250000,0,0,23.72,0,18.88,0,0,0,64.71,23.7,8.34

19,04:30-04:45,0.000000,0,0,30.950000,0,0,30.620000,30.950000,0.000000,74.170000,116.090000,10.780000,174.110000,9.770000,0.000000,0,272.050000,0,62.43,10.390000,70.93,75.250000,0,0,23.65,0,18,0,0,0,62.43,23.64,8.44

20,04:45-05:00,0.000000,0,0,30.950000,0,0,30.620000,30.950000,0.000000,74.170000,116.090000,10.780000,174.110000,9.770000,0.000000,0,272.050000,0,61.25,10.390000,71.24,75.250000,0,0,23.74,0,17.8,0,0,0,61.25,23.75,8.45

21,05:00-05:15,0.000000,0,0,30.950000,0,0,30.620000,30.950000,0.000000,74.170000,116.090000,10.780000,174.110000,9.670000,0.000000,0,272.050000,0,62.63,10.390000,73.55,75.250000,0,0,24.51,0,18.45,0,0,0,62.63,24.52,8.43

22,05:15-05:30,0.000000,0,0,30.950000,0,0,30.620000,30.950000,0.000000,74.170000,116.090000,10.780000,174.110000,9.670000,0.000000,0,272.050000,0,64.6,10.390000,78.91,75.250000,0,0,26.32,0,18.12,0,0,0,64.6,26.3,8.34

23,05:30-05:45,0.000000,0,0,30.950000,0,0,30.620000,30.950000,0.000000,74.170000,116.090000,10.780000,174.110000,9.670000,0.000000,0,272.050000,0,65.94,10.390000,80.92,75.250000,0,0,26.97,0,18.77,0,0,0,65.94,26.97,8.27

24,05:45-06:00,0.000000,0,0,30.950000,0.67,0.33,30.620000,30.950000,0.000000,74.170000,116.090000,10.780000,174.110000,9.670000,0.000000,0,272.050000,0.18,65.8,10.390000,82.74,75.250000,0,0,27.58,0,19.52,0,0.02925,0,65.8,27.58,8.15

