Block,Time,SH-07,LT-05,L_NR_2020_02,LT-59,L_NR_2019_19,L_NR_2012_01,LT-36,L_NR_2019_11,L_NR_2012_07,LT-31,LT-35,L_NR_2012_04,L_NR_2012_02,LT_MEJA_Delhi,SH-06,L_NR_2019_06,L_NR_2020_06,L_NR_2021_14,L_NR_2021_15,L_NR_2020_05,L_NR_2021_12,L_NR_2022_10,L_NR_2021_17,L_NR_2018_61,L_NR_2021_13,L_NR_2019_05,L_NR_2022_08,L_NR_2021_16,L_NR_2020_07,L_NR_2019_07,L_NR_2022_09
1,00:00-00:15,0.000000,116.080000,9.020000,9.170000,0.000000,101.270000,0.000000,8.460000,74.130000,0.000000,0.000000,271.910000,261.620000,6.640000,30.450000,0,26.71,0,0,80.14,0,50,0,7.12,0,0,12.11,0,26.71,0,50

2,00:15-00:30,0.000000,116.080000,9.020000,9.170000,0.000000,101.270000,0.000000,8.460000,74.130000,0.000000,0.000000,271.910000,261.620000,6.640000,30.450000,0,26.71,0,0,80.14,0,50.22,0,7.11,0,0,12.1,0,26.71,0,50.22

3,00:30-00:45,0.000000,116.080000,9.020000,9.170000,0.000000,101.270000,0.000000,8.460000,74.130000,0.000000,0.000000,271.910000,261.620000,6.640000,30.450000,0,22.79,0,0,68.36,0,50.45,0,7.26,0,0,12.24,0,22.78,0,50.45

4,00:45-01:00,0.000000,116.080000,9.020000,9.170000,0.000000,101.270000,0.000000,8.460000,74.130000,0.000000,0.000000,271.910000,261.620000,6.640000,30.450000,0,22.88,0,0,68.65,0,50.7,0,7.15,0,0,12.18,0,22.9,0,50.7

5,01:00-01:15,0.000000,116.080000,8.840000,8.940000,0.000000,101.270000,0.000000,8.460000,74.130000,0.000000,0.000000,271.910000,261.620000,6.640000,30.450000,0,23.21,0,0,69.63,0,50.91,0,7.19,0,0,12.17,0,23.21,0,50.91

6,01:15-01:30,0.000000,116.080000,8.840000,8.940000,0.000000,101.270000,0.000000,8.460000,74.130000,0.000000,0.000000,271.910000,261.620000,6.640000,30.450000,0,23.4,0,0,70.19,0,51.15,0,7.18,0,0,12.18,0,23.4,0,51.15

7,01:30-01:45,0.000000,116.080000,8.840000,8.940000,0.000000,101.270000,0.000000,8.460000,74.130000,0.000000,0.000000,271.910000,261.620000,6.640000,30.450000,0,23.18,0,0,69.54,0,51.4,0,7.21,0,0,12.15,0,23.18,0,51.4

8,01:45-02:00,16.160000,116.080000,8.840000,8.940000,0.000000,101.270000,0.000000,8.460000,74.130000,0.000000,0.000000,271.910000,261.620000,6.640000,30.450000,0,23.17,0,0,69.51,0,51.68,0,7.26,0,0,12.42,0,23.17,0,51.68

9,02:00-02:15,25.520000,116.080000,8.640000,8.710000,0.000000,101.270000,0.000000,8.460000,74.130000,0.000000,0.000000,271.910000,261.620000,6.640000,30.450000,0,23.4,0,0,70.19,0,51.72,0,7.17,0,0,12.63,0,23.4,0,51.72

10,02:15-02:30,25.520000,116.080000,8.640000,8.710000,0.000000,82.180000,0.000000,8.460000,74.130000,0.000000,0.000000,271.910000,261.620000,6.640000,30.450000,0,23.74,0,0,71.22,0,52.18,0,7.2,0,0,12.96,0,23.74,0,52.18

11,02:30-02:45,25.520000,116.080000,8.640000,8.710000,0.000000,79.450000,0.000000,8.460000,64.650000,0.000000,0.000000,271.910000,259.340000,6.640000,30.450000,0,18.11,0,0,54.33,0,52.63,0,7.21,0,0,13.31,0,18.1,0,52.63

12,02:45-03:00,25.520000,116.080000,8.640000,8.710000,0.000000,84.120000,0.000000,8.460000,64.650000,0.000000,0.000000,271.910000,259.340000,6.640000,30.450000,0,18.68,0,0,56.03,0,51.8,0,7.3,0,0,9.1,0,18.66,0,51.8

13,03:00-03:15,26.090000,116.080000,8.460000,8.710000,0.000000,101.270000,0.000000,8.070000,74.130000,0.000000,0.000000,271.910000,261.620000,6.640000,26.090000,0,18.83,0,0,56.49,0,46.2,0,7.25,0,0,9.1,0,18.83,0,46.2

14,03:15-03:30,26.090000,116.080000,8.460000,8.710000,0.000000,101.270000,0.000000,8.070000,74.130000,0.000000,0.000000,271.910000,261.620000,6.640000,26.090000,0,18.76,0,0,56.28,0,45.89,0,7.24,0,0,9.08,0,18.77,0,45.89

15,03:30-03:45,26.090000,116.080000,8.460000,8.710000,0.000000,101.270000,0.000000,8.070000,74.130000,0.000000,0.000000,271.910000,261.620000,6.640000,26.090000,0,18.68,0,0,56.03,0,45.4,0,7.15,0,0,9.1,0,18.66,0,45.4

16,03:45-04:00,26.090000,116.080000,8.460000,8.710000,0.000000,101.270000,0.000000,8.070000,74.130000,0.000000,0.000000,271.910000,261.620000,6.640000,26.090000,0,18.56,0,0,55.67,0,45,0,7.2,0,0,9.13,0,18.54,0,45

17,04:00-04:15,26.090000,116.080000,8.180000,8.400000,0.000000,101.270000,0.000000,8.070000,74.130000,0.000000,0.000000,271.910000,261.620000,6.640000,26.090000,0,18.77,0,0,56.31,0,45.23,0,7.13,0,0,9.25,0,18.77,0,45.23

18,04:15-04:30,26.090000,116.080000,8.180000,8.400000,0.000000,101.270000,0.000000,8.070000,74.130000,0.000000,0.000000,271.910000,261.620000,6.640000,26.090000,0,19,0,0,57.01,0,45.43,0,7.2,0,0,9.27,0,19.01,0,45.43

19,04:30-04:45,26.090000,116.080000,8.180000,8.400000,0.000000,101.270000,0.000000,8.070000,74.130000,0.000000,0.000000,271.910000,261.620000,6.640000,26.090000,0,19.09,0,0,57.27,0,45.45,0,7.17,0,0,9.19,0,19.09,0,45.45

20,04:45-05:00,26.090000,116.080000,8.180000,8.400000,0.000000,101.270000,0.000000,8.070000,74.130000,0.000000,0.000000,271.910000,261.620000,6.640000,26.090000,0,19.1,0,0,57.29,0,44.8,0,7.15,0,0,9.12,0,19.1,0,44.8

21,05:00-05:15,26.090000,116.080000,8.000000,8.400000,0.000000,101.270000,0.000000,7.690000,74.130000,0.000000,0.000000,271.910000,261.620000,6.640000,26.090000,0,23.11,0,0,69.32,0,44.55,0,7.19,0,0,10.85,0,23.11,0,44.55

22,05:15-05:30,26.090000,116.080000,8.000000,8.400000,0.000000,101.270000,0.000000,7.690000,74.130000,0.000000,0.000000,271.910000,261.620000,6.640000,26.090000,0,23.11,0,0,69.32,0,44,0,7.16,0,0,10.56,0,23.11,0,44

23,05:30-05:45,26.090000,116.080000,8.000000,8.400000,0.920000,101.270000,0.000000,7.690000,56.070000,0.000000,0.000000,271.910000,261.620000,6.640000,26.090000,0,23.11,0,0,69.32,0,43.92,0,7.25,0,0,10.21,0,23.11,0,43.92

24,05:45-06:00,26.090000,116.080000,8.000000,8.400000,4.850000,101.270000,0.000000,7.690000,56.070000,0.000000,0.000000,271.910000,261.620000,6.640000,26.090000,0,23.14,0,0,69.43,0.06,44.26,0.58,7.14,0.01,0,10.42,1.16,23.14,0,44.26

25,06:00-06:15,26.090000,116.080000,7.720000,8.170000,9.610000,101.270000,0.100000,7.690000,56.070000,0.100000,0.100000,271.910000,261.620000,6.640000,26.090000,16.47,23.27,0,0.71,69.82,2.94,45.68,1.79,7.18,0.59,14.25,10.21,3.57,23.29,1.44,45.68

26,06:15-06:30,26.090000,116.080000,7.720000,8.170000,14.470000,101.270000,0.390000,7.690000,56.070000,0.380000,0.380000,271.910000,261.620000,6.330000,26.090000,27.51,23.55,0,1.84,70.66,7.95,56.89,3.26,7.21,1.59,23.41,14.11,6.52,23.56,3.98,56.89

27,06:30-06:45,26.090000,116.080000,7.720000,8.170000,20.350000,101.270000,0.500000,7.690000,56.070000,0.490000,0.490000,271.910000,230.460000,6.030000,26.090000,33,30.15,1.24,3.12,90.44,14.08,57.38,5.07,7.26,2.81,33,14.22,10.15,30.14,11.52,57.38

28,06:45-07:00,26.090000,116.080000,7.720000,8.170000,27.490000,101.270000,1.040000,7.690000,56.070000,1.020000,1.020000,271.910000,201.450000,5.730000,26.090000,30.82,30.14,3.66,4.94,90.42,21.66,57.78,7.32,7.17,4.33,30.81,14.44,14.64,30.13,17.82,57.78

29,07:00-07:15,26.090000,116.080000,7.430000,7.930000,35.550000,101.270000,1.800000,7.460000,56.070000,1.750000,1.750000,271.910000,201.450000,5.440000,26.090000,26.48,30.1,7.16,7.3,90.29,32.53,57.62,10.11,7.2,6.5,26.49,14.88,20.23,30.08,26.48,57.62

30,07:15-07:30,26.090000,116.080000,7.430000,7.930000,44.270000,101.270000,2.750000,7.460000,56.070000,2.680000,2.680000,271.910000,201.450000,5.220000,26.090000,26.48,30.13,11.93,10.16,90.39,46.37,56.99,12.67,7.21,9.27,26.49,15.22,25.33,30.14,26.48,56.99

