Block,Time Block,BRBCL,CHAMERA3,CHAMERA1,BSIUL,CHAMERA2,DHAULIGNGA,DADRT2,DULHASTI,FSTPP I & II,JHAJJAR,KGSU1AND2,KGSU3AND4,KHSTPP-I,KHSTPP-II,KKNP,KKNPPU2,KISHANGANGA,KOTESHWR,KOLDAM,KUDGI,MAPS,NJPC,NAPP,NLCEXP,NLCIIST2,NLCTS2EXP,NLCIIST1,NNTPP,NTPL,RAMPUR,PARBATI3,RAPPB,SEWA2,SIMHST1,SASAN,RIHAND1,RAPPC,RIHAND2,RSTPSU1TO6,RIHAND3,RSTPSU7,SALAL,UNCHAHAR1,TALST2,SINGRAULI_HYDRO,TANDA2,SIMHST2,TALA,SINGRAULI,TelanganaSTPP,TANAKPUR,TEHRI,URI2,UNCHAHAR3,UNCHAHAR2,URI,UNCHAHAR4,ANTA_LF,DADRI_LF,AURY_GF,ANTA_GF,DADRI_GF,AURY_CRF,DADRI_CRF,VALLURNTECL,AURY_RF,ANTA_CRF,ANTA_RF,DADRI_RF,AURY_LF,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,16.64,0,0,6.25,0,0,504.67,15.81,19.95,251.23,0,0,43.67,142.25,0,0,0,8.51,0,0,0,0,19.98,0,0,0,0,0,0,0,0,0,15.86,0,153.77,88.25,24.47,113.91,0,59.62,0,38.45,16.62,0,0.7,0,0,0,133.85,0,5.52,0,30.96,21.77,35.68,33.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

2,00:15-00:30,14.19,0,0,6.25,0,0,526.89,15.81,19.95,268.27,0,0,43.67,142.25,0,0,0,8.51,0,0,0,0,19.98,0,0,0,0,0,0,0,0,0,15.86,0,169.9,88.25,24.47,113.91,0,59.62,0,66.88,16.62,0,0.7,0,0,0,133.99,0,5.52,0,30.96,21.77,36.09,33.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

3,00:30-00:45,14.59,0,0,6.25,0,0,478.93,15.81,19.95,268.27,0,0,43.67,142.25,0,0,0,8.51,0,0,0,0,19.98,0,0,0,0,0,0,0,0,0,15.86,0,172.66,88.25,24.47,113.91,0,59.62,0,66.88,16.62,0,0.7,0,0,0,133.99,0,5.52,0,30.96,21.77,36.09,33.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

4,00:45-01:00,15.36,0,0,6.25,0,0,416,15.81,19.95,268.27,0,0,43.67,142.25,0,0,0,8.51,0,0,0,0,19.98,0,0,0,0,0,0,0,0,0,15.86,0,172.66,88.25,24.47,113.91,0,59.62,0,66.88,16.62,0,0.7,0,0,0,133.99,0,5.52,0,30.96,21.77,36.09,33.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

5,01:00-01:15,12.79,0,0,6.25,0,0,430.97,15.81,19.95,268.27,0,0,43.67,142.25,0,0,0,8.51,0,0,0,0,19.98,0,0,0,0,0,0,0,0,0,15.86,0,172.66,88.25,24.47,113.91,0,59.62,0,66.88,16.62,0,0.7,0,0,0,133.99,0,5.52,0,30.96,21.77,36.09,33.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

6,01:15-01:30,11.11,0,0,6.25,0,0,430.97,15.81,19.95,268.27,0,0,43.67,142.25,0,0,0,8.51,0,0,0,0,19.98,0,0,0,0,0,0,0,0,0,15.86,0,172.66,88.25,24.47,113.91,0,59.62,0,25.64,16.62,0,0.7,0,0,0,133.99,0,5.52,0,30.96,21.77,36.09,33.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

7,01:30-01:45,11.72,0,0,6.25,0,0,430.97,15.81,19.95,268.27,0,0,43.67,142.25,0,0,0,8.51,0,0,0,0,19.98,0,0,0,0,0,0,0,0,0,15.86,0,172.66,88.25,24.47,113.91,0,59.62,0,25.64,16.62,0,0.7,0,0,0,133.99,0,5.52,0,30.96,21.77,36.09,33.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

8,01:45-02:00,12.04,0,0,6.25,0,0,430.97,15.81,19.95,268.27,0,0,43.67,142.25,0,0,0,8.51,0,0,0,0,19.98,0,0,0,0,0,0,0,0,0,15.86,0,172.66,88.25,24.47,113.91,0,59.62,0,25.64,16.62,0,0.7,0,0,0,133.99,0,5.52,0,30.96,21.77,36.09,33.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

9,02:00-02:15,12.13,0,0,6.25,0,0,312.83,15.81,19.95,268.27,0,0,43.67,142.25,0,0,0,8.51,0,0,0,0,19.98,0,0,0,0,0,0,0,0,0,15.86,0,172.66,88.25,24.47,113.91,0,59.62,0,25.64,16.62,0,0.7,0,0,0,133.99,0,0,0,30.96,21.77,36.09,33.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

10,02:15-02:30,13.02,0,0,6.25,0,0,264.87,15.81,19.95,231.43,0,0,43.67,142.25,0,0,0,8.51,0,0,0,0,19.98,0,0,0,0,0,0,0,0,0,15.86,0,172.66,88.25,24.47,113.91,0,59.62,0,25.64,16.62,0,0.7,0,0,0,133.99,0,0,0,30.96,21.77,36.09,33.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

11,02:30-02:45,12.76,0,0,6.25,0,0,264.87,0,19.95,230.47,0,0,43.67,142.25,0,0,0,8.51,0,0,0,0,19.98,0,0,0,0,0,0,0,0,0,15.86,0,172.66,88.25,24.47,113.91,0,59.62,0,25.64,19.51,0,0.7,0,0,0,133.99,0,0,0,30.96,25.06,40.24,33.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

12,02:45-03:00,14.52,0,0,6.25,0,0,264.87,0,19.95,230.47,0,0,43.67,142.25,0,0,0,8.51,0,0,0,0,19.98,0,0,0,0,0,0,0,0,0,15.86,0,172.66,88.25,24.47,113.91,0,59.62,0,25.64,19.51,0,0.7,0,0,0,133.99,0,0,0,30.96,25.06,40.24,33.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

13,03:00-03:15,15.93,0,0,6.25,0,0,264.87,0,19.95,230.47,0,0,43.67,142.25,0,0,0,8.51,0,0,0,0,19.98,0,0,0,0,0,0,0,0,0,15.86,0,172.66,88.25,24.47,113.91,0,59.62,0,12.81,15.63,0,0.7,0,0,0,133.99,0,0,0,29.68,20.73,33.09,33.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

14,03:15-03:30,15.43,0,0,6.25,0,0,264.87,0,19.95,230.47,0,0,43.67,142.25,0,0,0,8.51,0,0,0,0,19.98,0,0,0,0,0,0,0,0,0,15.86,0,172.66,88.25,24.47,113.91,0,59.62,0,12.81,15.63,0,0.7,0,0,0,133.99,0,0,0,29.68,20.73,33.09,33.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

15,03:30-03:45,19.18,0,0,12.51,0,0,264.87,0,19.95,231.33,0,0,43.67,142.25,0,0,0,8.51,0,0,0,0,19.98,0,0,0,0,0,0,0,0,0,15.86,0,182.36,88.25,24.47,113.91,0,59.62,0,12.81,15.63,0,0.7,0,0,0,133.99,0,0,0,28.39,20.73,33.09,33.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

