Block,Time,RIHAND3,UNCHAHAR1,RAPPB,SINGRAULI,DULHASTI,DADRT2,NAPP,BSIUL,CHAMERA2,RAMPUR,URI,KOLDAM,ANTA_LF,AURY_RF,DADRI_GF,DADRI_RF,UNCHAHAR3,AURY_GF,NJPC,DADRI_CRF,KISHANGANGA,ANTA_CRF,PARBATI3,ANTA_GF,JHAJJAR,TANAKPUR,CHAMERA3,AURY_CRF,SALAL,RIHAND1,SEWA2,UNCHAHAR2,RIHAND2,ANTA_RF,DADRI_LF,AURY_LF,RAPPC,DHAULIGNGA,CHAMERA1,TANDA2,UNCHAHAR4,FSTPP I & II,KHSTPP-I,KUDGI,URI2,TEHRI,TALA,KHSTPP-II,SASAN,SINGRAULI_HYDRO,BRBCL,KOTESHWR,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,119.287862,19.277531,0.000000,131.360675,31.682094,662.467947,38.323172,0.000000,0.000000,0.000000,45.791491,0.000000,0.000000,0.000000,0.000000,0.000000,25.455890,0.000000,147.526406,0.000000,0.000000,0.000000,0.000000,0.000000,322.808309,11.985830,0.000000,0.000000,81.935246,88.743200,15.244585,40.889490,113.943375,0.000000,0.000000,0.000000,48.963096,35.296354,41.149836,0.000000,0.000000,16.089528,21.192262,43.41,31.271676,36.461880,26.941278,142.293572,403.945542,0.996451,14.901834,7.608765,0,0,0,0,0

2,00:15-00:30,119.287862,19.277531,0.000000,131.360675,31.682094,662.467947,38.323172,0.000000,0.000000,0.000000,45.791491,0.000000,0.000000,0.000000,0.000000,0.000000,25.455890,0.000000,147.526406,0.000000,0.000000,0.000000,0.000000,0.000000,322.808309,11.985830,0.000000,0.000000,81.935246,88.743200,15.244585,40.889490,113.943375,0.000000,0.000000,0.000000,48.963096,35.296354,41.149836,0.000000,0.000000,16.089528,21.192262,43.41,31.271676,24.307920,26.941278,142.293572,403.945542,0.996451,14.841336,7.608765,0,0,0,0,0

3,00:30-00:45,119.287862,19.277531,0.000000,131.360675,31.682094,602.336850,38.323172,0.000000,0.000000,0.000000,45.791491,0.000000,0.000000,0.000000,0.000000,0.000000,25.455890,0.000000,147.526406,0.000000,0.000000,0.000000,0.000000,0.000000,322.808309,11.985830,0.000000,0.000000,81.935246,88.743200,15.244585,40.889490,113.943375,0.000000,0.000000,0.000000,48.963096,35.296354,41.149836,0.000000,0.000000,16.089528,21.192262,43.41,31.271676,18.230940,26.941278,142.293572,403.945542,0.996451,12.721145,7.608765,0,0,0,0,0

4,00:45-01:00,119.287862,19.277531,0.000000,131.360675,31.682094,573.398850,38.323172,0.000000,0.000000,0.000000,45.791491,0.000000,0.000000,0.000000,0.000000,0.000000,25.455890,0.000000,147.526406,0.000000,0.000000,0.000000,0.000000,0.000000,322.808309,11.985830,0.000000,0.000000,81.935246,88.743200,15.244585,40.889490,113.943375,0.000000,0.000000,0.000000,48.963096,35.296354,41.149836,0.000000,0.000000,16.089528,21.192262,43.41,31.271676,12.153960,26.941278,142.293572,403.945542,0.996451,11.661049,7.608765,0,0,0,0,0

5,01:00-01:15,119.287862,19.277531,0.000000,131.360675,31.682094,499.106235,38.323172,0.000000,0.000000,0.000000,45.791491,0.000000,0.000000,0.000000,0.000000,0.000000,25.455890,0.000000,147.526406,0.000000,0.000000,0.000000,0.000000,0.000000,322.808309,11.985830,0.000000,0.000000,81.935246,88.743200,15.244585,40.889490,113.943375,0.000000,0.000000,0.000000,48.963096,35.296354,41.149836,0.000000,0.000000,16.089528,21.192262,33.76,30.768215,12.153960,26.941278,142.293572,403.945542,0.996451,11.661049,7.608765,0,0,0,0,0

