Column1,Block,GNA/NR/2024/12/01/1766,GNA/NR/2024/12/01/2197,GNA/WR/2024/11/01/4200,GNA/NR/2024/12/01/7739,GNA/NR/2024/12/01/3428,GNA/NR/2024/12/01/1475,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/30092023/26122029/SH-06,GNA/SR/2024/12/01/6968,GNA/NR/2024/12/01/1599,GNA/NR/2024/12/01/1899,NR/30092023/31122025/SH-07,GNA/WR/2024/10/15/7089,NR/2024/24052/A/45299,NR/2024/24051/A/45300,WR/2024/25054/A/45459,NR/2024/24255/C,NR/2024/23952/A/45302,NR/2024/24060/A/45489,NR/2024/24257/C,NR/2024/24146/A/45289,NR/2024/24071/A/45298,NR/2024/24256/C,NR/2024/24097/A/45293,NR/2024/24088/A/45295,Total
,,NDMC,NDMC,MANIKARAN,PTC,NDMC,NDMC,DELHI,PUNJAB,KSEB,PTC,NDMC,BAWANA_GAS,APPCPL,IEXL,IEXL,APPCPL,SJVNL,ITCLH,NVVNL,SJVNL,IEXL,IEXL,SJVNL,IEXL,IEXL,
,,NA,NA,DELHI_UT,DELHI_UT,NA,NA,HIMACHAL_STATE,DELHI_UT,DELHI_UT,DELHI_UT,NA,DELHI_UT,DELHI_UT,TELANGANA_State,TELANGANA_State,DELHI_UT,NA,ANDHRA_PRADESH_STATE,NA,NA,MP_State,NA,KARNATAKA_STATE,KARNATAKA_STATE,KARNATAKA_STATE,
,,RKM_POWER,RKM_POWER,BRPL,BYPL,SKS_Raigarh,JPL2,CHANJUII,BAWANA_GAS,BYPL,BRPL,TRN_ENERGY,BAWANA_GAS,BYPL,NSLKSLWPRTY,NSLKSLWPRTY,BRPL,TPSL_BKN2,ITCWIND,JITPL,RSRPL_BKN,NSPLN_MP,TESPL_BKN2,RENUKASUGARSATHANI,NSLSUGARALAND,NSLSTUNGBHDRA,
,,DELHI_UT,DELHI_UT,MSEB_State,HIMACHAL_STATE,DELHI_UT,DELHI_UT,DELHI_UT,PUNJAB_STATE,KERALA_State,HIMACHAL_STATE,DELHI_UT,HARYANA_STATE,MSEB_State,DELHI_UT,DELHI_UT,GOA_State,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,
,,NDMC,NDMC,AEML,HP,NDMC,NDMC,TPDDL,PUNJAB,KSEB,HP,NDMC,HARYANA,AEML,MES_Delhi,MES_Delhi,GOA_Beneficiary,NDMC,ITCLH,NDMC,NDMC,MES_Delhi,MES_Delhi,NDMC,MES_Delhi,MES_Delhi,
,,West-North,West-North,North-West,North-North,West-North,West-North,North-North,North-North,North-West-South,North-North,West-North,North-North,North-West,South-West-North,South-West-North,North-West,North-North,South-West-North,East-North,North-North,West-North,North-North,South-West-North,South-West-North,South-West-North,
1,00:00-00:15,25.97,25.97,0,31.71,8.66,25.97,1.92,0,150,95.13,8.66,0,0,2.89,0,0,0,0.43,17.31,0,5.77,0,0,7.69,0.96,409.03999999999996

2,00:15-00:30,25.97,25.97,0,31.71,8.66,25.97,1.92,0,150,95.13,8.66,0,0,2.89,0,0,0,0.43,17.31,0,5.77,0,0,7.69,0.96,409.03999999999996

