Block,Time Block,BRBCL,BSIUL,CHAMERA3,CHAMERA2,DADRT2,CHAMERA1,DHAULIGNGA,FSTPP I & II,DULHASTI,JHAJJAR,KGSU1AND2,KGSU3AND4,KHSTPP-I,KHSTPP-II,KKNP,KKNPPU2,KOLDAM,KISHANGANGA,KOTESHWR,KUDGI,MAPS,NAPP,NLCEXP,NJPC,NLCIIST1,NLCIIST2,NLCTS2EXP,NNTPP,SIMHST1,SINGRAULI_HYDRO,RAMPUR,RSTPSU1TO6,SIMHST2,RAPPC,NTPL,RSTPSU7,SINGRAULI,PARBATI3,SALAL,SEWA2,RIHAND3,RAPPB,RIHAND2,SASAN,RIHAND1,TelanganaSTPP,TANAKPUR,TALA,TEHRI,TANDA2,TALST2,UNCHAHAR1,UNCHAHAR4,UNCHAHAR3,UNCHAHAR2,AURY_LF,DADRI_GF,URI2,ANTA_LF,AURY_GF,DADRI_CRF,DADRI_RF,ANTA_GF,URI,AURY_CRF,AURY_RF,DADRI_LF,VALLURNTECL,ANTA_CRF,ANTA_RF,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,17.6,12.51,0,0,264.87,0,0,19.95,0,231.43,0,0,43.67,142.25,0,0,0,0,8.51,0,0,20.09,0,0,0,0,0,0,0,0.68,0,0,0,24.47,0,0,133.99,0,2.23,15.86,59.62,0,113.91,172.66,88.25,0,5.52,0,0,0,0,16.99,0,21.82,35.05,0,0,23.22,0,0,0,0,0,31.77,0,0,0,0,0,0,0,0,0,0,0

2,00:15-00:30,16.55,12.51,0,0,264.87,0,0,19.95,0,231.43,0,0,43.67,142.25,0,0,0,0,8.51,0,0,20.09,0,0,0,0,0,0,0,0.68,0,0,0,24.47,0,0,133.99,0,2.23,15.86,59.62,0,113.91,172.66,88.25,0,5.52,0,0,0,0,16.99,0,21.82,35.05,0,0,23.22,0,0,0,0,0,31.77,0,0,0,0,0,0,0,0,0,0,0

3,00:30-00:45,16.82,12.51,0,0,264.87,0,0,19.95,0,231.43,0,0,43.67,142.25,0,0,0,0,8.51,0,0,20.09,0,0,0,0,0,0,0,0.68,0,0,0,24.47,0,0,133.99,0,2.23,15.86,59.62,0,113.91,172.66,88.25,0,5.52,0,0,0,0,16.99,0,21.82,35.05,0,0,21.29,0,0,0,0,0,31.77,0,0,0,0,0,0,0,0,0,0,0

4,00:45-01:00,16.84,12.51,0,0,264.87,0,0,19.95,0,251,0,0,43.67,142.25,0,0,0,0,8.51,0,0,20.09,0,0,0,0,0,0,0,0.68,0,0,0,24.47,0,0,133.99,0,2.23,15.86,59.62,0,113.91,172.66,88.25,0,5.52,0,0,0,0,16.99,0,21.82,35.05,0,0,21.29,0,0,0,0,0,31.77,0,0,0,0,0,0,0,0,0,0,0

5,01:00-01:15,17.59,12.51,0,0,264.87,0,0,19.95,0,251,0,0,43.67,142.25,0,0,0,0,8.51,0,0,20.09,0,0,0,0,0,0,0,0.68,0,0,0,24.47,0,0,133.99,0,2.23,15.86,59.62,0,113.91,172.66,88.25,0,5.52,0,0,0,0,16.99,0,21.82,35.05,0,0,21.29,0,0,0,0,0,33.89,0,0,0,0,0,0,0,0,0,0,0

