Time,Block,NR/2023/12968/D,NR/2023/12963/D,NR/2023/11960/F,NR/2023/11342/A,NR/2023/10173/A,NR/2023/11963/F,NR/2023/11284/A,NR/2023/10434/A,NR/2023/11952/F,NR/2023/10344/A,NR/2023/11642/A,NR/2023/11643/A,NR/2023/11947/F,NR/2023/12656/F,NR/2023/11941/F,NR/2023/12962/D,NR/2023/12983/C,NR/2023/12967/D,NR/2023/11959/F,NR/2023/11957/F,NR/2023/10944/A,NR/2023/11476/A,NR/2023/12979/C,NR/2023/10236/A,NR/2023/12977/C,NR/2023/11955/F,NR/2023/10487/A,NR/2023/11330/A,NR/2023/10229/A,NR/2023/10223/A,NR/2023/11962/F,NR/2023/10613/A,NR/2023/11862/F,NR/2023/10611/A,NR/2023/11958/F,NR/2023/11956/F,NR/2023/11961/F,NR/2023/12981/C,NR/2023/11640/A,NR/2023/12972/C,Total
,,TS1PL_BKN,TS1PL_BKN,SHPPBPL,IEXL,STATKRAFT,SHPPBPL,STATKRAFT,NVVNL,KEIPL,BYPL,MANIKARAN,MANIKARAN,HPXL,IEXL,NVVNL,NVVNL,GBHHPL,NVVNL,SHPPBPL,SHPPBPL,APPCPL,IEXL,PXIL,NVVNL,TPDDL,SHPPBPL,TPTCL,APPCPL,NVVNL,TPTCL,SHPPBPL,APPCPL,APPCPL,APPCPL,SHPPBPL,SHPPBPL,SHPPBPL,PXIL,MANIKARAN,SJVNL,Total

,,NA,NA,HIMACHAL PRADESH,TELANGANA,TAMIL NADU,HIMACHAL PRADESH,HIMACHAL PRADESH,NA,MEGHALAYA,MEGHALAYA,HIMACHAL PRADESH,HIMACHAL PRADESH,MAHARASHTRA,JAMMU AND KASHMIR,NA,NA,HIMACHAL PRADESH,NA,HIMACHAL PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,NA,DELHI,NA,HIMACHAL PRADESH,HIMACHAL PRADESH,NA,HIMACHAL PRADESH,NA,NA,HIMACHAL PRADESH,NAGALAND,MANIPUR,ARUNACHAL PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,DELHI,TAMIL NADU,WEST BENGAL,
,,TS1PL_BKN,TS1PL_BKN,SHPPBPL,NAVABHARAT,TANGEDCO,SHPPBPL,HP,SEIL,Meghalaya_Ben,Meghalaya_Ben,HP,HP,B_S_ISPAT_MH,SAPU1234,SKS Raigarh,SOLAPUR_SOLAR,GBHHPL,KAMENG,SHPPBPL,SHPPBPL,HP,JSPL_DCPP,BYPL,ILFS,CHANJUII,SHPPBPL,APNRL,HP,JPNIGRIE_JNSTPP,JPL,SHPPBPL,Nagaland_Ben,Manipur_Ben,Arunachal_Ben,SHPPBPL,SHPPBPL,SHPPBPL,BYPL,TANGEDCO,IPCL_WB,
,,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,UTTAR PRADESH,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,UTTAR PRADESH,DELHI,DELHI,
,,BRPL,BYPL,MAX-HPTL,BRPL,BYPL,UHL,BYPL,TPDDL,BYPL,BYPL,BRPL,BRPL,NDMC,MES (Delhi),NDMC,MES (Delhi),DIAPL,TPDDL,BMDRC,BAL234,BYPL,BRPL,AMBASTL,BRPL,TPDDL,BAL184,TPDDL,BRPL,BRPL,BRPL,MHIL,BYPL,STT,BYPL,AISHER,BAL224,JHPL-DL,ASIL_UP,BRPL,NDMC,
,,North-North,North-North,North-North,South-West-North,South-West-North,North-North,North-North,South-West-North,North East-East-North,North East-East-North,North-North,North-North,West-North,North-North,West-North,West-North,North-North,North East-East-North,North-North,North-North,North-North,West-North,North-North,South-West-North,North-North,North-North,East-North,North-North,West-North,West-North,North-North,North East-East-North,North East-East-North,North East-East-North,North-North,North-North,North-North,North-North,South-West-North,East-North,
1,00:00-00:15,0,0,0.640000,116.100000,75.580000,0.420000,33.860000,24.190000,36.500000,12.260000,14.510000,13.060000,6.770000,2.900000,33.860000,0,31.620000,78.370000,0.640000,0.720000,27.860000,48.380000,0.000000,236.850000,16.900000,0.360000,41.600000,65.020000,43.060000,21.530000,0.420000,12.670000,2.900000,9.970000,0.560000,0.370000,0.700000,0.000000,23.160000,0.000000,1034.31

2,00:15-00:30,0,0,0.640000,116.100000,75.580000,0.420000,33.860000,24.190000,36.500000,12.260000,14.510000,13.060000,6.770000,2.900000,33.860000,0,31.620000,78.370000,0.640000,0.720000,27.860000,48.380000,0.000000,236.850000,16.900000,0.360000,41.600000,65.020000,43.060000,21.530000,0.420000,12.670000,2.900000,9.970000,0.560000,0.370000,0.700000,0.000000,23.160000,0.000000,1034.31

3,00:30-00:45,0,0,0.640000,116.100000,75.580000,0.420000,33.860000,24.190000,36.500000,12.260000,14.510000,13.060000,6.770000,2.900000,33.860000,0,31.620000,78.370000,0.640000,0.720000,27.860000,48.380000,0.000000,236.850000,16.900000,0.360000,41.600000,65.020000,43.060000,21.530000,0.420000,12.670000,2.900000,9.970000,0.560000,0.370000,0.700000,0.000000,23.160000,0.000000,1034.31

