Block,Time Block,NLCTS2EXP,NAPP,NNTPP,MAPS,NLCEXP,NLCIIST1,NJPC,NLCIIST2,DADRI_CRF,AURY_RF,AURY_LF,DADRI_RF,DADRI_LF,DADRI_GF,URI2,UNCHAHAR3,ANTA_CRF,ANTA_RF,UNCHAHAR2,URI,ANTA_LF,AURY_GF,UNCHAHAR1,UNCHAHAR4,VALLURNTECL,ANTA_GF,AURY_CRF,SINGRAULI_HYDRO,TEHRI,TANDA2,TALST2,TANAKPUR,TelanganaSTPP,TALA,TEHRIPSP,KUDGI,SASAN,SINGRAULI,RIHAND3,SIMHST1,SIMHST2,RIHAND2,SALAL,SEWA2,RSTPSU1TO6,RSTPSU7,KHSTPP-II,KHSTPP-I,KKNP,KKNPPU2,KISHANGANGA,KOLDAM,KOTESHWR,FSTPP I & II,DULHASTI,JHAJJAR,KGSU3AND4,KGSU1AND2,CHAMERA3,DADRT2,DHAULIGNGA,BSIUL,BRBCL,CHAMERA2,CHAMERA1,RAPPC,RIHAND1,RAMPUR,RAPPB,NTPL,PARBATI3,RAPPD,PARBATI2,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0,23.13,0,0,0,0,168.72,0,0,0,0,0,0,0,35.92,24.82,0,0,41.27,29.67,0,0,19.81,1.55,0,0,0,0,72.52,2.93,0,12.53,0,19.62,0,0,401.94,108.27,125.58,0,0,120.23,81.42,17.6,0,0,93.62,43.7,0,0,4.45,8.27,38.94,17.07,51.71,426.95,0,0,32.58,597.56,40.75,18.77,17.81,45.23,40.46,62.79,45.13,5.44,0,0,35.68,23.09,34.45,0,0,0,0,0

2,00:15-00:30,0,23.13,0,0,0,0,168.72,0,0,0,0,0,0,0,35.92,24.82,0,0,41.27,29.67,0,0,19.81,1.55,0,0,0,0,72.52,2.93,0,12.53,0,19.62,0,0,401.94,108.27,125.58,0,0,120.23,81.42,17.6,0,0,93.62,43.7,0,0,4.45,8.27,38.94,18.01,51.71,253.03,0,0,32.58,520.78,40.75,18.77,13.92,45.23,40.46,62.79,45.13,5.44,0,0,35.68,23.09,34.45,0,0,0,0,0

3,00:30-00:45,0,23.13,0,0,0,0,168.72,0,0,0,0,0,0,0,23.94,24.59,0,0,40.07,36.02,0,0,19.62,0.76,0,0,0,0,72.52,2.93,0,12.53,0,19.62,0,0,401.94,108.27,125.58,0,0,120.23,81.42,17.6,0,0,93.62,43.7,0,0,4.45,8.27,38.94,18.01,51.71,231.67,0,0,32.58,521.57,40.75,18.77,13.3,45.23,40.46,62.79,45.13,5.44,0,0,35.68,23.09,34.45,0,0,0,0,0

4,00:45-01:00,0,23.13,0,0,0,0,168.72,0,0,0,0,0,0,0,23.94,24.59,0,0,40.07,36.02,0,0,19.62,0.76,0,0,0,0,72.52,2.93,0,12.53,0,19.62,0,0,401.94,108.27,125.58,0,0,120.23,81.42,17.6,0,0,93.62,43.7,0,0,4.45,8.27,38.94,18.01,51.71,231.67,0,0,32.58,591.15,40.75,18.77,13.42,45.23,40.46,62.79,45.13,5.44,0,0,35.68,23.09,34.45,0,0,0,0,0

5,01:00-01:15,0,23.13,0,0,0,0,168.72,0,0,0,0,0,0,0,35.92,24.59,0,0,40.07,36.02,0,0,19.62,0.73,0,0,0,0,72.52,2.93,0,12.53,0,19.62,0,0,401.94,108.27,125.58,0,0,120.23,81.42,17.6,0,0,93.62,43.7,0,0,4.45,8.27,38.94,18.01,51.71,412.93,0,0,32.58,594.67,40.75,18.77,12.03,45.23,40.46,62.79,45.13,5.44,0,0,35.68,23.09,34.45,0,0,0,0,0

