Block,Time,CHAMERA2,KHSTPP-I,KKNPPU2,KOLDAM,PARBATI2,RAMPUR,SIMHST1,SIMHST2,SINGRAULI,SINGRAULI_HYDRO,TEHRI,ANTA_CRF,BRBCL,KHSTPP-II,NAPP,RAPPD,SALAL,ANTA_LF,ANTA_RF,DADRI_LF,BSIUL,KGSU1AND2,NLCEXP,NLCIIST2,NNTPP,SEWA2,TALA,URI,AURY_GF,AURY_LF,FSTPP I & II,KUDGI,NJPC,NLCIIST1,RAPPB,RIHAND1,RSTPSU7,DADRI_CRF,KKNP,KOTESHWR,VALLURNTECL,AURY_CRF,AURY_RF,CHAMERA1,CHAMERA3,DADRT2,DULHASTI,UNCHAHAR3,UNCHAHAR4,DHAULIGNGA,MAPS,PARBATI3,RIHAND2,TALST2,TANAKPUR,TEHRIPSP,TelanganaSTPP,UNCHAHAR1,UNCHAHAR2,ANTA_GF,DADRI_RF,JHAJJAR,KGSU3AND4,KISHANGANGA,NLCTS2EXP,NTPL,RAPPC,RIHAND3,RSTPSU1TO6,SASAN,TANDA2,URI2,DADRI_GF
1,00:00-00:15,48.9,33.99,0,10.65,58.05,7.04,0,0,153.28,1.22,29.2,0,20,141.62,23.97,25.64,85.41,0,49.95,0,13.04,0,0,0,0,0,0.88,50.23,0,0,19.32,0,181.16,0,0,64.81,0,0,0,20.88,0,0,74.18,42.15,35.09,550.85,58.79,27.99,2.48,43.85,0,78.39,96.8,0,9.99,51.99,0,20.94,45.12,0,71.9,518.85,0,8.71,0,0,68.22,92.37,0,418.77,6.87,38.16,0

2,00:15-00:30,48.9,33.99,0,10.65,58.05,7.04,0,0,153.28,1.22,29.2,0,20,141.62,23.97,25.64,85.41,0,49.95,0,13.04,0,0,0,0,0,0.88,50.23,0,0,19.32,0,181.16,0,0,64.81,0,0,0,20.88,0,0,74.18,42.15,35.09,550.85,58.79,27.99,2.48,43.85,0,78.39,96.8,0,9.99,51.99,0,20.94,45.12,0,71.9,518.85,0,8.71,0,0,68.22,92.37,0,418.77,6.87,38.16,0

3,00:30-00:45,48.9,33.99,0,10.65,58.05,7.04,0,0,153.28,1.22,29.2,0,20,141.62,23.97,25.64,85.41,0,49.95,0,13.04,0,0,0,0,0,0.88,50.79,0,0,19.32,0,181.16,0,0,64.81,0,0,0,20.88,0,0,74.18,42.15,35.09,550.85,39.74,27.99,2.48,43.85,0,78.39,96.8,0,9.99,51.99,0,20.94,45.12,0,71.9,518.85,0,8.71,0,0,68.22,92.37,0,418.77,6.87,38.16,0

4,00:45-01:00,48.9,33.99,0,10.65,58.05,7.04,0,0,153.28,1.22,29.2,0,20,141.62,23.97,25.64,85.41,0,49.95,0,13.04,0,0,0,0,0,0.88,50.79,0,0,19.32,0,181.16,0,0,64.81,0,0,0,20.88,0,0,74.18,42.15,35.09,550.85,39.74,27.99,2.48,43.85,0,78.39,96.8,0,9.99,51.99,0,20.94,45.12,0,71.9,518.85,0,8.71,0,0,68.22,92.37,0,418.77,6.87,38.16,0

5,01:00-01:15,48.9,33.99,0,10.65,58.05,7.04,0,0,153.28,1.22,29.2,0,20,141.62,23.97,25.64,85.41,0,51.27,0,13.04,0,0,0,0,0,0.88,50.79,0,0,19.32,0,181.16,0,0,64.81,0,0,0,20.88,0,0,74.18,42.15,35.09,550.85,39.74,27.99,2.48,43.85,0,78.39,96.8,0,9.99,51.99,0,20.94,45.12,0,71.9,518.85,0,8.71,0,0,68.22,92.37,0,418.77,6.87,38.16,0

6,01:15-01:30,48.9,33.99,0,10.65,58.05,7.04,0,0,153.28,1.22,29.2,0,20,141.62,23.97,25.64,85.41,0,51.27,0,13.04,0,0,0,0,0,0.88,50.79,0,0,19.32,0,181.16,0,0,64.81,0,0,0,20.88,0,0,74.18,42.15,35.09,550.85,39.74,27.99,2.48,43.85,0,78.39,96.8,0,9.99,51.99,0,20.94,45.12,0,71.9,518.85,0,8.71,0,0,68.22,92.37,0,418.77,6.87,38.16,0

7,01:30-01:45,48.9,33.99,0,10.65,58.05,7.04,0,0,153.28,1.22,29.2,0,20,141.62,23.97,25.64,85.41,0,51.27,0,13.04,0,0,0,0,0,0.88,50.79,0,0,19.32,0,181.16,0,0,64.81,0,0,0,20.88,0,0,74.18,42.15,35.09,550.85,39.74,27.99,2.48,43.85,0,78.39,96.8,0,9.99,51.99,0,20.94,45.12,0,71.9,518.85,0,8.71,0,0,68.22,92.37,0,418.77,6.87,38.16,0

8,01:45-02:00,48.9,33.99,0,10.65,58.05,7.04,0,0,153.28,1.22,29.2,0,20,141.62,23.97,25.64,85.41,0,51.27,0,13.04,0,0,0,0,0,0.88,50.79,0,0,19.32,0,181.16,0,0,64.81,0,0,0,20.88,0,0,74.18,42.15,35.09,550.85,39.74,27.99,2.48,43.85,0,78.39,96.8,0,9.99,51.99,0,20.94,45.12,0,71.9,518.85,0,8.71,0,0,68.22,92.37,0,418.77,6.87,38.16,0

9,02:00-02:15,48.9,33.99,0,10.65,58.05,7.04,0,0,153.28,1.22,29.2,0,20,141.62,23.97,25.64,85.41,0,51.93,0,13.04,0,0,0,0,0,0.88,50.79,0,0,19.32,0,181.16,0,0,64.81,0,0,0,20.88,0,0,74.18,42.15,35.09,550.85,39.74,27.99,2.48,43.85,0,78.39,96.8,0,6.92,51.99,0,20.94,45.12,0,71.9,518.85,0,8.71,0,0,68.22,92.37,0,418.77,6.87,38.16,0

10,02:15-02:30,48.9,33.99,0,10.65,58.05,7.04,0,0,153.28,1.22,29.2,0,20,141.62,23.97,25.64,85.41,0,51.93,0,13.04,0,0,0,0,0,0.88,50.79,0,0,19.32,0,181.16,0,0,64.81,0,0,0,20.88,0,0,74.18,42.15,35.09,550.85,39.74,27.99,2.48,43.85,0,78.39,96.8,0,6.92,0,0,20.94,45.12,0,71.9,518.85,0,8.71,0,0,68.22,92.37,0,418.77,6.87,38.16,0

11,02:30-02:45,48.9,33.99,0,10.65,58.05,7.04,0,0,153.28,1.22,29.2,0,20,141.62,23.97,25.64,85.41,0,51.93,0,13.04,0,0,0,0,0,0,50.79,0,0,19.32,0,181.16,0,0,64.81,0,0,0,20.88,0,0,75.53,42.15,35.09,550.85,39.74,27.99,2.48,43.85,0,73.77,96.8,0,6.92,0,0,20.94,45.12,0,71.9,518.85,0,8.71,0,0,68.22,92.37,0,418.77,6.87,38.16,0

12,02:45-03:00,48.9,33.99,0,10.65,58.05,7.04,0,0,153.28,1.22,29.2,0,20,141.62,23.97,25.64,85.41,0,51.93,0,13.04,0,0,0,0,0,0,50.79,0,0,19.32,0,181.16,0,0,64.81,0,0,0,11.6,0,0,75.53,42.15,35.09,550.85,39.74,27.99,2.48,43.85,0,73.77,96.8,0,6.92,0,0,20.94,45.12,0,71.9,518.85,0,8.71,0,0,68.22,92.37,0,418.77,6.87,38.16,0

13,03:00-03:15,48.9,33.99,0,10.65,58.05,7.04,0,0,153.28,1.22,29.2,0,20,141.62,23.97,25.64,83.08,0,52.32,0,13.04,0,0,0,0,0,0,50.79,0,0,19.32,0,181.16,0,0,64.81,0,0,0,11.6,0,0,75.53,42.15,35.09,550.85,39.74,27.99,2.48,43.85,0,73.77,96.8,0,9.99,0,0,20.94,45.12,0,71.9,518.85,0,8.71,0,0,68.22,92.37,0,418.77,6.87,38.16,0

14,03:15-03:30,48.9,33.99,0,10.65,58.05,7.04,0,0,153.28,1.22,29.2,0,20,141.62,23.97,25.64,83.08,0,52.32,0,13.04,0,0,0,0,0,0,50.79,0,0,19.32,0,181.16,0,0,64.81,0,0,0,11.6,0,0,75.53,42.15,35.09,550.85,39.74,27.99,2.48,43.85,0,73.77,96.8,0,9.99,0,0,20.94,45.12,0,71.9,518.85,0,8.71,0,0,68.22,92.37,0,418.77,6.87,38.16,0

15,03:30-03:45,48.9,33.99,0,10.65,58.05,7.04,0,0,153.28,1.22,29.2,0,20,141.62,23.97,25.64,83.08,0,52.32,0,13.04,0,0,0,0,0,0,50.79,0,0,19.32,0,181.16,0,0,64.81,0,0,0,11.6,0,0,75.53,42.15,35.09,550.85,39.74,27.99,2.48,43.85,0,67.63,96.8,0,9.99,0,0,20.94,45.12,0,71.9,518.85,0,8.71,0,0,68.22,92.37,0,418.77,6.87,38.16,0

