Block,Time Block,KHSTPP-I,KGSU1AND2,KISHANGANGA,KGSU3AND4,KHSTPP-II,ANTA_CRF,ANTA_RF,AURY_LF,DADRI_LF,ANTA_LF,DADRI_GF,AURY_GF,DADRI_CRF,ANTA_GF,AURY_CRF,AURY_RF,DADRI_RF,SIMHST2,UNCHAHAR2,URI,VALLURNTECL,UNCHAHAR4,URI2,UNCHAHAR3,DULHASTI,FSTPP I & II,JHAJJAR,PARBATI3,RAPPB,RAPPC,RAMPUR,NNTPP,NTPL,RIHAND1,SALAL,SEWA2,RSTPSU1TO6,RSTPSU7,RIHAND3,SASAN,SIMHST1,RIHAND2,BSIUL,BRBCL,CHAMERA2,CHAMERA1,NLCTS2EXP,NLCIIST2,NLCIIST1,NAPP,KKNPPU2,KUDGI,KOLDAM,MAPS,KOTESHWR,NJPC,NLCEXP,TelanganaSTPP,UNCHAHAR1,TALST2,SINGRAULI,TEHRI,TANAKPUR,TALA,TANDA2,SINGRAULI_HYDRO,CHAMERA3,DADRT2,DHAULIGNGA,KKNP,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,40.6,0,0,0,95.82,0,0,0,0,0,0,0,0,0,0,0,0,0,40.32,27.83,0,1.57,35.23,0,52.13,20.16,379.33,3.4,0,58.67,2.59,0,0,45.87,76.94,11.22,0,0,123.67,149.37,0,117.96,6.32,14.54,27.47,40.85,0,0,0,43.94,0,0,3.89,0,37.45,120.34,0,0,17.46,0,123.06,74.53,12.6,12.25,2.71,0,20.71,617.58,39.16,0,0,0,0,0,0

2,00:15-00:30,40.6,0,0,0,95.82,0,0,0,0,0,0,0,0,0,0,0,0,0,41.1,27.83,0,1.57,35.23,0,52.13,20.16,379.33,3.4,0,58.67,2.59,0,0,45.87,76.94,11.22,0,0,123.67,149.37,0,117.96,6.32,14.54,27.47,40.85,0,0,0,43.94,0,0,3.89,0,37.45,120.34,0,0,17.46,0,123.06,74.53,12.6,12.4,2.71,0,20.71,607.89,39.16,0,0,0,0,0,0

3,00:30-00:45,40.6,0,0,0,95.82,0,0,0,0,0,0,0,0,0,0,0,0,0,41.1,27.83,0,1.57,35.23,0,52.13,20.16,379.33,3.4,0,58.67,2.59,0,0,45.87,76.94,5.53,0,0,123.67,149.37,0,117.96,6.32,12.72,27.47,27.23,0,0,0,43.94,0,0,3.89,0,37.45,120.34,0,0,17.46,0,123.06,74.53,12.6,12.68,2.71,0,20.71,596.26,39.16,0,0,0,0,0,0

4,00:45-01:00,40.6,0,0,0,95.82,0,0,0,0,0,0,0,0,0,0,0,0,0,41.1,48.68,0,1.57,35.23,0,52.13,20.16,372.37,3.4,0,58.67,2.59,0,0,45.87,76.94,4.84,0,0,123.67,149.37,0,117.96,6.32,10.57,27.47,27.23,0,0,0,43.94,0,0,3.89,0,37.45,120.34,0,0,17.46,0,123.06,74.53,12.6,12.82,2.71,0,20.71,588.76,39.16,0,0,0,0,0,0

5,01:00-01:15,40.6,0,0,0,95.82,0,0,0,0,0,0,0,0,0,0,0,0,0,37.99,48.68,0,1.57,20.04,0,52.13,20.16,398.4,3.4,0,58.67,2.59,0,0,45.87,76.94,0,0,0,123.67,149.37,0,117.96,6.32,10.74,27.47,27.23,0,0,0,43.94,0,0,3.89,0,37.45,120.34,0,0,15.77,0,123.06,74.53,12.6,12.82,2.71,0,20.71,588.76,39.16,0,0,0,0,0,0

