Column1,Block,GNA/NR/2024/12/01/1766,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/2024/24146/A/44999,NR/2024/24097/A/45003,GNA/WR/2024/10/15/7089,GNA/WR/2024/11/01/4200,NR/2024/24088/A/45005,WR/2024/25054/A/45181,GNA/SR/2024/12/01/6968,GNA/NR/2024/12/01/1475,NR/2024/24060/A/45178,GNA/NR/2024/12/01/1899,GNA/NR/2024/12/01/3428,GNA/NR/2024/12/01/1599,NR/30092023/31122025/SH-07,GNA/NR/2024/12/01/2197,GNA/NR/2024/12/01/7739,NR/30092023/26122029/SH-06,NR/2024/24052/A/45012,NR/2024/24051/A/45014,NR/2024/23952/A/44994,NR/2024/24071/A/45008,NR/2024/24203/C,NR/2024/24202/C,Total
,,NDMC,DELHI,IEXL,IEXL,APPCPL,MANIKARAN,IEXL,APPCPL,KSEB,NDMC,NVVNL,NDMC,NDMC,PTC,BAWANA_GAS,NDMC,PTC,PUNJAB,IEXL,IEXL,ITCLH,IEXL,SJVNL,SJVNL,
,,NA,HIMACHAL_STATE,MP_State,KARNATAKA_STATE,DELHI_UT,DELHI_UT,KARNATAKA_STATE,DELHI_UT,DELHI_UT,NA,NA,NA,NA,DELHI_UT,DELHI_UT,NA,DELHI_UT,DELHI_UT,TELANGANA_State,TELANGANA_State,ANDHRA_PRADESH_STATE,NA,NA,NA,
,,RKM_POWER,CHANJUII,NSPLN_MP,NSLSUGARALAND,BYPL,BRPL,NSLSTUNGBHDRA,BRPL,BYPL,JPL2,JITPL,TRN_ENERGY,SKS_Raigarh,BRPL,BAWANA_GAS,RKM_POWER,BYPL,BAWANA_GAS,NSLKSLWPRTY,NSLKSLWPRTY,ITCWIND,TESPL_BKN2,TPSL_BKN2,RSRPL_BKN,
,,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,MSEB_State,MSEB_State,DELHI_UT,GOA_State,KERALA_State,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,HIMACHAL_STATE,HARYANA_STATE,DELHI_UT,HIMACHAL_STATE,PUNJAB_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,
,,NDMC,TPDDL,MES_Delhi,MES_Delhi,AEML,AEML,MES_Delhi,GOA_Beneficiary,KSEB,NDMC,NDMC,NDMC,NDMC,HP,HARYANA,NDMC,HP,PUNJAB,MES_Delhi,MES_Delhi,ITCLH,MES_Delhi,NDMC,NDMC,
,,West-North,North-North,West-North,South-West-North,North-West,North-West,South-West-North,North-West,North-West-South,West-North,East-North,West-North,West-North,North-North,North-North,West-North,North-North,North-North,South-West-North,South-West-North,South-West-North,North-North,North-North,North-North,
1,00:00-00:15,25.97,1.92,5.77,7.69,0,0,0.96,0,150,25.97,17.31,8.66,8.66,95.13,0,25.97,31.71,0,2.89,0,0.43,0,0,0,409.03999999999996

2,00:15-00:30,25.97,1.92,5.77,7.69,0,0,0.96,0,150,25.97,17.31,8.66,8.66,95.13,0,25.97,31.71,0,2.89,0,0.43,0,0,0,409.03999999999996

3,00:30-00:45,25.97,1.92,5.77,7.69,0,0,0.96,0,150,25.97,17.31,8.66,8.66,95.13,0,25.97,31.71,0,2.89,0,0.43,0,0,0,409.03999999999996

4,00:45-01:00,25.97,1.92,5.77,7.69,0,0,0.96,0,150,25.97,17.31,8.66,8.66,95.13,0,25.97,31.71,0,2.89,0,0.43,0,0,0,409.03999999999996

5,01:00-01:15,25.97,1.92,5.77,7.69,0,0,0.96,0,150,25.97,17.31,8.66,8.66,95.13,0,25.97,31.71,0,2.89,0,0.38,0,0,0,408.98999999999995

6,01:15-01:30,25.97,1.92,5.77,7.69,0,0,0.96,0,150,25.97,17.31,8.66,8.66,95.13,0,25.97,31.71,0,2.89,0,0.38,0,0,0,408.98999999999995

7,01:30-01:45,25.97,1.92,5.77,7.69,0,0,0.96,0,150,25.97,17.31,8.66,8.66,95.13,0,25.97,31.71,0,2.89,0,0.38,0,0,0,408.98999999999995

8,01:45-02:00,25.97,1.92,5.77,7.69,0,0,0.96,0,150,25.97,17.31,8.66,8.66,95.13,0,25.97,31.71,0,2.89,0,0.38,0,0,0,408.98999999999995

9,02:00-02:15,25.97,1.92,5.77,7.69,0,0,0.96,0,150,25.97,17.31,8.66,8.66,95.13,0,25.97,31.71,0,2.89,0,0.38,0,0,0,408.98999999999995

10,02:15-02:30,25.97,1.92,5.77,7.69,0,0,0.96,0,150,25.97,17.31,8.66,8.66,95.13,0,25.97,31.71,0,2.89,0,0.38,0,0,0,408.98999999999995

11,02:30-02:45,25.97,1.92,5.77,7.69,0,0,0.96,0,150,25.97,17.31,8.66,8.66,95.13,0,25.97,31.71,0,2.89,0,0.38,0,0,0,408.98999999999995

12,02:45-03:00,25.97,1.92,5.77,7.69,0,0,0.96,0,150,25.97,17.31,8.66,8.66,95.13,0,25.97,31.71,0,2.89,0,0.38,0,0,0,408.98999999999995

13,03:00-03:15,25.97,1.84,5.77,7.69,0,0,0.96,0,150,25.97,17.31,8.66,8.66,95.13,0,25.97,31.71,0,2.89,0,0.34,0,0,0,408.8699999999999

14,03:15-03:30,25.97,1.84,5.77,7.69,0,0,0.96,0,150,25.97,17.31,8.66,8.66,95.13,0,25.97,31.71,0,2.89,0,0.34,0,0,0,408.8699999999999

15,03:30-03:45,25.97,1.84,5.77,7.69,0,0,0.96,0,150,25.97,17.31,8.66,8.66,95.13,0,25.97,31.71,0,2.89,0,0.34,0,0,0,408.8699999999999

16,03:45-04:00,25.97,1.84,5.77,7.69,0,0,0.96,0,150,25.97,17.31,8.66,8.66,95.13,0,25.97,31.71,0,2.89,0,0.34,0,0,0,408.8699999999999

17,04:00-04:15,25.97,1.84,5.77,7.69,0,0,0.96,0,150,25.97,17.31,8.66,8.66,95.13,0,25.97,31.71,0,2.89,0,0.43,0,0,0,408.9599999999999

18,04:15-04:30,25.97,1.84,5.77,7.69,0,0,0.96,0,150,25.97,17.31,8.66,8.66,95.13,0,25.97,31.71,0,2.89,0,0.43,0,0,0,408.9599999999999

19,04:30-04:45,25.97,1.84,5.77,7.69,0,0,0.96,0,150,25.97,17.31,8.66,8.66,95.13,0,25.97,31.71,0,2.89,0,0.43,0,0,0,408.9599999999999

20,04:45-05:00,25.97,1.84,5.77,7.69,0,0,0.96,0,150,25.97,17.31,8.66,8.66,95.13,0,25.97,31.71,0,2.89,0,0.43,0,0,0,408.9599999999999

21,05:00-05:15,25.97,1.92,5.77,7.69,0,0,4.81,0,150,25.97,17.31,8.66,8.66,95.13,0,25.97,31.71,0,2.89,0,0.43,0,0,0,412.89

22,05:15-05:30,25.97,1.92,5.77,7.69,0,0,4.81,0,150,25.97,17.31,8.66,8.66,95.13,0,25.97,31.71,0,2.89,0,0.43,0,0,0,412.89

23,05:30-05:45,25.97,1.92,5.77,14.43,0,0,4.81,0,150,25.97,17.31,8.66,8.66,95.13,0,25.97,31.71,0,2.89,2.89,0.43,0,0,0,422.52

24,05:45-06:00,25.97,1.92,5.77,14.43,0,0,4.81,0,150,25.97,17.31,8.66,8.66,95.13,0,25.97,31.71,0,2.89,2.89,0.43,0,0,0,422.52

25,06:00-06:15,28.85,1.92,5.77,14.43,0,0,4.81,0,150,28.85,17.31,8.66,8.66,0,0,28.85,0,0,2.89,2.89,0.43,0,0,0,304.32000000000005

26,06:15-06:30,28.85,1.92,5.77,14.43,0,0,4.81,0,150,28.85,17.31,8.66,8.66,0,0,28.85,0,0,2.89,2.89,0.43,0,0,0,304.32000000000005

27,06:30-06:45,31.74,1.92,5.77,14.43,0,0,4.81,0,150,31.74,17.31,8.66,8.66,0,0,31.74,0,0,2.89,2.89,0.43,0,0,0,312.99

28,06:45-07:00,31.74,1.92,5.77,14.43,0,0,4.81,0,150,31.74,17.31,8.66,8.66,0,0,31.74,0,0,2.89,2.89,0.43,0,0,0,312.99

29,07:00-07:15,31.74,1.84,5.77,14.43,0,0,4.81,0,150,31.74,28.85,8.66,8.66,0,0,31.74,0,0,2.89,2.89,0.53,0,0,0,324.55

30,07:15-07:30,31.74,1.84,5.77,14.43,0,0,4.81,0,150,31.74,28.85,8.66,8.66,0,0,31.74,0,0,2.89,2.89,0.53,0,0,0,324.55

31,07:30-07:45,34.62,1.84,5.77,14.43,0,0,4.81,0,150,34.62,28.85,8.66,8.66,0,0,34.62,0,0,2.89,2.89,0.53,0,0,0,333.19

32,07:45-08:00,34.62,1.84,5.77,14.43,0,0,4.81,0,150,34.62,28.85,8.66,8.66,0,0,34.62,0,0,2.89,2.89,0.53,0,0,0,333.19

33,08:00-08:15,36.54,1.84,5.77,14.43,0,0,4.81,0,150,36.54,28.85,11.54,11.54,0,0,36.54,0,0,2.89,2.89,0.82,0,0,0,345.00000000000006

34,08:15-08:30,36.54,1.84,5.77,14.43,0,0,4.81,0,150,36.54,28.85,11.54,11.54,0,0,36.54,0,0,2.89,2.89,0.82,0,0,0,345.00000000000006

35,08:30-08:45,36.54,1.84,5.77,7.69,0,0,4.81,0,150,36.54,28.85,11.54,11.54,0,0,36.54,0,0,2.89,0,0.82,0,0,0,335.37000000000006

36,08:45-09:00,36.54,1.84,5.77,7.69,0,0,4.81,0,150,36.54,28.85,11.54,11.54,0,0,36.54,0,0,2.89,0,0.82,0,0,0,335.37000000000006

37,09:00-09:15,28.85,1.92,5.77,7.69,0,0,4.81,0,150,28.85,28.85,8.66,8.66,0,0,28.85,0,0,2.89,0,0.82,3.85,25.77,25.97,362.21000000000004

38,09:15-09:30,28.85,1.92,5.77,7.69,0,0,4.81,0,150,28.85,28.85,8.66,8.66,0,0,28.85,0,0,2.89,0,0.82,3.85,29.81,23.08,363.36000000000007

39,09:30-09:45,28.85,1.92,5.77,7.69,0,0,4.81,0,150,28.85,28.85,8.66,8.66,0,0,28.85,0,0,2.89,0,0.82,3.85,30.77,22.12,363.36000000000007

