Column1,Time,NR/26072023/31072042/L_NR_2023_07,NR/01102023/13082046/L_NR_2021_12,NR/22102023/11042047/L_NR_2021_16,NR/26072023/25122043/L_NR_2023_10,NR/01102023/08032047/L_NR_2021_14,NR/01102023/25072045/L_NR_2021_15,NR/22102023/11042047/L_NR_2021_17,NR/01102023/02122045/L_NR_2021_13,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/01102023/31052040/LT-31,GNA/NR/2025/06/01/7663,GNA/NR/2025/06/01/9719,NR/01102023/15082037/GNA_NR_2012_01,NR/30092023/26122029/SH-06,NR/30092023/31122025/SH-07,L_NR_2019_19,GNARE/SR/2025/01/13/4532,WR/01102023/01102023/L_NR_2022_09,GNARE/NR/2024/12/20/3668,WR/01102023/31032046/L_NR_2020_05,WR/01102023/16072048/L_NR_2022_08,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/29112042/L_NR_2019_05,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/24112044/L_NR_2020_07,WR/01102023/01102023/L_NR_2020_06,WR/01102023/30052048/L_NR_2022_10,NR/01102023/05012040/L_NR_2020_02,NR/01102023/30042040/GNA_LT_36,GNA/NR/2025/06/01/7782,GNA/NR/2025/06/01/5280,GNA/NR/2025/06/07/5932,GNA/NR/2025/06/01/2868,NR/01102023/06022042/L_NR_2012_07,GNA/NR/2025/04/01/8456,GNA/NR/2025/06/01/7762,GNA/NR/2025/04/01/8510,GNA/NR/2025/06/01/7786,NR/01102023/19072037/LT-05,GNA/NR/2025/06/01/4444,NR/01102023/30042040/GNA_LT_35,GNA/NR/2025/06/01/9257,NR/01102023/27052033/DIAPL(L_NR_2023_04),GNA/NR/2025/04/01/8964,NR/01102023/06022042/L_NR_2012_02,NR/01102023/22052037/LT-59,GNA/NR/2025/06/01/2569,NR/01102023/31102037/L_NR_2019_11,GNA/NR/2025/06/01/4973
1,00:00-00:15,0,0,0,0,0,0,0,0,272.91,13.21,0,41.02,20.75,100.55,30,30,0,20.01,36.67,0,62.51,15.67,0,0,0,20.83,20.83,36.67,2.06,0,11.89,11.9,-0,28.96,87.06,10.56,20.75,15.68,41.02,115.78,0,0,20.75,26.24,7.31,130.59,4.67,53.57,5.54,41.02

2,00:15-00:30,0,0,0,0,0,0,0,0,272.91,13.21,0,41.02,20.75,100.55,30,30,0,20.81,36.67,0,62.51,15.33,0,0,0,20.83,20.83,36.67,2.06,0,11.89,11.9,-0,28.96,87.06,10.56,20.75,15.68,41.02,115.78,0,0,20.75,26.75,7.31,130.59,4.67,53.57,5.54,41.02

3,00:30-00:45,0,0,0,0,0,0,0,0,272.91,13.21,0,41.02,20.75,100.55,30,30,0,21.21,36.67,0,62.51,15.33,0,0,0,20.83,20.83,36.67,2.06,0,11.89,11.9,-0,28.96,87.06,10.56,20.75,15.68,41.02,115.78,0,0,20.75,26.75,7.31,130.59,4.67,53.57,5.54,41.02

4,00:45-01:00,0,0,0,0,0,0,0,0,272.91,13.21,0,41.02,20.75,100.55,30,30,0,21.61,36.67,0,62.51,15,0,0,0,20.83,20.83,36.67,2.06,0,11.89,11.9,-0,28.96,87.06,10.56,20.75,15.68,41.02,115.78,0,0,20.75,26.75,7.31,130.59,4.67,53.57,5.54,41.02

5,01:00-01:15,0,0,0,0,0,0,0,0,133.2,13.21,0,41.02,20.75,100.55,30,30,0,22.01,36.67,0,62.51,16.67,0,0,0,20.83,20.83,36.67,2.06,0,11.89,11.9,-0,28.96,87.06,10.56,20.75,15.68,41.02,115.78,0,0,20.75,26.75,7.31,130.59,4.67,53.57,5.15,41.02

6,01:15-01:30,0,0,0,0,0,0,0,0,133.2,13.21,0,41.02,20.75,100.55,30,30,0,22.41,36.67,0,61.99,17,0,0,0,20.67,20.67,36.67,2.06,0,11.89,11.9,-0,28.96,87.06,10.56,20.75,15.68,41.02,115.78,0,0,20.75,26.75,7.31,130.59,4.67,53.57,5.15,41.02

