Block,Time Block,BRBCL,CHAMERA1,BSIUL,CHAMERA3,CHAMERA2,DADRT2,DHAULIGNGA,FSTPP I & II,DULHASTI,JHAJJAR,KGSU1AND2,KGSU3AND4,KHSTPP-I,KHSTPP-II,TANDA2,TelanganaSTPP,TEHRI,KISHANGANGA,KKNP,KKNPPU2,KOLDAM,KOTESHWR,KUDGI,MAPS,NLCEXP,NJPC,NAPP,NLCIIST1,NLCIIST2,NLCTS2EXP,NNTPP,NTPL,PARBATI3,RAMPUR,RAPPC,RIHAND3,RAPPB,RIHAND2,RIHAND1,SASAN,RSTPSU1TO6,RSTPSU7,SALAL,SEWA2,SIMHST1,SIMHST2,SINGRAULI_HYDRO,SINGRAULI,TALA,TALST2,TANAKPUR,UNCHAHAR2,URI,UNCHAHAR1,VALLURNTECL,UNCHAHAR4,URI2,UNCHAHAR3,DADRI_GF,ANTA_LF,AURY_GF,DADRI_CRF,ANTA_GF,DADRI_RF,AURY_CRF,AURY_RF,DADRI_LF,ANTA_CRF,ANTA_RF,AURY_LF,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,19.24,0,0,0,0,255.02,0,13.25,0,229.93,0,0,27.92,122.94,0,0,0,0,0,0,0,17.07,0,0,0,0,42.12,0,0,0,0,0,0,0,51.38,119.58,0,114.22,88.49,216.4,0,0,1.35,0,0,0,0,100.17,0,0,7.51,22.42,1.07,5.77,0,0,4.15,13.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

2,00:15-00:30,19.24,0,0,0,0,255.02,0,13.25,0,229.93,0,0,27.92,122.94,0,0,0,0,0,0,0,17.07,0,0,0,0,42.12,0,0,0,0,0,0,0,51.38,119.58,0,114.22,88.49,216.4,0,0,1.35,0,0,0,0,100.17,0,0,7.51,22.42,1.07,5.77,0,0,4.15,13.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

3,00:30-00:45,19.24,0,0,0,0,255.02,0,13.25,0,229.93,0,0,27.92,122.94,0,0,0,0,0,0,0,17.07,0,0,0,0,42.12,0,0,0,0,0,0,0,51.38,119.58,0,114.22,88.49,216.4,0,0,1.35,0,0,0,0,100.17,0,0,7.51,22.42,1.07,5.77,0,0,4.15,13.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

4,00:45-01:00,19.24,0,0,0,0,255.02,0,13.25,0,229.93,0,0,27.92,122.94,0,0,0,0,0,0,0,17.07,0,0,0,0,42.12,0,0,0,0,0,0,0,51.38,119.58,0,114.22,88.49,216.4,0,0,1.35,0,0,0,0,100.17,0,0,7.51,22.42,1.07,5.77,0,0,4.15,13.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

5,01:00-01:15,19.24,0,0,0,0,255.02,0,13.25,0,229.93,0,0,27.92,122.94,0,0,0,0,0,0,0,17.07,0,0,0,0,42.12,0,0,0,0,0,0,0,51.38,119.58,0,114.22,88.49,216.4,0,0,1.35,0,0,0,0,100.17,0,0,7.51,22.42,1.07,5.77,0,0,4.15,13.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

6,01:15-01:30,19.24,0,0,0,0,255.02,0,13.25,0,229.93,0,0,27.92,122.94,0,0,0,0,0,0,0,17.07,0,0,0,0,42.12,0,0,0,0,0,0,0,51.38,119.58,0,114.22,88.49,216.4,0,0,1.35,0,0,0,0,100.17,0,0,7.51,22.42,1.07,5.77,0,0,4.15,13.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

7,01:30-01:45,19.24,0,0,0,0,255.02,0,13.25,0,229.93,0,0,27.92,122.94,0,0,0,0,0,0,0,17.07,0,0,0,0,42.12,0,0,0,0,0,0,0,51.38,119.58,0,114.22,88.49,216.4,0,0,1.35,0,0,0,0,100.17,0,0,1.97,22.42,1.07,5.77,0,0,4.15,13.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

8,01:45-02:00,19.24,0,0,0,0,255.02,0,13.25,0,229.93,0,0,27.92,122.94,0,0,0,0,0,0,0,17.07,0,0,0,0,42.12,0,0,0,0,0,0,0,51.38,119.58,0,114.22,88.49,216.4,0,0,1.35,0,0,0,0,100.17,0,0,1.97,22.42,1.07,5.77,0,0,4.15,13.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

