Block,Time,AURY_RF,CHAMERA2,AURY_GF,JHAJJAR,DADRI_GF,BSIUL,SEWA2,AURY_CRF,ANTA_CRF,ANTA_GF,SINGRAULI,URI2,UNCHAHAR2,RIHAND1,PARBATI3,DADRI_CRF,DADRI_RF,TANAKPUR,DADRI_LF,NAPP,UNCHAHAR4,RIHAND2,KOLDAM,KISHANGANGA,URI,DHAULIGNGA,ANTA_RF,KOTESHWR,TEHRI,RAMPUR,DADRT2,RIHAND3,TANDA2,RAPPB,UNCHAHAR3,CHAMERA1,ANTA_LF,NJPC,AURY_LF,SINGRAULI_HYDRO,UNCHAHAR1,CHAMERA3,RAPPC,SALAL,DULHASTI,KHSTPP-I,KHSTPP-II,TALA,BRBCL,SASAN,KUDGI,FSTPP I & II,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0.000000,38.332718,0.000000,633.686227,0.000000,6.358497,0.000000,0.000000,0.000000,0.000000,135.158562,31.322713,41.121733,89.258400,0.000000,0.000000,0.000000,12.925392,0.000000,37.716719,0.000000,114.604875,0.000000,0.000000,6.426605,26.529828,0.000000,8.609555,44.008272,0.000000,666.313914,119.980389,0.000000,0.000000,14.737338,40.892067,0.000000,136.163107,0.000000,1.039356,18.831582,28.196736,24.377439,83.425558,47.963347,40.854342,95.409468,15.688134,19.403955,403.845750,25.61,19.685455,0,0,0,0,0

2,00:15-00:30,0.000000,38.332718,0.000000,633.686227,0.000000,6.358497,0.000000,0.000000,0.000000,0.000000,135.158562,31.322713,41.121733,89.258400,0.000000,0.000000,0.000000,12.925392,0.000000,37.716719,0.000000,114.604875,0.000000,0.000000,6.426605,26.529828,0.000000,8.609555,44.008272,0.000000,666.313914,119.980389,0.000000,0.000000,14.737338,40.892067,0.000000,136.163107,0.000000,1.039356,18.831582,28.196736,24.377439,83.425558,47.963347,41.223798,95.409468,15.688134,18.829904,403.845750,37.15,19.685455,0,0,0,0,0

3,00:30-00:45,0.000000,38.332718,0.000000,633.686227,0.000000,6.358497,0.000000,0.000000,0.000000,0.000000,135.158562,31.322713,41.121733,89.258400,0.000000,0.000000,0.000000,12.925392,0.000000,37.716719,0.000000,114.604875,0.000000,0.000000,6.426605,26.529828,0.000000,8.609555,44.008272,0.000000,666.313914,119.980389,0.000000,0.000000,14.737338,40.892067,0.000000,136.163107,0.000000,1.039356,18.831582,28.196736,24.377439,83.425558,47.963347,41.223798,95.409468,15.688134,19.009585,403.845750,39.49,19.685455,0,0,0,0,0

4,00:45-01:00,0.000000,38.332718,0.000000,633.686227,0.000000,6.358497,0.000000,0.000000,0.000000,0.000000,135.158562,31.322713,41.121733,89.258400,0.000000,0.000000,0.000000,12.925392,0.000000,37.716719,0.000000,114.604875,0.000000,0.000000,47.128435,26.529828,0.000000,8.609555,29.338848,0.000000,666.313914,119.980389,0.000000,0.000000,14.737338,40.892067,0.000000,136.163107,0.000000,1.039356,18.831582,28.196736,24.377439,83.425558,47.963347,41.223798,95.409468,15.688134,18.016344,403.845750,37.55,19.685455,0,0,0,0,0

5,01:00-01:15,0.000000,38.332718,0.000000,590.774184,0.000000,6.358497,0.000000,0.000000,0.000000,0.000000,135.158562,10.440904,41.121733,89.258400,0.000000,0.000000,0.000000,12.925392,0.000000,37.716719,0.000000,114.604875,0.000000,0.000000,47.128435,26.529828,0.000000,8.609555,29.338848,0.000000,622.622745,119.980389,0.000000,0.000000,14.081096,27.209259,0.000000,136.163107,0.000000,1.039356,16.210658,28.196736,24.377439,83.425558,47.963347,41.223798,95.409468,15.688134,17.944311,403.845750,35.45,19.685455,0,0,0,0,0

6,01:15-01:30,0.000000,38.332718,0.000000,590.774184,0.000000,6.358497,0.000000,0.000000,0.000000,0.000000,135.158562,9.135791,41.121733,89.258400,0.000000,0.000000,0.000000,12.925392,0.000000,37.716719,0.000000,114.604875,0.000000,0.000000,6.426605,26.529828,0.000000,8.609555,16.197489,0.000000,622.622745,119.980389,0.000000,0.000000,14.081096,27.209259,0.000000,136.163107,0.000000,1.039356,16.161398,28.196736,24.377439,83.425558,47.963347,41.223798,95.409468,15.688134,16.593826,403.845750,32.70,19.685455,0,0,0,0,0

7,01:30-01:45,0.000000,38.332718,0.000000,553.426335,0.000000,6.358497,0.000000,0.000000,0.000000,0.000000,135.158562,9.135791,41.121733,89.258400,0.000000,0.000000,0.000000,12.925392,0.000000,37.716719,0.000000,114.604875,0.000000,0.000000,6.426605,26.529828,0.000000,8.609555,16.197489,0.000000,583.814745,119.980389,0.000000,0.000000,14.052263,27.209259,0.000000,136.163107,0.000000,1.039356,13.063646,28.196736,24.377439,83.425558,47.963347,41.223798,95.409468,15.688134,17.109867,403.845750,29.79,19.685455,0,0,0,0,0

8,01:45-02:00,0.000000,38.332718,0.000000,543.724335,0.000000,6.358497,0.000000,0.000000,0.000000,0.000000,135.158562,9.135791,41.121733,89.258400,0.000000,0.000000,0.000000,12.925392,0.000000,37.716719,0.000000,114.604875,0.000000,0.000000,6.426605,26.529828,0.000000,8.609555,16.197489,0.000000,583.814745,119.980389,0.000000,0.000000,14.052263,27.209259,0.000000,136.163107,0.000000,1.039356,13.063646,28.196736,24.377439,83.425558,47.963347,41.223798,95.409468,15.688134,15.760795,403.845750,27.84,19.685455,0,0,0,0,0

9,02:00-02:15,0.000000,38.332718,0.000000,590.774184,0.000000,6.358497,0.000000,0.000000,0.000000,0.000000,135.158562,9.135791,41.121733,89.258400,0.000000,0.000000,0.000000,12.925392,0.000000,37.716719,0.000000,114.604875,0.000000,0.000000,6.426605,26.529828,0.000000,8.609555,0.000000,0.000000,622.622745,119.980389,0.000000,0.000000,14.035978,27.209259,0.000000,136.163107,0.000000,1.039356,13.063646,28.196736,24.377439,83.425558,47.963347,41.223798,95.409468,15.688134,17.466405,403.845750,25.90,19.685455,0,0,0,0,0

10,02:15-02:30,0.000000,38.332718,0.000000,553.426335,0.000000,6.358497,0.000000,0.000000,0.000000,0.000000,135.158562,9.135791,41.121733,89.258400,0.000000,0.000000,0.000000,12.925392,0.000000,37.716719,0.000000,114.604875,0.000000,0.000000,6.426605,26.529828,0.000000,8.609555,0.000000,0.000000,622.622745,119.980389,0.000000,0.000000,14.035978,27.209259,0.000000,136.163107,0.000000,1.039356,13.063646,28.196736,24.377439,83.425558,47.963347,41.223798,95.409468,15.688134,16.469633,403.845750,24.93,19.685455,0,0,0,0,0

