Block,Time,KGSU1AND2,KGSU3AND4,KISHANGANGA,KKNP,SIMHST2,UNCHAHAR1,UNCHAHAR3,URI2,CHAMERA2,CHAMERA3,FSTPP I & II,JHAJJAR,KHSTPP-II,KKNPPU2,RAPPB,SASAN,TALST2,TANAKPUR,UNCHAHAR4,VALLURNTECL,AURY_LF,DADRT2,KOLDAM,NAPP,NLCIIST1,RSTPSU7,DADRI_LF,CHAMERA1,DHAULIGNGA,RAMPUR,AURY_CRF,BRBCL,BSIUL,NLCTS2EXP,RIHAND1,RSTPSU1TO6,SINGRAULI,SINGRAULI_HYDRO,TALA,TANDA2,ANTA_GF,ANTA_RF,DADRI_RF,NLCIIST2,RAPPC,RIHAND2,SEWA2,TEHRI,ANTA_LF,DADRI_CRF,DADRI_GF,DULHASTI,NNTPP,PARBATI3,SALAL,TelanganaSTPP,UNCHAHAR2,URI,ANTA_CRF,AURY_GF,AURY_RF,KHSTPP-I,KOTESHWR,KUDGI,MAPS,NJPC,NLCEXP,NTPL,RIHAND3,SIMHST1
1,00:00-00:15,0,0,2.88,0,0,20.96,27.05,36.05,44.22,32.08,20.15,413.81,98.87,0,0,412.88,0,11.27,1.62,0,0,686.07,5.35,45.1,0,0,0,28.1,40.4,3.54,0,20,0,0,91.57,0,127.75,0,10.49,2.89,0,31.47,72.75,0,60.23,121.71,5.79,34.01,0,0,0,53.79,0,21.08,83.67,0,43.11,38.64,0,0,60.89,44.31,28.98,0,0,167.1,0,0,127.6,0

2,00:15-00:30,0,0,2.88,0,0,20.96,27.05,36.05,44.22,32.08,20.15,413.81,98.87,0,0,412.88,0,11.27,1.62,0,0,686.07,5.35,45.1,0,0,0,28.1,40.4,3.54,0,20,0,0,91.57,0,127.75,0,10.49,2.89,0,31.47,72.75,0,60.23,121.71,5.79,34.01,0,0,0,53.79,0,21.08,83.67,0,43.71,38.64,0,0,60.89,44.31,28.98,0,0,167.1,0,0,127.6,0

3,00:30-00:45,0,0,2.88,0,0,20.96,27.05,36.05,44.22,32.08,20.15,413.81,98.87,0,0,412.88,0,12.94,1.62,0,0,686.07,5.35,45.1,0,0,0,28.1,40.4,3.54,0,20,0,0,91.57,0,127.75,0,10.49,2.89,0,31.47,72.75,0,60.23,121.71,5.79,34.01,0,0,0,53.79,0,21.08,83.67,0,43.71,38.64,0,0,60.89,44.31,28.98,0,0,167.1,0,0,127.6,0

4,00:45-01:00,0,0,2.88,0,0,20.96,27.05,36.05,44.22,32.08,20.15,413.81,98.87,0,0,412.88,0,12.94,1.62,0,0,686.07,5.35,45.1,0,0,0,28.1,40.4,3.54,0,20.01,0,0,91.57,0,127.75,0,10.49,2.89,0,31.47,72.75,0,60.23,121.71,5.79,34.01,0,0,0,53.79,0,21.08,83.67,0,43.71,38.64,0,0,60.89,44.31,28.98,0,0,167.1,0,0,127.6,0

5,01:00-01:15,0,0,2.88,0,0,20.96,27.05,36.05,44.22,32.08,20.15,413.81,98.87,0,0,412.88,0,11.53,1.62,0,0,686.07,5.35,45.1,0,0,0,28.1,40.4,3.54,0,20.01,0,0,91.57,0,127.75,0,10.64,2.89,0,31.47,72.75,0,60.23,121.71,5.79,34.01,0,0,0,53.79,0,21.08,83.67,0,43.71,38.64,0,0,61.49,44.31,28.98,0,0,167.1,0,0,127.6,0

