Block,Time Block,JHAJJAR,KGSU1AND2,KGSU3AND4,DHAULIGNGA,FSTPP I & II,KHSTPP-I,DULHASTI,CHAMERA2,BSIUL,BRBCL,CHAMERA1,CHAMERA3,DADRT2,TelanganaSTPP,UNCHAHAR2,URI,TALA,TEHRI,UNCHAHAR1,UNCHAHAR4,VALLURNTECL,TANDA2,URI2,UNCHAHAR3,TALST2,TANAKPUR,NJPC,NLCEXP,NAPP,SIMHST1,SINGRAULI_HYDRO,SIMHST2,SEWA2,SINGRAULI,PARBATI3,PARBATI2,RAPPD,RAMPUR,RAPPC,SASAN,RIHAND2,RSTPSU1TO6,RIHAND1,RSTPSU7,RAPPB,SALAL,RIHAND3,NLCTS2EXP,NTPL,NNTPP,NLCIIST1,NLCIIST2,AURY_CRF,AURY_RF,DADRI_LF,ANTA_CRF,ANTA_RF,AURY_LF,DADRI_GF,ANTA_LF,AURY_GF,DADRI_CRF,DADRI_RF,ANTA_GF,KOTESHWR,KHSTPP-II,MAPS,KKNP,KKNPPU2,KOLDAM,KISHANGANGA,KUDGI,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,330.39,0,0,21.14,20.09,43.99,56.7,47.16,12.6,19.05,40.79,33.84,309.15,0,42.52,48.53,5.11,28.61,20.89,1.74,0,4.96,36.81,26.74,0,8.05,174.76,0,24.77,0,1.07,0,12.18,145.24,75.6,47.18,18.49,6.74,65.74,320.05,120.36,0,93.93,0,0,77.46,92.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.14,143.27,0,0,0,6.95,8.34,0,0,0,0,0,0

2,00:15-00:30,272.42,0,0,21.14,20.09,43.99,56.7,47.16,12.6,17.29,40.79,33.84,309.15,0,42.52,48.53,5.11,28.61,20.91,1.74,0,5.33,36.81,26.74,0,8.05,174.76,0,24.77,0,1.07,0,12.18,145.24,75.6,47.18,18.49,6.74,65.74,320.63,120.36,0,93.93,0,0,77.46,92.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.14,143.27,0,0,0,6.95,8.34,0,0,0,0,0,0

3,00:30-00:45,220.98,0,0,21.14,20.09,43.99,56.7,47.16,12.6,17.8,40.79,33.84,274.37,0,42.52,47.78,6.25,28.61,20.91,1.74,0,5.33,36.81,26.74,0,8.05,174.76,0,24.77,0,1.07,0,12.18,145.24,75.6,47.18,18.49,6.74,65.74,320.63,120.36,0,93.93,0,0,77.46,92.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.14,143.27,0,0,0,6.95,8.34,0,0,0,0,0,0

4,00:45-01:00,220.98,0,0,21.14,20.09,43.99,56.7,47.16,12.6,15.4,40.79,33.84,204,0,42.52,47.78,6.25,28.61,20.91,1.74,0,5.33,36.81,26.74,0,8.05,174.76,0,24.77,0,1.07,0,12.18,145.24,75.6,47.18,18.49,6.74,65.74,320.63,120.36,0,93.93,0,0,77.46,92.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.14,143.27,0,0,0,6.95,8.34,0,0,0,0,0,0

5,01:00-01:15,207.89,0,0,21.14,20.09,43.99,56.7,47.16,12.6,15.76,40.79,33.84,136.36,0,33.99,47.78,6.25,28.61,16.73,1.66,0,5.33,36.81,21.38,0,8.05,174.76,0,24.77,0,1.07,0,12.18,145.24,75.6,47.18,18.49,6.74,65.74,320.63,120.36,0,93.93,0,0,76.33,92.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.14,143.27,0,0,0,6.95,8.34,0,0,0,0,0,0

6,01:15-01:30,261.02,0,0,21.14,20.09,43.99,56.7,47.16,12.6,14.2,40.79,33.84,69.85,0,33.99,47.78,6.25,28.61,16.73,1.66,0,5.33,36.81,21.38,0,8.05,174.76,0,24.77,0,1.07,0,12.18,145.24,48.92,47.18,18.49,6.74,65.74,320.63,120.36,0,93.93,0,0,76.33,92.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.14,143.27,0,0,0,6.95,8.34,0,0,0,0,0,0

7,01:30-01:45,218.51,0,0,21.14,15.52,43.99,56.7,47.16,12.6,10.99,40.79,33.84,7.37,0,33.99,47.78,6.25,28.61,16.73,1.05,0,3.96,36.81,21.38,0,4.96,174.76,0,24.77,0,1.07,0,12.18,145.24,41.5,47.18,18.49,6.74,65.74,320.63,120.36,0,93.93,0,0,76.33,92.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.14,143.27,0,0,0,6.95,8.34,0,0,0,0,0,0

8,01:45-02:00,218.51,0,0,21.14,15.52,43.99,56.7,47.16,12.6,12.36,40.79,33.84,7.37,0,28.6,47.78,6.25,28.61,13.95,1.05,0,3.96,36.81,17.86,0,4.96,174.76,0,24.77,0,1.07,0,6.09,145.24,41.5,47.18,18.49,6.74,65.74,320.63,120.36,0,93.93,0,0,76.33,92.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.14,143.27,0,0,0,6.95,8.34,0,0,0,0,0,0

9,02:00-02:15,218.51,0,0,21.14,15.52,31.54,56.7,47.16,12.6,11.79,40.79,33.84,7.37,0,23.42,47.78,6.25,28.61,10.77,1.05,0,3.96,36.81,14.28,0,4.96,174.76,0,24.77,0,1.07,0,6.09,145.24,48.92,47.18,18.49,6.74,65.74,320.63,120.36,0,93.93,0,0,76.33,92.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.14,143.27,0,0,0,6.95,8.34,0,0,0,0,0,0

10,02:15-02:30,218.51,0,0,21.14,12.74,31.54,56.7,47.16,12.6,9.87,40.79,33.84,7.37,0,23.79,47.78,6.25,28.61,10.77,1.05,0,3.96,36.81,14.28,0,4.96,174.76,0,24.77,0,1.07,0,5.82,145.24,48.92,47.18,18.49,6.74,65.74,320.63,120.36,0,93.93,0,0,76.33,92.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.14,143.27,0,0,0,6.95,8.34,0,0,0,0,0,0

