Block,Time,BRBCL,DHAULIGNGA,KHSTPP-I,KKNPPU2,KUDGI,NTPL,RAPPB,RAPPC,TALA,VALLURNTECL,AURY_LF,DADRI_CRF,DADRI_LF,BSIUL,FSTPP I & II,KISHANGANGA,RAMPUR,TANAKPUR,UNCHAHAR2,CHAMERA2,DADRT2,NAPP,NLCEXP,SIMHST2,URI2,ANTA_CRF,DULHASTI,KHSTPP-II,KKNP,KOLDAM,KOTESHWR,NLCIIST2,NLCTS2EXP,SIMHST1,TANDA2,TEHRI,ANTA_LF,DADRI_GF,CHAMERA3,RIHAND2,RSTPSU7,SASAN,SINGRAULI,SINGRAULI_HYDRO,TALST2,TelanganaSTPP,URI,DADRI_RF,CHAMERA1,MAPS,RIHAND1,RSTPSU1TO6,UNCHAHAR1,JHAJJAR,NLCIIST1,NNTPP,PARBATI3,SALAL,ANTA_RF,AURY_GF,AURY_RF,KGSU1AND2,KGSU3AND4,NJPC,RIHAND3,SEWA2,UNCHAHAR3,UNCHAHAR4,ANTA_GF,AURY_CRF
1,00:00-00:15,20.01,40.4,44.31,0,0,0,0,60.23,9.76,0,0,0,0,0,14.3,2.88,3.54,2.56,43.11,44.22,685.77,44.62,0,0,36.05,0,53.79,148.3,0,5.35,10.19,0,0,0,2.89,34.01,0,0,32.08,121.71,0,410.62,124.63,0,0,0,38.64,79.73,42.15,0,90.54,0,20.96,413.81,0,0,30.92,83.67,48.13,0,60.89,0,0,167.1,127.6,11.58,27.05,1.62,0,0

2,00:15-00:30,20.01,40.4,44.31,0,0,0,0,60.23,9.62,0,0,0,0,0,14.3,2.88,3.54,2.56,43.11,44.22,685.77,44.62,0,0,36.05,0,53.79,148.3,0,5.35,10.19,0,0,0,2.89,34.01,0,0,32.08,121.71,0,410.62,124.63,0,0,0,38.64,79.73,42.15,0,90.54,0,20.96,413.81,0,0,30.92,83.67,48.13,0,60.89,0,0,167.1,127.6,11.58,27.05,1.62,0,0

3,00:30-00:45,20.01,40.4,44.31,0,0,0,0,60.23,10.11,0,0,0,0,0,14.3,2.88,3.54,3.85,43.11,44.22,685.77,44.62,0,0,36.05,0,53.79,148.3,0,5.35,10.19,0,0,0,2.89,34.01,0,0,32.08,121.71,0,410.62,124.63,0,0,0,38.64,79.73,42.15,0,90.54,0,20.96,413.81,0,0,30.92,83.67,48.13,0,60.89,0,0,167.1,127.6,11.58,27.05,1.62,0,0

4,00:45-01:00,20.01,40.4,44.31,0,0,0,0,60.23,10.14,0,0,0,0,0,14.3,2.88,3.54,10.89,43.11,44.22,685.77,44.62,0,0,36.05,0,53.79,148.3,0,5.35,10.19,0,0,0,2.89,34.01,0,0,32.08,121.71,0,410.62,124.63,0,0,0,38.64,79.73,42.15,0,90.54,0,20.96,413.81,0,0,30.92,83.67,48.13,0,60.89,0,0,167.1,127.6,11.58,27.05,1.62,0,0

5,01:00-01:15,20.01,40.4,44.31,0,0,0,0,60.23,10.11,0,0,0,0,0,14.3,2.88,3.54,10.89,43.71,44.22,686.07,44.62,0,0,36.05,0,53.79,148.3,0,5.35,10.19,0,0,0,2.89,34.01,0,0,32.08,121.71,0,410.62,124.63,0,0,0,38.64,79.73,42.15,0,90.54,0,20.96,413.81,0,0,21.08,83.67,48.13,0,61.49,0,0,167.1,127.6,11.58,27.05,1.62,0,0

