Block,Time,URI2,CHAMERA1,URI,DADRI_LF,RIHAND2,BSIUL,AURY_LF,UNCHAHAR3,KOLDAM,DHAULIGNGA,ANTA_GF,DADRI_GF,KOTESHWR,ANTA_CRF,SALAL,RAMPUR,AURY_CRF,PARBATI3,NAPP,DADRI_CRF,ANTA_RF,DADRI_RF,NJPC,RAPPB,SINGRAULI,AURY_GF,SEWA2,AURY_RF,SINGRAULI_HYDRO,TANDA2,RIHAND3,CHAMERA2,JHAJJAR,TEHRI,DULHASTI,TANAKPUR,ANTA_LF,KISHANGANGA,RAPPC,UNCHAHAR1,DADRT2,CHAMERA3,UNCHAHAR2,UNCHAHAR4,RIHAND1,FSTPP I & II,SASAN,BRBCL,KUDGI,KHSTPP-I,KHSTPP-II,TALA,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,30.838389,0.000000,48.030624,0.000000,114.203250,0.000000,0.000000,17.973295,0.000000,0.000000,0.000000,0.000000,8.579383,0.000000,12.357638,0.000000,0.000000,0.000000,19.308543,0.000000,0.000000,0.000000,0.000000,0.000000,85.561800,0.000000,0.000000,0.000000,0.573341,0.000000,119.559926,0.000000,345.558490,0.000000,15.931754,4.953883,0.000000,0.000000,25.641566,5.481238,330.220305,0.000000,32.455476,0.000000,43.506000,20.041764,404.866836,19.336023,72.51,43.718696,95.075112,0.852718,0,0,0,0,0

2,00:15-00:30,30.838389,0.000000,48.030624,0.000000,114.203250,0.000000,0.000000,17.973295,0.000000,0.000000,0.000000,0.000000,8.579383,0.000000,2.246843,0.000000,0.000000,0.000000,19.308543,0.000000,0.000000,0.000000,0.000000,0.000000,85.561800,0.000000,0.000000,0.000000,0.573341,0.000000,119.559926,0.000000,345.558490,0.000000,15.931754,4.953883,0.000000,0.000000,25.641566,4.241932,330.220305,0.000000,32.455476,0.000000,43.506000,20.041764,404.866836,19.336023,70.58,43.718696,95.075112,0.852718,0,0,0,0,0

3,00:30-00:45,30.838389,0.000000,6.404083,0.000000,114.203250,0.000000,0.000000,17.973295,0.000000,0.000000,0.000000,0.000000,8.579383,0.000000,2.246843,0.000000,0.000000,0.000000,19.308543,0.000000,0.000000,0.000000,0.000000,0.000000,85.561800,0.000000,0.000000,0.000000,0.573341,0.000000,119.559926,0.000000,345.558490,0.000000,15.931754,4.953883,0.000000,0.000000,25.641566,4.241932,330.220305,0.000000,32.455476,0.000000,43.506000,20.041764,404.866836,18.823720,69.61,43.718696,95.075112,0.852718,0,0,0,0,0

4,00:45-01:00,30.838389,0.000000,6.404083,0.000000,114.203250,0.000000,0.000000,17.973295,0.000000,0.000000,0.000000,0.000000,8.579383,0.000000,2.246843,0.000000,0.000000,0.000000,19.308543,0.000000,0.000000,0.000000,20.142311,0.000000,85.561800,0.000000,0.000000,0.000000,0.573341,0.000000,119.559926,0.000000,345.558490,0.000000,15.931754,4.953883,0.000000,0.000000,25.641566,4.241932,330.220305,0.000000,32.455476,0.000000,43.506000,20.041764,404.866836,18.802845,67.68,43.718696,95.075112,0.852718,0,0,0,0,0

5,01:00-01:15,9.103776,0.000000,6.404083,0.000000,114.203250,0.000000,0.000000,17.973295,0.000000,0.000000,0.000000,0.000000,8.579383,0.000000,2.246843,0.000000,0.000000,0.000000,19.308543,0.000000,0.000000,0.000000,20.142311,0.000000,85.561800,0.000000,0.000000,0.000000,0.573341,0.000000,119.559926,0.000000,345.558490,0.000000,15.931754,4.953883,0.000000,0.000000,25.641566,4.241932,308.876358,0.000000,32.455476,0.000000,43.506000,20.041764,404.866836,19.336023,65.74,43.718696,95.075112,0.852718,0,0,0,0,0

