Column1,Block,GNA/NR/2025/02/01/2143,GNA/NR/2025/02/01/9969,GNA/NR/2025/02/01/2594,NR/30092023/31122025/SH-07,GNA/SR/2025/02/01/7432,GNA/NR/2025/02/01/5886,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/02/01/4863,NR/30092023/26122029/SH-06,NR/2024/24418/A/51799,NR/2025/25148/C,NR/2025/25147/C,NR/2025/24992/A/51800,GNA/WR/2024/11/01/4200,GNA/WR/2025/01/01/9606,NER/2025/2918/A/52033,ER/2025/15683/A/52031,GNA/WR/2025/01/01/8625,NR/2025/24882/A/51801,NR/2025/25070/A/52061,GNA/SR/2025/02/01/6460,WR/2025/26047/A/52034,Total
,,NDMC,NDMC,NDMC,BAWANA_GAS,APPCPL,NDMC,DELHI,NDMC,PUNJAB,ITCLH,SJVNL,SJVNL,IEXL,MANIKARAN,APPCPL,APPCPL,APPCPL,TPTCL,IEXL,NVVNL,APPCPL,APPCPL,
,,NA,NA,NA,DELHI_UT,DELHI_UT,NA,HIMACHAL_STATE,NA,DELHI_UT,ANDHRA_PRADESH_STATE,NA,NA,KARNATAKA_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,TELANGANA_State,NA,DELHI_UT,DELHI_UT,
,,RKM_POWER,JPL2,RKM_POWER,BAWANA_GAS,BYPL,TRN_ENERGY,CHANJUII,SKS_Raigarh,BAWANA_GAS,ITCWIND,RSRPL_BKN,TPSL_BKN2,NSLSUGARALAND,BRPL,BYPL,BYPL,BYPL,BYPL,NSLKSLWPRTY,JIPL,BYPL,BRPL,
,,DELHI_UT,DELHI_UT,DELHI_UT,HARYANA_STATE,KERALA_State,DELHI_UT,DELHI_UT,DELHI_UT,PUNJAB_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,MSEB_State,MSEB_State,Manipur_State,SIKKIM_STATE,MSEB_State,DELHI_UT,DELHI_UT,KERALA_State,GOA_State,
,,NDMC,NDMC,NDMC,HARYANA,KSEB,NDMC,TPDDL,NDMC,PUNJAB,ITCLH,NDMC,NDMC,MES_Delhi,AEML,AEML,Manipur_Ben,SIKKIM,TPC_MSEB,MES_Delhi,NDMC,KSEB,GOA_Beneficiary,
,,West-North,West-North,West-North,North-North,North-West-South,West-North,North-North,West-North,North-North,South-West-North,North-North,North-North,South-West-North,North-West,North-West,North-East-North East,North-East,North-West,South-West-North,East-North,North-West-South,North-West,
1,00:00-00:15,23.08,23.08,23.08,26.91,0,8.66,1.29,8.66,26.91,0.38,0,0,6.73,0,0,9.18,7.34,0,2.89,17.31,75,0,260.5

2,00:15-00:30,23.08,23.08,23.08,26.91,0,8.66,1.29,8.66,26.91,0.38,0,0,6.73,0,0,9.18,7.34,0,2.89,17.31,75,0,260.5

3,00:30-00:45,23.08,23.08,23.08,26.91,0,8.66,1.29,8.66,26.91,0.38,0,0,6.73,0,0,9.18,7.34,0,2.89,17.31,75,0,260.5

4,00:45-01:00,23.08,23.08,23.08,26.91,0,8.66,1.29,8.66,26.91,0.38,0,0,6.73,0,0,9.18,7.34,0,2.89,17.31,75,0,260.5

5,01:00-01:15,23.08,23.08,23.08,26.91,0,8.66,1.29,8.66,26.91,0.38,0,0,6.73,0,0,9.18,7.34,0,2.89,17.31,75,0,260.5

6,01:15-01:30,23.08,23.08,23.08,26.91,0,8.66,1.29,8.66,26.91,0.38,0,0,6.73,0,0,9.18,7.34,0,2.89,17.31,75,0,260.5

7,01:30-01:45,23.08,23.08,23.08,26.91,0,8.66,1.29,8.66,26.91,0.38,0,0,6.73,0,0,9.18,7.34,0,2.89,17.31,75,0,260.5

8,01:45-02:00,23.08,23.08,23.08,26.91,0,8.66,1.29,8.66,26.91,0.38,0,0,6.73,0,0,9.18,7.34,0,2.89,17.31,75,0,260.5

9,02:00-02:15,23.08,23.08,23.08,26.91,0,8.66,1.29,8.66,26.91,0.38,0,0,6.73,0,0,9.18,7.34,0,2.89,17.31,75,0,260.5

10,02:15-02:30,23.08,23.08,23.08,26.91,0,8.66,1.29,8.66,26.91,0.38,0,0,6.73,0,0,9.18,7.34,0,2.89,17.31,75,0,260.5

11,02:30-02:45,23.08,23.08,23.08,26.91,0,8.66,1.29,8.66,26.91,0.38,0,0,6.73,0,0,9.18,7.34,0,2.89,17.31,75,0,260.5

12,02:45-03:00,23.08,23.08,23.08,26.91,0,8.66,1.29,8.66,26.91,0.38,0,0,6.73,0,0,9.18,7.34,0,2.89,17.31,75,0,260.5

13,03:00-03:15,23.08,23.08,23.08,26.91,0,8.66,1.29,8.66,26.91,0.38,0,0,6.73,0,0,9.18,7.34,0,2.89,17.31,75,0,260.5

14,03:15-03:30,23.08,23.08,23.08,26.91,0,8.66,1.29,8.66,26.91,0.38,0,0,6.73,0,0,9.18,7.34,0,2.89,17.31,75,0,260.5

15,03:30-03:45,23.08,23.08,23.08,26.91,0,8.66,1.29,8.66,26.91,0.38,0,0,6.73,0,0,9.18,7.34,0,2.89,17.31,75,0,260.5

16,03:45-04:00,23.08,23.08,23.08,26.91,0,8.66,1.29,8.66,26.91,0.38,0,0,6.73,0,0,9.18,7.34,0,2.89,17.31,75,0,260.5

17,04:00-04:15,23.08,23.08,23.08,26.91,0,8.66,1.29,8.66,26.91,0.38,0,0,6.73,0,0,9.18,7.34,0,2.89,17.31,75,0,260.5

18,04:15-04:30,23.08,23.08,23.08,26.91,0,8.66,1.29,8.66,26.91,0.38,0,0,6.73,0,0,9.18,7.34,0,2.89,17.31,75,0,260.5

19,04:30-04:45,23.08,23.08,23.08,26.91,0,8.66,1.29,8.66,26.91,0.38,0,0,6.73,0,0,9.18,7.34,0,2.89,17.31,75,0,260.5

