Block,Time,NR/01102023/13082046/L_NR_2021_12,NR/01102023/05012040/L_NR_2020_02,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/31032046/L_NR_2020_05,SR/01032024/15032024/BYPL-APPCPL-KSEB,WR/01102023/16072048/L_NR_2022_08,NR/01102023/02122045/L_NR_2021_13,NR/01102023/22052037/LT-59,NR/01102023/15082037/GNA_NR_2012_01,NR/30092023/31122025/SH-07,NR/30092023/26122029/SH-06,NR/01032024/22032024/HP-59,L_NR_2019_19,NR/01102023/08032047/L_NR_2021_14,NR/01102023/25122043/GNA_MEJA_DELHI,NR/01102023/02012046/L_NR_2021_17,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01032024/31032024/NVVN/OA/16997,NR/22102023/11042047/L_NR_2021_16,NR/01102023/14082046/L_NR_2021_16,NR/01102023/19072037/LT-05,NR/01102023/31102037/L_NR_2019_11,WR/01102023/29112042/L_NR_2019_05,WR/01102023/01102023/L_NR_2020_06,SR/01032024/31032024/SWAP ARRANGEMENT LOA D.NO.366 DT.31-08-2023,NR/14032024/14032024/DD20240314NR23255,NR/01032024/22032024/HP-56,NR/01102023/06022042/L_NR_2012_02,NR/01012024/31032024/ ChanjuII,NR/01102023/31052040/LT-31,NR/26072023/31072042/L_NR_2023_07,SR/01032024/31032024/SJVN010324NR1590,NR/01032024/31032024/SJVN010324NR1588,WR/01102023/01102023/L_NR_2022_09,SR/01032024/15032024/SWAP ARRANGEMENT LOA.NO.365 DT.31-08-2023,NR/01102023/23072042/L_NR_2012_04,NR/01102023/30042040/GNA_LT_35,NR/01102023/30042040/GNA_LT_36,NR/01102023/25072045/L_NR_2021_15,NR/01102023/06022042/L_NR_2012_07,NR/22102023/11042047/L_NR_2021_17,WR/01032024/15032024/TPDDL/PMG/MSEDCL/Banking/12112023,NR/26072023/25122043/L_NR_2023_10,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/24112044/L_NR_2020_07,SR/01102023/07102043/L_NR_2018_61,NR/01032024/15032024/HP-62,WR/01102023/30052048/L_NR_2022_10,NR/01032024/31032024/SJVN010324NR1589
1,00:00-00:15,0,1.340000,0,53.31,96.26,12.34,0,1.010000,99.740000,30.800000,24.860000,32.760000,0,0,0.000000,0,25.990000,48.130000,0,0,35.100000,1.070000,0,17.76,48.13,0.000000,76.520000,259.300000,5.420000,0.000000,0,0,0,43.33,96.26,133.800000,0.000000,0.000000,0,67.890000,0,144.390000,0,0,17.77,7.01,98.190000,43.33,0

2,00:15-00:30,0,1.340000,0,53.49,96.26,12,0,1.010000,99.740000,30.800000,24.860000,32.760000,0,0,0.000000,0,25.990000,48.130000,0,0,35.100000,1.070000,0,17.82,48.13,0.000000,76.520000,259.300000,5.420000,0.000000,0,0,0,44,96.26,133.800000,0.000000,0.000000,0,67.890000,0,144.390000,0,0,17.83,7.01,98.190000,44,0

3,00:30-00:45,0,1.340000,0,53.38,96.26,12,0,1.010000,99.740000,30.800000,24.860000,32.760000,0,0,0.000000,0,25.990000,48.130000,0,0,35.100000,1.070000,0,17.79,48.13,0.000000,76.520000,259.300000,5.420000,0.000000,0,0,0,44.67,96.26,133.800000,0.000000,0.000000,0,67.890000,0,144.390000,0,0,17.8,7.01,98.190000,44.67,0

4,00:45-01:00,0,1.340000,0,52.29,96.26,12,0,1.010000,99.740000,30.800000,24.860000,32.760000,0,0,0.000000,0,25.990000,48.130000,0,0,35.100000,1.070000,0,17.44,48.13,0.000000,76.520000,259.300000,5.420000,0.000000,0,0,0,46,96.26,133.800000,0.000000,0.000000,0,67.890000,0,144.390000,0,0,17.43,7.01,98.190000,46,0

5,01:00-01:15,0,1.340000,0,52.15,96.26,11.66,0,1.010000,99.740000,30.800000,24.860000,32.760000,0,0,0.000000,0,25.990000,48.130000,0,0,35.100000,1.070000,0,17.38,48.13,0.000000,76.520000,211.170000,5.420000,0.000000,0,0,0,47.33,96.26,133.800000,0.000000,0.000000,0,44.190000,0,144.390000,0,0,17.38,7.01,98.190000,47.33,0

